# s/c   h_mean    h_std
0.00000000 618.09300795 158.39933730
0.00130087 618.55700747 157.43650341
0.00260174 618.82705765 156.66049850
0.00390261 618.91634457 156.06210054
0.00520348 618.83761796 155.63235909
0.00650435 618.60319920 155.36259129
0.00780522 618.22498926 155.24437789
0.00910609 617.71447658 155.26955937
0.01040697 617.08274487 155.43023207
0.01170784 616.34048082 155.71874427
0.01300871 615.49798181 156.12769229
0.01430958 614.56516349 156.64991641
0.01561045 613.55156729 157.27849685
0.01691132 612.46636793 158.00674956
0.01821219 611.31838079 158.82822198
0.01951306 610.11606924 159.73668872
0.02081393 608.86755191 160.72614713
0.02211480 607.58060990 161.79081287
0.02341567 606.26269387 162.92511537
0.02470176 604.92093116 164.12369328
0.02600263 603.56213270 165.38138994
0.02730350 602.19280004 166.69324875
0.02860437 600.81913211 168.05450867
0.02990524 599.44703207 169.46059960
0.03120611 598.08211403 170.90713791
0.03250698 596.72970968 172.38992195
0.03380786 595.39487490 173.90492759
0.03510873 594.08239629 175.44830391
0.03640960 592.79679759 177.01636882
0.03771047 591.54234609 178.60560488
0.03901134 590.32305896 180.21265509
0.04029743 589.14270949 181.83431885
0.04159830 588.00483326 183.46754788
0.04289917 586.91273428 185.10944237
0.04420004 585.86949103 186.75724707
0.04550091 584.87796245 188.40834753
0.04680178 583.94079383 190.06026646
0.04810265 583.06042269 191.71066007
0.04940352 582.23908455 193.35731459
0.05068961 581.47881864 194.99814277
0.05199048 580.78147353 196.63118056
0.05329135 580.14871273 198.25458379
0.05459222 579.58202019 199.86662496
0.05589309 579.08270576 201.46569007
0.05719396 578.65191054 203.05027555
0.05849483 578.29061219 204.61898522
0.05978092 577.99963021 206.17052738
0.06108179 577.77963105 207.70371185
0.06238266 577.63113328 209.21744722
0.06368353 577.55451257 210.71073796
0.06498440 577.55000672 212.18268179
0.06628528 577.61772052 213.63246696
0.06757136 577.75763060 215.05936960
0.06887223 577.96959019 216.46275115
0.07017310 578.25333386 217.84205583
0.07147398 578.60848209 219.19680811
0.07277485 579.03454589 220.52661022
0.07407572 579.53093128 221.83113974
0.07536180 580.09694373 223.11014717
0.07666268 580.73179251 224.36345356
0.07796355 581.43459498 225.59094810
0.07926442 582.20438086 226.79258581
0.08056529 583.04009635 227.96838524
0.08185138 583.94060825 229.11842606
0.08315225 584.90470798 230.24284688
0.08445312 585.93111552 231.34184283
0.08575399 587.01848334 232.41566336
0.08704008 588.16540021 233.46460991
0.08834095 589.37039494 234.48903361
0.08964182 590.63194009 235.48933302
0.09094269 591.94845559 236.46595179
0.09224356 593.31831228 237.41937637
0.09352965 594.73983544 238.35013369
0.09483052 596.21130816 239.25878881
0.09613139 597.73097471 240.14594260
0.09743226 599.29704384 241.01222935
0.09871835 600.90769200 241.85831438
0.10001922 602.56106647 242.68489167
0.10132009 604.25528844 243.49268143
0.10260618 605.98845607 244.28242761
0.10390705 607.75864739 245.05489549
0.10520792 609.56392319 245.81086920
0.10650879 611.40232988 246.55114915
0.10779488 613.27190216 247.27654958
0.10909575 615.17066578 247.98789597
0.11039662 617.09664007 248.68602251
0.11169749 619.04784056 249.37176949
0.11298358 621.02228141 250.04598077
0.11428445 623.01797783 250.70950114
0.11558532 625.03294842 251.36317374
0.11687141 627.06521748 252.00783747
0.11817228 629.11281714 252.64432437
0.11947315 631.17378958 253.27345707
0.12075924 633.24618905 253.89604619
0.12206011 635.32808392 254.51288777
0.12336098 637.41755855 255.12476080
0.12466185 639.51271525 255.73242467
0.12594794 641.61167598 256.33661675
0.12724881 643.71258420 256.93804993
0.12854968 645.81360642 257.53741034
0.12983577 647.89113425 258.12666978
0.13113664 651.18581053 258.80061602
0.13243751 654.04336218 259.46496661
0.13372359 656.54361299 260.16295610
0.13502447 659.02256903 260.87765411
0.13632534 661.44553716 261.60788458
0.13761142 663.84962930 262.34640594
0.13891229 666.15145499 263.06960568
0.14019838 668.38860347 263.75721243
0.14149925 670.76307103 264.39448483
0.14280012 673.21553531 264.98444321
0.14408621 675.32495333 265.53673532
0.14538708 676.95931338 266.13482300
0.14668795 678.47488783 266.84405351
0.14797404 679.93768257 267.59238769
0.14927491 681.38574137 268.34324825
0.15056100 682.98204964 269.07961061
0.15186187 684.73174285 269.79174522
0.15316274 686.24515346 270.46281657
0.15444883 687.46449068 271.13610418
