# s/c   P_w_mean    P_w_std
0.22819933 0.76704478 0.00037190
0.22948542 0.76405788 0.00038597
0.23078629 0.76104667 0.00040287
0.23207238 0.75802321 0.00042167
0.23337325 0.75499542 0.00044109
0.23465933 0.75197117 0.00045908
0.23594542 0.74895993 0.00047507
0.23724629 0.74597042 0.00048964
0.23853238 0.74300387 0.00050282
0.23983325 0.74005280 0.00051470
0.24111934 0.73710514 0.00052549
0.24240543 0.73415083 0.00053582
0.24370630 0.73118812 0.00054625
0.24499239 0.72822546 0.00055697
0.24629326 0.72527504 0.00056828
0.24757935 0.72234707 0.00058002
0.24886543 0.71944928 0.00059113
0.25016630 0.71658302 0.00060127
0.25145239 0.71374503 0.00061034
0.25275326 0.71093217 0.00061838
0.25403935 0.70814283 0.00062592
0.25532544 0.70537772 0.00063318
0.25662631 0.70263879 0.00064005
0.25791240 0.69993074 0.00064637
0.25919849 0.69726286 0.00065284
0.26049936 0.69464297 0.00065895
0.26178545 0.69207442 0.00066371
0.26307153 0.68955245 0.00066695
0.26437240 0.68707052 0.00066939
0.26565849 0.68461642 0.00067111
0.26695936 0.68216602 0.00067174
0.26824545 0.67971064 0.00067082
0.26953154 0.67725712 0.00067038
0.27083241 0.67482765 0.00067352
0.27211850 0.67246297 0.00067803
0.27340459 0.67018242 0.00068243
0.27470546 0.66797919 0.00068593
0.27599154 0.66582722 0.00068643
0.27727763 0.66369517 0.00068478
0.27857850 0.66158070 0.00068161
0.27986459 0.65949407 0.00067800
0.28115068 0.65744754 0.00067737
0.28243677 0.65545179 0.00067713
0.28373764 0.65351450 0.00067391
0.28502373 0.65165240 0.00067234
0.28630981 0.64985994 0.00067327
0.28761068 0.64811701 0.00067101
0.28889677 0.64639748 0.00066440
0.29018286 0.64470473 0.00065746
0.29148373 0.64308565 0.00065138
0.29276982 0.64156525 0.00064554
0.29405591 0.64014211 0.00063828
0.29534200 0.63879701 0.00062791
0.29664287 0.63750164 0.00061464
0.29792895 0.63623847 0.00059889
0.29921504 0.63501264 0.00058249
0.30051591 0.63384490 0.00056709
0.30180200 0.63275943 0.00055232
0.30308809 0.63176719 0.00053698
0.30437418 0.63086120 0.00052027
0.30567505 0.63002092 0.00050122
0.30696114 0.62921580 0.00047979
0.30824722 0.62842572 0.00045769
0.30953331 0.62764734 0.00043698
0.31083418 0.62689272 0.00041794
0.31212027 0.62618706 0.00040070
0.31340636 0.62555155 0.00038489
0.31469245 0.62499020 0.00036668
0.31599332 0.62449560 0.00034335
0.31727941 0.62406574 0.00031549
0.31856549 0.62370407 0.00028440
0.31985158 0.62340094 0.00025146
0.32115245 0.62313327 0.00021772
0.32243854 0.62287438 0.00018456
0.32372463 0.62259825 0.00015162
0.32501072 0.62229308 0.00011983
0.32629681 0.62196303 0.00009252
0.32759768 0.62161902 0.00007795
0.32888376 0.62127672 0.00008003
0.33016985 0.62095256 0.00008800
0.33145594 0.62065413 0.00009448
0.33275681 0.62038165 0.00009900
0.33404290 0.62012833 0.00010517
0.33532899 0.61988235 0.00011762
0.33661508 0.61963801 0.00013738
0.33790116 0.61939956 0.00016084
0.33918725 0.61917251 0.00018455
0.34048812 0.61895450 0.00020747
0.34177421 0.61873780 0.00022952
0.34306030 0.61851138 0.00025134
0.34434639 0.61826238 0.00027368
0.34563247 0.61798109 0.00029728
0.34693335 0.61766381 0.00032343
0.34821943 0.61731887 0.00035146
0.34950552 0.61696652 0.00038022
0.35079161 0.61662431 0.00040907
0.35207770 0.61630472 0.00043493
0.35336379 0.61601351 0.00045739
0.35466466 0.61574431 0.00047811
0.35595074 0.61547824 0.00049870
0.35723683 0.61519121 0.00052148
0.35852292 0.61486842 0.00054705
0.35980901 0.61451276 0.00057386
0.36109510 0.61413528 0.00060112
0.36238118 0.61373969 0.00062907
0.36368206 0.61332981 0.00065694
0.36496814 0.61291654 0.00068379
0.36625423 0.61251552 0.00070796
0.36754032 0.61213644 0.00072970
0.36882641 0.61177487 0.00075083
0.37011250 0.61141201 0.00077376
0.37139858 0.61102298 0.00080292
0.37269945 0.61060487 0.00083700
0.37398554 0.61017464 0.00087248
0.37527163 0.60974513 0.00090790
0.37655772 0.60932296 0.00094112
0.37784381 0.60890947 0.00097093
0.37912989 0.60849367 0.00099665
0.38041598 0.60806213 0.00101882
0.38170207 0.60761530 0.00103839
0.38298816 0.60716844 0.00105574
0.38428903 0.60673530 0.00107255
0.38557512 0.60631427 0.00109177
0.38686121 0.60589718 0.00111467
0.38814729 0.60547610 0.00114138
0.38943338 0.60504305 0.00117121
0.39071947 0.60459039 0.00120324
0.39200556 0.60411500 0.00123648
0.39329165 0.60361977 0.00126962
0.39457773 0.60310752 0.00130203
0.39586382 0.60257605 0.00133388
0.39714991 0.60202101 0.00136496
0.39843600 0.60144126 0.00139564
0.39973687 0.60085095 0.00142519
0.40102296 0.60028201 0.00145133
0.40230905 0.59976799 0.00147184
0.40359513 0.59931298 0.00148882
0.40488122 0.59888437 0.00151134
0.40616731 0.59845143 0.00154244
0.40745340 0.59800120 0.00157841
0.40873949 0.59753712 0.00161539
0.41002557 0.59708005 0.00165001
0.41131166 0.59664829 0.00168109
0.41259775 0.59623680 0.00171097
0.41388384 0.59582216 0.00174413
0.41516993 0.59538806 0.00178073
0.41645601 0.59493014 0.00182018
0.41774210 0.59442339 0.00186578
0.41902819 0.59383190 0.00191950
0.42031428 0.59313301 0.00198088
0.42160037 0.59235555 0.00204406
0.42288645 0.59157709 0.00209965
0.42417254 0.59083168 0.00214529
0.42545863 0.59011339 0.00218651
0.42674472 0.58941098 0.00222966
0.42803081 0.58871235 0.00227477
0.42931690 0.58801237 0.00232077
0.43060298 0.58730172 0.00236943
0.43188907 0.58656899 0.00242216
0.43317516 0.58580792 0.00247979
0.43446125 0.58501936 0.00254106
0.43574734 0.58420612 0.00260479
0.43703342 0.58337076 0.00267018
0.43831951 0.58251639 0.00273623
0.43960560 0.58164545 0.00280207
0.44089169 0.58076051 0.00286746
0.44217778 0.57986583 0.00293233
0.44346386 0.57897150 0.00299576
0.44474995 0.57808614 0.00305705
0.44603604 0.57720581 0.00311754
0.44732213 0.57630520 0.00318436
0.44860822 0.57534674 0.00326443
0.44989430 0.57430655 0.00335870
0.45118039 0.57320926 0.00346076
0.45246648 0.57213098 0.00355303
0.45375257 0.57110522 0.00363031
0.45503866 0.57012408 0.00369939
0.45632474 0.56918895 0.00376225
0.45761083 0.56830233 0.00381871
0.45889692 0.56747988 0.00386391
0.46018301 0.56672197 0.00389952
0.46146910 0.56599464 0.00393692
0.46275519 0.56525611 0.00398484
0.46404127 0.56446173 0.00404877
0.46532736 0.56361026 0.00412445
0.46661345 0.56275830 0.00419752
0.46789954 0.56193842 0.00426283
0.46917084 0.56114643 0.00432402
0.47045693 0.56035864 0.00438995
0.47174302 0.55954965 0.00446639
0.47302911 0.55871804 0.00454987
0.47431520 0.55787827 0.00463482
0.47560128 0.55704788 0.00471574
0.47688737 0.55624187 0.00478944
0.47817346 0.55546445 0.00485649
0.47945955 0.55470965 0.00491980
0.48074564 0.55396459 0.00498290
0.48203172 0.55321351 0.00504888
0.48331781 0.55244266 0.00512015
0.48460390 0.55165156 0.00519611
0.48587521 0.55085743 0.00527152
0.48716129 0.55007627 0.00534267
0.48844738 0.54931563 0.00540851
0.48973347 0.54857586 0.00546972
0.49101956 0.54785175 0.00552885
0.49230565 0.54713710 0.00558836
0.49359173 0.54642583 0.00564944
0.49487782 0.54571303 0.00571275
0.49616391 0.54499470 0.00577887
0.49743522 0.54426944 0.00584744
0.49872130 0.54353911 0.00591779
0.50000739 0.54280818 0.00598874
0.50129348 0.54208328 0.00605874
0.50257957 0.54137191 0.00612680
0.50386566 0.54068003 0.00619187
0.50515174 0.54001172 0.00625342
0.50643783 0.53936607 0.00631271
0.50770914 0.53873522 0.00637232
0.50899523 0.53811170 0.00643421
0.51028131 0.53749280 0.00649885
0.51156740 0.53688259 0.00656453
0.51285349 0.53629104 0.00662817
0.51413958 0.53572648 0.00668849
0.51542567 0.53519269 0.00674510
0.51669697 0.53468833 0.00679864
0.51798306 0.53420503 0.00685195
0.51926915 0.53372881 0.00690858
0.52055524 0.53324332 0.00697110
0.52184132 0.53274013 0.00703960
0.52312741 0.53221933 0.00711285
0.52439872 0.53169586 0.00718661
0.52568480 0.53120415 0.00725279
0.52697089 0.53076608 0.00730585
0.52825698 0.53038583 0.00734665
0.52954307 0.53005233 0.00738169
0.53082916 0.52973100 0.00741973
0.53210046 0.52939438 0.00746623
0.53338655 0.52903307 0.00752100
0.53467264 0.52866176 0.00757768
0.53595873 0.52831430 0.00762809
0.53724481 0.52800454 0.00766916
0.53853090 0.52772567 0.00770309
0.53980221 0.52745492 0.00773830
0.54108830 0.52715988 0.00778214
0.54237438 0.52682899 0.00783386
0.54366047 0.52647378 0.00788879
0.54494656 0.52611383 0.00794155
0.54621787 0.52576708 0.00798769
0.54750395 0.52544623 0.00802480
0.54879004 0.52514855 0.00805617
0.55007613 0.52485280 0.00808763
0.55134744 0.52454208 0.00812260
0.55263352 0.52420722 0.00816193
0.55391961 0.52385042 0.00820334
0.55520570 0.52348897 0.00824236
0.55649179 0.52314057 0.00827514
0.55776309 0.52280984 0.00830170
0.55904918 0.52248672 0.00832565
0.56033527 0.52215229 0.00835264
0.56162136 0.52179353 0.00838480
0.56289266 0.52140932 0.00842117
0.56417875 0.52100676 0.00845994
0.56546484 0.52060238 0.00849655
0.56675093 0.52020878 0.00852869
0.56803702 0.51983434 0.00855570
0.56930832 0.51948658 0.00857618
0.57059441 0.51916844 0.00859033
0.57188050 0.51887531 0.00860134
0.57316659 0.51859492 0.00861267
0.57443789 0.51831321 0.00862701
0.57572398 0.51801628 0.00864572
0.57701007 0.51769128 0.00866900
0.57829616 0.51733092 0.00869611
0.57956746 0.51693542 0.00872615
0.58085355 0.51651569 0.00875726
0.58213964 0.51609494 0.00878373
0.58341094 0.51569377 0.00880235
0.58469703 0.51532209 0.00881146
0.58598312 0.51498294 0.00881147
0.58726921 0.51467093 0.00880643
0.58854051 0.51437371 0.00879905
0.58982660 0.51408191 0.00879158
0.59111269 0.51379095 0.00878476
0.59239878 0.51350411 0.00877627
0.59367008 0.51323307 0.00876284
0.59495617 0.51298527 0.00874277
0.59624226 0.51275466 0.00871869
0.59751356 0.51252618 0.00869534
0.59879965 0.51228538 0.00867556
0.60008574 0.51202101 0.00866059
0.60137183 0.51172672 0.00865019
0.60264313 0.51140357 0.00864320
0.60392922 0.51106170 0.00863661
0.60521531 0.51071957 0.00862545
0.60648661 0.51039736 0.00860604
0.60777270 0.51011196 0.00857442
0.60905879 0.50986769 0.00853046
0.61033010 0.50965096 0.00848064
0.61161618 0.50944258 0.00843041
0.61290227 0.50922581 0.00838254
0.61417358 0.50899036 0.00833804
0.61545967 0.50873537 0.00829580
0.61674575 0.50846473 0.00825461
0.61801706 0.50818105 0.00821440
0.61930315 0.50788646 0.00817474
0.62058924 0.50758349 0.00813525
0.62187532 0.50727221 0.00809628
0.62314663 0.50694975 0.00805798
0.62443272 0.50660875 0.00802179
0.62571880 0.50624398 0.00798788
0.62699011 0.50585685 0.00795517
0.62827620 0.50545882 0.00792133
0.62954750 0.50507305 0.00788021
0.63083359 0.50471465 0.00782984
0.63211968 0.50438777 0.00777123
0.63339099 0.50409436 0.00770532
0.63467707 0.50383064 0.00763503
0.63596316 0.50358575 0.00756350
0.63723447 0.50334781 0.00749381
0.63852056 0.50310344 0.00742840
0.63980664 0.50283693 0.00736928
0.64107795 0.50253555 0.00731770
0.64236404 0.50219370 0.00727306
0.64365012 0.50181339 0.00723351
0.64492143 0.50139870 0.00719773
0.64620752 0.50095451 0.00716437
0.64749361 0.50048464 0.00713256
0.64876491 0.49999297 0.00710204
0.65005100 0.49948446 0.00707199
0.65132231 0.49896418 0.00704165
0.65260839 0.49843816 0.00701014
0.65389448 0.49791258 0.00697644
0.65516579 0.49739378 0.00693945
0.65645188 0.49688806 0.00689813
0.65772318 0.49639821 0.00685295
0.65900927 0.49592401 0.00680517
0.66029536 0.49546445 0.00675619
0.66156666 0.49502050 0.00670660
0.66285275 0.49459719 0.00665517
0.66413884 0.49419817 0.00660051
0.66541014 0.49382163 0.00654326
0.66669623 0.49345700 0.00648778
0.66796754 0.49308971 0.00643856
0.66925363 0.49270955 0.00639774
0.67053971 0.49231046 0.00636620
0.67181102 0.49188985 0.00634321
0.67309711 0.49144964 0.00632775
0.67436841 0.49099935 0.00631696
0.67565450 0.49055705 0.00630492
0.67692581 0.49013903 0.00628794
0.67821189 0.48975160 0.00626556
0.67949798 0.48939692 0.00623794
0.68076929 0.48907710 0.00620521
0.68205538 0.48879410 0.00616693
0.68332668 0.48854744 0.00612330
0.68461277 0.48832742 0.00607767
0.68589886 0.48811388 0.00603683
0.68717016 0.48788913 0.00600569
0.68845625 0.48764837 0.00598416
0.68972756 0.48739639 0.00596972
0.69101364 0.48714088 0.00595913
0.69228495 0.48688589 0.00595102
0.69357104 0.48663409 0.00594478
0.69484234 0.48638776 0.00593939
0.69612843 0.48614502 0.00593568
0.69741452 0.48590224 0.00593485
0.69868582 0.48565414 0.00593827
0.69997191 0.48539803 0.00594670
0.70124322 0.48513741 0.00595859
0.70252931 0.48488022 0.00597119
0.70380061 0.48463413 0.00598243
0.70508670 0.48439811 0.00599322
0.70635801 0.48416965 0.00600431
0.70764409 0.48395019 0.00601456
0.70893018 0.48374213 0.00602251
0.71020149 0.48354864 0.00602687
0.71148758 0.48337253 0.00602648
0.71275888 0.48321525 0.00602097
0.71404497 0.48307213 0.00601333
0.71531627 0.48293358 0.00600740
0.71660236 0.48278860 0.00600718
0.71787367 0.48263213 0.00601360
0.71915976 0.48246929 0.00602303
0.72043106 0.48230689 0.00603244
0.72171715 0.48214955 0.00604019
0.72298845 0.48199936 0.00604583
0.72427454 0.48185568 0.00605015
0.72554585 0.48171757 0.00605365
0.72683194 0.48158581 0.00605597
0.72810324 0.48146488 0.00605535
0.72938933 0.48136041 0.00604907
0.73066064 0.48127481 0.00603617
0.73194672 0.48120595 0.00601785
0.73321803 0.48114742 0.00599681
0.73450412 0.48109267 0.00597562
0.73577542 0.48103830 0.00595498
0.73706151 0.48098373 0.00593426
0.73833282 0.48092964 0.00591248
0.73961890 0.48087700 0.00588882
0.74089021 0.48082672 0.00586261
0.74217630 0.48077982 0.00583323
0.74344760 0.48073797 0.00580001
0.74473369 0.48070247 0.00576239
0.74600500 0.48067393 0.00572026
0.74729108 0.48065184 0.00567404
0.74856239 0.48063407 0.00562474
0.74984848 0.48061749 0.00557366
0.75111978 0.48059880 0.00552198
0.75240587 0.48057519 0.00547052
0.75367718 0.48054465 0.00541975
0.75496327 0.48050570 0.00536988
0.75623457 0.48045739 0.00532098
0.75752066 0.48039916 0.00527300
0.75879196 0.48033073 0.00522585
0.76007805 0.48025193 0.00517941
0.76134936 0.48016259 0.00513359
0.76263545 0.48006226 0.00508840
0.76390675 0.47994988 0.00504404
0.76517806 0.47982385 0.00500082
0.76646414 0.47968142 0.00495949
0.76773545 0.47951912 0.00492102
0.76902154 0.47933376 0.00488619
0.77029284 0.47912477 0.00485489
0.77157893 0.47889505 0.00482589
0.77285024 0.47865021 0.00479739
0.77413633 0.47839717 0.00476745
0.77540763 0.47814059 0.00473531
0.77669372 0.47788448 0.00470060
0.77796502 0.47763271 0.00466287
0.77923633 0.47738789 0.00462196
0.78052242 0.47715103 0.00457839
0.78179372 0.47692146 0.00453309
0.78307981 0.47669705 0.00448705
0.78435112 0.47647379 0.00444211
0.78563720 0.47624837 0.00439939
0.78690851 0.47601861 0.00435907
0.78817982 0.47578323 0.00432117
0.78946590 0.47554150 0.00428541
0.79073721 0.47529266 0.00425152
0.79202330 0.47503627 0.00421912
0.79329460 0.47477213 0.00418783
0.79458069 0.47450098 0.00415696
0.79585200 0.47422465 0.00412578
0.79712330 0.47394543 0.00409363
0.79840939 0.47366580 0.00406008
0.79968070 0.47338843 0.00402484
0.80096678 0.47311590 0.00398766
0.80223809 0.47285015 0.00394838
0.80350939 0.47259090 0.00390768
0.80479548 0.47233574 0.00386652
0.80606679 0.47208051 0.00382635
0.80735288 0.47181976 0.00378935
0.80862418 0.47155138 0.00375548
0.80989549 0.47127518 0.00372421
0.81118157 0.47099030 0.00369556
0.81245288 0.47069553 0.00366933
0.81373897 0.47038898 0.00364579
0.81501027 0.47006994 0.00362468
0.81628158 0.46973997 0.00360520
0.81756767 0.46940244 0.00358606
0.81883897 0.46906055 0.00356648
0.82012506 0.46871732 0.00354579
0.82139637 0.46837749 0.00352236
0.82266767 0.46804630 0.00349497
0.82395376 0.46772789 0.00346265
0.82522507 0.46742189 0.00342616
0.82651115 0.46712122 0.00338891
0.82778246 0.46681678 0.00335420
0.82905376 0.46650237 0.00332365
0.83033985 0.46617516 0.00329758
0.83161116 0.46583425 0.00327586
0.83288246 0.46548038 0.00325791
0.83416855 0.46511527 0.00324312
0.83543986 0.46474135 0.00323079
0.83672594 0.46436184 0.00322003
0.83799725 0.46398028 0.00320996
0.83926856 0.46360025 0.00319977
0.84055464 0.46322526 0.00318863
0.84182595 0.46285874 0.00317582
0.84309725 0.46250373 0.00316067
0.84438334 0.46216274 0.00314252
0.84565465 0.46183670 0.00312145
0.84692595 0.46152391 0.00309815
0.84821204 0.46121986 0.00307403
0.84948335 0.46091722 0.00305132
0.85076944 0.46060805 0.00303208
0.85204074 0.46028821 0.00301699
0.85331205 0.45995911 0.00300507
0.85459813 0.45962552 0.00299442
0.85586944 0.45929255 0.00298362
0.85714075 0.45896404 0.00297190
0.85842683 0.45864281 0.00295858
0.85969814 0.45833133 0.00294300
0.86096944 0.45803024 0.00292514
0.86225553 0.45773830 0.00290537
0.86352684 0.45745137 0.00288507
0.86479814 0.45715891 0.00286820
0.86608423 0.45684923 0.00285827
0.86735554 0.45651471 0.00285733
0.86862684 0.45615282 0.00286574
0.86991293 0.45576641 0.00288152
0.87118424 0.45536174 0.00290199
0.87245554 0.45494614 0.00292459
0.87374163 0.45452733 0.00294715
0.87501293 0.45411474 0.00296708
0.87628424 0.45371682 0.00298219
0.87757033 0.45334038 0.00299078
0.87884163 0.45299128 0.00299135
0.88011294 0.45267315 0.00298316
0.88138424 0.45238736 0.00296646
0.88267033 0.45213310 0.00294232
0.88394164 0.45190806 0.00291238
0.88521294 0.45170878 0.00287859
0.88649903 0.45153083 0.00284303
0.88777034 0.45136824 0.00280846
0.88904164 0.45121441 0.00277762
0.89032773 0.45106504 0.00275180
0.89159904 0.45091825 0.00273079
0.89287034 0.45077229 0.00271394
0.89415643 0.45062468 0.00270101
0.89542774 0.45047320 0.00269170
0.89669904 0.45031699 0.00268544
0.89797035 0.45015684 0.00268135
0.89925643 0.44999421 0.00267870
0.90052774 0.44983086 0.00267693
0.90179905 0.44966944 0.00267519
0.90308513 0.44951222 0.00267283
0.90435644 0.44936175 0.00266940
0.90562774 0.44922097 0.00266403
0.90691383 0.44909248 0.00265602
0.90818514 0.44897875 0.00264478
0.90945644 0.44888109 0.00263007
0.91072775 0.44879964 0.00261215
0.91201384 0.44873257 0.00259197
0.91328514 0.44867532 0.00257128
0.91455645 0.44862309 0.00255159
0.91582775 0.44857071 0.00253414
0.91711384 0.44851240 0.00252007
0.91838515 0.44844280 0.00251019
0.91965645 0.44835722 0.00250499
