# s/c   P_w_mean    P_w_std
0.00000000 0.99992158 0.00002613
0.00130087 0.99954636 0.00002124
0.00260174 0.99916113 0.00001714
0.00390261 0.99876682 0.00001382
0.00520348 0.99836427 0.00001128
0.00650435 0.99795431 0.00000955
0.00780522 0.99753766 0.00000863
0.00910609 0.99711501 0.00000847
0.01040697 0.99668698 0.00000889
0.01170784 0.99625414 0.00000970
0.01300871 0.99581701 0.00001077
0.01430958 0.99537606 0.00001201
0.01561045 0.99493170 0.00001339
0.01691132 0.99448431 0.00001487
0.01821219 0.99403419 0.00001645
0.01951306 0.99358164 0.00001813
0.02081393 0.99312689 0.00001990
0.02211480 0.99267013 0.00002174
0.02341567 0.99221152 0.00002364
0.02470176 0.99175117 0.00002559
0.02600263 0.99128916 0.00002757
0.02730350 0.99082555 0.00002959
0.02860437 0.99036034 0.00003160
0.02990524 0.98989351 0.00003362
0.03120611 0.98942502 0.00003562
0.03250698 0.98895479 0.00003759
0.03380786 0.98848270 0.00003953
0.03510873 0.98800863 0.00004142
0.03640960 0.98753242 0.00004325
0.03771047 0.98705389 0.00004502
0.03901134 0.98657284 0.00004672
0.04029743 0.98608904 0.00004835
0.04159830 0.98560225 0.00004990
0.04289917 0.98511222 0.00005137
0.04420004 0.98461865 0.00005276
0.04550091 0.98412126 0.00005407
0.04680178 0.98361975 0.00005529
0.04810265 0.98311378 0.00005643
0.04940352 0.98260302 0.00005750
0.05068961 0.98208713 0.00005848
0.05199048 0.98156575 0.00005939
0.05329135 0.98103852 0.00006024
0.05459222 0.98050506 0.00006101
0.05589309 0.97996499 0.00006173
0.05719396 0.97941793 0.00006239
0.05849483 0.97886349 0.00006300
0.05978092 0.97830128 0.00006357
0.06108179 0.97773088 0.00006411
0.06238266 0.97715191 0.00006461
0.06368353 0.97656396 0.00006510
0.06498440 0.97596663 0.00006558
0.06628528 0.97535951 0.00006605
0.06757136 0.97474221 0.00006652
0.06887223 0.97411433 0.00006701
0.07017310 0.97347547 0.00006752
0.07147398 0.97282523 0.00006805
0.07277485 0.97216324 0.00006861
0.07407572 0.97148909 0.00006922
0.07536180 0.97080243 0.00006988
0.07666268 0.97010286 0.00007059
0.07796355 0.96939003 0.00007136
0.07926442 0.96866358 0.00007219
0.08056529 0.96792316 0.00007310
0.08185138 0.96716842 0.00007409
0.08315225 0.96639903 0.00007515
0.08445312 0.96561468 0.00007630
0.08575399 0.96481503 0.00007754
0.08704008 0.96399980 0.00007887
0.08834095 0.96316869 0.00008029
0.08964182 0.96232142 0.00008181
0.09094269 0.96145771 0.00008343
0.09224356 0.96057732 0.00008515
0.09352965 0.95967999 0.00008698
0.09483052 0.95876550 0.00008891
0.09613139 0.95783362 0.00009094
0.09743226 0.95688415 0.00009309
0.09871835 0.95591689 0.00009534
0.10001922 0.95493167 0.00009771
0.10132009 0.95392833 0.00010019
0.10260618 0.95290670 0.00010278
0.10390705 0.95186666 0.00010549
0.10520792 0.95080808 0.00010831
0.10650879 0.94973085 0.00011126
0.10779488 0.94863489 0.00011432
0.10909575 0.94752011 0.00011750
0.11039662 0.94638644 0.00012080
0.11169749 0.94523385 0.00012423
0.11298358 0.94406229 0.00012777
0.11428445 0.94287175 0.00013143
0.11558532 0.94166222 0.00013522
0.11687141 0.94043371 0.00013913
0.11817228 0.93918624 0.00014315
0.11947315 0.93791986 0.00014730
0.12075924 0.93663461 0.00015156
0.12206011 0.93533056 0.00015593
0.12336098 0.93400778 0.00016042
0.12466185 0.93266639 0.00016502
0.12594794 0.93130647 0.00016973
0.12724881 0.92992815 0.00017454
0.12854968 0.92853156 0.00017945
0.12983577 0.92708566 0.00018445
0.13113664 0.92558030 0.00019276
0.13243751 0.92406533 0.00020002
0.13372359 0.92253973 0.00020635
0.13502447 0.92100029 0.00021195
0.13632534 0.91944856 0.00021719
0.13761142 0.91788643 0.00022196
0.13891229 0.91631222 0.00022654
0.14019838 0.91471418 0.00023160
0.14149925 0.91307423 0.00023807
0.14280012 0.91138262 0.00024542
0.14408621 0.90965687 0.00025421
0.14538708 0.90793467 0.00026565
0.14668795 0.90623883 0.00027622
0.14797404 0.90457212 0.00028343
0.14927491 0.90292568 0.00028812
0.15056100 0.90127967 0.00029107
0.15186187 0.89962066 0.00029327
0.15316274 0.89795545 0.00029563
0.15444883 0.89629810 0.00029834
0.15574970 0.89464730 0.00030035
0.15703579 0.89298825 0.00030144
0.15833666 0.89132416 0.00030183
0.15963753 0.88966891 0.00030158
0.16092362 0.88802771 0.00030067
0.16222449 0.88636699 0.00029898
0.16351058 0.88463237 0.00029892
0.16481145 0.88282785 0.00030243
0.16611232 0.88098931 0.00031174
0.16739841 0.87914611 0.00032639
0.16869928 0.87731774 0.00033977
0.16998537 0.87550678 0.00035001
0.17128624 0.87371191 0.00035777
0.17257232 0.87193070 0.00036289
0.17387319 0.87015962 0.00036615
0.17517407 0.86839494 0.00036789
0.17646015 0.86663238 0.00036845
0.17776102 0.86486791 0.00036800
0.17904711 0.86309878 0.00036666
0.18034798 0.86132194 0.00036466
0.18163407 0.85953455 0.00036224
0.18293494 0.85773048 0.00036000
0.18422103 0.85589835 0.00035927
0.18552190 0.85403129 0.00035997
0.18680799 0.85213458 0.00036198
0.18810886 0.85023103 0.00036463
0.18939495 0.84834313 0.00036440
0.19069582 0.84647144 0.00035991
0.19199669 0.84458011 0.00035400
0.19328278 0.84261196 0.00035089
0.19458365 0.84056697 0.00035273
0.19586974 0.83847821 0.00036070
0.19717061 0.83636317 0.00037323
0.19845669 0.83423189 0.00038523
0.19975757 0.83207722 0.00039582
0.20104365 0.82989880 0.00040500
0.20234452 0.82771427 0.00041075
0.20363061 0.82553772 0.00041092
0.20493148 0.82337879 0.00040527
0.20621757 0.82121049 0.00039768
0.20750366 0.81897559 0.00039324
0.20880453 0.81666054 0.00039412
0.21009062 0.81428662 0.00040073
0.21139149 0.81188146 0.00041195
0.21267758 0.80946335 0.00042296
0.21397845 0.80702602 0.00043179
0.21526454 0.80455570 0.00043982
0.21656541 0.80204470 0.00044827
0.21785149 0.79949002 0.00045842
0.21915236 0.79689504 0.00047040
0.22043845 0.79426712 0.00048369
0.22173932 0.79161538 0.00049693
0.22302541 0.78894695 0.00050938
0.22432628 0.78626470 0.00052089
0.22561237 0.78356108 0.00053239
