# y/t    d_mean   d_std
0.00000000 0.65061781 0.00079548
0.00502513 0.64837986 0.00079823
0.01005025 0.64706893 0.00079958
0.01507538 0.64685368 0.00079601
0.02010050 0.64663842 0.00079251
0.02512563 0.64643147 0.00078787
0.03015075 0.64623165 0.00078331
0.03517588 0.64603182 0.00077882
0.04020101 0.64584245 0.00077346
0.04522613 0.64565781 0.00076783
0.05025126 0.64547465 0.00076216
0.05527638 0.64530018 0.00075598
0.06030151 0.64512894 0.00074973
0.06532663 0.64496166 0.00074330
0.07035176 0.64480127 0.00073657
0.07537688 0.64464459 0.00073012
0.08040201 0.64449567 0.00072328
0.08542714 0.64435219 0.00071642
0.09045226 0.64421134 0.00071003
0.09547739 0.64408195 0.00070324
0.10050251 0.64395547 0.00069681
0.10552764 0.64383327 0.00069066
0.11055276 0.64372336 0.00068362
0.11557789 0.64361559 0.00067730
0.12060302 0.64351615 0.00067102
0.12562814 0.64342599 0.00066438
0.13065327 0.64333883 0.00065808
0.13567839 0.64326488 0.00065137
0.14070352 0.64319657 0.00064466
0.14572864 0.64313123 0.00063828
0.15075377 0.64308401 0.00063101
0.15577889 0.64303888 0.00062404
0.16080402 0.64300193 0.00061715
0.16582915 0.64297848 0.00061001
0.17085427 0.64295862 0.00060238
0.17587940 0.64295310 0.00059467
0.18090452 0.64295685 0.00058693
0.18592965 0.64296294 0.00057926
0.19095477 0.64299215 0.00057075
0.19597990 0.64302501 0.00056215
0.20100503 0.64306621 0.00055350
0.20603015 0.64312626 0.00054433
0.21105528 0.64318824 0.00053497
0.21608040 0.64326758 0.00052528
0.22110553 0.64335900 0.00051515
0.22613065 0.64345066 0.00050523
0.23115578 0.64357113 0.00049404
0.23618090 0.64369312 0.00048331
0.24120603 0.64382538 0.00047230
0.24623116 0.64397825 0.00046043
0.25125628 0.64413112 0.00044887
0.25628141 0.64430643 0.00043631
0.26130653 0.64449032 0.00042386
0.26633166 0.64467795 0.00041176
0.27135678 0.64489360 0.00039847
0.27638191 0.64510944 0.00038568
0.28140704 0.64534057 0.00037261
0.28643216 0.64558781 0.00035958
0.29145729 0.64583566 0.00034745
0.29648241 0.64610982 0.00033480
0.30150754 0.64638839 0.00032286
0.30653266 0.64667468 0.00031161
0.31155779 0.64698347 0.00030064
0.31658291 0.64729198 0.00029139
0.32160804 0.64761990 0.00028264
0.32663317 0.64795732 0.00027602
0.33165829 0.64829644 0.00027159
0.33668342 0.64866105 0.00026836
0.34170854 0.64902566 0.00026776
0.34673367 0.64940203 0.00026963
0.35175879 0.64979229 0.00027413
0.35678392 0.65018057 0.00028122
0.36180905 0.65059327 0.00029159
0.36683417 0.65100207 0.00030227
0.37185930 0.65141978 0.00031547
0.37688442 0.65182857 0.00031841
0.38190955 0.65222907 0.00031745
0.38693467 0.65257130 0.00029377
0.39195980 0.65288203 0.00026791
0.39698492 0.65302143 0.00030363
0.40201005 0.65311492 0.00041977
0.40703518 0.65297675 0.00065983
0.41206030 0.65277340 0.00094218
0.41708543 0.65243626 0.00118970
0.42211055 0.65204282 0.00143934
0.42713568 0.65171313 0.00150857
0.43216080 0.65140309 0.00152580
0.43718593 0.65126217 0.00136901
0.44221106 0.65116865 0.00122964
0.44723618 0.65130378 0.00114079
0.45226131 0.65145425 0.00116853
0.45728643 0.65187387 0.00124447
0.46231156 0.65227850 0.00135759
0.46733668 0.65289057 0.00140757
0.47236181 0.65350789 0.00145451
0.47738693 0.65421565 0.00145624
0.48241206 0.65493958 0.00144447
0.48743719 0.65568870 0.00140705
0.49246231 0.65644085 0.00135718
0.49748744 0.65718562 0.00129608
0.50251256 0.65790304 0.00122606
0.50753769 0.65860147 0.00115585
0.51256281 0.65923248 0.00108429
0.51758794 0.65984774 0.00102136
0.52261307 0.66035235 0.00096496
0.52763819 0.66083084 0.00091898
