# s/c   M_is_mean    M_is_std
0.00000000 0.01937153 0.00192122
0.00130087 0.02926530 0.00113266
0.00260174 0.03684197 0.00079536
0.00390261 0.04332993 0.00059878
0.00520348 0.04914763 0.00046988
0.00650435 0.05449652 0.00038041
0.00780522 0.05949119 0.00031663
0.00910609 0.06420393 0.00027083
0.01040697 0.06868371 0.00023826
0.01170784 0.07296551 0.00021572
0.01300871 0.07707542 0.00020092
0.01430958 0.08103355 0.00019211
0.01561045 0.08485586 0.00018789
0.01691132 0.08855537 0.00018716
0.01821219 0.09214290 0.00018904
0.01951306 0.09562764 0.00019283
0.02081393 0.09901751 0.00019799
0.02211480 0.10231947 0.00020413
0.02341567 0.10553970 0.00021090
0.02470176 0.10868377 0.00021807
0.02600263 0.11175674 0.00022544
0.02730350 0.11476326 0.00023284
0.02860437 0.11770766 0.00024016
0.02990524 0.12059396 0.00024728
0.03120611 0.12342596 0.00025414
0.03250698 0.12620725 0.00026066
0.03380786 0.12894123 0.00026679
0.03510873 0.13163117 0.00027248
0.03640960 0.13428018 0.00027771
0.03771047 0.13689129 0.00028246
0.03901134 0.13946736 0.00028670
0.04029743 0.14201122 0.00029042
0.04159830 0.14452556 0.00029362
0.04289917 0.14701300 0.00029630
0.04420004 0.14947610 0.00029847
0.04550091 0.15191732 0.00030013
0.04680178 0.15433907 0.00030129
0.04810265 0.15674368 0.00030198
0.04940352 0.15913341 0.00030220
0.05068961 0.16151046 0.00030198
0.05199048 0.16387699 0.00030134
0.05329135 0.16623505 0.00030030
0.05459222 0.16858667 0.00029890
0.05589309 0.17093379 0.00029716
0.05719396 0.17327831 0.00029511
0.05849483 0.17562204 0.00029278
0.05978092 0.17796676 0.00029020
0.06108179 0.18031417 0.00028741
0.06238266 0.18266591 0.00028443
0.06368353 0.18502354 0.00028130
0.06498440 0.18738859 0.00027805
0.06628528 0.18976250 0.00027472
0.06757136 0.19214667 0.00027134
0.06887223 0.19454240 0.00026794
0.07017310 0.19695096 0.00026456
0.07147398 0.19937354 0.00026123
0.07277485 0.20181127 0.00025798
0.07407572 0.20426522 0.00025484
0.07536180 0.20673638 0.00025184
0.07666268 0.20922570 0.00024902
0.07796355 0.21173405 0.00024639
0.07926442 0.21426225 0.00024399
0.08056529 0.21681105 0.00024184
0.08185138 0.21938114 0.00023996
0.08315225 0.22197315 0.00023838
0.08445312 0.22458765 0.00023711
0.08575399 0.22722516 0.00023618
0.08704008 0.22988613 0.00023559
0.08834095 0.23257096 0.00023536
0.08964182 0.23528000 0.00023550
0.09094269 0.23801355 0.00023602
0.09224356 0.24077183 0.00023692
0.09352965 0.24355505 0.00023822
0.09483052 0.24636333 0.00023990
0.09613139 0.24919678 0.00024197
0.09743226 0.25205544 0.00024442
0.09871835 0.25493930 0.00024727
0.10001922 0.25784834 0.00025048
0.10132009 0.26078245 0.00025408
0.10260618 0.26374153 0.00025803
0.10390705 0.26672540 0.00026234
0.10520792 0.26973387 0.00026700
0.10650879 0.27276670 0.00027200
0.10779488 0.27582363 0.00027732
0.10909575 0.27890436 0.00028296
0.11039662 0.28200855 0.00028890
0.11169749 0.28513585 0.00029514
0.11298358 0.28828587 0.00030166
0.11428445 0.29145820 0.00030844
0.11558532 0.29465241 0.00031548
0.11687141 0.29786803 0.00032277
0.11817228 0.30110459 0.00033028
0.11947315 0.30436159 0.00033801
0.12075924 0.30763851 0.00034595
0.12206011 0.31093482 0.00035407
0.12336098 0.31424997 0.00036237
0.12466185 0.31758339 0.00037083
0.12594794 0.32093451 0.00037943
0.12724881 0.32430275 0.00038817
0.12854968 0.32768750 0.00039703
0.12983577 0.33290569 0.00042049
0.13113664 0.33650086 0.00043763
0.13243751 0.34007652 0.00045224
0.13372359 0.34364622 0.00046362
0.13502447 0.34721773 0.00047267
0.13632534 0.35078681 0.00048052
0.13761142 0.35434858 0.00048716
0.13891229 0.35790723 0.00049344
0.14019838 0.36149309 0.00050079
0.14149925 0.36515450 0.00050935
0.14280012 0.36891093 0.00051735
0.14408621 0.37271456 0.00052727
0.14538708 0.37647124 0.00054639
0.14668795 0.38012760 0.00056631
0.14797404 0.38368448 0.00057910
0.14927491 0.38716924 0.00058677
0.15056100 0.39063265 0.00058953
0.15186187 0.39410649 0.00058867
0.15316274 0.39757194 0.00058790
0.15444883 0.40099574 0.00058959
0.15574970 0.40438408 0.00059032
0.15703579 0.40777272 0.00058776
0.15833666 0.41115302 0.00058323
0.15963753 0.41448991 0.00057888
0.16092362 0.41777336 0.00057631
0.16222449 0.42108524 0.00057110
0.16351058 0.42454503 0.00056040
0.16481145 0.42813975 0.00055092
0.16611232 0.43178248 0.00055359
0.16739841 0.43540243 0.00057176
0.16869928 0.43896104 0.00059295
0.16998537 0.44245698 0.00061012
0.17128624 0.44589794 0.00062357
0.17257232 0.44929350 0.00063285
0.17387319 0.45265406 0.00063888
0.17517407 0.45599009 0.00064216
0.17646015 0.45931120 0.00064315
0.17776102 0.46262481 0.00064228
0.17904711 0.46593403 0.00064020
0.18034798 0.46924266 0.00063704
0.18163407 0.47255447 0.00063345
0.18293494 0.47588199 0.00062992
0.18422103 0.47925151 0.00062568
0.18552190 0.48267844 0.00061932
0.18680799 0.48615104 0.00061197
0.18810886 0.48961885 0.00060942
0.18939495 0.49303094 0.00061143
0.19069582 0.49638759 0.00061440
0.19199669 0.49976949 0.00061435
0.19328278 0.50329470 0.00060393
0.19458365 0.50696008 0.00058891
0.19586974 0.51069217 0.00058403
0.19717061 0.51445132 0.00059326
0.19845669 0.51821921 0.00060813
0.19975757 0.52201293 0.00062129
0.20104365 0.52583371 0.00063250
0.20234452 0.52964351 0.00064321
0.20363061 0.53341443 0.00065278
0.20493148 0.53712808 0.00066232
0.20621757 0.54084027 0.00067108
0.20750366 0.54466779 0.00067234
0.20880453 0.54863343 0.00066836
0.21009062 0.55269102 0.00066788
0.21139149 0.55678751 0.00067816
0.21267758 0.56089054 0.00069565
0.21397845 0.56501265 0.00071332
0.21526454 0.56917617 0.00073015
0.21656541 0.57339333 0.00074599
0.21785149 0.57767018 0.00076119
0.21915236 0.58200116 0.00077719
0.22043845 0.58637249 0.00079472
0.22173932 0.59076613 0.00081375
0.22302541 0.59516919 0.00083401
0.22432628 0.59957766 0.00085522
0.22561237 0.60400647 0.00087677
0.22689846 0.60848601 0.00089670
0.22819933 0.61302279 0.00091574
0.22948542 0.61760342 0.00093628
0.23078629 0.62221123 0.00095964
0.23207238 0.62682700 0.00098611
0.23337325 0.63143209 0.00101465
0.23465933 0.63600638 0.00104337
0.23594542 0.64053306 0.00107135
0.23724629 0.64500690 0.00109830
0.23853238 0.64943865 0.00112322
0.23983325 0.65384790 0.00114601
0.24111934 0.65825208 0.00116736
0.24240543 0.66265794 0.00118767
0.24370630 0.66705673 0.00120774
0.24499239 0.67143270 0.00122780
0.24629326 0.67577661 0.00124752
0.24757935 0.68008146 0.00126725
0.24886543 0.68433680 0.00128677
0.25016630 0.68853846 0.00130592
0.25145239 0.69268351 0.00132467
0.25275326 0.69677067 0.00134265
0.25403935 0.70080884 0.00135869
0.25532544 0.70480449 0.00137243
0.25662631 0.70875858 0.00138421
0.25791240 0.71266691 0.00139471
0.25919849 0.71651773 0.00140576
0.26049936 0.72029842 0.00141798
0.26178545 0.72399953 0.00143030
0.26307153 0.72762024 0.00144221
0.26437240 0.73116703 0.00145391
0.26565849 0.73466959 0.00146338
0.26695936 0.73817773 0.00146845
0.26824545 0.74170676 0.00146844
0.26953154 0.74523156 0.00146827
0.27083241 0.74870045 0.00147441
0.27211850 0.75205122 0.00148495
0.27340459 0.75526164 0.00149814
0.27470546 0.75834880 0.00151149
0.27599154 0.76135913 0.00151890
0.27727763 0.76434372 0.00152037
0.27857850 0.76731686 0.00151679
0.27986459 0.77026922 0.00151127
0.28115068 0.77317804 0.00151046
0.28243677 0.77598976 0.00151312
0.28373764 0.77865009 0.00152043
0.28502373 0.78117446 0.00153044
0.28630981 0.78361625 0.00153420
0.28761068 0.78603194 0.00152791
0.28889677 0.78843569 0.00151541
0.29018286 0.79076633 0.00150616
0.29148373 0.79295910 0.00150178
0.29276982 0.79499918 0.00149811
0.29405591 0.79690242 0.00149325
0.29534200 0.79870057 0.00148469
0.29664287 0.80043554 0.00147019
0.29792895 0.80212070 0.00145107
0.29921504 0.80373829 0.00142973
0.30051591 0.80525455 0.00140868
0.30180200 0.80663483 0.00138897
0.30308809 0.80787337 0.00136952
0.30437418 0.80899806 0.00134763
0.30567505 0.81005351 0.00132177
0.30696114 0.81108469 0.00129281
0.30824722 0.81210591 0.00126224
0.30953331 0.81309965 0.00123169
0.31083418 0.81403074 0.00120198
0.31212027 0.81487245 0.00117355
0.31340636 0.81562231 0.00114611
0.31469245 0.81628414 0.00111757
0.31599332 0.81685260 0.00108860
0.31727941 0.81731572 0.00105972
0.31856549 0.81767825 0.00102944
0.31985158 0.81796848 0.00099665
0.32115245 0.81821913 0.00096211
0.32243854 0.81846450 0.00092638
0.32372463 0.81874157 0.00088646
0.32501072 0.81906381 0.00084298
0.32629681 0.81942190 0.00079857
0.32759768 0.81979825 0.00075666
0.32888376 0.82016835 0.00072134
0.33016985 0.82050772 0.00069135
0.33145594 0.82080550 0.00066440
0.33275681 0.82106106 0.00063937
0.33404290 0.82128369 0.00061339
0.33532899 0.82149141 0.00058419
0.33661508 0.82169347 0.00055188
0.33790116 0.82189173 0.00051751
0.33918725 0.82208785 0.00048337
0.34048812 0.82228861 0.00045033
0.34177421 0.82250336 0.00041869
0.34306030 0.82274254 0.00038870
0.34434639 0.82301363 0.00035993
0.34563247 0.82331729 0.00033196
0.34693335 0.82364883 0.00030367
0.34821943 0.82398803 0.00027686
0.34950552 0.82431955 0.00025200
0.35079161 0.82463990 0.00022947
0.35207770 0.82493622 0.00021040
0.35336379 0.82520368 0.00019055
0.35466466 0.82545833 0.00016792
0.35595074 0.82572607 0.00014485
0.35723683 0.82602841 0.00012593
0.35852292 0.82636762 0.00011730
0.35980901 0.82673532 0.00012286
0.36109510 0.82712957 0.00014109
0.36238118 0.82755021 0.00016846
0.36368206 0.82798537 0.00020022
0.36496814 0.82841061 0.00022895
0.36625423 0.82880345 0.00025070
0.36754032 0.82915925 0.00026605
0.36882641 0.82949555 0.00028033
0.37011250 0.82984393 0.00030160
0.37139858 0.83022552 0.00033398
0.37269945 0.83063165 0.00037606
0.37398554 0.83104425 0.00042258
0.37527163 0.83145668 0.00046939
0.37655772 0.83187148 0.00051278
0.37784381 0.83229928 0.00054770
0.37912989 0.83275598 0.00057408
0.38041598 0.83323822 0.00059355
0.38170207 0.83371404 0.00060580
0.38298816 0.83415421 0.00061331
0.38428903 0.83455650 0.00062151
0.38557512 0.83493744 0.00063551
0.38686121 0.83531625 0.00065795
0.38814729 0.83570885 0.00068767
0.38943338 0.83612792 0.00072272
0.39071947 0.83657864 0.00076119
0.39200556 0.83705642 0.00080056
0.39329165 0.83755717 0.00083953
0.39457773 0.83808536 0.00087831
0.39586382 0.83864863 0.00091647
0.39714991 0.83925035 0.00095466
0.39843600 0.83986979 0.00099235
0.39973687 0.84045448 0.00102432
0.40102296 0.84095109 0.00104535
0.40230905 0.84134965 0.00105701
0.40359513 0.84169885 0.00107322
0.40488122 0.84205368 0.00110121
0.40616731 0.84244075 0.00113787
0.40745340 0.84286084 0.00117979
0.40873949 0.84328006 0.00121912
0.41002557 0.84366292 0.00125019
0.41131166 0.84401478 0.00127620
0.41259775 0.84436764 0.00130321
0.41388384 0.84473870 0.00133204
0.41516993 0.84512272 0.00135989
0.41645601 0.84555179 0.00139022
0.41774210 0.84609554 0.00143248
0.41902819 0.84680539 0.00149002
0.42031428 0.84763475 0.00155228
0.42160037 0.84845907 0.00160195
0.42288645 0.84922301 0.00163322
0.42417254 0.84993717 0.00165458
0.42545863 0.85062642 0.00167733
0.42674472 0.85130993 0.00170289
0.42803081 0.85198772 0.00172731
0.42931690 0.85266237 0.00175030
0.43060298 0.85334630 0.00177458
0.43188907 0.85405516 0.00180418
0.43317516 0.85479607 0.00183958
0.43446125 0.85556756 0.00187871
0.43574734 0.85636707 0.00192009
0.43703342 0.85719386 0.00196334
0.43831951 0.85804341 0.00200603
0.43960560 0.85891198 0.00204770
0.44089169 0.85978701 0.00208701
0.44217778 0.86064163 0.00211920
0.44346386 0.86145623 0.00214174
0.44474995 0.86223694 0.00215721
0.44603604 0.86303601 0.00218042
0.44732213 0.86392285 0.00222474
0.44860822 0.86493744 0.00229151
0.44989430 0.86603916 0.00236919
0.45118039 0.86710835 0.00243184
0.45246648 0.86809346 0.00247037
0.45375257 0.86901244 0.00249624
0.45503866 0.86987453 0.00251820
0.45632474 0.87067656 0.00253445
0.45761083 0.87138743 0.00253432
0.45889692 0.87199248 0.00251523
0.46018301 0.87253663 0.00249315
0.46146910 0.87308955 0.00248559
0.46275519 0.87372855 0.00250330
0.46404127 0.87445706 0.00253991
0.46532736 0.87517921 0.00257115
0.46661345 0.87584170 0.00258771
0.46789954 0.87645188 0.00259528
0.46917084 0.87704830 0.00260806
0.47045693 0.87767696 0.00263684
0.47174302 0.87834716 0.00267858
0.47302911 0.87904192 0.00272715
0.47431520 0.87973535 0.00277392
0.47560128 0.88039941 0.00281045
0.47688737 0.88102155 0.00283586
0.47817346 0.88160732 0.00285342
0.47945955 0.88217763 0.00286955
0.48074564 0.88275819 0.00289060
0.48203172 0.88337146 0.00292066
0.48331781 0.88401858 0.00295950
0.48460390 0.88466955 0.00299823
0.48587521 0.88529900 0.00303075
0.48716129 0.88589614 0.00305541
0.48844738 0.88646104 0.00307348
0.48973347 0.88700348 0.00308928
0.49101956 0.88753405 0.00310659
0.49230565 0.88806245 0.00312741
0.49359173 0.88859675 0.00315238
0.49487782 0.88914372 0.00318219
0.49616391 0.88970547 0.00321608
0.49743522 0.89027989 0.00325278
0.49872130 0.89086076 0.00329059
0.50000739 0.89143751 0.00332666
0.50129348 0.89199983 0.00335926
0.50257957 0.89253990 0.00338673
0.50386566 0.89305206 0.00340824
0.50515174 0.89353917 0.00342589
0.50643783 0.89401628 0.00344418
0.50770914 0.89449573 0.00346642
0.50899523 0.89498245 0.00349334
0.51028131 0.89547056 0.00352243
0.51156740 0.89594088 0.00354777
0.51285349 0.89637791 0.00356585
0.51413958 0.89677410 0.00357586
0.51542567 0.89713168 0.00357962
0.51669697 0.89746715 0.00358286
0.51798306 0.89780545 0.00359269
0.51926915 0.89817291 0.00361349
0.52055524 0.89858332 0.00364600
0.52184132 0.89903704 0.00368842
0.52312741 0.89950925 0.00373257
0.52439872 0.89994837 0.00376661
0.52568480 0.90032212 0.00378101
0.52697089 0.90062245 0.00377537
0.52825698 0.90086724 0.00376085
0.52954307 0.90111032 0.00375138
0.53082916 0.90139429 0.00375749
0.53210046 0.90173173 0.00377886
0.53338655 0.90209507 0.00380291
0.53467264 0.90243073 0.00381753
0.53595873 0.90271585 0.00381678
0.53724481 0.90296016 0.00380399
0.53853090 0.90319945 0.00379433
0.53980221 0.90348208 0.00380039
0.54108830 0.90382497 0.00382202
0.54237438 0.90420894 0.00385153
0.54366047 0.90460092 0.00387916
0.54494656 0.90497491 0.00389777
0.54621787 0.90531285 0.00390301
0.54750395 0.90561913 0.00389930
0.54879004 0.90592932 0.00389819
0.55007613 0.90626835 0.00390501
0.55134744 0.90664898 0.00392110
0.55263352 0.90706714 0.00394247
0.55391961 0.90749293 0.00395921
0.55520570 0.90790014 0.00396583
0.55649179 0.90828060 0.00396152
0.55776309 0.90864570 0.00395078
0.55904918 0.90902502 0.00394418
0.56033527 0.90943953 0.00394771
0.56162136 0.90989037 0.00395990
0.56289266 0.91036552 0.00397632
0.56417875 0.91084072 0.00399082
0.56546484 0.91129733 0.00399849
0.56675093 0.91172260 0.00399694
0.56803702 0.91210656 0.00398404
0.56930832 0.91244546 0.00396012
0.57059441 0.91274657 0.00393047
0.57188050 0.91302962 0.00390118
0.57316659 0.91331549 0.00387772
0.57443789 0.91362333 0.00386250
0.57572398 0.91397157 0.00385640
0.57701007 0.91436937 0.00385848
0.57829616 0.91481631 0.00386757
0.57956746 0.91529678 0.00388092
