# y/t    WL_mean   WL_std
0.88442211 0.99968081 0.00105463
0.88944724 0.99959764 0.00096502
0.89447236 0.99950254 0.00085257
0.89949749 0.99939088 0.00069617
0.90452261 0.99924720 0.00050848
0.90954774 0.99918795 0.00043975
0.91457286 0.99914773 0.00039997
0.91959799 0.99912148 0.00039716
0.92462312 0.99910682 0.00039770
0.92964824 0.99910419 0.00043191
0.93467337 0.99907604 0.00048057
0.93969849 0.99904499 0.00053488
0.94472362 0.99900685 0.00057596
0.94974874 0.99898687 0.00061262
0.95477387 0.99899554 0.00063975
0.95979899 0.99902316 0.00065961
0.96482412 0.99905081 0.00067072
0.96984925 0.99905431 0.00066647
0.97487437 0.99904922 0.00066176
0.97989950 0.99904755 0.00065583
0.98492462 0.99905286 0.00064208
0.98994975 0.99905816 0.00062884
0.99497487 0.99906939 0.00058820
1.00000000 0.99909983 0.00043609
