# s/c   cf_mean    cf_std
0.22819933 0.10251081 0.02531715
0.22948542 0.10353789 0.02551450
0.23078629 0.10447333 0.02570724
0.23207238 0.10532532 0.02590018
0.23337325 0.10611211 0.02609764
0.23465933 0.10682033 0.02629983
0.23594542 0.10742414 0.02650773
0.23724629 0.10793127 0.02672109
0.23853238 0.10839588 0.02694013
0.23983325 0.10888944 0.02716259
0.24111934 0.10944877 0.02738265
0.24240543 0.11006764 0.02759896
0.24370630 0.11069422 0.02781298
0.24499239 0.11126091 0.02802563
0.24629326 0.11173460 0.02823957
0.24757935 0.11212044 0.02845159
0.24886543 0.11243417 0.02865950
0.25016630 0.11270754 0.02886561
0.25145239 0.11298009 0.02907438
0.25275326 0.11324628 0.02928546
0.25403935 0.11349295 0.02949872
0.25532544 0.11372109 0.02971416
0.25662631 0.11391911 0.02992663
0.25791240 0.11406591 0.03013503
0.25919849 0.11413196 0.03033051
0.26049936 0.11411180 0.03051426
0.26178545 0.11406042 0.03070021
0.26307153 0.11400188 0.03088537
0.26437240 0.11396236 0.03106815
0.26565849 0.11401402 0.03125955
0.26695936 0.11419643 0.03145729
0.26824545 0.11447691 0.03164964
0.26953154 0.11472344 0.03182661
0.27083241 0.11478629 0.03197860
0.27211850 0.11459899 0.03212032
0.27340459 0.11422491 0.03226796
0.27470546 0.11386341 0.03243339
0.27599154 0.11365030 0.03262262
0.27727763 0.11356136 0.03281534
0.27857850 0.11350317 0.03299737
0.27986459 0.11339560 0.03315914
0.28115068 0.11321537 0.03328809
0.28243677 0.11294460 0.03341024
0.28373764 0.11257418 0.03355193
0.28502373 0.11208258 0.03370176
0.28630981 0.11156070 0.03386135
0.28761068 0.11118849 0.03404279
0.28889677 0.11096042 0.03421552
0.29018286 0.11064429 0.03434451
0.29148373 0.11006935 0.03445535
0.29276982 0.10929790 0.03456864
0.29405591 0.10848219 0.03469016
0.29534200 0.10776713 0.03482542
0.29664287 0.10720540 0.03496524
0.29792895 0.10673114 0.03509905
0.29921504 0.10622673 0.03522025
0.30051591 0.10558498 0.03532374
0.30180200 0.10477682 0.03541539
0.30308809 0.10386230 0.03550703
0.30437418 0.10295748 0.03560213
0.30567505 0.10217279 0.03570132
0.30696114 0.10156047 0.03579518
0.30824722 0.10108705 0.03587525
0.30953331 0.10066757 0.03594549
0.31083418 0.10018532 0.03600959
0.31212027 0.09954173 0.03606681
0.31340636 0.09875269 0.03611354
0.31469245 0.09792194 0.03615724
0.31599332 0.09710597 0.03620262
0.31727941 0.09625828 0.03624470
0.31856549 0.09538192 0.03629190
0.31985158 0.09456058 0.03634364
0.32115245 0.09388310 0.03639705
0.32243854 0.09338569 0.03644701
0.32372463 0.09306771 0.03649453
0.32501072 0.09287868 0.03654066
0.32629681 0.09272611 0.03657521
0.32759768 0.09252747 0.03659235
0.32888376 0.09224692 0.03659345
0.33016985 0.09189286 0.03659081
0.33145594 0.09147456 0.03658628
0.33275681 0.09104090 0.03658681
0.33404290 0.09066196 0.03660554
0.33532899 0.09035393 0.03663810
0.33661508 0.09006583 0.03667015
0.33790116 0.08976154 0.03669550
0.33918725 0.08944424 0.03671175
0.34048812 0.08914636 0.03671846
0.34177421 0.08890744 0.03672032
0.34306030 0.08875362 0.03671857
0.34434639 0.08870053 0.03671784
0.34563247 0.08874224 0.03672129
0.34693335 0.08883165 0.03673518
0.34821943 0.08888072 0.03675370
0.34950552 0.08882634 0.03677146
0.35079161 0.08866019 0.03678752
0.35207770 0.08839583 0.03679052
0.35336379 0.08808145 0.03678720
0.35466466 0.08779466 0.03678486
0.35595074 0.08761531 0.03678671
0.35723683 0.08760005 0.03679991
0.35852292 0.08768493 0.03681375
0.35980901 0.08776144 0.03682161
0.36109510 0.08781655 0.03683067
0.36238118 0.08786937 0.03683993
0.36368206 0.08790663 0.03684755
0.36496814 0.08787303 0.03684836
0.36625423 0.08773668 0.03684321
0.36754032 0.08753124 0.03684032
0.36882641 0.08734403 0.03684359
0.37011250 0.08727953 0.03686359
0.37139858 0.08735237 0.03689620
0.37269945 0.08744543 0.03692130
0.37398554 0.08746887 0.03693633
0.37527163 0.08742036 0.03694391
0.37655772 0.08732260 0.03694124
0.37784381 0.08721614 0.03692799
0.37912989 0.08716061 0.03691003
0.38041598 0.08719025 0.03689607
0.38170207 0.08721715 0.03688377
0.38298816 0.08714561 0.03687772
0.38428903 0.08701354 0.03689105
0.38557512 0.08688829 0.03692056
0.38686121 0.08679204 0.03695523
0.38814729 0.08673608 0.03698812
0.38943338 0.08673613 0.03701638
0.39071947 0.08679644 0.03703900
0.39200556 0.08688424 0.03705361
0.39329165 0.08696914 0.03706127
0.39457773 0.08705803 0.03706594
0.39586382 0.08717345 0.03706771
0.39714991 0.08732854 0.03706718
0.39843600 0.08749714 0.03706817
0.39973687 0.08758432 0.03707325
0.40102296 0.08744105 0.03707339
0.40230905 0.08707812 0.03707522
0.40359513 0.08667958 0.03709900
0.40488122 0.08643036 0.03714810
0.40616731 0.08635830 0.03719907
0.40745340 0.08637722 0.03723318
0.40873949 0.08638264 0.03724875
0.41002557 0.08626776 0.03724775
0.41131166 0.08604508 0.03723937
0.41259775 0.08587377 0.03724473
0.41388384 0.08585097 0.03725923
0.41516993 0.08589676 0.03726405
0.41645601 0.08601605 0.03726630
0.41774210 0.08632289 0.03727545
0.41902819 0.08693573 0.03729156
0.42031428 0.08770300 0.03729959
0.42160037 0.08825474 0.03727588
0.42288645 0.08840748 0.03722987
0.42417254 0.08831928 0.03720411
0.42545863 0.08823391 0.03720752
0.42674472 0.08819687 0.03722639
0.42803081 0.08818243 0.03724201
0.42931690 0.08820196 0.03725505
0.43060298 0.08829698 0.03727804
0.43188907 0.08846698 0.03730562
0.43317516 0.08867843 0.03733060
0.43446125 0.08890701 0.03735112
0.43574734 0.08913575 0.03736568
0.43703342 0.08936131 0.03737585
0.43831951 0.08958064 0.03738146
0.43960560 0.08979420 0.03738315
0.44089169 0.08999070 0.03738177
0.44217778 0.09015622 0.03738140
0.44346386 0.09026741 0.03738514
0.44474995 0.09030462 0.03738268
0.44603604 0.09034822 0.03738259
0.44732213 0.09057287 0.03740833
0.44860822 0.09110216 0.03745444
0.44989430 0.09177036 0.03749763
0.45118039 0.09224018 0.03750226
0.45246648 0.09231942 0.03746843
0.45375257 0.09215365 0.03744075
0.45503866 0.09195755 0.03744339
0.45632474 0.09173733 0.03746601
0.45761083 0.09140495 0.03747519
0.45889692 0.09094565 0.03747199
0.46018301 0.09048153 0.03748475
0.46146910 0.09017839 0.03752482
0.46275519 0.09021009 0.03760031
0.46404127 0.09051215 0.03767662
0.46532736 0.09077050 0.03772296
0.46661345 0.09076597 0.03773777
0.46789954 0.09056075 0.03773362
0.46917084 0.09037006 0.03774949
0.47045693 0.09034277 0.03780412
0.47174302 0.09045659 0.03787080
0.47302911 0.09058573 0.03791750
0.47431520 0.09063655 0.03794142
0.47560128 0.09057459 0.03794656
0.47688737 0.09041935 0.03794508
0.47817346 0.09022541 0.03794802
0.47945955 0.09005020 0.03795894
0.48074564 0.08994879 0.03797904
0.48203172 0.08997041 0.03801213
0.48331781 0.09008503 0.03804861
0.48460390 0.09020929 0.03807947
0.48587521 0.09025222 0.03809614
0.48716129 0.09018077 0.03809775
0.48844738 0.09004077 0.03809645
0.48973347 0.08988491 0.03810233
0.49101956 0.08974880 0.03811746
0.49230565 0.08964261 0.03813749
0.49359173 0.08957292 0.03816088
0.49487782 0.08954350 0.03818557
0.49616391 0.08954938 0.03820963
0.49743522 0.08957649 0.03823140
0.49872130 0.08960168 0.03824812
0.50000739 0.08960472 0.03826023
0.50129348 0.08956910 0.03826813
0.50257957 0.08948382 0.03827108
0.50386566 0.08934497 0.03826982
0.50515174 0.08917176 0.03826668
0.50643783 0.08900093 0.03826898
0.50770914 0.08887043 0.03828059
0.50899523 0.08879564 0.03830076
0.51028131 0.08874204 0.03832000
0.51156740 0.08866011 0.03833117
0.51285349 0.08851828 0.03833308
0.51413958 0.08831829 0.03832946
0.51542567 0.08808072 0.03832535
0.51669697 0.08783296 0.03832028
0.51798306 0.08763245 0.03832633
0.51926915 0.08753873 0.03834848
0.52055524 0.08754700 0.03837296
0.52184132 0.08764345 0.03839873
0.52312741 0.08776287 0.03842403
0.52439872 0.08777256 0.03842781
0.52568480 0.08758436 0.03840048
0.52697089 0.08721151 0.03835302
0.52825698 0.08677805 0.03830760
0.52954307 0.08642108 0.03829125
0.53082916 0.08624556 0.03830775
0.53210046 0.08628193 0.03834641
0.53338655 0.08638343 0.03838046
0.53467264 0.08637849 0.03838163
0.53595873 0.08621536 0.03835650
0.53724481 0.08594634 0.03831852
0.53853090 0.08568959 0.03828530
0.53980221 0.08560032 0.03829270
0.54108830 0.08571562 0.03832783
0.54237438 0.08588105 0.03834329
0.54366047 0.08601455 0.03834732
0.54494656 0.08606463 0.03833755
0.54621787 0.08595653 0.03829538
0.54750395 0.08576603 0.03824653
0.54879004 0.08560293 0.03821713
0.55007613 0.08552921 0.03820433
0.55134744 0.08557670 0.03820412
0.55263352 0.08570519 0.03820722
0.55391961 0.08581664 0.03819599
0.55520570 0.08583086 0.03816467
0.55649179 0.08574994 0.03811940
0.55776309 0.08563477 0.03807364
0.55904918 0.08557874 0.03804552
0.56033527 0.08563537 0.03803797
0.56162136 0.08578244 0.03803727
0.56289266 0.08595222 0.03803358
0.56417875 0.08608159 0.03801890
0.56546484 0.08612795 0.03799141
0.56675093 0.08608328 0.03795633
0.56803702 0.08596010 0.03791686
0.56930832 0.08576264 0.03787315
0.57059441 0.08552495 0.03783042
0.57188050 0.08530281 0.03780149
