# y/t    TKE_mean   TKE_std
0.88442211 0.00152455 0.00163214
0.88944724 0.00149956 0.00159683
0.89447236 0.00147636 0.00156409
0.89949749 0.00145356 0.00153193
0.90452261 0.00143195 0.00150146
0.90954774 0.00141122 0.00147224
0.91457286 0.00139095 0.00144369
0.91959799 0.00137107 0.00141573
0.92462312 0.00135661 0.00139533
0.92964824 0.00134780 0.00138282
0.93467337 0.00133156 0.00136007
0.93969849 0.00131181 0.00133240
0.94472362 0.00129172 0.00130426
0.94974874 0.00127528 0.00128123
0.95477387 0.00126125 0.00126157
0.95979899 0.00124710 0.00124173
0.96482412 0.00123374 0.00122301
0.96984925 0.00122136 0.00120565
0.97487437 0.00120892 0.00118821
0.97989950 0.00119692 0.00117136
0.98492462 0.00118588 0.00115584
0.98994975 0.00117485 0.00114032
0.99497487 0.00119170 0.00116391
1.00000000 0.00134717 0.00138193
