# y/t    d_mean   d_std
0.00000000 0.65102036 0.00026421
0.00502513 0.64869734 0.00031695
0.01005025 0.64733532 0.00035111
0.01507538 0.64710863 0.00035658
0.02010050 0.64688194 0.00036215
0.02512563 0.64666318 0.00036721
0.03015075 0.64645131 0.00037267
0.03517588 0.64623944 0.00037821
0.04020101 0.64603755 0.00038371
0.04522613 0.64584028 0.00038881
0.05025126 0.64564443 0.00039391
0.05527638 0.64545684 0.00039870
0.06030151 0.64527221 0.00040365
0.06532663 0.64509168 0.00040871
0.07035176 0.64491820 0.00041383
0.07537688 0.64474814 0.00041859
0.08040201 0.64458565 0.00042338
0.08542714 0.64442844 0.00042832
0.09045226 0.64427384 0.00043355
0.09547739 0.64413087 0.00043878
0.10050251 0.64399070 0.00044416
0.10552764 0.64385465 0.00044969
0.11055276 0.64373064 0.00045528
0.11557789 0.64360903 0.00046094
0.12060302 0.64349572 0.00046652
0.12562814 0.64339145 0.00047198
0.13065327 0.64329046 0.00047792
0.13567839 0.64320262 0.00048348
0.14070352 0.64312043 0.00048894
0.14572864 0.64304136 0.00049449
0.15075377 0.64298079 0.00049935
0.15577889 0.64292234 0.00050430
0.16080402 0.64287207 0.00050910
0.16582915 0.64283521 0.00051349
0.17085427 0.64280239 0.00051762
0.17587940 0.64278414 0.00052110
0.18090452 0.64277546 0.00052419
0.18592965 0.64276938 0.00052724
0.19095477 0.64278641 0.00052919
0.19597990 0.64280746 0.00053105
0.20100503 0.64283707 0.00053253
0.20603015 0.64288609 0.00053303
0.21105528 0.64293730 0.00053336
0.21608040 0.64300606 0.00053290
0.22110553 0.64308726 0.00053183
0.22613065 0.64316872 0.00053076
0.23115578 0.64328022 0.00052803
0.23618090 0.64339295 0.00052529
0.24120603 0.64351623 0.00052216
0.24623116 0.64366076 0.00051750
0.25125628 0.64380529 0.00051288
0.25628141 0.64397303 0.00050724
0.26130653 0.64414941 0.00050085
0.26633166 0.64432978 0.00049433
0.27135678 0.64453911 0.00048618
0.27638191 0.64474863 0.00047798
0.28140704 0.64497393 0.00046850
0.28643216 0.64521582 0.00045814
0.29145729 0.64545853 0.00044799
0.29648241 0.64572829 0.00043630
0.30150754 0.64600291 0.00042419
0.30653266 0.64628549 0.00041157
0.31155779 0.64659100 0.00039755
0.31658291 0.64689655 0.00038359
0.32160804 0.64722242 0.00036862
0.32663317 0.64755794 0.00035318
0.33165829 0.64789564 0.00033781
0.33668342 0.64825976 0.00032040
0.34170854 0.64862388 0.00030338
0.34673367 0.64900098 0.00028527
0.35175879 0.64939219 0.00026708
0.35678392 0.64978081 0.00024822
0.36180905 0.65019521 0.00022869
0.36683417 0.65059911 0.00021242
0.37185930 0.65101182 0.00019588
0.37688442 0.65140004 0.00019353
0.38190955 0.65177388 0.00019899
0.38693467 0.65208782 0.00024745
0.39195980 0.65236822 0.00032094
0.39698492 0.65253153 0.00044567
0.40201005 0.65266153 0.00059019
0.40703518 0.65271998 0.00070424
0.41206030 0.65275595 0.00082975
0.41708543 0.65289467 0.00082065
0.42211055 0.65306615 0.00076711
0.42713568 0.65348638 0.00061655
0.43216080 0.65400354 0.00042167
0.43718593 0.65481137 0.00032840
0.44221106 0.65570185 0.00030487
0.44723618 0.65684931 0.00048773
0.45226131 0.65802332 0.00068657
0.45728643 0.65937864 0.00101313
0.46231156 0.66073303 0.00134145
0.46733668 0.66217613 0.00174706
0.47236181 0.66361931 0.00216001
0.47738693 0.66508457 0.00261473
0.48241206 0.66654000 0.00307781
0.48743719 0.66797375 0.00355854
0.49246231 0.66936731 0.00403540
0.49748744 0.67071732 0.00451319
0.50251256 0.67197920 0.00496565
0.50753769 0.67319242 0.00540755
0.51256281 0.67425602 0.00579828
0.51758794 0.67528201 0.00617562
0.52261307 0.67609586 0.00647378
0.52763819 0.67685954 0.00675244
0.53266332 0.67745339 0.00697635
0.53768844 0.67795304 0.00717606
0.54271357 0.67833685 0.00734701
0.54773869 0.67858813 0.00749668
0.55276382 0.67878074 0.00763562
0.55778894 0.67879564 0.00775522
0.56281407 0.67876717 0.00786668
0.56783920 0.67859250 0.00796117
0.57286432 0.67834219 0.00803492
0.57788945 0.67799901 0.00809560
0.58291457 0.67753602 0.00811019
0.58793970 0.67701773 0.00811292
0.59296482 0.67636614 0.00804890
