# y/t    Temp_mean   Temp_std
0.00000000 0.79824444 0.00116101
0.00502513 0.80126889 0.00127755
0.01005025 0.80310811 0.00134577
0.01507538 0.80356286 0.00135074
0.02010050 0.80401760 0.00135572
0.02512563 0.80449908 0.00136262
0.03015075 0.80500363 0.00136933
0.03517588 0.80550819 0.00137604
0.04020101 0.80603264 0.00138213
0.04522613 0.80657338 0.00138803
0.05025126 0.80711578 0.00139402
0.05527638 0.80766853 0.00140014
0.06030151 0.80823221 0.00140450
0.06532663 0.80879997 0.00140931
0.07035176 0.80937435 0.00141433
0.07537688 0.80995012 0.00141765
0.08040201 0.81053134 0.00142246
0.08542714 0.81111328 0.00142705
0.09045226 0.81168929 0.00142883
0.09547739 0.81226756 0.00143250
0.10050251 0.81284039 0.00143505
0.10552764 0.81340509 0.00143602
0.11055276 0.81396356 0.00143800
0.11557789 0.81451488 0.00143968
0.12060302 0.81505643 0.00144054
0.12562814 0.81559006 0.00144054
0.13065327 0.81611810 0.00144359
0.13567839 0.81663267 0.00144465
0.14070352 0.81714147 0.00144548
0.14572864 0.81764701 0.00144819
0.15075377 0.81813872 0.00144941
0.15577889 0.81862874 0.00145206
0.16080402 0.81911508 0.00145519
0.16582915 0.81959648 0.00145734
0.17085427 0.82007582 0.00146095
0.17587940 0.82055494 0.00146580
0.18090452 0.82103378 0.00147188
0.18592965 0.82151230 0.00147882
0.19095477 0.82199504 0.00148846
0.19597990 0.82247820 0.00149869
0.20100503 0.82296264 0.00151030
0.20603015 0.82345029 0.00152499
0.21105528 0.82393867 0.00154010
0.21608040 0.82443093 0.00155738
0.22110553 0.82492314 0.00157636
0.22613065 0.82541516 0.00159544
0.23115578 0.82591058 0.00161617
0.23618090 0.82640568 0.00163673
0.24120603 0.82690149 0.00165661
0.24623116 0.82739890 0.00167688
0.25125628 0.82789630 0.00169721
0.25628141 0.82839745 0.00171629
0.26130653 0.82890006 0.00173484
0.26633166 0.82940355 0.00175362
0.27135678 0.82991429 0.00176862
0.27638191 0.83042502 0.00178357
0.28140704 0.83094100 0.00179703
0.28643216 0.83146302 0.00180904
0.29145729 0.83198444 0.00182050
0.29648241 0.83251644 0.00182963
0.30150754 0.83304964 0.00183805
0.30653266 0.83358566 0.00184565
