# y/t    Temp_mean   Temp_std
0.00000000 0.79812460 0.00106061
0.00502513 0.80114390 0.00121155
0.01005025 0.80298195 0.00130140
0.01507538 0.80343703 0.00130538
0.02010050 0.80389210 0.00130936
0.02512563 0.80437281 0.00131379
0.03015075 0.80487588 0.00132066
0.03517588 0.80537895 0.00132754
0.04020101 0.80590237 0.00133341
0.04522613 0.80644059 0.00134019
0.05025126 0.80698064 0.00134682
0.05527638 0.80753179 0.00135202
0.06030151 0.80809265 0.00135722
0.06532663 0.80865744 0.00136210
0.07035176 0.80922886 0.00136610
0.07537688 0.80980307 0.00136937
0.08040201 0.81038222 0.00137376
0.08542714 0.81096200 0.00137768
0.09045226 0.81153630 0.00137873
0.09547739 0.81211290 0.00138062
0.10050251 0.81268316 0.00138193
0.10552764 0.81324451 0.00138224
0.11055276 0.81380139 0.00138253
0.11557789 0.81434917 0.00138239
0.12060302 0.81488725 0.00138145
0.12562814 0.81541879 0.00137978
0.13065327 0.81594238 0.00138064
0.13567839 0.81645376 0.00137972
0.14070352 0.81696022 0.00137900
0.14572864 0.81746447 0.00138125
0.15075377 0.81795618 0.00138127
0.15577889 0.81844693 0.00138276
0.16080402 0.81893451 0.00138522
0.16582915 0.81941707 0.00138765
0.17085427 0.81989994 0.00139159
0.17587940 0.82038239 0.00139727
0.18090452 0.82086447 0.00140387
0.18592965 0.82134634 0.00141050
0.19095477 0.82183195 0.00142142
0.19597990 0.82231815 0.00143263
0.20100503 0.82280601 0.00144546
0.20603015 0.82329701 0.00146169
0.21105528 0.82378723 0.00147776
0.21608040 0.82428014 0.00149622
0.22110553 0.82477387 0.00151645
0.22613065 0.82526754 0.00153678
0.23115578 0.82576469 0.00155912
0.23618090 0.82626163 0.00158108
0.24120603 0.82676042 0.00160402
0.24623116 0.82725952 0.00162554
0.25125628 0.82775862 0.00164710
0.25628141 0.82826091 0.00166767
0.26130653 0.82876457 0.00168793
0.26633166 0.82926776 0.00170795
0.27135678 0.82977768 0.00172491
0.27638191 0.83028716 0.00174165
0.28140704 0.83080061 0.00175618
0.28643216 0.83132110 0.00176967
0.29145729 0.83183963 0.00178299
0.29648241 0.83236834 0.00179310
0.30150754 0.83289931 0.00180297
0.30653266 0.83343407 0.00181229
0.31155779 0.83397883 0.00181927
0.31658291 0.83452310 0.00182591
0.32160804 0.83507580 0.00183031
0.32663317 0.83563242 0.00183479
0.33165829 0.83618910 0.00183981
0.33668342 0.83675524 0.00184290
0.34170854 0.83732137 0.00184602
0.34673367 0.83788863 0.00185063
0.35175879 0.83846058 0.00185319
0.35678392 0.83902701 0.00185733
0.36180905 0.83960056 0.00186085
0.36683417 0.84016967 0.00186320
0.37185930 0.84073927 0.00186536
0.37688442 0.84130660 0.00186659
0.38190955 0.84187230 0.00186746
0.38693467 0.84244634 0.00187823
0.39195980 0.84302298 0.00189358
0.39698492 0.84367676 0.00198309
0.40201005 0.84434762 0.00209433
0.40703518 0.84528495 0.00239718
0.41206030 0.84628270 0.00275603
0.41708543 0.84774691 0.00329538
0.42211055 0.84938404 0.00392176
0.42713568 0.85144462 0.00448492
0.43216080 0.85368055 0.00506641
0.43718593 0.85603814 0.00526678
0.44221106 0.85843462 0.00539585
0.44723618 0.86065555 0.00494902
0.45226131 0.86286568 0.00445832
0.45728643 0.86474964 0.00361463
0.46231156 0.86662955 0.00277292
0.46733668 0.86807712 0.00204443
0.47236181 0.86946587 0.00137457
0.47738693 0.87048948 0.00096991
0.48241206 0.87140852 0.00072605
0.48743719 0.87210571 0.00069594
0.49246231 0.87270886 0.00076079
0.49748744 0.87319944 0.00085586
0.50251256 0.87360773 0.00093940
0.50753769 0.87396280 0.00101200
0.51256281 0.87425333 0.00105340
0.51758794 0.87453005 0.00108679
0.52261307 0.87476909 0.00109143
0.52763819 0.87501460 0.00109248
0.53266332 0.87525136 0.00108357
0.53768844 0.87550025 0.00107407
0.54271357 0.87575602 0.00106392
0.54773869 0.87602754 0.00105399
0.55276382 0.87630906 0.00104555
0.55778894 0.87661217 0.00103416
0.56281407 0.87693112 0.00102515
0.56783920 0.87724990 0.00102323
0.57286432 0.87758599 0.00103321
0.57788945 0.87791154 0.00105425
0.58291457 0.87824748 0.00109791
0.58793970 0.87856954 0.00115132
0.59296482 0.87887901 0.00123660
0.59798995 0.87916778 0.00133969
0.60301508 0.87941908 0.00146787
0.60804020 0.87962313 0.00164882
0.61306533 0.87977960 0.00185244
0.61809045 0.87983427 0.00216492
0.62311558 0.87979488 0.00254674
0.62814070 0.87965068 0.00304199
0.63316583 0.87929851 0.00370297
0.63819095 0.87883406 0.00446358
0.64321608 0.87812018 0.00540815
0.64824121 0.87721670 0.00644973
0.65326633 0.87618199 0.00757195
0.65829146 0.87496193 0.00854636
0.66331658 0.87374221 0.00934692
0.66834171 0.87254762 0.00982368
0.67336683 0.87135965 0.00981937
0.67839196 0.87010670 0.00968132
0.68341709 0.86870053 0.00942692
0.68844221 0.86712206 0.00923812
0.69346734 0.86550357 0.00919448
0.69849246 0.86398818 0.00905516
0.70351759 0.86269684 0.00869761
0.70854271 0.86155319 0.00813950
0.71356784 0.86058754 0.00722061
0.71859296 0.85959859 0.00616516
0.72361809 0.85859492 0.00503854
0.72864322 0.85755427 0.00391015
0.73366834 0.85658550 0.00289928
0.73869347 0.85563850 0.00197939
0.74371859 0.85489088 0.00139399
0.74874372 0.85419386 0.00107519
0.75376884 0.85353902 0.00111207
0.75879397 0.85292569 0.00144037
0.76381910 0.85209753 0.00211871
0.76884422 0.85109733 0.00310815
0.77386935 0.84944618 0.00506678
0.77889447 0.84742354 0.00759169
0.78391960 0.84452738 0.01134452
0.78894472 0.84128565 0.01561874
0.79396985 0.83808863 0.01958745
0.79899497 0.83498589 0.02336095
0.80402010 0.83278791 0.02476320
0.80904523 0.83080618 0.02560469
0.81407035 0.82846854 0.02445955
0.81909548 0.82594216 0.02323562
0.82412060 0.82228601 0.02221691
0.82914573 0.81827725 0.02238524
0.83417085 0.81458551 0.02295233
0.83919598 0.81110415 0.02366875
0.84422111 0.80826718 0.02242776
0.84924623 0.80574956 0.01999734
0.85427136 0.80305853 0.01596603
0.85929648 0.80020925 0.01091956
0.86432161 0.79763035 0.00613219
0.86934673 0.79566993 0.00221138
0.87437186 0.79422811 0.00164004
0.87939698 0.79399695 0.00259100
0.88442211 0.79395346 0.00330942
0.88944724 0.79444647 0.00303383
0.89447236 0.79498029 0.00267074
0.89949749 0.79558119 0.00216318
0.90452261 0.79618831 0.00166692
0.90954774 0.79668660 0.00136830
0.91457286 0.79716157 0.00113974
0.91959799 0.79752340 0.00106893
0.92462312 0.79784256 0.00103788
0.92964824 0.79811202 0.00105778
0.93467337 0.79834788 0.00109432
0.93969849 0.79862161 0.00114083
0.94472362 0.79883616 0.00118706
0.94974874 0.79903891 0.00123456
0.95477387 0.79924791 0.00127090
0.95979899 0.79947396 0.00129324
0.96482412 0.79970752 0.00131397
0.96984925 0.80000814 0.00131909
0.97487437 0.80032884 0.00131959
0.97989950 0.80065100 0.00131935
0.98492462 0.80101532 0.00131391
0.98994975 0.80137999 0.00130858
0.99497487 0.80117409 0.00126687
1.00000000 0.79812460 0.00106061
