# s/c   P_w_mean    P_w_std
0.00000000 0.99995000 0.00002775
0.00130087 0.99956169 0.00002154
0.00260174 0.99916374 0.00001623
0.00390261 0.99875707 0.00001199
0.00520348 0.99834252 0.00000922
0.00650435 0.99792088 0.00000843
0.00780522 0.99749288 0.00000947
0.00910609 0.99705917 0.00001143
0.01040697 0.99662038 0.00001367
0.01170784 0.99617705 0.00001589
0.01300871 0.99572969 0.00001799
0.01430958 0.99527874 0.00001993
0.01561045 0.99482462 0.00002172
0.01691132 0.99436767 0.00002335
0.01821219 0.99390820 0.00002484
0.01951306 0.99344647 0.00002622
0.02081393 0.99298271 0.00002749
0.02211480 0.99251709 0.00002867
0.02341567 0.99204975 0.00002977
0.02470176 0.99158080 0.00003081
0.02600263 0.99111030 0.00003179
0.02730350 0.99063828 0.00003272
0.02860437 0.99016473 0.00003361
0.02990524 0.98968963 0.00003446
0.03120611 0.98921291 0.00003526
0.03250698 0.98873448 0.00003603
0.03380786 0.98825421 0.00003677
0.03510873 0.98777196 0.00003747
0.03640960 0.98728756 0.00003813
0.03771047 0.98680082 0.00003875
0.03901134 0.98631151 0.00003933
0.04029743 0.98581940 0.00003988
0.04159830 0.98532424 0.00004038
0.04289917 0.98482574 0.00004085
0.04420004 0.98432363 0.00004128
0.04550091 0.98381758 0.00004167
0.04680178 0.98330729 0.00004203
0.04810265 0.98279242 0.00004235
0.04940352 0.98227261 0.00004265
0.05068961 0.98174752 0.00004291
0.05199048 0.98121678 0.00004316
0.05329135 0.98068000 0.00004339
0.05459222 0.98013681 0.00004361
0.05589309 0.97958681 0.00004383
0.05719396 0.97902962 0.00004405
0.05849483 0.97846482 0.00004428
0.05978092 0.97789201 0.00004453
0.06108179 0.97731079 0.00004481
0.06238266 0.97672075 0.00004512
0.06368353 0.97612147 0.00004548
0.06498440 0.97551254 0.00004589
0.06628528 0.97489356 0.00004636
0.06757136 0.97426411 0.00004690
0.06887223 0.97362379 0.00004751
0.07017310 0.97297219 0.00004820
0.07147398 0.97230891 0.00004899
0.07277485 0.97163357 0.00004986
0.07407572 0.97094576 0.00005083
0.07536180 0.97024510 0.00005189
0.07666268 0.96953122 0.00005306
0.07796355 0.96880374 0.00005432
0.07926442 0.96806230 0.00005569
0.08056529 0.96730654 0.00005715
0.08185138 0.96653612 0.00005872
0.08315225 0.96575070 0.00006038
0.08445312 0.96494996 0.00006214
0.08575399 0.96413357 0.00006399
0.08704008 0.96330123 0.00006593
0.08834095 0.96245264 0.00006796
0.08964182 0.96158752 0.00007007
0.09094269 0.96070561 0.00007226
0.09224356 0.95980663 0.00007453
0.09352965 0.95889034 0.00007688
0.09483052 0.95795652 0.00007930
0.09613139 0.95700493 0.00008179
0.09743226 0.95603538 0.00008436
0.09871835 0.95504766 0.00008699
0.10001922 0.95404161 0.00008969
0.10132009 0.95301705 0.00009245
0.10260618 0.95197383 0.00009528
0.10390705 0.95091183 0.00009817
0.10520792 0.94983091 0.00010112
0.10650879 0.94873098 0.00010413
0.10779488 0.94761193 0.00010721
0.10909575 0.94647370 0.00011034
0.11039662 0.94531622 0.00011353
0.11169749 0.94413944 0.00011678
0.11298358 0.94294334 0.00012009
0.11428445 0.94172789 0.00012346
