# s/c   P_w_mean    P_w_std
0.00000000 0.99994981 0.00002922
0.00130087 0.99955301 0.00002194
0.00260174 0.99914605 0.00001558
0.00390261 0.99872990 0.00001028
0.00520348 0.99830544 0.00000661
0.00650435 0.99787349 0.00000598
0.00780522 0.99743482 0.00000807
0.00910609 0.99699013 0.00001090
0.01040697 0.99654005 0.00001368
0.01170784 0.99608518 0.00001620
0.01300871 0.99562604 0.00001843
0.01430958 0.99516311 0.00002037
0.01561045 0.99469682 0.00002204
0.01691132 0.99422753 0.00002346
0.01821219 0.99375557 0.00002466
0.01951306 0.99328122 0.00002568
0.02081393 0.99280473 0.00002653
0.02211480 0.99232627 0.00002723
0.02341567 0.99184601 0.00002782
0.02470176 0.99136405 0.00002831
0.02600263 0.99088047 0.00002871
0.02730350 0.99039530 0.00002904
0.02860437 0.98990856 0.00002932
0.02990524 0.98942020 0.00002955
0.03120611 0.98893018 0.00002974
0.03250698 0.98843839 0.00002990
0.03380786 0.98794472 0.00003003
0.03510873 0.98744902 0.00003013
0.03640960 0.98695112 0.00003021
0.03771047 0.98645081 0.00003027
0.03901134 0.98594789 0.00003030
0.04029743 0.98544211 0.00003031
0.04159830 0.98493321 0.00003030
0.04289917 0.98442090 0.00003027
0.04420004 0.98390490 0.00003021
0.04550091 0.98338488 0.00003012
0.04680178 0.98286051 0.00003002
0.04810265 0.98233146 0.00002989
0.04940352 0.98179736 0.00002975
0.05068961 0.98125786 0.00002959
0.05199048 0.98071256 0.00002941
0.05329135 0.98016109 0.00002924
0.05459222 0.97960305 0.00002906
0.05589309 0.97903804 0.00002890
0.05719396 0.97846565 0.00002875
0.05849483 0.97788546 0.00002863
0.05978092 0.97729706 0.00002855
0.06108179 0.97670003 0.00002851
0.06238266 0.97609394 0.00002854
0.06368353 0.97547838 0.00002864
0.06498440 0.97485291 0.00002882
0.06628528 0.97421712 0.00002910
0.06757136 0.97357058 0.00002947
0.06887223 0.97291288 0.00002996
0.07017310 0.97224358 0.00003055
0.07147398 0.97156230 0.00003127
0.07277485 0.97086860 0.00003210
0.07407572 0.97016209 0.00003305
0.07536180 0.96944238 0.00003411
0.07666268 0.96870907 0.00003529
0.07796355 0.96796178 0.00003657
0.07926442 0.96720013 0.00003795
0.08056529 0.96642375 0.00003942
0.08185138 0.96563229 0.00004098
0.08315225 0.96482541 0.00004262
0.08445312 0.96400275 0.00004433
0.08575399 0.96316399 0.00004611
0.08704008 0.96230882 0.00004795
0.08834095 0.96143694 0.00004984
0.08964182 0.96054803 0.00005178
0.09094269 0.95964184 0.00005376
0.09224356 0.95871809 0.00005577
0.09352965 0.95777651 0.00005782
0.09483052 0.95681688 0.00005990
0.09613139 0.95583897 0.00006201
0.09743226 0.95484256 0.00006414
0.09871835 0.95382744 0.00006629
0.10001922 0.95279344 0.00006845
0.10132009 0.95174039 0.00007064
0.10260618 0.95066813 0.00007283
0.10390705 0.94957652 0.00007504
0.10520792 0.94846543 0.00007726
0.10650879 0.94733475 0.00007950
0.10779488 0.94618440 0.00008174
0.10909575 0.94501428 0.00008400
0.11039662 0.94382434 0.00008627
0.11169749 0.94261453 0.00008854
0.11298358 0.94138481 0.00009083
0.11428445 0.94013516 0.00009314
0.11558532 0.93886559 0.00009545
0.11687141 0.93757611 0.00009778
0.11817228 0.93626674 0.00010012
0.11947315 0.93493753 0.00010248
0.12075924 0.93358853 0.00010485
0.12206011 0.93221981 0.00010724
0.12336098 0.93083147 0.00010965
0.12466185 0.92942361 0.00011207
0.12594794 0.92799632 0.00011450
0.12724881 0.92654976 0.00011696
0.12854968 0.92508405 0.00011943
0.12983577 0.92356828 0.00012191
0.13113664 0.92198622 0.00012675
0.13243751 0.92039641 0.00013010
0.13372359 0.91879644 0.00013268
0.13502447 0.91718197 0.00013490
0.13632534 0.91555538 0.00013677
0.13761142 0.91391876 0.00013796
0.13891229 0.91227037 0.00013869
0.14019838 0.91059520 0.00014024
0.14149925 0.90886882 0.00014551
0.14280012 0.90708078 0.00015435
0.14408621 0.90525430 0.00016528
0.14538708 0.90343664 0.00017590
0.14668795 0.90165599 0.00018173
0.14797404 0.89991290 0.00018227
0.14927491 0.89819426 0.00018034
0.15056100 0.89647434 0.00017803
0.15186187 0.89473687 0.00017673
0.15316274 0.89299206 0.00017632
0.15444883 0.89125814 0.00017569
0.15574970 0.88953251 0.00017402
0.15703579 0.88779646 0.00017212
0.15833666 0.88605501 0.00016972
0.15963753 0.88432770 0.00016544
0.16092362 0.88262034 0.00015890
0.16222449 0.88088762 0.00015243
0.16351058 0.87906249 0.00015267
0.16481145 0.87714988 0.00016280
0.16611232 0.87519750 0.00017973
0.16739841 0.87324541 0.00019731
0.16869928 0.87131567 0.00020857
0.16998537 0.86941023 0.00021368
0.17128624 0.86752600 0.00021528
0.17257232 0.86565888 0.00021452
0.17387319 0.86380434 0.00021243
0.17517407 0.86195769 0.00020941
0.17646015 0.86011403 0.00020574
0.17776102 0.85826896 0.00020151
0.17904711 0.85641969 0.00019669
0.18034798 0.85456292 0.00019132
0.18163407 0.85269550 0.00018566
0.18293494 0.85080940 0.00018083
0.18422103 0.84888925 0.00017925
