# s/c   P_w_mean    P_w_std
0.22819933 0.77725869 0.00056071
0.22948542 0.77442077 0.00057476
0.23078629 0.77156139 0.00059092
0.23207238 0.76869313 0.00060914
0.23337325 0.76582360 0.00062859
0.23465933 0.76295999 0.00064793
0.23594542 0.76011150 0.00066659
0.23724629 0.75728648 0.00068476
0.23853238 0.75448532 0.00070217
0.23983325 0.75170020 0.00071842
0.24111934 0.74891867 0.00073350
0.24240543 0.74613026 0.00074773
0.24370630 0.74333394 0.00076156
0.24499239 0.74053870 0.00077521
0.24629326 0.73775657 0.00078903
0.24757935 0.73499770 0.00080315
0.24886543 0.73227040 0.00081716
0.25016630 0.72957518 0.00083099
0.25145239 0.72690831 0.00084426
0.25275326 0.72426667 0.00085663
0.25403935 0.72164757 0.00086795
0.25532544 0.71905230 0.00087820
0.25662631 0.71648317 0.00088730
0.25791240 0.71394473 0.00089549
0.25919849 0.71144639 0.00090384
0.26049936 0.70899649 0.00091275
0.26178545 0.70659776 0.00092154
0.26307153 0.70424500 0.00092981
0.26437240 0.70193148 0.00093771
0.26565849 0.69964412 0.00094423
0.26695936 0.69735966 0.00094840
0.26824545 0.69506945 0.00094957
0.26953154 0.69278083 0.00095013
0.27083241 0.69051758 0.00095419
0.27211850 0.68832021 0.00096110
0.27340459 0.68620747 0.00097002
0.27470546 0.68417085 0.00097923
0.27599154 0.68218249 0.00098479
0.27727763 0.68021233 0.00098657
0.27857850 0.67825885 0.00098525
0.27986459 0.67633248 0.00098258
0.28115068 0.67444627 0.00098333
0.28243677 0.67260969 0.00098640
0.28373764 0.67082998 0.00098801
0.28502373 0.66912548 0.00099119
0.28630981 0.66748928 0.00099560
0.28761068 0.66590080 0.00099530
0.28889677 0.66433336 0.00098955
0.29018286 0.66278998 0.00098303
0.29148373 0.66132005 0.00097888
0.29276982 0.65994763 0.00097681
0.29405591 0.65866968 0.00097471
0.29534200 0.65746651 0.00097017
0.29664287 0.65630853 0.00096177
0.29792895 0.65518021 0.00094987
0.29921504 0.65408801 0.00093635
0.30051591 0.65305217 0.00092310
0.30180200 0.65209783 0.00091096
0.30308809 0.65123550 0.00089920
0.30437418 0.65045683 0.00088649
0.30567505 0.64974064 0.00087112
0.30696114 0.64905721 0.00085267
0.30824722 0.64838688 0.00083245
0.30953331 0.64772661 0.00081215
0.31083418 0.64708968 0.00079217
0.31212027 0.64650130 0.00077321
0.31340636 0.64598171 0.00075614
0.31469245 0.64553368 0.00073914
0.31599332 0.64514831 0.00072079
0.31727941 0.64482274 0.00070146
0.31856549 0.64456099 0.00068172
0.31985158 0.64435342 0.00066101
0.32115245 0.64417837 0.00063891
0.32243854 0.64401109 0.00061570
0.32372463 0.64382643 0.00058955
0.32501072 0.64361511 0.00056105
0.32629681 0.64338235 0.00053189
0.32759768 0.64313865 0.00050431
0.32888376 0.64289906 0.00048090
0.33016985 0.64267868 0.00046102
0.33145594 0.64248367 0.00044323
0.33275681 0.64231377 0.00042679
0.33404290 0.64216198 0.00040993
0.33532899 0.64201625 0.00039100
0.33661508 0.64187319 0.00037008
0.33790116 0.64173729 0.00034818
0.33918725 0.64161322 0.00032654
0.34048812 0.64149790 0.00030509
0.34177421 0.64138276 0.00028379
0.34306030 0.64125652 0.00026314
0.34434639 0.64110747 0.00024321
0.34563247 0.64092748 0.00022399
0.34693335 0.64071336 0.00020459
0.34821943 0.64047605 0.00018613
0.34950552 0.64023703 0.00017024
0.35079161 0.64001263 0.00015677
0.35207770 0.63981233 0.00014513
0.35336379 0.63963997 0.00013208
0.35466466 0.63948796 0.00011588
0.35595074 0.63933675 0.00009868
0.35723683 0.63916374 0.00008352
0.35852292 0.63895630 0.00007491
0.35980901 0.63871946 0.00007670
0.36109510 0.63846537 0.00008722
0.36238118 0.63819738 0.00010367
0.36368206 0.63791772 0.00012345
0.36496814 0.63763774 0.00014198
0.36625423 0.63737160 0.00015637
0.36754032 0.63712829 0.00016631
0.36882641 0.63690350 0.00017468
0.37011250 0.63667794 0.00018688
0.37139858 0.63643009 0.00020710
0.37269945 0.63615808 0.00023467
0.37398554 0.63587839 0.00026504
0.37527163 0.63560380 0.00029512
0.37655772 0.63533884 0.00032274
0.37784381 0.63508290 0.00034490
0.37912989 0.63482320 0.00036161
0.38041598 0.63454512 0.00037436
0.38170207 0.63424956 0.00038394
0.38298816 0.63395249 0.00039117
0.38428903 0.63366962 0.00039765
0.38557512 0.63340120 0.00040659
0.38686121 0.63313917 0.00042027
0.38814729 0.63287722 0.00043819
0.38943338 0.63260791 0.00045950
0.39071947 0.63232334 0.00048359
