# s/c    M_iso
0.98595651 1.14089960
0.98468520 1.14088036
0.98339912 1.14084255
0.98212781 1.14078363
0.98085651 1.14070226
0.97958520 1.14059855
0.97829911 1.14047465
0.97702781 1.14033457
0.97575650 1.14018299
0.97448520 1.14002444
0.97321389 1.13986225
0.97192780 1.13969851
0.97065650 1.13953492
0.96938519 1.13937147
0.96811389 1.13920744
0.96682780 1.13904136
0.96555649 1.13887053
0.96428519 1.13869227
0.96301388 1.13850356
0.96174258 1.13830095
0.96045649 1.13808064
0.95918518 1.13783930
0.95791388 1.13757716
0.95664257 1.13729998
0.95535648 1.13701615
0.95408518 1.13673295
0.95281387 1.13645470
0.95154257 1.13618321
0.95025648 1.13591928
0.94898517 1.13566219
0.94771387 1.13541077
0.94644256 1.13516317
0.94515647 1.13491614
0.94388517 1.13466651
0.94261386 1.13441046
0.94134256 1.13414318
0.94005647 1.13386016
0.93878516 1.13356067
0.93751386 1.13324975
0.93624255 1.13293470
0.93495647 1.13262175
0.93368516 1.13231520
0.93241385 1.13201745
0.93114255 1.13172945
0.92985646 1.13145154
0.92858516 1.13118367
0.92731385 1.13092548
0.92604254 1.13067610
0.92475646 1.13043372
0.92348515 1.13019468
0.92221385 1.12995274
0.92094254 1.12970083
0.91965645 1.12943385
0.91838515 1.12914971
0.91711384 1.12884923
0.91582775 1.12853538
0.91455645 1.12821212
0.91328514 1.12788400
0.91201384 1.12755501
0.91072775 1.12722854
0.90945644 1.12690779
0.90818514 1.12659388
0.90691383 1.12628656
0.90562774 1.12598487
0.90435644 1.12568662
0.90308513 1.12538936
0.90179905 1.12509013
0.90052774 1.12478503
0.89925643 1.12447066
0.89797035 1.12414343
0.89669904 1.12379958
0.89542774 1.12343610
0.89415643 1.12305127
0.89287034 1.12264541
0.89159904 1.12222086
0.89032773 1.12178117
0.88904164 1.12133087
0.88777034 1.12087526
0.88649903 1.12041949
0.88521294 1.11996834
0.88394164 1.11952523
0.88267033 1.11909188
0.88138424 1.11866940
0.88011294 1.11825808
0.87884163 1.11785691
0.87757033 1.11746336
0.87628424 1.11707372
0.87501293 1.11668279
0.87374163 1.11628386
0.87245554 1.11586913
0.87118424 1.11543031
0.86991293 1.11496060
0.86862684 1.11445539
0.86735554 1.11391388
0.86608423 1.11333911
0.86479814 1.11273780
0.86352684 1.11212001
0.86225553 1.11149457
0.86096944 1.11086866
0.85969814 1.11024691
0.85842683 1.10963128
0.85714075 1.10902227
0.85586944 1.10841866
0.85459813 1.10781815
0.85331205 1.10721691
0.85204074 1.10661004
0.85076944 1.10599285
0.84948335 1.10536304
0.84821204 1.10472244
0.84692595 1.10407553
0.84565465 1.10342686
0.84438334 1.10277937
0.84309725 1.10213403
0.84182595 1.10149118
0.84055464 1.10085016
0.83926856 1.10020989
0.83799725 1.09956942
0.83672594 1.09892774
0.83543986 1.09828405
0.83416855 1.09763796
0.83288246 1.09698952
0.83161116 1.09633946
0.83033985 1.09568943
0.82905376 1.09504162
0.82778246 1.09439919
0.82651115 1.09376639
0.82522507 1.09314729
0.82395376 1.09254282
0.82266767 1.09195003
0.82139637 1.09136422
0.82012506 1.09078039
0.81883897 1.09019486
0.81756767 1.08960490
0.81628158 1.08900790
0.81501027 1.08840151
0.81373897 1.08778374
0.81245288 1.08715449
0.81118157 1.08651565
0.80989549 1.08587068
0.80862418 1.08522309
0.80735288 1.08457650
0.80606679 1.08393642
0.80479548 1.08330792
0.80350939 1.08269552
0.80223809 1.08210210
0.80096678 1.08152786
0.79968070 1.08097130
0.79840939 1.08042956
0.79712330 1.07989887
0.79585200 1.07937496
0.79458069 1.07885392
0.79329460 1.07833279
0.79202330 1.07781023
0.79073721 1.07728647
0.78946590 1.07676279
0.78817982 1.07624137
0.78690851 1.07572488
0.78563720 1.07521651
0.78435112 1.07472005
0.78307981 1.07424000
0.78179372 1.07378095
0.78052242 1.07334684
0.77923633 1.07294032
0.77796502 1.07256132
0.77669372 1.07220793
0.77540763 1.07187726
0.77413633 1.07156542
0.77285024 1.07126777
0.77157893 1.07097878
0.77029284 1.07069261
0.76902154 1.07040474
0.76773545 1.07011384
0.76646414 1.06982155
