# s/c   cf_mean    cf_std
0.00000000 0.00246741 0.00031305
0.00130087 0.00373975 0.00033961
0.00260174 0.00492824 0.00040777
0.00390261 0.00603749 0.00049759
0.00520348 0.00707196 0.00059722
0.00650435 0.00803595 0.00070096
0.00780522 0.00893363 0.00080616
0.00910609 0.00976900 0.00091158
0.01040697 0.01054593 0.00101661
0.01170784 0.01126814 0.00112102
0.01300871 0.01193924 0.00122472
0.01430958 0.01256266 0.00132772
0.01561045 0.01314174 0.00143007
0.01691132 0.01367967 0.00153186
0.01821219 0.01417953 0.00163317
0.01951306 0.01464426 0.00173411
0.02081393 0.01507670 0.00183475
0.02211480 0.01547954 0.00193519
0.02341567 0.01585540 0.00203550
0.02470176 0.01620676 0.00213576
0.02600263 0.01653599 0.00223604
0.02730350 0.01684536 0.00233641
0.02860437 0.01713705 0.00243693
0.02990524 0.01741312 0.00253765
0.03120611 0.01767554 0.00263863
0.03250698 0.01792618 0.00273993
0.03380786 0.01816682 0.00284159
0.03510873 0.01839915 0.00294366
0.03640960 0.01862478 0.00304620
0.03771047 0.01884521 0.00314926
0.03901134 0.01906187 0.00325288
0.04029743 0.01927613 0.00335711
0.04159830 0.01948924 0.00346201
0.04289917 0.01970241 0.00356764
0.04420004 0.01991675 0.00367403
0.04550091 0.02013332 0.00378124
0.04680178 0.02035309 0.00388934
0.04810265 0.02057698 0.00399837
0.04940352 0.02080584 0.00410839
0.05068961 0.02104043 0.00421946
0.05199048 0.02128150 0.00433163
0.05329135 0.02152971 0.00444497
0.05459222 0.02178565 0.00455952
0.05589309 0.02204988 0.00467534
0.05719396 0.02232291 0.00479250
0.05849483 0.02260517 0.00491105
0.05978092 0.02289708 0.00503104
0.06108179 0.02319897 0.00515252
0.06238266 0.02351117 0.00527556
0.06368353 0.02383392 0.00540020
0.06498440 0.02416746 0.00552649
0.06628528 0.02451196 0.00565447
0.06757136 0.02486758 0.00578421
0.06887223 0.02523441 0.00591573
0.07017310 0.02561253 0.00604909
0.07147398 0.02600199 0.00618432
0.07277485 0.02640278 0.00632145
0.07407572 0.02681490 0.00646054
0.07536180 0.02723829 0.00660160
0.07666268 0.02767288 0.00674467
0.07796355 0.02811856 0.00688977
0.07926442 0.02857522 0.00703693
0.08056529 0.02904270 0.00718617
0.08185138 0.02952085 0.00733751
0.08315225 0.03000947 0.00749097
0.08445312 0.03050837 0.00764656
0.08575399 0.03101732 0.00780430
0.08704008 0.03153608 0.00796418
0.08834095 0.03206442 0.00812623
0.08964182 0.03260207 0.00829043
0.09094269 0.03314875 0.00845680
0.09224356 0.03370419 0.00862534
0.09352965 0.03426809 0.00879603
0.09483052 0.03484014 0.00896888
0.09613139 0.03542006 0.00914388
0.09743226 0.03600751 0.00932102
0.09871835 0.03660219 0.00950029
0.10001922 0.03720377 0.00968167
0.10132009 0.03781194 0.00986515
0.10260618 0.03842636 0.01005071
0.10390705 0.03904672 0.01023834
0.10520792 0.03967268 0.01042801
0.10650879 0.04030392 0.01061970
0.10779488 0.04094013 0.01081339
0.10909575 0.04158097 0.01100906
0.11039662 0.04222613 0.01120667
0.11169749 0.04287531 0.01140621
0.11298358 0.04352820 0.01160763
0.11428445 0.04418449 0.01181091
0.11558532 0.04484389 0.01201602
0.11687141 0.04550611 0.01222292
0.11817228 0.04617087 0.01243159
0.11947315 0.04683791 0.01264198
0.12075924 0.04750695 0.01285406
0.12206011 0.04817775 0.01306779
0.12336098 0.04885005 0.01328312
0.12466185 0.04952364 0.01350004
0.12594794 0.05019828 0.01371848
0.12724881 0.05087376 0.01393840
0.12854968 0.05154988 0.01415978
0.12983577 0.05222470 0.01438206
0.13113664 0.05294614 0.01462380
0.13243751 0.05363984 0.01487114
