# y/t    Temp_mean   Temp_std
0.00000000 0.87505873 0.00009032
0.00502513 0.87414588 0.00008616
0.01005025 0.87361089 0.00009979
0.01507538 0.87352139 0.00010232
0.02010050 0.87343190 0.00010506
0.02512563 0.87334671 0.00010705
0.03015075 0.87326522 0.00011001
0.03517588 0.87318374 0.00011310
0.04020101 0.87310689 0.00011522
0.04522613 0.87303192 0.00011836
0.05025126 0.87295750 0.00012165
0.05527638 0.87288636 0.00012514
0.06030151 0.87281689 0.00012840
0.06532663 0.87274912 0.00013195
0.07035176 0.87268421 0.00013576
0.07537688 0.87262058 0.00013926
0.08040201 0.87256058 0.00014277
0.08542714 0.87250316 0.00014647
0.09045226 0.87244710 0.00015062
0.09547739 0.87239598 0.00015352
0.10050251 0.87234657 0.00015687
0.10552764 0.87229954 0.00016074
0.11055276 0.87225768 0.00016369
0.11557789 0.87221783 0.00016655
0.12060302 0.87218155 0.00016917
0.12562814 0.87214856 0.00017152
0.13065327 0.87211849 0.00017383
0.13567839 0.87209457 0.00017533
0.14070352 0.87207300 0.00017660
0.14572864 0.87205209 0.00017811
0.15075377 0.87203950 0.00017938
0.15577889 0.87202827 0.00018081
0.16080402 0.87202028 0.00018206
0.16582915 0.87201680 0.00018275
0.17085427 0.87201609 0.00018346
0.17587940 0.87202079 0.00018371
0.18090452 0.87202892 0.00018425
0.18592965 0.87203785 0.00018563
0.19095477 0.87205621 0.00018567
0.19597990 0.87207592 0.00018571
0.20100503 0.87209884 0.00018577
0.20603015 0.87212918 0.00018581
0.21105528 0.87216048 0.00018584
0.21608040 0.87219904 0.00018505
0.22110553 0.87224196 0.00018457
0.22613065 0.87228493 0.00018416
0.23115578 0.87233948 0.00018282
0.23618090 0.87239420 0.00018200
0.24120603 0.87245333 0.00018139
0.24623116 0.87252019 0.00017989
0.25125628 0.87258706 0.00017840
0.25628141 0.87266307 0.00017531
0.26130653 0.87274172 0.00017294
0.26633166 0.87282275 0.00017050
0.27135678 0.87291438 0.00016768
0.27638191 0.87300607 0.00016492
0.28140704 0.87310353 0.00016198
0.28643216 0.87320713 0.00015858
0.29145729 0.87331133 0.00015512
0.29648241 0.87342574 0.00015145
0.30150754 0.87354148 0.00014738
0.30653266 0.87366032 0.00014311
0.31155779 0.87378820 0.00013848
0.31658291 0.87391536 0.00013364
0.32160804 0.87405144 0.00012790
0.32663317 0.87419041 0.00012275
0.33165829 0.87432965 0.00011794
0.33668342 0.87447950 0.00011277
0.34170854 0.87462935 0.00010772
0.34673367 0.87478390 0.00010392
0.35175879 0.87494387 0.00010030
0.35678392 0.87510694 0.00009548
0.36180905 0.87527873 0.00009205
0.36683417 0.87547477 0.00008920
0.37185930 0.87567741 0.00010372
0.37688442 0.87594209 0.00016138
0.38190955 0.87622748 0.00025459
0.38693467 0.87661210 0.00039950
0.39195980 0.87704114 0.00057573
0.39698492 0.87756814 0.00073104
0.40201005 0.87813846 0.00089959
0.40703518 0.87870051 0.00093513
0.41206030 0.87928076 0.00096180
0.41708543 0.87967740 0.00085394
0.42211055 0.88001487 0.00069763
0.42713568 0.88005602 0.00052876
0.43216080 0.87997564 0.00035550
0.43718593 0.87955949 0.00042081
0.44221106 0.87904563 0.00057802
0.44723618 0.87824175 0.00092985
0.45226131 0.87740938 0.00130380
0.45728643 0.87638472 0.00183518
0.46231156 0.87535638 0.00236960
0.46733668 0.87424156 0.00299901
0.47236181 0.87312264 0.00363716
0.47738693 0.87198562 0.00432208
0.48241206 0.87086232 0.00501347
0.48743719 0.86975764 0.00571996
0.49246231 0.86870529 0.00641621
0.49748744 0.86768694 0.00710763
0.50251256 0.86677002 0.00775929
0.50753769 0.86589828 0.00839253
0.51256281 0.86518067 0.00894951
0.51758794 0.86450446 0.00948693
0.52261307 0.86404058 0.00991356
0.52763819 0.86363531 0.01031294
0.53266332 0.86338768 0.01063155
0.53768844 0.86323349 0.01091263
0.54271357 0.86318670 0.01114856
0.54773869 0.86325830 0.01134471
0.55276382 0.86338651 0.01152218
0.55778894 0.86366682 0.01165710
0.56281407 0.86399730 0.01177859
0.56783920 0.86443362 0.01186680
0.57286432 0.86495355 0.01192716
0.57788945 0.86553334 0.01196531
0.58291457 0.86623669 0.01194543
0.58793970 0.86697117 0.01190988
0.59296482 0.86783542 0.01179367
0.59798995 0.86874784 0.01164084
0.60301508 0.86972251 0.01143569
0.60804020 0.87077547 0.01115573
0.61306533 0.87183693 0.01085822
0.61809045 0.87296977 0.01046495
0.62311558 0.87408972 0.01004686
0.62814070 0.87522573 0.00957656
0.63316583 0.87632124 0.00903622
0.63819095 0.87738352 0.00846109
0.64321608 0.87835251 0.00780835
0.64824121 0.87920715 0.00709491
0.65326633 0.87999433 0.00637004
0.65829146 0.88054892 0.00556369
0.66331658 0.88101558 0.00477898
0.66834171 0.88132825 0.00397764
0.67336683 0.88146174 0.00311396
0.67839196 0.88153592 0.00225447
0.68341709 0.88154342 0.00137192
0.68844221 0.88155384 0.00064874
0.69346734 0.88156135 0.00057550
0.69849246 0.88159109 0.00105220
0.70351759 0.88161826 0.00144954
0.70854271 0.88163634 0.00173712
0.71356784 0.88159318 0.00182632
0.71859296 0.88145755 0.00179817
0.72361809 0.88126065 0.00169069
0.72864322 0.88098160 0.00148145
0.73366834 0.88069204 0.00125460
0.73869347 0.88038828 0.00101125
0.74371859 0.88010425 0.00079438
0.74874372 0.87983556 0.00059871
0.75376884 0.87958409 0.00042679
0.75879397 0.87937174 0.00030988
0.76381910 0.87917294 0.00021015
0.76884422 0.87899024 0.00013458
0.77386935 0.87882211 0.00007821
0.77889447 0.87865955 0.00002923
0.78391960 0.87850413 0.00000850
0.78894472 0.87835572 0.00003840
0.79396985 0.87821097 0.00006605
