# y/t    TKE_xc08
0.00000000 0.05522789
0.00408696 0.05557184
0.00780870 0.05587996
0.01433045 0.05711574
0.01582610 0.05739788
0.02396524 0.05897416
0.02485220 0.05915841
0.03215655 0.06066601
0.03554786 0.06142184
0.04038264 0.06249320
0.04631308 0.06391337
0.04860874 0.06446072
0.05683483 0.06656938
0.05709570 0.06664130
0.06500875 0.06881560
0.06782615 0.06964679
0.07314789 0.07119514
0.07850442 0.07285009
0.08126964 0.07369746
0.08907834 0.07622003
0.08935660 0.07630841
0.09739139 0.07900908
0.09954791 0.07976066
0.10539140 0.08178937
0.10987836 0.08340114
0.11335662 0.08464522
0.12006967 0.08713337
0.12130445 0.08758472
0.12920011 0.09064162
0.13012185 0.09102955
0.13706099 0.09388607
0.14003490 0.09525834
0.14490447 0.09745234
0.14980883 0.10007610
0.15271318 0.10158262
0.15944362 0.10602595
0.16050449 0.10670466
0.16827841 0.11359027
0.16892189 0.11451389
0.17603494 0.12386674
0.17827842 0.12931936
0.18377407 0.14125010
0.18751321 0.15795542
0.19149582 0.17372094
0.19662626 0.21544209
0.19921756 0.23420108
0.20563496 0.32080889
0.20693931 0.33662164
0.21457410 0.48589280
0.21464366 0.48717399
0.22231324 0.67744913
0.22340889 0.70820700
0.22994803 0.88664181
0.23222629 0.94777975
0.23760021 1.09318307
0.24116543 1.17960063
0.24525239 1.28108340
0.25046978 1.38814564
0.25297413 1.44162615
0.26015675 1.56029933
0.26076544 1.57077010
0.26866110 1.66626187
0.27026110 1.67730610
0.27660894 1.72641480
0.28050459 1.73768167
0.28462633 1.75291556
0.29086982 1.74838857
0.29271330 1.74836833
0.30085244 1.71746203
0.30133939 1.71418317
0.30906114 1.66501374
0.31193071 1.64133308
0.31732202 1.59821538
0.32264376 1.55174461
0.32565246 1.52561492
0.33349594 1.46007143
0.33405246 1.45533530
0.34250465 1.39386678
0.34445247 1.38292375
0.35102639 1.34446797
0.35553074 1.32537501
0.35960031 1.30728056
0.36673075 1.28589375
0.36826119 1.28106991
0.37697424 1.26522883
0.37805250 1.26489824
0.38575686 1.26099869
0.38949599 1.26536376
0.39459165 1.27014037
0.40106122 1.28632553
0.40351339 1.29206691
0.41250471 1.32031504
0.41271340 1.32074008
0.42156558 1.34161414
0.42448733 1.33921909
0.43067864 1.33768761
0.43636560 1.30948670
0.43989603 1.29508940
0.44836561 1.20992672
0.44918300 1.20251217
0.45853953 1.04792669
0.46043518 1.00072054
0.46796562 0.82414780
0.47260911 0.68935018
0.47747868 0.55089791
0.48486999 0.35984421
0.48709608 0.30089015
0.49678304 0.14235857
0.49723521 0.13966127
0.50655696 0.07287370
0.50965262 0.06632299
0.51641784 0.04905723
0.52217437 0.04517474
0.52638307 0.04168620
0.53474829 0.03971382
0.53645264 0.03923724
0.54660917 0.03813936
0.54740917 0.03808424
0.55685266 0.03741592
0.56013962 0.03722432
0.56721788 0.03680697
0.57293963 0.03650809
0.57770485 0.03625759
0.58580921 0.03588477
0.58829616 0.03576880
0.59873096 0.03536191
0.59900922 0.03535084
0.60982662 0.03500967
0.61170488 0.03496534
0.62076576 0.03474419
0.62473098 0.03467679
0.63184403 0.03455016
0.63782664 0.03448478
0.64306143 0.03442332
0.65095709 0.03437906
0.65441796 0.03435707
0.66413971 0.03434823
0.66593101 0.03434533
0.67733972 0.03438493
0.67758320 0.03438567
0.68940930 0.03447648
0.69059190 0.03449105
0.70137452 0.03461688
0.70386148 0.03465689
0.71353106 0.03480619
0.71718323 0.03487851
0.72584411 0.03504462
0.73053977 0.03515418
0.73836586 0.03533256
0.74393108 0.03548220
0.75107891 0.03567010
0.75737457 0.03586055
0.76398327 0.03605715
0.77085284 0.03628782
0.77709633 0.03649433
0.78438329 0.03676339
0.79043547 0.03698333
0.79796591 0.03728834
0.80398331 0.03752845
0.81160071 0.03786693
0.81775723 0.03813666
0.82528767 0.03850462
0.83175725 0.03881672
0.83902682 0.03920789
0.84600074 0.03957835
0.85280074 0.03998308
0.86045292 0.04043126
0.86664423 0.04083619
0.87513120 0.04138523
0.88050511 0.04177276
0.89003556 0.04245086
0.89440078 0.04279892
0.90513122 0.04364002
0.90833122 0.04392156
0.92040080 0.04496890
0.92226167 0.04514917
0.93586168 0.04645701
0.93617473 0.04649081
0.95005300 0.04797945
0.95147909 0.04813085
0.96386171 0.04961915
0.96727041 0.05002307
0.97753128 0.05142091
0.98321825 0.05218476
0.99092260 0.05365553
1.00000000 0.05522756
