# y/t    TKE_xc08
0.00000000 0.00525743
0.00408696 0.00525686
0.00780870 0.00525640
0.01433045 0.00525577
0.01582610 0.00525572
0.02396524 0.00525188
0.02485220 0.00525140
0.03215655 0.00524746
0.03554786 0.00524620
0.04038264 0.00524426
0.04631308 0.00524285
0.04860874 0.00524224
0.05683483 0.00524061
0.05709570 0.00524055
0.06500875 0.00523877
0.06782615 0.00523796
0.07314789 0.00523648
0.07850442 0.00523472
0.08126964 0.00523385
0.08907834 0.00523095
0.08935660 0.00523086
0.09739139 0.00522830
0.09954791 0.00522767
0.10539140 0.00522670
0.10987836 0.00522597
0.11335662 0.00522649
0.12006967 0.00522851
0.12130445 0.00522905
0.12920011 0.00523163
0.13012185 0.00523201
0.13706099 0.00523651
0.14003490 0.00523960
0.14490447 0.00524605
0.14980883 0.00525080
0.15271318 0.00525255
0.15944362 0.00524638
0.16050449 0.00524486
0.16827841 0.00523996
0.16892189 0.00524058
0.17603494 0.00524565
0.17827842 0.00524414
0.18377407 0.00524153
0.18751321 0.00523648
0.19149582 0.00523119
0.19662626 0.00523308
0.19921756 0.00523308
0.20563496 0.00523946
0.20693931 0.00524056
0.21457410 0.00524289
0.21464366 0.00524292
0.22231324 0.00526344
0.22340889 0.00526469
0.22994803 0.00528208
0.23222629 0.00517740
0.23760021 0.00500914
0.24116543 0.00465508
0.24525239 0.00425447
0.25046978 0.00507403
0.25297413 0.00515788
0.26015675 0.01853230
0.26076544 0.01931429
0.26866110 0.07520596
0.27026110 0.10364810
0.27660894 0.20323433
0.28050459 0.30234483
0.28462633 0.40146017
0.29086982 0.57725648
0.29271330 0.62853912
0.30085244 0.83760629
0.30133939 0.84714511
0.30906114 1.00624243
0.31193071 1.04870712
0.31732202 1.13269230
0.32264376 1.18830313
0.32565246 1.22177978
0.33349594 1.27513300
0.33405246 1.27924874
0.34250465 1.31081884
0.34445247 1.31310670
0.35102639 1.32273631
0.35553074 1.32142290
0.35960031 1.32102949
0.36673075 1.31250145
0.36826119 1.31085515
0.37697424 1.29689797
0.37805250 1.29514879
0.38575686 1.28278343
0.38949599 1.27745113
0.39459165 1.27021228
0.40106122 1.26222292
0.40351339 1.25924506
0.41250471 1.24813258
0.41271340 1.24776337
0.42156558 1.23363672
0.42448733 1.22587130
0.43067864 1.21093966
0.43636560 1.18787340
0.43989603 1.17475752
0.44836561 1.12414005
0.44918300 1.11957037
0.45853953 1.03938014
0.46043518 1.01618072
0.46796562 0.92896348
0.47260911 0.85685946
0.47747868 0.78450122
0.48486999 0.63969397
0.48709608 0.59816985
0.49678304 0.37230443
0.49723521 0.36352703
0.50655696 0.17022009
0.50965262 0.13690746
0.51641784 0.05629942
0.52217437 0.03502302
0.52638307 0.01655663
0.53474829 0.00873667
0.53645264 0.00676796
0.54660917 0.00483368
0.54740917 0.00481635
0.55685266 0.00453467
0.56013962 0.00453171
0.56721788 0.00451583
0.57293963 0.00452754
0.57770485 0.00453602
0.58580921 0.00455756
0.58829616 0.00456402
0.59873096 0.00459248
0.59900922 0.00459324
0.60982662 0.00462236
0.61170488 0.00462740
0.62076576 0.00465156
0.62473098 0.00466201
0.63184403 0.00468065
0.63782664 0.00469587
0.64306143 0.00470919
0.65095709 0.00472882
0.65441796 0.00473742
0.66413971 0.00476130
0.66593101 0.00476571
0.67733972 0.00479340
0.67758320 0.00479401
0.68940930 0.00482251
0.69059190 0.00482541
0.70137452 0.00485154
0.70386148 0.00485766
0.71353106 0.00488119
0.71718323 0.00489024
0.72584411 0.00491152
0.73053977 0.00492298
0.73836586 0.00494200
0.74393108 0.00495517
0.75107891 0.00497198
0.75737457 0.00498751
0.76398327 0.00500359
0.77085284 0.00502363
0.77709633 0.00504137
0.78438329 0.00506968
0.79043547 0.00509231
0.79796591 0.00513467
0.80398331 0.00516721
0.81160071 0.00522222
0.81775723 0.00526573
0.82528767 0.00531621
0.83175725 0.00536008
0.83902682 0.00539091
0.84600074 0.00542231
0.85280074 0.00543243
0.86045292 0.00544615
0.86664423 0.00543478
0.87513120 0.00542267
0.88050511 0.00539495
0.89003556 0.00534894
0.89440078 0.00532671
0.90513122 0.00527105
0.90833122 0.00526448
0.92040080 0.00523552
0.92226167 0.00523570
0.93586168 0.00523406
0.93617473 0.00523422
0.95005300 0.00524055
0.95147909 0.00524108
0.96386171 0.00524665
0.96727041 0.00524819
0.97753128 0.00525068
0.98321825 0.00525228
0.99092260 0.00525478
0.99930522 0.00525743
