# s/c   M_is_mean    M_is_std
0.22819933 0.63005006 0.00060672
0.22948542 0.63486104 0.00064590
0.23078629 0.63970572 0.00068864
0.23207238 0.64456069 0.00072671
0.23337325 0.64940296 0.00075505
0.23465933 0.65421001 0.00077259
0.23594542 0.65896370 0.00078099
0.23724629 0.66365909 0.00078243
0.23853238 0.66830981 0.00078008
0.23983325 0.67293932 0.00077707
0.24111934 0.67756832 0.00077621
0.24240543 0.68220471 0.00078014
0.24370630 0.68683894 0.00078925
0.24499239 0.69145380 0.00080253
0.24629326 0.69603848 0.00081802
0.24757935 0.70058382 0.00083234
0.24886543 0.70507751 0.00084077
0.25016630 0.70951383 0.00084237
0.25145239 0.71389020 0.00083971
0.25275326 0.71820775 0.00083683
0.25403935 0.72247886 0.00083853
0.25532544 0.72671242 0.00084614
0.25662631 0.73090935 0.00085864
0.25791240 0.73506338 0.00087324
0.25919849 0.73915797 0.00088492
0.26049936 0.74317658 0.00088814
0.26178545 0.74710712 0.00088051
0.26307153 0.75094908 0.00086505
0.26437240 0.75471278 0.00084820
0.26565849 0.75843719 0.00083768
0.26695936 0.76218393 0.00084041
0.26824545 0.76597041 0.00085759
0.26953154 0.76976265 0.00088431
0.27083241 0.77349558 0.00090958
0.27211850 0.77709406 0.00091861
0.27340459 0.78053184 0.00090820
0.27470546 0.78383289 0.00088781
0.27599154 0.78705763 0.00086980
0.27727763 0.79027055 0.00086666
0.27857850 0.79348878 0.00087960
0.27986459 0.79669573 0.00089989
0.28115068 0.79985790 0.00091646
0.28243677 0.80290986 0.00091733
0.28373764 0.80579025 0.00090585
0.28502373 0.80852257 0.00089361
0.28630981 0.81117501 0.00088855
0.28761068 0.81381640 0.00089399
0.28889677 0.81645978 0.00091002
0.29018286 0.81902684 0.00092952
0.29148373 0.82143817 0.00093495
0.29276982 0.82367609 0.00092213
0.29405591 0.82576127 0.00089747
0.29534200 0.82773466 0.00086950
0.29664287 0.82964886 0.00085031
0.29792895 0.83152198 0.00084398
0.29921504 0.83333136 0.00084769
0.30051591 0.83503347 0.00085400
0.30180200 0.83658579 0.00085154
0.30308809 0.83798134 0.00083841
0.30437418 0.83925470 0.00082229
0.30567505 0.84046024 0.00081184
0.30696114 0.84165177 0.00081466
0.30824722 0.84284431 0.00083214
0.30953331 0.84401427 0.00085999
0.31083418 0.84511927 0.00089264
0.31212027 0.84612648 0.00092298
0.31340636 0.84703048 0.00094368
0.31469245 0.84783361 0.00095016
0.31599332 0.84852675 0.00094048
0.31727941 0.84909448 0.00091767
0.31856549 0.84954347 0.00088865
0.31985158 0.84990904 0.00086298
0.32115245 0.85023309 0.00084748
0.32243854 0.85055987 0.00084677
0.32372463 0.85093795 0.00087011
0.32501072 0.85138441 0.00091635
0.32629681 0.85188463 0.00097668
0.32759768 0.85241328 0.00104189
0.32888376 0.85293640 0.00109989
0.33016985 0.85342160 0.00114220
0.33145594 0.85385386 0.00116913
0.33275681 0.85423319 0.00118549
0.33404290 0.85457357 0.00120007
0.33532899 0.85489896 0.00122231
0.33661508 0.85522305 0.00125514
0.33790116 0.85554712 0.00129518
0.33918725 0.85586901 0.00133509
0.34048812 0.85619366 0.00137106
0.34177421 0.85653051 0.00140253
0.34306030 0.85689083 0.00143110
0.34434639 0.85728621 0.00146015
0.34563247 0.85772131 0.00149309
0.34693335 0.85819348 0.00153465
0.34821943 0.85868307 0.00158369
0.34950552 0.85917225 0.00163847
0.35079161 0.85965419 0.00169688
0.35207770 0.86010718 0.00174807
0.35336379 0.86052111 0.00178751
0.35466466 0.86091402 0.00181848
0.35595074 0.86131760 0.00184689
0.35723683 0.86176101 0.00187926
0.35852292 0.86225009 0.00191732
0.35980901 0.86277897 0.00196183
0.36109510 0.86334648 0.00201168
0.36238118 0.86395088 0.00206512
0.36368206 0.86457559 0.00211930
0.36496814 0.86518963 0.00216907
0.36625423 0.86576342 0.00221084
0.36754032 0.86629142 0.00224571
0.36882641 0.86679756 0.00227928
0.37011250 0.86732306 0.00231928
0.37139858 0.86789971 0.00237246
0.37269945 0.86851755 0.00243731
0.37398554 0.86915103 0.00250718
0.37527163 0.86978894 0.00257742
0.37655772 0.87042975 0.00264258
0.37784381 0.87108143 0.00269659
0.37912989 0.87175919 0.00273904
0.38041598 0.87245746 0.00277253
0.38170207 0.87313891 0.00279768
0.38298816 0.87377112 0.00281742
