# s/c    P_stat_mean   P_stat_std
0.00000000 0.99991698 0.00003727
0.00130087 0.99953991 0.00003253
0.00260174 0.99915296 0.00002845
0.00390261 0.99875705 0.00002499
0.00520348 0.99835304 0.00002210
0.00650435 0.99794173 0.00001973
0.00780522 0.99752384 0.00001788
0.00910609 0.99710005 0.00001651
0.01040697 0.99667097 0.00001562
0.01170784 0.99623718 0.00001520
0.01300871 0.99579917 0.00001522
0.01430958 0.99535742 0.00001564
0.01561045 0.99491233 0.00001642
0.01691132 0.99446426 0.00001749
0.01821219 0.99401353 0.00001880
0.01951306 0.99356042 0.00002030
0.02081393 0.99310515 0.00002195
0.02211480 0.99264792 0.00002371
0.02341567 0.99218887 0.00002555
0.02470176 0.99172812 0.00002746
0.02600263 0.99126574 0.00002940
0.02730350 0.99080177 0.00003135
0.02860437 0.99033624 0.00003331
0.02990524 0.98986910 0.00003524
0.03120611 0.98940031 0.00003716
0.03250698 0.98892979 0.00003903
0.03380786 0.98845742 0.00004085
0.03510873 0.98798308 0.00004261
0.03640960 0.98750659 0.00004431
0.03771047 0.98702779 0.00004593
0.03901134 0.98654646 0.00004748
0.04029743 0.98606238 0.00004894
0.04159830 0.98557530 0.00005032
0.04289917 0.98508496 0.00005161
0.04420004 0.98459108 0.00005282
0.04550091 0.98409336 0.00005393
0.04680178 0.98359150 0.00005496
0.04810265 0.98308517 0.00005589
0.04940352 0.98257404 0.00005675
0.05068961 0.98205775 0.00005752
0.05199048 0.98153595 0.00005821
0.05329135 0.98100828 0.00005882
0.05459222 0.98047436 0.00005937
0.05589309 0.97993381 0.00005986
0.05719396 0.97938624 0.00006028
0.05849483 0.97883127 0.00006065
0.05978092 0.97826849 0.00006098
0.06108179 0.97769750 0.00006127
0.06238266 0.97711792 0.00006153
0.06368353 0.97652933 0.00006177
0.06498440 0.97593133 0.00006200
0.06628528 0.97532352 0.00006222
0.06757136 0.97470550 0.00006244
0.06887223 0.97407687 0.00006268
0.07017310 0.97343723 0.00006294
0.07147398 0.97278619 0.00006322
0.07277485 0.97212336 0.00006355
0.07407572 0.97144835 0.00006392
0.07536180 0.97076080 0.00006435
0.07666268 0.97006032 0.00006483
0.07796355 0.96934655 0.00006539
0.07926442 0.96861913 0.00006602
0.08056529 0.96787771 0.00006673
0.08185138 0.96712195 0.00006753
0.08315225 0.96635152 0.00006842
0.08445312 0.96556609 0.00006940
0.08575399 0.96476536 0.00007049
0.08704008 0.96394901 0.00007168
0.08834095 0.96311675 0.00007297
0.08964182 0.96226832 0.00007438
0.09094269 0.96140342 0.00007589
0.09224356 0.96052182 0.00007751
0.09352965 0.95962326 0.00007925
0.09483052 0.95870752 0.00008111
0.09613139 0.95777436 0.00008307
0.09743226 0.95682360 0.00008516
0.09871835 0.95585504 0.00008736
0.10001922 0.95486849 0.00008968
0.10132009 0.95386379 0.00009212
0.10260618 0.95284080 0.00009468
0.10390705 0.95179938 0.00009735
0.10520792 0.95073940 0.00010015
0.10650879 0.94966076 0.00010306
0.10779488 0.94856336 0.00010609
0.10909575 0.94744714 0.00010924
0.11039662 0.94631201 0.00011251
0.11169749 0.94515795 0.00011590
0.11298358 0.94398490 0.00011941
0.11428445 0.94279286 0.00012303
0.11558532 0.94158182 0.00012677
0.11687141 0.94035178 0.00013062
0.11817228 0.93910278 0.00013459
0.11947315 0.93783484 0.00013867
0.12075924 0.93654803 0.00014286
0.12206011 0.93524241 0.00014716
0.12336098 0.93391806 0.00015156
0.12466185 0.93257507 0.00015607
0.12594794 0.93121355 0.00016067
0.12724881 0.92983362 0.00016537
0.12854968 0.92843542 0.00017016
0.12983577 0.92698789 0.00017503
0.13113664 0.92548067 0.00018321
0.13243751 0.92396411 0.00019025
0.13372359 0.92243703 0.00019633
0.13502447 0.92089605 0.00020171
0.13632534 0.91934287 0.00020669
0.13761142 0.91777938 0.00021120
0.13891229 0.91620394 0.00021548
0.14019838 0.91460424 0.00022031
0.14149925 0.91296131 0.00022674
0.14280012 0.91126562 0.00023437
0.14408621 0.90953555 0.00024353
0.14538708 0.90780992 0.00025503
0.14668795 0.90611237 0.00026522
0.14797404 0.90444529 0.00027182
0.14927491 0.90279887 0.00027581
0.15056100 0.90115235 0.00027823
0.15186187 0.89949200 0.00028007
0.15316274 0.89782526 0.00028216
0.15444883 0.89616682 0.00028458
0.15574970 0.89451512 0.00028624
0.15703579 0.89285472 0.00028702
0.15833666 0.89118917 0.00028714
0.15963753 0.88953350 0.00028639
0.16092362 0.88789270 0.00028487
0.16222449 0.88623077 0.00028274
0.16351058 0.88449246 0.00028296
0.16481145 0.88268204 0.00028752
0.16611232 0.88083700 0.00029791
0.16739841 0.87898884 0.00031303
0.16869928 0.87715700 0.00032630
0.16998537 0.87534384 0.00033595
0.17128624 0.87354756 0.00034284
