# s/c    P_stat_mean   P_stat_std
0.22819933 0.76691416 0.00033120
0.22948542 0.76392254 0.00034624
0.23078629 0.76090655 0.00036424
0.23207238 0.75787887 0.00038361
0.23337325 0.75484775 0.00040273
0.23465933 0.75182101 0.00041972
0.23594542 0.74880813 0.00043415
0.23724629 0.74581784 0.00044667
0.23853238 0.74285106 0.00045766
0.23983325 0.73990000 0.00046739
0.24111934 0.73695216 0.00047630
0.24240543 0.73399727 0.00048513
0.24370630 0.73103362 0.00049439
0.24499239 0.72806977 0.00050419
0.24629326 0.72511815 0.00051468
0.24757935 0.72218935 0.00052545
0.24886543 0.71929136 0.00053530
0.25016630 0.71642567 0.00054388
0.25145239 0.71358875 0.00055120
0.25275326 0.71077698 0.00055757
0.25403935 0.70798822 0.00056374
0.25532544 0.70522316 0.00057003
0.25662631 0.70248389 0.00057623
0.25791240 0.69977539 0.00058212
0.25919849 0.69710756 0.00058792
0.26049936 0.69448880 0.00059290
0.26178545 0.69192252 0.00059596
0.26307153 0.68940374 0.00059709
0.26437240 0.68692521 0.00059746
0.26565849 0.68447337 0.00059754
0.26695936 0.68202386 0.00059746
0.26824545 0.67956769 0.00059686
0.26953154 0.67711229 0.00059748
0.27083241 0.67468192 0.00060150
0.27211850 0.67231801 0.00060586
0.27340459 0.67004063 0.00060867
0.27470546 0.66784204 0.00060976
0.27599154 0.66569343 0.00060815
0.27727763 0.66356334 0.00060562
0.27857850 0.66144938 0.00060284
0.27986459 0.65936235 0.00060030
0.28115068 0.65731644 0.00060038
0.28243677 0.65532274 0.00059992
0.28373764 0.65338863 0.00059579
0.28502373 0.65153017 0.00059291
0.28630981 0.64974087 0.00059290
0.28761068 0.64800010 0.00059056
0.28889677 0.64628152 0.00058515
0.29018286 0.64458955 0.00058018
0.29148373 0.64297249 0.00057515
0.29276982 0.64145612 0.00056865
0.29405591 0.64003882 0.00055947
0.29534200 0.63869974 0.00054706
0.29664287 0.63740908 0.00053259
0.29792895 0.63614925 0.00051729
0.29921504 0.63492604 0.00050268
0.30051591 0.63376096 0.00048949
0.30180200 0.63267906 0.00047622
0.30308809 0.63169174 0.00046128
0.30437418 0.63079135 0.00044439
0.30567505 0.62995607 0.00042571
0.30696114 0.62915490 0.00040666
0.30824722 0.62836744 0.00038950
0.30953331 0.62759060 0.00037603
0.31083418 0.62683735 0.00036608
0.31212027 0.62613357 0.00035839
0.31340636 0.62550124 0.00035058
0.31469245 0.62494455 0.00033797
0.31599332 0.62445610 0.00031776
0.31727941 0.62403367 0.00029068
0.31856549 0.62368072 0.00025824
0.31985158 0.62338677 0.00022320
0.32115245 0.62312791 0.00018879
0.32243854 0.62287649 0.00015989
0.32372463 0.62260533 0.00014440
0.32501072 0.62230280 0.00014747
0.32629681 0.62197386 0.00016707
0.32759768 0.62163039 0.00019634
0.32888376 0.62128922 0.00022590
0.33016985 0.62096741 0.00024936
0.33145594 0.62067284 0.00026542
0.33275681 0.62040556 0.00027615
0.33404290 0.62015772 0.00028620
0.33532899 0.61991668 0.00030046
0.33661508 0.61967675 0.00032080
0.33790116 0.61944250 0.00034464
0.33918725 0.61922002 0.00036829
0.34048812 0.61900729 0.00039041
0.34177421 0.61879645 0.00041099
0.34306030 0.61857618 0.00043085
0.34434639 0.61833311 0.00045130
0.34563247 0.61805696 0.00047394
0.34693335 0.61774335 0.00050103
0.34821943 0.61740099 0.00053172
0.34950552 0.61705073 0.00056413
0.35079161 0.61671091 0.00059663
0.35207770 0.61639485 0.00062525
0.35336379 0.61610882 0.00064874
0.35466466 0.61584629 0.00066893
0.35595074 0.61558723 0.00068849
0.35723683 0.61530660 0.00071058
0.35852292 0.61498899 0.00073646
0.35980901 0.61463728 0.00076491
0.36109510 0.61426311 0.00079462
0.36238118 0.61387046 0.00082551
0.36368206 0.61346329 0.00085660
0.36496814 0.61305339 0.00088622
0.36625423 0.61265685 0.00091227
0.36754032 0.61228357 0.00093492
0.36882641 0.61192838 0.00095644
0.37011250 0.61157090 0.00098029
0.37139858 0.61118580 0.00101146
0.37269945 0.61077019 0.00104897
0.37398554 0.61034183 0.00108866
0.37527163 0.60991475 0.00112828
0.37655772 0.60949600 0.00116544
0.37784381 0.60908704 0.00119807
0.37912989 0.60867692 0.00122556
0.38041598 0.60825182 0.00124873
0.38170207 0.60781213 0.00126868
0.38298816 0.60737320 0.00128598
0.38428903 0.60694849 0.00130273
0.38557512 0.60653574 0.00132223
0.38686121 0.60612620 0.00134629
0.38814729 0.60571220 0.00137509
