# s/c   cf_mean    cf_std
0.00000000 0.00246683 0.00027717
0.00130087 0.00380123 0.00029988
0.00260174 0.00504553 0.00035210
0.00390261 0.00620475 0.00042191
0.00520348 0.00728376 0.00050131
0.00650435 0.00828725 0.00058596
0.00780522 0.00921973 0.00067358
0.00910609 0.01008556 0.00076298
0.01040697 0.01088896 0.00085349
0.01170784 0.01163395 0.00094475
0.01300871 0.01232445 0.00103654
0.01430958 0.01296419 0.00112874
0.01561045 0.01355677 0.00122127
0.01691132 0.01410566 0.00131408
0.01821219 0.01461417 0.00140717
0.01951306 0.01508548 0.00150050
0.02081393 0.01552266 0.00159407
0.02211480 0.01592861 0.00168789
0.02341567 0.01630615 0.00178194
0.02470176 0.01665794 0.00187624
0.02600263 0.01698653 0.00197077
0.02730350 0.01729436 0.00206556
0.02860437 0.01758376 0.00216061
0.02990524 0.01785693 0.00225592
0.03120611 0.01811598 0.00235150
0.03250698 0.01836291 0.00244738
0.03380786 0.01859961 0.00254357
0.03510873 0.01882788 0.00264008
0.03640960 0.01904941 0.00273694
0.03771047 0.01926582 0.00283417
0.03901134 0.01947861 0.00293181
0.04029743 0.01968921 0.00302987
0.04159830 0.01989895 0.00312841
0.04289917 0.02010910 0.00322745
0.04420004 0.02032083 0.00332703
0.04550091 0.02053522 0.00342719
0.04680178 0.02075331 0.00352799
0.04810265 0.02097603 0.00362947
0.04940352 0.02120426 0.00373167
0.05068961 0.02143881 0.00383466
0.05199048 0.02168041 0.00393848
0.05329135 0.02192975 0.00404319
0.05459222 0.02218744 0.00414886
0.05589309 0.02245403 0.00425552
0.05719396 0.02273001 0.00436326
0.05849483 0.02301584 0.00447212
0.05978092 0.02331191 0.00458217
0.06108179 0.02361854 0.00469346
0.06238266 0.02393604 0.00480607
0.06368353 0.02426464 0.00492005
0.06498440 0.02460455 0.00503547
0.06628528 0.02495592 0.00515237
0.06757136 0.02531887 0.00527083
0.06887223 0.02569349 0.00539090
0.07017310 0.02607980 0.00551263
0.07147398 0.02647782 0.00563609
0.07277485 0.02688752 0.00576133
0.07407572 0.02730885 0.00588840
0.07536180 0.02774171 0.00601735
0.07666268 0.02818599 0.00614822
0.07796355 0.02864155 0.00628107
0.07926442 0.02910823 0.00641594
0.08056529 0.02958584 0.00655286
0.08185138 0.03007417 0.00669188
0.08315225 0.03057299 0.00683304
0.08445312 0.03108205 0.00697636
0.08575399 0.03160110 0.00712187
0.08704008 0.03212985 0.00726961
0.08834095 0.03266801 0.00741959
0.08964182 0.03321527 0.00757185
0.09094269 0.03377133 0.00772638
0.09224356 0.03433586 0.00788322
0.09352965 0.03490852 0.00804238
0.09483052 0.03548898 0.00820385
0.09613139 0.03607689 0.00836765
0.09743226 0.03667189 0.00853379
0.09871835 0.03727364 0.00870225
0.10001922 0.03788178 0.00887304
0.10132009 0.03849594 0.00904615
0.10260618 0.03911578 0.00922157
0.10390705 0.03974093 0.00939928
0.10520792 0.04037105 0.00957928
0.10650879 0.04100577 0.00976154
0.10779488 0.04164474 0.00994604
0.10909575 0.04228764 0.01013276
0.11039662 0.04293410 0.01032168
0.11169749 0.04358381 0.01051275
0.11298358 0.04423643 0.01070595
0.11428445 0.04489165 0.01090124
0.11558532 0.04554916 0.01109859
0.11687141 0.04620865 0.01129795
0.11817228 0.04686985 0.01149929
0.11947315 0.04753246 0.01170255
0.12075924 0.04819621 0.01190769
0.12206011 0.04886086 0.01211467
0.12336098 0.04952614 0.01232341
0.12466185 0.05019184 0.01253389
0.12594794 0.05085773 0.01274603
0.12724881 0.05152360 0.01295978
0.12854968 0.05218926 0.01317507
0.12983577 0.05285276 0.01339141
0.13113664 0.05356615 0.01362676
0.13243751 0.05424748 0.01386866
0.13372359 0.05493825 0.01411104
0.13502447 0.05563580 0.01435089
0.13632534 0.05631781 0.01459070
0.13761142 0.05698274 0.01483052
0.13891229 0.05766397 0.01506456
0.14019838 0.05843321 0.01529009
0.14149925 0.05937344 0.01551321
0.14280012 0.06039188 0.01573254
0.14408621 0.06126689 0.01594867
0.14538708 0.06188502 0.01617475
0.14668795 0.06231967 0.01642353
0.14797404 0.06269214 0.01668351
0.14927491 0.06310690 0.01693876
0.15056100 0.06365185 0.01718750
0.15186187 0.06428229 0.01742768
0.15316274 0.06483640 0.01765436
0.15444883 0.06528392 0.01787874
0.15574970 0.06578675 0.01811151
0.15703579 0.06637359 0.01834129
0.15833666 0.06693536 0.01856737
0.15963753 0.06734399 0.01878540
0.16092362 0.06776341 0.01899590
0.16222449 0.06852488 0.01920575
0.16351058 0.06964442 0.01939938
0.16481145 0.07078092 0.01956438
0.16611232 0.07165609 0.01972815
0.16739841 0.07229729 0.01991285
0.16869928 0.07280128 0.02012198
0.16998537 0.07324165 0.02034894
0.17128624 0.07365786 0.02058120
0.17257232 0.07407052 0.02081428
0.17387319 0.07449345 0.02104415
0.17517407 0.07494035 0.02126995
0.17646015 0.07542151 0.02149112
0.17776102 0.07593654 0.02170713
0.17904711 0.07648249 0.02191889
0.18034798 0.07705479 0.02212654
0.18163407 0.07766841 0.02232967
0.18293494 0.07834473 0.02252727
0.18422103 0.07912004 0.02272235
0.18552190 0.07998626 0.02292294
0.18680799 0.08081815 0.02312192
0.18810886 0.08146060 0.02330752
0.18939495 0.08188928 0.02349496
0.19069582 0.08236080 0.02369204
0.19199669 0.08317552 0.02390526
0.19328278 0.08436573 0.02411773
0.19458365 0.08560380 0.02430129
0.19586974 0.08663627 0.02446930
0.19717061 0.08750839 0.02463932
0.19845669 0.08834884 0.02483366
0.19975757 0.08922154 0.02505072
0.20104365 0.09006970 0.02527239
0.20234452 0.09080150 0.02549444
0.20363061 0.09132334 0.02570891
0.20493148 0.09180837 0.02593815
0.20621757 0.09258591 0.02618219
0.20750366 0.09374091 0.02642152
0.20880453 0.09503963 0.02665443
0.21009062 0.09619900 0.02686787
0.21139149 0.09713939 0.02706537
0.21267758 0.09798240 0.02727794
0.21397845 0.09887827 0.02751268
0.21526454 0.09987376 0.02775346
0.21656541 0.10094538 0.02799533
0.21785149 0.10204858 0.02823462
0.21915236 0.10314354 0.02847349
0.22043845 0.10419840 0.02871317
0.22173932 0.10518590 0.02895358
0.22302541 0.10609436 0.02919173
0.22432628 0.10699240 0.02943252
0.22561237 0.10796507 0.02967760
0.22689846 0.10905817 0.02992853
0.22819933 0.11021461 0.03018050
0.22948542 0.11131533 0.03042536
0.23078629 0.11231267 0.03066235
0.23207238 0.11321680 0.03089661
0.23337325 0.11404966 0.03113437
0.23465933 0.11479806 0.03137703
