# y/t    d_mean   d_std
0.00000000 0.57375776 0.00190847
0.00502513 0.57921193 0.00223956
0.01005025 0.58253946 0.00243859
0.01507538 0.58337718 0.00244444
0.02010050 0.58421490 0.00245068
0.02512563 0.58509881 0.00245973
0.03015075 0.58600487 0.00246969
0.03517588 0.58691093 0.00248014
0.04020101 0.58785674 0.00249169
0.04522613 0.58880348 0.00250428
0.05025126 0.58975454 0.00251687
0.05527638 0.59072965 0.00252851
0.06030151 0.59170083 0.00254172
0.06532663 0.59268123 0.00255479
0.07035176 0.59367598 0.00256791
0.07537688 0.59467055 0.00258243
0.08040201 0.59567572 0.00259780
0.08542714 0.59668747 0.00261420
0.09045226 0.59770072 0.00263193
0.09547739 0.59871770 0.00265116
0.10050251 0.59973580 0.00267093
0.10552764 0.60075315 0.00269145
0.11055276 0.60176239 0.00271350
0.11557789 0.60277038 0.00273477
0.12060302 0.60376876 0.00275586
0.12562814 0.60475567 0.00277722
0.13065327 0.60573700 0.00279663
0.13567839 0.60669956 0.00281489
0.14070352 0.60765370 0.00283225
0.14572864 0.60860223 0.00284775
0.15075377 0.60953040 0.00286132
0.15577889 0.61045561 0.00287434
0.16080402 0.61137571 0.00288669
0.16582915 0.61228986 0.00289853
0.17085427 0.61320127 0.00291015
0.17587940 0.61411366 0.00292364
0.18090452 0.61502602 0.00293848
0.18592965 0.61593740 0.00295383
0.19095477 0.61685684 0.00297514
0.19597990 0.61777543 0.00299756
0.20100503 0.61869662 0.00302257
0.20603015 0.61962374 0.00305346
0.21105528 0.62055038 0.00308511
0.21608040 0.62148217 0.00312126
0.22110553 0.62241576 0.00316047
0.22613065 0.62334926 0.00319978
0.23115578 0.62428925 0.00324363
0.23618090 0.62522790 0.00328752
0.24120603 0.62616939 0.00333195
0.24623116 0.62711454 0.00337710
0.25125628 0.62805969 0.00342230
0.25628141 0.62901230 0.00346556
0.26130653 0.62996773 0.00350847
0.26633166 0.63092471 0.00355047
0.27135678 0.63189693 0.00358856
0.27638191 0.63286917 0.00362647
0.28140704 0.63385237 0.00366120
0.28643216 0.63484779 0.00369354
0.29145729 0.63584403 0.00372484
0.29648241 0.63686355 0.00375212
0.30150754 0.63788714 0.00377784
0.30653266 0.63891825 0.00380207
0.31155779 0.63997086 0.00382288
0.31658291 0.64102305 0.00384327
0.32160804 0.64209344 0.00386121
0.32663317 0.64317152 0.00387745
0.33165829 0.64425106 0.00389333
0.33668342 0.64535041 0.00390568
0.34170854 0.64644976 0.00391808
0.34673367 0.64755442 0.00392866
0.35175879 0.64866917 0.00393799
0.35678392 0.64977761 0.00394774
0.36180905 0.65090080 0.00395581
0.36683417 0.65201838 0.00396477
0.37185930 0.65313862 0.00397406
0.37688442 0.65425942 0.00398495
0.38190955 0.65537823 0.00399644
0.38693467 0.65649012 0.00400427
0.39195980 0.65759787 0.00401056
0.39698492 0.65864845 0.00396974
0.40201005 0.65968186 0.00391690
0.40703518 0.66051729 0.00371714
0.41206030 0.66129619 0.00347836
0.41708543 0.66168579 0.00304861
0.42211055 0.66192536 0.00254265
0.42713568 0.66173988 0.00207418
0.43216080 0.66138693 0.00171257
0.43718593 0.66080842 0.00182401
0.44221106 0.66016658 0.00213168
0.44723618 0.65953274 0.00252259
0.45226131 0.65887171 0.00294705
0.45728643 0.65837154 0.00341442
0.46231156 0.65782391 0.00398769
0.46733668 0.65754412 0.00460296
0.47236181 0.65727761 0.00525358
0.47738693 0.65726763 0.00580122
0.48241206 0.65733789 0.00631263
0.48743719 0.65754012 0.00672826
0.49246231 0.65783373 0.00709052
0.49748744 0.65817382 0.00739784
0.50251256 0.65857886 0.00765372
0.50753769 0.65900158 0.00788148
0.51256281 0.65945168 0.00805732
0.51758794 0.65991408 0.00822051
0.52261307 0.66036252 0.00833140
0.52763819 0.66081542 0.00843359
0.53266332 0.66123145 0.00850478
0.53768844 0.66163116 0.00856503
0.54271357 0.66200102 0.00861127
0.54773869 0.66232568 0.00864382
0.55276382 0.66263604 0.00867007
0.55778894 0.66287173 0.00867609
0.56281407 0.66310467 0.00867906
0.56783920 0.66325817 0.00866762
0.57286432 0.66340213 0.00865519
0.57788945 0.66348823 0.00863533
0.58291457 0.66355300 0.00862020
0.58793970 0.66358029 0.00860309
0.59296482 0.66358180 0.00860015
0.59798995 0.66357516 0.00860916
0.60301508 0.66353064 0.00863099
0.60804020 0.66352521 0.00869331
0.61306533 0.66346587 0.00876146
0.61809045 0.66350489 0.00890539
0.62311558 0.66351671 0.00907559
0.62814070 0.66361729 0.00931214
0.63316583 0.66379963 0.00963934
0.63819095 0.66406448 0.01002595
0.64321608 0.66446573 0.01052828
0.64824121 0.66503925 0.01113654
0.65326633 0.66567268 0.01180264
0.65829146 0.66654441 0.01251356
0.66331658 0.66739167 0.01311975
0.66834171 0.66825403 0.01355667
0.67336683 0.66905224 0.01359944
0.67839196 0.66986027 0.01349938
0.68341709 0.67070374 0.01323712
0.68844221 0.67161283 0.01296011
0.69346734 0.67249853 0.01274497
0.69849246 0.67326122 0.01242833
0.70351759 0.67381167 0.01191761
0.70854271 0.67423297 0.01124371
0.71356784 0.67449989 0.01026827
0.71859296 0.67476164 0.00919420
0.72361809 0.67502017 0.00807361
0.72864322 0.67527774 0.00698368
0.73366834 0.67547073 0.00601430
0.73869347 0.67561646 0.00510414
0.74371859 0.67558633 0.00447245
0.74874372 0.67544943 0.00396373
0.75376884 0.67514935 0.00363969
0.75879397 0.67460789 0.00362375
0.76381910 0.67365114 0.00413416
0.76884422 0.67232057 0.00538102
0.77386935 0.66988773 0.00828336
0.77889447 0.66684411 0.01224451
0.78391960 0.66226587 0.01834890
0.78894472 0.65703106 0.02540884
0.79396985 0.65144478 0.03254903
0.79899497 0.64582280 0.03959274
0.80402010 0.64141009 0.04315657
0.80904523 0.63728474 0.04588864
0.81407035 0.63297290 0.04471210
0.81909548 0.62847105 0.04310138
0.82412060 0.62218209 0.04113646
0.82914573 0.61524676 0.04093172
0.83417085 0.60851253 0.04193863
0.83919598 0.60202180 0.04371988
0.84422111 0.59676758 0.04273800
0.84924623 0.59214337 0.03997544
0.85427136 0.58741396 0.03402310
0.85929648 0.58244972 0.02585535
0.86432161 0.57756573 0.01735953
0.86934673 0.57311298 0.00910413
0.87437186 0.56950947 0.00270326
0.87939698 0.56796543 0.00259197
0.88442211 0.56690994 0.00504212
0.88944724 0.56742084 0.00509924
0.89447236 0.56806891 0.00490100
0.89949749 0.56903418 0.00411026
0.90452261 0.57001809 0.00331354
0.90954774 0.57093432 0.00270957
0.91457286 0.57183532 0.00220997
0.91959799 0.57256003 0.00200736
0.92462312 0.57321453 0.00190224
0.92964824 0.57373871 0.00190429
0.93467337 0.57416072 0.00195117
0.93969849 0.57465174 0.00200972
0.94472362 0.57501479 0.00208714
0.94974874 0.57536567 0.00216714
0.95477387 0.57574169 0.00223622
0.95979899 0.57615745 0.00229074
0.96482412 0.57658657 0.00234437
0.96984925 0.57712524 0.00237531
0.97487437 0.57769616 0.00239883
0.97989950 0.57827248 0.00242044
0.98492462 0.57893254 0.00242494
0.98994975 0.57959323 0.00242944
0.99497487 0.57923078 0.00235236
1.00000000 0.57375776 0.00190847
