# y/t    d_mean   d_std
0.88944724 0.65271547 0.00068047
0.89447236 0.65244141 0.00070781
0.89949749 0.65215298 0.00073310
0.90452261 0.65186459 0.00075831
0.90954774 0.65157186 0.00078143
0.91457286 0.65127710 0.00080417
0.91959799 0.65100695 0.00082470
0.92462312 0.65075113 0.00084569
0.92964824 0.65054629 0.00086582
0.93467337 0.65037764 0.00087646
0.93969849 0.65017967 0.00088847
0.94472362 0.64993559 0.00089775
0.94974874 0.64968986 0.00090864
0.95477387 0.64944219 0.00091922
0.95979899 0.64919358 0.00092810
0.96482412 0.64895140 0.00093803
0.96984925 0.64873305 0.00094683
0.97487437 0.64851998 0.00095477
0.97989950 0.64830653 0.00096271
0.98492462 0.64808556 0.00096755
0.98994975 0.64786454 0.00097242
0.99497487 0.64808872 0.00095996
1.00000000 0.65052926 0.00086665
