# y/t    d_mean   d_std
0.00000000 0.64994148 0.00069557
0.00502513 0.64831727 0.00068077
0.01005025 0.64736824 0.00067093
0.01507538 0.64721800 0.00066560
0.02010050 0.64706775 0.00066030
0.02512563 0.64692525 0.00065427
0.03015075 0.64678925 0.00064807
0.03517588 0.64665325 0.00064191
0.04020101 0.64652697 0.00063445
0.04522613 0.64640450 0.00062718
0.05025126 0.64628341 0.00061982
0.05527638 0.64617033 0.00061174
0.06030151 0.64606003 0.00060380
0.06532663 0.64595315 0.00059560
0.07035176 0.64585223 0.00058703
0.07537688 0.64575458 0.00057879
0.08040201 0.64566356 0.00057006
0.08542714 0.64557711 0.00056123
0.09045226 0.64549274 0.00055285
0.09547739 0.64541831 0.00054402
0.10050251 0.64534621 0.00053525
0.10552764 0.64527749 0.00052660
0.11055276 0.64521889 0.00051785
0.11557789 0.64516184 0.00050932
0.12060302 0.64511127 0.00050072
0.12562814 0.64506795 0.00049189
0.13065327 0.64502696 0.00048366
0.13567839 0.64499607 0.00047506
0.14070352 0.64496942 0.00046640
0.14572864 0.64494479 0.00045799
0.15075377 0.64493408 0.00044922
0.15577889 0.64492494 0.00044056
0.16080402 0.64492186 0.00043187
0.16582915 0.64492875 0.00042302
0.17085427 0.64493794 0.00041447
0.17587940 0.64495777 0.00040565
0.18090452 0.64498436 0.00039673
0.18592965 0.64501246 0.00038793
0.19095477 0.64505702 0.00037880
0.19597990 0.64510437 0.00036972
0.20100503 0.64515754 0.00036071
0.20603015 0.64522394 0.00035159
0.21105528 0.64529198 0.00034251
0.21608040 0.64537229 0.00033287
0.22110553 0.64546089 0.00032340
0.22613065 0.64554964 0.00031420
0.23115578 0.64565874 0.00030488
0.23618090 0.64576875 0.00029549
0.24120603 0.64588590 0.00028621
0.24623116 0.64601744 0.00027655
0.25125628 0.64614898 0.00026727
0.25628141 0.64629599 0.00025815
0.26130653 0.64644918 0.00024909
0.26633166 0.64660472 0.00024050
0.27135678 0.64677967 0.00023176
0.27638191 0.64695464 0.00022372
0.28140704 0.64714008 0.00021592
0.28643216 0.64733709 0.00020840
0.29145729 0.64753403 0.00020216
0.29648241 0.64774937 0.00019640
0.30150754 0.64796761 0.00019174
0.30653266 0.64819109 0.00018841
0.31155779 0.64842997 0.00018621
0.31658291 0.64866851 0.00018544
0.32160804 0.64892082 0.00018606
0.32663317 0.64917917 0.00018821
0.33165829 0.64943867 0.00019205
0.33668342 0.64971614 0.00019771
0.34170854 0.64999361 0.00020512
0.34673367 0.65027879 0.00021375
0.35175879 0.65057357 0.00022462
0.35678392 0.65086668 0.00023665
0.36180905 0.65117673 0.00025081
0.36683417 0.65148240 0.00026265
0.37185930 0.65179415 0.00027581
0.37688442 0.65209386 0.00027188
0.38190955 0.65238568 0.00026145
0.38693467 0.65261669 0.00020603
0.39195980 0.65281680 0.00014428
0.39698492 0.65283252 0.00021685
0.40201005 0.65279784 0.00043214
0.40703518 0.65247486 0.00077704
0.41206030 0.65207490 0.00116843
0.41708543 0.65144748 0.00154787
0.42211055 0.65072939 0.00195690
0.42713568 0.64995209 0.00217388
0.43216080 0.64914518 0.00234416
0.43718593 0.64837568 0.00221558
0.44221106 0.64761618 0.00205212
0.44723618 0.64696579 0.00178068
0.45226131 0.64631617 0.00165593
0.45728643 0.64586818 0.00170506
0.46231156 0.64540202 0.00193912
0.46733668 0.64515876 0.00222185
0.47236181 0.64492781 0.00254864
0.47738693 0.64483979 0.00283324
0.48241206 0.64479126 0.00310654
0.48743719 0.64481392 0.00333866
0.49246231 0.64487586 0.00354678
0.49748744 0.64496340 0.00373111
0.50251256 0.64507946 0.00388585
0.50753769 0.64520540 0.00402551
0.51256281 0.64534268 0.00413586
0.51758794 0.64548433 0.00423835
0.52261307 0.64562025 0.00431720
0.52763819 0.64575597 0.00439232
0.53266332 0.64587313 0.00445513
0.53768844 0.64598049 0.00451121
0.54271357 0.64607138 0.00455861
0.54773869 0.64614164 0.00459969
0.55276382 0.64620466 0.00463756
0.55778894 0.64624181 0.00467349
0.56281407 0.64628034 0.00471244
0.56783920 0.64629239 0.00475619
0.57286432 0.64630993 0.00481360
0.57788945 0.64631021 0.00487894
0.58291457 0.64632518 0.00497679
0.58793970 0.64633250 0.00508431
0.59296482 0.64637182 0.00524610
0.59798995 0.64643825 0.00544446
0.60301508 0.64652909 0.00569082
0.60804020 0.64670766 0.00601931
0.61306533 0.64688399 0.00637026
0.61809045 0.64721239 0.00684634
0.62311558 0.64755954 0.00735410
0.62814070 0.64801390 0.00793840
0.63316583 0.64851803 0.00850888
0.63819095 0.64903299 0.00902561
0.64321608 0.64949964 0.00935168
0.64824121 0.64991305 0.00947208
0.65326633 0.65027656 0.00947850
0.65829146 0.65066706 0.00923803
0.66331658 0.65110792 0.00897993
0.66834171 0.65165966 0.00868609
0.67336683 0.65238247 0.00840737
0.67839196 0.65314573 0.00819339
0.68341709 0.65394085 0.00803002
0.68844221 0.65458698 0.00779354
0.69346734 0.65516037 0.00752139
0.69849246 0.65552922 0.00702112
0.70351759 0.65583783 0.00639756
0.70854271 0.65611018 0.00568826
0.71356784 0.65638977 0.00490768
0.71859296 0.65666568 0.00413985
0.72361809 0.65693014 0.00339317
0.72864322 0.65713381 0.00273367
0.73366834 0.65726735 0.00217282
0.73869347 0.65735868 0.00166538
0.74371859 0.65733337 0.00132637
0.74874372 0.65727236 0.00103682
0.75376884 0.65716903 0.00081031
0.75879397 0.65701570 0.00065862
0.76381910 0.65684946 0.00052888
0.76884422 0.65666683 0.00042831
0.77386935 0.65646954 0.00035585
0.77889447 0.65626694 0.00030068
0.78391960 0.65605776 0.00026753
0.78894472 0.65584362 0.00025509
0.79396985 0.65562813 0.00025795
0.79899497 0.65540963 0.00027295
0.80402010 0.65519166 0.00029484
0.80904523 0.65497289 0.00032065
0.81407035 0.65475423 0.00034734
0.81909548 0.65453576 0.00037476
0.82412060 0.65431672 0.00040169
0.82914573 0.65409757 0.00042734
0.83417085 0.65387837 0.00045180
0.83919598 0.65365892 0.00047546
0.84422111 0.65344141 0.00049691
0.84924623 0.65322550 0.00051779
0.85427136 0.65301313 0.00053675
0.85929648 0.65280383 0.00055460
0.86432161 0.65259690 0.00057122
0.86934673 0.65239366 0.00058601
0.87437186 0.65219094 0.00060022
0.87939698 0.65198900 0.00061300
0.88442211 0.65178759 0.00062499
0.88944724 0.65158159 0.00063555
0.89447236 0.65137750 0.00064531
0.89949749 0.65116127 0.00065394
0.90452261 0.65094353 0.00066215
0.90954774 0.65072008 0.00066910
0.91457286 0.65049415 0.00067526
0.91959799 0.65029010 0.00068088
0.92462312 0.65009837 0.00068781
0.92964824 0.64995454 0.00069527
0.93467337 0.64983899 0.00069666
0.93969849 0.64970355 0.00069773
0.94472362 0.64952544 0.00069660
0.94974874 0.64934542 0.00069726
0.95477387 0.64916309 0.00069835
0.95979899 0.64897960 0.00069847
0.96482412 0.64880019 0.00069841
0.96984925 0.64863991 0.00069658
0.97487437 0.64848439 0.00069422
0.97989950 0.64832890 0.00069208
0.98492462 0.64816918 0.00068907
0.98994975 0.64800942 0.00068607
0.99497487 0.64817242 0.00068522
1.00000000 0.64994148 0.00069557
