# y/t    TKE_mean   TKE_std
0.00000000 0.00134443 0.00138478
0.00502513 0.00121358 0.00120084
0.01005025 0.00113848 0.00109518
0.01507538 0.00113004 0.00108273
0.02010050 0.00112160 0.00107027
0.02512563 0.00111313 0.00105778
0.03015075 0.00110572 0.00104634
0.03517588 0.00109831 0.00103490
0.04020101 0.00109085 0.00102340
0.04522613 0.00108420 0.00101296
0.05025126 0.00107754 0.00100251
0.05527638 0.00107087 0.00099203
0.06030151 0.00106462 0.00098272
0.06532663 0.00105836 0.00097335
0.07035176 0.00105209 0.00096409
0.07537688 0.00104593 0.00095600
0.08040201 0.00103976 0.00094780
0.08542714 0.00103359 0.00093992
0.09045226 0.00102745 0.00093296
0.09547739 0.00102128 0.00092589
0.10050251 0.00101523 0.00091927
0.10552764 0.00100932 0.00091318
0.11055276 0.00100335 0.00090701
0.11557789 0.00099775 0.00090130
0.12060302 0.00099229 0.00089579
0.12562814 0.00098679 0.00089024
0.13065327 0.00098189 0.00088515
0.13567839 0.00097697 0.00088006
0.14070352 0.00097217 0.00087505
0.14572864 0.00096783 0.00087038
0.15075377 0.00096342 0.00086565
0.15577889 0.00095930 0.00086119
0.16080402 0.00095538 0.00085690
0.16582915 0.00095141 0.00085256
0.17085427 0.00094789 0.00084871
0.17587940 0.00094434 0.00084482
0.18090452 0.00094094 0.00084113
0.18592965 0.00093780 0.00083776
0.19095477 0.00093459 0.00083431
0.19597990 0.00093175 0.00083136
0.20100503 0.00092894 0.00082846
0.20603015 0.00092624 0.00082574
0.21105528 0.00092381 0.00082338
0.21608040 0.00092133 0.00082098
0.22110553 0.00091923 0.00081910
0.22613065 0.00091717 0.00081728
0.23115578 0.00091526 0.00081568
0.23618090 0.00091357 0.00081440
0.24120603 0.00091191 0.00081316
0.24623116 0.00091061 0.00081245
0.25125628 0.00090931 0.00081173
0.25628141 0.00090833 0.00081148
0.26130653 0.00090744 0.00081137
0.26633166 0.00090676 0.00081158
0.27135678 0.00090630 0.00081210
0.27638191 0.00090592 0.00081275
0.28140704 0.00090595 0.00081400
0.28643216 0.00090594 0.00081520
0.29145729 0.00090647 0.00081718
0.29648241 0.00090699 0.00081917
0.30150754 0.00090794 0.00082179
0.30653266 0.00090910 0.00082470
0.31155779 0.00091053 0.00082803
0.31658291 0.00091235 0.00083192
0.32160804 0.00091433 0.00083606
0.32663317 0.00091684 0.00084098
0.33165829 0.00091945 0.00084605
0.33668342 0.00092272 0.00085200
0.34170854 0.00092600 0.00085795
0.34673367 0.00093023 0.00086475
0.35175879 0.00093438 0.00087155
0.35678392 0.00094038 0.00087829
0.36180905 0.00094609 0.00088531
0.36683417 0.00095867 0.00088872
0.37185930 0.00097184 0.00089196
0.37688442 0.00101169 0.00087903
0.38190955 0.00106118 0.00086102
0.38693467 0.00121472 0.00078479
0.39195980 0.00141422 0.00069889
0.39698492 0.00200546 0.00054979
0.40201005 0.00270571 0.00075423
0.40703518 0.00440781 0.00160690
0.41206030 0.00635795 0.00281223
0.41708543 0.00971905 0.00453532
0.42211055 0.01361905 0.00659724
0.42713568 0.01851405 0.00852815
0.43216080 0.02382723 0.01052518
0.43718593 0.02952962 0.01128554
0.44221106 0.03534697 0.01179406
0.44723618 0.04117307 0.01071459
0.45226131 0.04705239 0.00967151
0.45728643 0.05228937 0.00825338
0.46231156 0.05762160 0.00741301
0.46733668 0.06166272 0.00730807
0.47236181 0.06557738 0.00779424
0.47738693 0.06837010 0.00850126
0.48241206 0.07078270 0.00928642
0.48743719 0.07246520 0.00993067
0.49246231 0.07368202 0.01041898
0.49748744 0.07448077 0.01074216
0.50251256 0.07484540 0.01084342
0.50753769 0.07498148 0.01082814
0.51256281 0.07479875 0.01060142
0.51758794 0.07453456 0.01032726
0.52261307 0.07418931 0.00994388
0.52763819 0.07388202 0.00957561
0.53266332 0.07367922 0.00922154
0.53768844 0.07359405 0.00892915
0.54271357 0.07364280 0.00869763
0.54773869 0.07386300 0.00860497
0.55276382 0.07416286 0.00857301
0.55778894 0.07463707 0.00880082
0.56281407 0.07514028 0.00912645
0.56783920 0.07571076 0.00970211
0.57286432 0.07626132 0.01049321
0.57788945 0.07680422 0.01147205
0.58291457 0.07721171 0.01284241
0.58793970 0.07756890 0.01435967
0.59296482 0.07763648 0.01640279
0.59798995 0.07749328 0.01872020
0.60301508 0.07707026 0.02140876
0.60804020 0.07610322 0.02455494
0.61306533 0.07497793 0.02786828
0.61809045 0.07309972 0.03147588
0.62311558 0.07107273 0.03495930
0.62814070 0.06870557 0.03824339
0.63316583 0.06622194 0.04061054
0.63819095 0.06368797 0.04245195
0.64321608 0.06110203 0.04314237
0.64824121 0.05826307 0.04314318
0.65326633 0.05530737 0.04283973
0.65829146 0.05154308 0.04183302
0.66331658 0.04751205 0.04092929
0.66834171 0.04298252 0.04000136
0.67336683 0.03829251 0.03887891
0.67839196 0.03372816 0.03765468
0.68341709 0.02948142 0.03592166
0.68844221 0.02583758 0.03333535
0.69346734 0.02239557 0.03040255
0.69849246 0.01939240 0.02670365
0.70351759 0.01650758 0.02286608
0.70854271 0.01373913 0.01897202
0.71356784 0.01120066 0.01534638
0.71859296 0.00899001 0.01220328
0.72361809 0.00704084 0.00944129
0.72864322 0.00564383 0.00746746
0.73366834 0.00459681 0.00598741
0.73869347 0.00375550 0.00479752
0.74371859 0.00332453 0.00418755
0.74874372 0.00297493 0.00369276
0.75376884 0.00273610 0.00335474
0.75879397 0.00259476 0.00315464
0.76381910 0.00247564 0.00298597
0.76884422 0.00238462 0.00285706
0.77386935 0.00231480 0.00275816
0.77889447 0.00225217 0.00266943
0.78391960 0.00219845 0.00259331
0.78894472 0.00215093 0.00252597
0.79396985 0.00210572 0.00246190
0.79899497 0.00206436 0.00240329
0.80402010 0.00202456 0.00234688
0.80904523 0.00198594 0.00229215
0.81407035 0.00194889 0.00223966
0.81909548 0.00191251 0.00218811
0.82412060 0.00187661 0.00213726
0.82914573 0.00184185 0.00208801
0.83417085 0.00180741 0.00203924
0.83919598 0.00177384 0.00199169
0.84422111 0.00174120 0.00194548
0.84924623 0.00170912 0.00190005
0.85427136 0.00167835 0.00185650
0.85929648 0.00164834 0.00181401
0.86432161 0.00161912 0.00177267
0.86934673 0.00159142 0.00173347
0.87437186 0.00156437 0.00169522
0.87939698 0.00153868 0.00165891
0.88442211 0.00151413 0.00162422
0.88944724 0.00149012 0.00159031
0.89447236 0.00146791 0.00155897
0.89949749 0.00144609 0.00152818
0.90452261 0.00142542 0.00149904
0.90954774 0.00140559 0.00147108
0.91457286 0.00138621 0.00144376
0.91959799 0.00136720 0.00141700
0.92462312 0.00135339 0.00139751
0.92964824 0.00134503 0.00138563
0.93467337 0.00132949 0.00136384
0.93969849 0.00131057 0.00133732
0.94472362 0.00129133 0.00131035
0.94974874 0.00127549 0.00128813
0.95477387 0.00126189 0.00126905
0.95979899 0.00124817 0.00124980
0.96482412 0.00123521 0.00123161
0.96984925 0.00122315 0.00121470
0.97487437 0.00121105 0.00119771
0.97989950 0.00119935 0.00118129
0.98492462 0.00118856 0.00116613
0.98994975 0.00117777 0.00115098
0.99497487 0.00119398 0.00117370
1.00000000 0.00134443 0.00138478
