# s/c   h_mean    h_std
0.00000000 547.50799847 121.86475902
0.00130087 547.69959484 121.62592851
0.00260174 547.73785400 121.50016138
0.00390261 547.63334545 121.48119471
0.00520348 547.39626034 121.56308537
0.00650435 547.03641919 121.74018792
0.00780522 546.56327961 122.00713337
0.00910609 545.98594395 122.35880905
0.01040697 545.31316684 122.79033987
0.01170784 544.55336270 123.29707096
0.01300871 543.71461310 123.87455184
0.01430958 542.80467414 124.51852214
0.01561045 541.83098369 125.22489868
0.01691132 540.80066857 125.98976416
0.01821219 539.72055166 126.80935705
0.01951306 538.59715893 127.68006279
0.02081393 537.43672640 128.59840614
0.02211480 536.24520703 129.56104447
0.02341567 535.02827752 130.56476203
0.02470176 533.79134503 131.60646491
0.02600263 532.53955386 132.68317677
0.02730350 531.27779204 133.79203502
0.02860437 530.01069779 134.93028753
0.02990524 528.74266600 136.09528968
0.03120611 527.47785457 137.28450176
0.03250698 526.22019070 138.49548650
0.03380786 524.97337706 139.72590687
0.03510873 523.74089799 140.97352398
0.03640960 522.52602548 142.23619496
0.03771047 521.33182524 143.51187105
0.03901134 520.16116251 144.79859558
0.04029743 519.01670796 146.09450200
0.04159830 517.90094344 147.39781189
0.04289917 516.81616763 148.70683292
0.04420004 515.76450167 150.01995680
0.04550091 514.74789469 151.33565720
0.04680178 513.76812927 152.65248758
0.04810265 512.82682681 153.96907901
0.04940352 511.92545283 155.28413798
0.05068961 511.06532225 156.59644411
0.05199048 510.24760448 157.90484791
0.05329135 509.47332854 159.20826844
0.05459222 508.74338806 160.50569103
0.05589309 508.05854621 161.79616489
0.05719396 507.41944057 163.07880084
0.05849483 506.82658787 164.35276894
0.05978092 506.28038877 165.61729618
0.06108179 505.78113239 166.87166417
0.06238266 505.32900096 168.11520685
0.06368353 504.92407426 169.34730822
0.06498440 504.56633403 170.56740014
0.06628528 504.25566827 171.77496014
0.06757136 503.99187558 172.96950921
0.06887223 503.77466924 174.15060980
0.07017310 503.60368139 175.31786366
0.07147398 503.47846704 176.47090992
0.07277485 503.39850799 177.60942309
0.07407572 503.36321676 178.73311121
0.07536180 503.37194040 179.84171401
0.07666268 503.42396416 180.93500111
0.07796355 503.51851520 182.01277040
0.07926442 503.65476617 183.07484631
0.08056529 503.83183866 184.12107829
0.08185138 504.04880672 185.15133932
0.08315225 504.30470012 186.16552439
0.08445312 504.59850772 187.16354921
0.08575399 504.92918059 188.14534886
0.08704008 505.29563523 189.11087652
0.08834095 505.69675652 190.06010234
0.08964182 506.13140082 190.99301225
0.09094269 506.59839876 191.90960696
0.09224356 507.09655816 192.80990092
0.09352965 507.62466674 193.69392136
0.09483052 508.18149479 194.56170744
0.09613139 508.76579783 195.41330935
0.09743226 509.37631907 196.24878759
0.09871835 510.01179191 197.06821214
0.10001922 510.67094233 197.87166185
0.10132009 511.35249115 198.65922371
0.10260618 512.05515629 199.43099227
0.10390705 512.77765492 200.18706905
0.10520792 513.51870554 200.92756200
0.10650879 514.27702998 201.65258495
0.10779488 515.05135534 202.36225719
0.10909575 515.84041583 203.05670291
0.11039662 516.64295456 203.73605087
0.11169749 517.45772525 204.40043387
0.11298358 518.28349384 205.04998844
0.11428445 519.11904007 205.68485437
0.11558532 519.96315892 206.30517438
0.11687141 520.81466207 206.91109373
0.11817228 521.67237918 207.50275985
0.11947315 522.53515917 208.08032200
0.12075924 523.40187139 208.64393088
0.12206011 524.27140673 209.19373828
0.12336098 525.14267865 209.72989674
