# s/c   h_mean    h_std
0.00000000 777.13606413 269.01170348
0.00130087 747.48836462 231.53288803
0.00260174 719.64115590 197.96457152
0.00390261 693.51428124 168.71958878
0.00520348 669.03008473 144.44093075
0.00650435 646.11336251 125.99761311
0.00780522 624.69131445 114.27689280
0.00910609 604.69349627 109.66450609
0.01040697 586.05177212 111.52690521
0.01170784 568.70026764 118.32745165
0.01300871 552.57532336 128.30489763
0.01430958 537.61544870 140.00998445
0.01561045 523.76127629 152.43856564
0.01691132 510.95551680 164.95106406
0.01821219 499.14291422 177.15663783
0.01951306 488.27020156 188.82326078
0.02081393 478.28605701 199.81855880
0.02211480 469.14106059 210.07289418
0.02341567 460.78765115 219.55655152
0.02470176 453.18008391 228.26551014
0.02600263 446.27438844 236.21242020
0.02730350 440.02832700 243.42076555
0.02860437 434.40135347 249.92101201
0.02990524 429.35457260 255.74801730
0.03120611 424.85069976 260.93925895
0.03250698 420.85402118 265.53360327
0.03380786 417.33035454 269.57043912
0.03510873 414.24701011 273.08906180
0.03640960 411.57275227 276.12823164
0.03771047 409.27776151 278.72585620
0.03901134 407.33359686 280.91876151
0.04029743 405.71315878 282.74252802
0.04159830 404.39065252 284.23137458
0.04289917 403.34155187 285.41807812
0.04420004 402.54256340 286.33392048
0.04550091 401.97159117 287.00865608
0.04680178 401.60770181 287.47049572
0.04810265 401.43109014 287.74610310
0.04940352 401.42304520 287.86060157
0.05068961 401.56591666 287.83758907
0.05199048 401.84308183 287.69915983
0.05329135 402.23891297 287.46593178
0.05459222 402.73874512 287.15707870
0.05589309 403.32884438 286.79036642
0.05719396 403.99637664 286.38219258
0.05849483 404.72937670 285.94762938
0.05978092 405.51671792 285.50046891
0.06108179 406.34808225 285.05327070
0.06238266 407.21393078 284.61741116
0.06368353 408.10547466 284.20313445
0.06498440 409.01464651 283.81960453
0.06628528 409.93407232 283.47495803
0.06757136 410.85704366 283.17635747
0.06887223 411.77749052 282.93004477
0.07017310 412.68995448 282.74139430
0.07147398 413.58956233 282.61496555
0.07277485 414.47200019 282.55455482
0.07407572 415.33348805 282.56324574
0.07536180 416.17075478 282.64345835
0.07666268 416.98101353 282.79699648
0.07796355 417.76193764 283.02509324
0.07926442 418.51163699 283.32845440
0.08056529 419.22863476 283.70729962
0.08185138 419.91184469 284.16140134
0.08315225 420.56054873 284.69012137
0.08445312 421.17437519 285.29244508
0.08575399 421.75327733 285.96701335
0.08704008 422.29751236 286.71215219
0.08834095 422.80762093 287.52590017
0.08964182 423.28440704 288.40603392
0.09094269 423.72891843 289.35009153
0.09224356 424.14242740 290.35539436
0.09352965 424.52641205 291.41906708
0.09483052 424.88253803 292.53805639
0.09613139 425.21264069 293.70914840
0.09743226 425.51870767 294.92898490
0.09871835 425.80286202 296.19407869
0.10001922 426.06734565 297.50082809
0.10132009 426.31450332 298.84553083
0.10260618 426.54676704 300.22439728
0.10390705 426.76664091 301.63356339
0.10520792 426.97668644 303.06910319
0.10650879 427.17950832 304.52704106
0.10779488 427.37774055 306.00336383
