# s/c   h_mean    h_std
0.00000000 562.34794350 119.63645182
0.00130087 562.69170088 119.69506552
0.00260174 562.86649129 119.86001274
0.00390261 562.88375529 120.12495068
0.00520348 562.75451326 120.48388122
0.00650435 562.48937431 120.93112580
0.00780522 562.09854502 121.46130118
0.00910609 561.59183821 122.06929676
0.01040697 560.97868152 122.75025330
0.01170784 560.26812596 123.49954348
0.01300871 559.46885432 124.31275410
0.01430958 558.58918957 125.18567011
0.01561045 557.63710311 126.11426030
0.01691132 556.62022292 127.09466463
0.01821219 555.54584170 128.12318316
0.01951306 554.42092482 129.19626624
0.02081393 553.25211827 130.31050611
0.02211480 552.04575649 131.46262956
0.02341567 550.80787008 132.64949161
0.02470176 549.54419344 133.86807003
0.02600263 548.26017240 135.11546067
0.02730350 546.96097162 136.38887328
0.02860437 545.65148201 137.68562801
0.02990524 544.33632801 139.00315220
0.03120611 543.01987483 140.33897755
0.03250698 541.70623553 141.69073760
0.03380786 540.39927810 143.05616531
0.03510873 539.10263235 144.43309092
0.03640960 537.81969682 145.81943973
0.03771047 536.55364551 147.21323014
0.03901134 535.30743457 148.61257160
0.04029743 534.08380891 150.01566258
0.04159830 532.88530870 151.42078861
0.04289917 531.71427576 152.82632021
0.04420004 530.57285991 154.23071082
0.04550091 529.46302522 155.63249478
0.04680178 528.38655612 157.03028511
0.04810265 527.34506353 158.42277143
0.04940352 526.33999078 159.80871769
0.05068961 525.37261950 161.18695998
0.05199048 524.44407546 162.55640428
0.05329135 523.55533426 163.91602413
0.05459222 522.70722693 165.26485836
0.05589309 521.90044549 166.60200877
0.05719396 521.13554841 167.92663783
0.05849483 520.41296594 169.23796630
0.05978092 519.73300538 170.53527097
0.06108179 519.09585632 171.81788234
0.06238266 518.50159563 173.08518230
0.06368353 517.95019259 174.33660193
0.06498440 517.44151369 175.57161918
0.06628528 516.97532756 176.78975674
0.06757136 516.55130965 177.99057983
0.06887223 516.16904691 179.17369408
0.07017310 515.82804234 180.33874346
0.07147398 515.52771949 181.48540822
0.07277485 515.26742683 182.61340296
0.07407572 515.04644207 183.72247464
0.07536180 514.86397635 184.81240079
0.07666268 514.71917838 185.88298760
0.07796355 514.61113850 186.93406828
0.07926442 514.53889258 187.96550128
0.08056529 514.50142593 188.97716873
0.08185138 514.49767703 189.96897487
0.08315225 514.52654125 190.94084452
0.08445312 514.58687443 191.89272171
0.08575399 514.67749640 192.82456827
0.08704008 514.79719439 193.73636256
0.08834095 514.94472635 194.62809822
0.08964182 515.11882425 195.49978299
