# y/t    WL_mean   WL_std
0.00000000 0.99999071 0.00018891
0.00502513 0.99995452 0.00013772
0.01005025 0.99993728 0.00010822
0.01507538 0.99993728 0.00010618
0.02010050 0.99993728 0.00010415
0.02512563 0.99993961 0.00010172
0.03015075 0.99993961 0.00009942
0.03517588 0.99993961 0.00009714
0.04020101 0.99993739 0.00009347
0.04522613 0.99993985 0.00008920
0.05025126 0.99994258 0.00008514
0.05527638 0.99994736 0.00008153
0.06030151 0.99995698 0.00007184
0.06532663 0.99996653 0.00006343
0.07035176 0.99997641 0.00005675
0.07537688 0.99998862 0.00004823
0.08040201 1.00000070 0.00003759
0.08542714 1.00001166 0.00002742
0.09045226 1.00002004 0.00002117
0.09547739 1.00002955 0.00001474
0.10050251 1.00003810 0.00001040
0.10552764 1.00004489 0.00000809
0.11055276 1.00004954 0.00000443
0.11557789 1.00005110 0.00000329
0.12060302 1.00005110 0.00000329
0.12562814 1.00005110 0.00000329
0.13065327 1.00005110 0.00000329
0.13567839 1.00004998 0.00000431
0.14070352 1.00004834 0.00000572
0.14572864 1.00004642 0.00000652
0.15075377 1.00004482 0.00000425
0.15577889 1.00004306 0.00000425
0.16080402 1.00004125 0.00000574
0.16582915 1.00003955 0.00000653
0.17085427 1.00003779 0.00000417
0.17587940 1.00003717 0.00000329
0.18090452 1.00003717 0.00000329
0.18592965 1.00003717 0.00000329
0.19095477 1.00003513 0.00000040
0.19597990 1.00003484 0.00000000
0.20100503 1.00003484 0.00000000
0.20603015 1.00003484 0.00000000
0.21105528 1.00003484 0.00000000
0.21608040 1.00003277 0.00000293
0.22110553 1.00003252 0.00000329
0.22613065 1.00003252 0.00000329
0.23115578 1.00003198 0.00000406
0.23618090 1.00003089 0.00000559
0.24120603 1.00003020 0.00000657
0.24623116 1.00003020 0.00000657
0.25125628 1.00003020 0.00000657
0.25628141 1.00003094 0.00000715
0.26130653 1.00003196 0.00000811
0.26633166 1.00003241 0.00000884
0.27135678 1.00003121 0.00001046
0.27638191 1.00003074 0.00001208
0.28140704 1.00003252 0.00001314
0.28643216 1.00003252 0.00001314
0.29145729 1.00003252 0.00001314
0.29648241 1.00003252 0.00001314
0.30150754 1.00003252 0.00001314
0.30653266 1.00003178 0.00001419
0.31155779 1.00003020 0.00001643
0.31658291 1.00003020 0.00001643
0.32160804 1.00002958 0.00001665
0.32663317 1.00002743 0.00001749
0.33165829 1.00002547 0.00001841
0.33668342 1.00002435 0.00001997
0.34170854 1.00002323 0.00002154
0.34673367 1.00003238 0.00003030
0.35175879 1.00003670 0.00003714
0.35678392 1.00004811 0.00004983
0.36180905 1.00006036 0.00006307
0.36683417 1.00005207 0.00006580
0.37185930 1.00004413 0.00007810
0.37688442 0.99992901 0.00012117
0.38190955 0.99977455 0.00023416
0.38693467 0.99929929 0.00052947
0.39195980 0.99868118 0.00092587
0.39698492 0.99738119 0.00150769
0.40201005 0.99586256 0.00221062
0.40703518 0.99348548 0.00288343
0.41206030 0.99083456 0.00365002
0.41708543 0.98757283 0.00405129
0.42211055 0.98406431 0.00439132
0.42713568 0.98030171 0.00428531
0.43216080 0.97642902 0.00406281
0.43718593 0.97252025 0.00364552
0.44221106 0.96860200 0.00334795
0.44723618 0.96482103 0.00329451
0.45226131 0.96103171 0.00357322
0.45728643 0.95748899 0.00413436
0.46231156 0.95391619 0.00488311
0.46733668 0.95060680 0.00574821
0.47236181 0.94732199 0.00668212
0.47738693 0.94426242 0.00766166
0.48241206 0.94130635 0.00866023
0.48743719 0.93854054 0.00966486
0.49246231 0.93596230 0.01065314
0.49748744 0.93353759 0.01162605
0.50251256 0.93137890 0.01254103
0.50753769 0.92935042 0.01343079
0.51256281 0.92766831 0.01423029
0.51758794 0.92607741 0.01500386
0.52261307 0.92492351 0.01566451
0.52763819 0.92387686 0.01630067
0.53266332 0.92313770 0.01686827
0.53768844 0.92257785 0.01740812
0.54271357 0.92222570 0.01791276
0.54773869 0.92211950 0.01838979
0.55276382 0.92212943 0.01885502
0.55778894 0.92245544 0.01930550
0.56281407 0.92287971 0.01975199
0.56783920 0.92354420 0.02019528
0.57286432 0.92438440 0.02062972
0.57788945 0.92537405 0.02106201
0.58291457 0.92664290 0.02146344
0.58793970 0.92799586 0.02186017
0.59296482 0.92967623 0.02221307
0.59798995 0.93149874 0.02254543
0.60301508 0.93351616 0.02284899
0.60804020 0.93579873 0.02310817
0.61306533 0.93816513 0.02336573
0.61809045 0.94086180 0.02357908
0.62311558 0.94365794 0.02379510
0.62814070 0.94665308 0.02399928
0.63316583 0.94987987 0.02420473
0.63819095 0.95322110 0.02440876
0.64321608 0.95677013 0.02460206
0.64824121 0.96038683 0.02469069
0.65326633 0.96406227 0.02474742
0.65829146 0.96763840 0.02439376
0.66331658 0.97114595 0.02390549
0.66834171 0.97450926 0.02316457
0.67336683 0.97762416 0.02217112
0.67839196 0.98055692 0.02113156
0.68341709 0.98320556 0.01996984
0.68844221 0.98541982 0.01858534
0.69346734 0.98745848 0.01710772
0.69849246 0.98908566 0.01531937
0.70351759 0.99056996 0.01341715
0.70854271 0.99194853 0.01144660
0.71356784 0.99323610 0.00948327
0.71859296 0.99448664 0.00765382
0.72361809 0.99569281 0.00593575
0.72864322 0.99673326 0.00448028
0.73366834 0.99759590 0.00326686
0.73869347 0.99835915 0.00218698
0.74371859 0.99882786 0.00151476
0.74874372 0.99921421 0.00096612
0.75376884 0.99949128 0.00056713
0.75879397 0.99964800 0.00034506
0.76381910 0.99977432 0.00016376
0.76884422 0.99985693 0.00004064
0.77386935 0.99991347 0.00004268
0.77889447 0.99995918 0.00010981
0.78391960 0.99999394 0.00015896
0.78894472 1.00001886 0.00019812
0.79396985 1.00004028 0.00022945
0.79899497 1.00005543 0.00025087
0.80402010 1.00006375 0.00026755
0.80904523 1.00007266 0.00028016
0.81407035 1.00007720 0.00028962
0.81909548 1.00007898 0.00029403
0.82412060 1.00007898 0.00029841
0.82914573 1.00007537 0.00029767
0.83417085 1.00007388 0.00029667
0.83919598 1.00007243 0.00029462
0.84422111 1.00006906 0.00028985
0.84924623 1.00006460 0.00028355
0.85427136 1.00005910 0.00027832
0.85929648 1.00005361 0.00027292
0.86432161 1.00004756 0.00026437
0.86934673 1.00004007 0.00025649
0.87437186 1.00003315 0.00024964
0.87939698 1.00002604 0.00024259
0.88442211 1.00001976 0.00023551
0.88944724 1.00001187 0.00022856
0.89447236 1.00000463 0.00022336
0.89949749 0.99999684 0.00021458
0.90452261 0.99998726 0.00020781
0.90954774 0.99998105 0.00020200
0.91457286 0.99997322 0.00019504
0.91959799 0.99997260 0.00018888
0.92462312 0.99998354 0.00018563
0.92964824 0.99999263 0.00018711
0.93467337 0.99998189 0.00018344
0.93969849 0.99996914 0.00017634
0.94472362 0.99994487 0.00016776
0.94974874 0.99992405 0.00016169
0.95477387 0.99991614 0.00015788
0.95979899 0.99992069 0.00015466
0.96482412 0.99992763 0.00014973
0.96984925 0.99993240 0.00014487
0.97487437 0.99993523 0.00014087
0.97989950 0.99993953 0.00013641
0.98492462 0.99993710 0.00013104
0.98994975 0.99993458 0.00012568
0.99497487 0.99994097 0.00013121
1.00000000 0.99999071 0.00018891
