# s/c   M_is_mean    M_is_std
0.00000000 0.01961812 0.00131060
0.00130087 0.02926063 0.00069414
0.00260174 0.03672341 0.00043498
0.00390261 0.04314040 0.00028723
0.00520348 0.04890878 0.00019391
0.00650435 0.05422161 0.00013322
0.00780522 0.05918923 0.00009483
0.00910609 0.06388145 0.00007309
0.01040697 0.06834564 0.00006370
0.01170784 0.07261568 0.00006219
0.01300871 0.07671687 0.00006482
0.01430958 0.08066870 0.00006951
0.01561045 0.08448671 0.00007544
0.01691132 0.08818353 0.00008237
0.01821219 0.09176969 0.00009026
0.01951306 0.09525414 0.00009903
0.02081393 0.09864462 0.00010860
0.02211480 0.10194790 0.00011880
0.02341567 0.10517003 0.00012947
0.02470176 0.10831645 0.00014043
0.02600263 0.11139214 0.00015153
0.02730350 0.11440164 0.00016262
0.02860437 0.11734920 0.00017357
0.02990524 0.12023879 0.00018426
0.03120611 0.12307414 0.00019461
0.03250698 0.12585878 0.00020453
0.03380786 0.12859608 0.00021397
0.03510873 0.13128926 0.00022288
0.03640960 0.13394140 0.00023121
0.03771047 0.13655548 0.00023894
0.03901134 0.13913437 0.00024606
0.04029743 0.14168083 0.00025254
0.04159830 0.14419755 0.00025839
0.04289917 0.14668714 0.00026360
0.04420004 0.14915213 0.00026819
0.04550091 0.15159497 0.00027217
0.04680178 0.15401806 0.00027555
0.04810265 0.15642371 0.00027836
0.04940352 0.15881419 0.00028061
0.05068961 0.16119168 0.00028234
0.05199048 0.16355834 0.00028357
0.05329135 0.16591622 0.00028434
0.05459222 0.16826733 0.00028468
0.05589309 0.17061363 0.00028462
0.05719396 0.17295701 0.00028420
0.05849483 0.17529929 0.00028346
0.05978092 0.17764223 0.00028244
0.06108179 0.17998756 0.00028117
0.06238266 0.18233690 0.00027970
0.06368353 0.18469184 0.00027806
0.06498440 0.18705390 0.00027628
0.06628528 0.18942453 0.00027442
0.06757136 0.19180512 0.00027250
0.06887223 0.19419701 0.00027056
0.07017310 0.19660146 0.00026864
0.07147398 0.19901967 0.00026677
0.07277485 0.20145278 0.00026497
0.07407572 0.20390186 0.00026329
0.07536180 0.20636793 0.00026174
0.07666268 0.20885193 0.00026036
0.07796355 0.21135476 0.00025916
0.07926442 0.21387723 0.00025816
0.08056529 0.21642010 0.00025739
0.08185138 0.21898409 0.00025686
0.08315225 0.22156983 0.00025658
0.08445312 0.22417790 0.00025656
0.08575399 0.22680883 0.00025682
0.08704008 0.22946308 0.00025736
0.08834095 0.23214107 0.00025819
0.08964182 0.23484315 0.00025930
0.09094269 0.23756963 0.00026071
0.09224356 0.24032075 0.00026241
0.09352965 0.24309672 0.00026441
0.09483052 0.24589768 0.00026670
0.09613139 0.24872374 0.00026929
0.09743226 0.25157495 0.00027217
0.09871835 0.25445132 0.00027534
0.10001922 0.25735282 0.00027879
0.10132009 0.26027937 0.00028254
0.10260618 0.26323086 0.00028657
0.10390705 0.26620713 0.00029089
0.10520792 0.26920799 0.00029549
0.10650879 0.27223322 0.00030037
0.10779488 0.27528254 0.00030552
0.10909575 0.27835568 0.00031095
0.11039662 0.28145231 0.00031664
0.11169749 0.28457207 0.00032261
0.11298358 0.28771458 0.00032883
0.11428445 0.29087944 0.00033532
0.11558532 0.29406622 0.00034205
0.11687141 0.29727447 0.00034903
0.11817228 0.30050370 0.00035625
0.11947315 0.30375343 0.00036370
0.12075924 0.30702313 0.00037137
0.12206011 0.31031229 0.00037926
0.12336098 0.31362036 0.00038734
0.12466185 0.31694677 0.00039563
0.12594794 0.32029095 0.00040409
0.12724881 0.32365231 0.00041272
0.12854968 0.32703027 0.00042151
0.12983577 0.33222967 0.00044342
0.13113664 0.33581511 0.00045894
0.13243751 0.33938499 0.00047219
0.13372359 0.34295007 0.00048288
0.13502447 0.34651690 0.00049193
0.13632534 0.35008237 0.00049993
0.13761142 0.35364193 0.00050687
0.13891229 0.35719993 0.00051318
0.14019838 0.36078255 0.00052055
0.14149925 0.36442968 0.00053071
0.14280012 0.36816114 0.00054267
0.14408621 0.37193706 0.00055752
0.14538708 0.37567496 0.00057799
0.14668795 0.37932699 0.00059643
0.14797404 0.38288953 0.00060750
0.14927491 0.38638352 0.00061324
0.15056100 0.38985264 0.00061530
0.15186187 0.39332582 0.00061569
0.15316274 0.39678919 0.00061654
0.15444883 0.40021455 0.00061824
0.15574970 0.40360581 0.00061852
0.15703579 0.40699444 0.00061688
0.15833666 0.41037432 0.00061395
0.15963753 0.41371746 0.00060987
0.16092362 0.41701424 0.00060452
0.16222449 0.42033202 0.00059771
0.16351058 0.42377794 0.00059411
0.16481145 0.42734144 0.00059755
0.16611232 0.43094963 0.00061237
0.16739841 0.43454440 0.00063740
0.16869928 0.43808822 0.00065974
0.16998537 0.44157753 0.00067591
0.17128624 0.44501719 0.00068718
0.17257232 0.44841421 0.00069335
0.17387319 0.45177766 0.00069606
0.17517407 0.45511694 0.00069590
0.17646015 0.45844124 0.00069354
0.17776102 0.46175781 0.00068934
0.17904711 0.46507021 0.00068371
0.18034798 0.46838218 0.00067698
0.18163407 0.47169759 0.00066954
0.18293494 0.47502711 0.00066264
0.18422103 0.47839234 0.00065854
0.18552190 0.48180753 0.00065716
0.18680799 0.48526470 0.00065803
0.18810886 0.48872283 0.00065995
0.18939495 0.49213989 0.00065676
0.19069582 0.49551311 0.00064619
0.19199669 0.49890741 0.00063329
0.19328278 0.50242562 0.00062545
0.19458365 0.50606661 0.00062632
0.19586974 0.50977079 0.00063808
0.19717061 0.51350677 0.00065767
0.19845669 0.51725682 0.00067629
0.19975757 0.52103366 0.00069219
0.20104365 0.52483774 0.00070561
0.20234452 0.52863830 0.00071298
0.20363061 0.53241099 0.00071078
0.20493148 0.53613903 0.00069864
0.20621757 0.53986827 0.00068341
0.20750366 0.54369584 0.00067373
0.20880453 0.54764394 0.00067323
0.21009062 0.55167719 0.00068247
0.21139149 0.55575225 0.00069917
0.21267758 0.55984063 0.00071522
0.21397845 0.56395150 0.00072755
0.21526454 0.56810297 0.00073880
0.21656541 0.57230456 0.00075098
0.21785149 0.57656213 0.00076583
0.21915236 0.58087106 0.00078355
0.22043845 0.58521930 0.00080324
0.22173932 0.58959207 0.00082277
0.22302541 0.59397778 0.00084089
0.22432628 0.59837197 0.00085744
0.22561237 0.60278652 0.00087379
0.22689846 0.60724560 0.00089308
0.22819933 0.61175464 0.00091698
