# s/c   M_is_mean    M_is_std
0.22819933 0.61852677 0.00089246
0.22948542 0.62316059 0.00091796
0.23078629 0.62782200 0.00094695
0.23207238 0.63249437 0.00097803
0.23337325 0.63716080 0.00100960
0.23465933 0.64180152 0.00103890
0.23594542 0.64640000 0.00106534
0.23724629 0.65095030 0.00108914
0.23853238 0.65546075 0.00110988
0.23983325 0.65994910 0.00112820
0.24111934 0.66443129 0.00114521
0.24240543 0.66891327 0.00116207
0.24370630 0.67338744 0.00117988
0.24499239 0.67783920 0.00119884
0.24629326 0.68225959 0.00121844
0.24757935 0.68664219 0.00123816
0.24886543 0.69097822 0.00125633
0.25016630 0.69526331 0.00127255
0.25145239 0.69949407 0.00128716
0.25275326 0.70366825 0.00130081
0.25403935 0.70779206 0.00131408
0.25532544 0.71187148 0.00132721
0.25662631 0.71590786 0.00134019
0.25791240 0.71989773 0.00135286
0.25919849 0.72383141 0.00136548
0.26049936 0.72769832 0.00137693
0.26178545 0.73148954 0.00138543
0.26307153 0.73520381 0.00139122
0.26437240 0.73884573 0.00139593
0.26565849 0.74244025 0.00140007
0.26695936 0.74603324 0.00140429
0.26824545 0.74963940 0.00140798
0.26953154 0.75323788 0.00141383
0.27083241 0.75678383 0.00142520
0.27211850 0.76021962 0.00143625
0.27340459 0.76352397 0.00144448
0.27470546 0.76670945 0.00144988
0.27599154 0.76981504 0.00145088
0.27727763 0.77288816 0.00145134
0.27857850 0.77594243 0.00145155
0.27986459 0.77897168 0.00145182
0.28115068 0.78195796 0.00145463
0.28243677 0.78485161 0.00145568
0.28373764 0.78760233 0.00145750
0.28502373 0.79022161 0.00146206
0.28630981 0.79275452 0.00146435
0.28761068 0.79525248 0.00146059
0.28889677 0.79773092 0.00145357
0.29018286 0.80013674 0.00145045
0.29148373 0.80241153 0.00144802
0.29276982 0.80453961 0.00144172
0.29405591 0.80653355 0.00143068
0.29534200 0.80842121 0.00141438
0.29664287 0.81023946 0.00139488
0.29792895 0.81200216 0.00137464
0.29921504 0.81369468 0.00135553
0.30051591 0.81528649 0.00133823
0.30180200 0.81674660 0.00132027
0.30308809 0.81806876 0.00129971
0.30437418 0.81927692 0.00127569
0.30567505 0.82041133 0.00124854
0.30696114 0.82151489 0.00122119
0.30824722 0.82260262 0.00119592
0.30953331 0.82365978 0.00117407
0.31083418 0.82465496 0.00115546
0.31212027 0.82556316 0.00113867
0.31340636 0.82638126 0.00112067
0.31469245 0.82711279 0.00109629
0.31599332 0.82775297 0.00106416
0.31727941 0.82829045 0.00102515
0.31856549 0.82872918 0.00097939
0.31985158 0.82909484 0.00092898
0.32115245 0.82941830 0.00087725
0.32243854 0.82973214 0.00082830
0.32372463 0.83007067 0.00078637
0.32501072 0.83044847 0.00075408
0.32629681 0.83085880 0.00073186
0.32759768 0.83128675 0.00071962
0.32888376 0.83171025 0.00071424
0.33016985 0.83210669 0.00070789
0.33145594 0.83246527 0.00069658
0.33275681 0.83278449 0.00068030
0.33404290 0.83307216 0.00066094
0.33532899 0.83334360 0.00064356
0.33661508 0.83360899 0.00063220
0.33790116 0.83387078 0.00062658
0.33918725 0.83413015 0.00062277
0.34048812 0.83439402 0.00061840
0.34177421 0.83467149 0.00061221
0.34306030 0.83497218 0.00060542
0.34434639 0.83530347 0.00060036
0.34563247 0.83566680 0.00060088
0.34693335 0.83605738 0.00061224
0.34821943 0.83645760 0.00063331
0.34950552 0.83685387 0.00066163
0.35079161 0.83724117 0.00069449
0.35207770 0.83760705 0.00072392
0.35336379 0.83794709 0.00074447
0.35466466 0.83827495 0.00075697
0.35595074 0.83861465 0.00076670
0.35723683 0.83898665 0.00077975
0.35852292 0.83939368 0.00079901
0.35980901 0.83982968 0.00082575
0.36109510 0.84029243 0.00085874
0.36238118 0.84078122 0.00089634
0.36368206 0.84128531 0.00093604
0.36496814 0.84178298 0.00097275
0.36625423 0.84225284 0.00100276
0.36754032 0.84268948 0.00102652
0.36882641 0.84310794 0.00104810
0.37011250 0.84353594 0.00107440
0.37139858 0.84399499 0.00111174
0.37269945 0.84447774 0.00115899
0.37398554 0.84496803 0.00121121
0.37527163 0.84546031 0.00126456
0.37655772 0.84595646 0.00131507
0.37784381 0.84646625 0.00135842
0.37912989 0.84700443 0.00139388
0.38041598 0.84756823 0.00142213
0.38170207 0.84812825 0.00144264
0.38298816 0.84865687 0.00145744
0.38428903 0.84915109 0.00147141
0.38557512 0.84962551 0.00148994
0.38686121 0.85009718 0.00151627
0.38814729 0.85058134 0.00155082
0.38943338 0.85109075 0.00159216
0.39071947 0.85163088 0.00163848
0.39200556 0.85219839 0.00168734
0.39329165 0.85278991 0.00173707
0.39457773 0.85340912 0.00178760
0.39586382 0.85406304 0.00183848
0.39714991 0.85475390 0.00189011
0.39843600 0.85546268 0.00194115
0.39973687 0.85614375 0.00198591
0.40102296 0.85674654 0.00201988
0.40230905 0.85725962 0.00204396
0.40359513 0.85772533 0.00206943
0.40488122 0.85819125 0.00210472
0.40616731 0.85868403 0.00214914
0.40745340 0.85920721 0.00219961
0.40873949 0.85973143 0.00224835
0.41002557 0.86022529 0.00228905
0.41131166 0.86069195 0.00232375
0.41259775 0.86115981 0.00235826
0.41388384 0.86164597 0.00239428
0.41516993 0.86214714 0.00242996
0.41645601 0.86269310 0.00247008
0.41774210 0.86334496 0.00252513
0.41902819 0.86415167 0.00259915
0.42031428 0.86507667 0.00268181
0.42160037 0.86600622 0.00275435
0.42288645 0.86689004 0.00280998
0.42417254 0.86773510 0.00285536
0.42545863 0.86855854 0.00289938
