# s/c   M_is_mean    M_is_std
0.00000000 0.02016844 0.00115756
0.00130087 0.02987133 0.00059881
0.00260174 0.03743057 0.00035815
0.00390261 0.04395072 0.00022074
0.00520348 0.04982385 0.00013562
0.00650435 0.05524138 0.00008445
0.00780522 0.06031295 0.00006048
0.00910609 0.06510796 0.00005704
0.01040697 0.06967355 0.00006227
0.01170784 0.07404345 0.00006834
0.01300871 0.07824284 0.00007295
0.01430958 0.08229117 0.00007601
0.01561045 0.08620391 0.00007805
0.01691132 0.08999367 0.00007972
0.01821219 0.09367096 0.00008166
0.01951306 0.09724474 0.00008433
0.02081393 0.10072275 0.00008803
0.02211480 0.10411178 0.00009285
0.02341567 0.10741790 0.00009875
0.02470176 0.11064659 0.00010555
0.02600263 0.11380285 0.00011305
0.02730350 0.11689127 0.00012102
0.02860437 0.11991614 0.00012924
0.02990524 0.12288148 0.00013754
0.03120611 0.12579107 0.00014575
0.03250698 0.12864849 0.00015376
0.03380786 0.13145717 0.00016144
0.03510873 0.13422038 0.00016873
0.03640960 0.13694127 0.00017555
0.03771047 0.13962288 0.00018186
0.03901134 0.14226813 0.00018761
0.04029743 0.14487986 0.00019279
0.04159830 0.14746082 0.00019738
0.04289917 0.15001369 0.00020137
0.04420004 0.15254105 0.00020476
0.04550091 0.15504544 0.00020755
0.04680178 0.15752930 0.00020976
0.04810265 0.15999504 0.00021140
0.04940352 0.16244497 0.00021249
0.05068961 0.16488136 0.00021305
0.05199048 0.16730640 0.00021311
0.05329135 0.16972225 0.00021270
0.05459222 0.17213097 0.00021185
0.05589309 0.17453458 0.00021058
0.05719396 0.17693504 0.00020894
0.05849483 0.17933423 0.00020696
0.05978092 0.18173398 0.00020468
0.06108179 0.18413607 0.00020212
0.06238266 0.18654220 0.00019934
0.06368353 0.18895399 0.00019637
0.06498440 0.19137305 0.00019324
0.06628528 0.19380086 0.00019000
0.06757136 0.19623889 0.00018669
0.06887223 0.19868850 0.00018333
0.07017310 0.20115103 0.00017998
0.07147398 0.20362771 0.00017667
0.07277485 0.20611975 0.00017342
0.07407572 0.20862824 0.00017028
0.07536180 0.21115426 0.00016727
0.07666268 0.21369879 0.00016444
0.07796355 0.21626276 0.00016179
0.07926442 0.21884703 0.00015937
0.08056529 0.22145239 0.00015718
0.08185138 0.22407959 0.00015526
0.08315225 0.22672929 0.00015362
