# s/c   P_w_mean    P_w_std
0.00000000 0.99997901 0.00003142
0.00130087 0.99957506 0.00002371
0.00260174 0.99916161 0.00001679
0.00390261 0.99873959 0.00001067
0.00520348 0.99830985 0.00000553
0.00650435 0.99787317 0.00000313
0.00780522 0.99743029 0.00000580
0.00910609 0.99698186 0.00000937
0.01040697 0.99652850 0.00001269
0.01170784 0.99607076 0.00001564
0.01300871 0.99560915 0.00001821
0.01430958 0.99514410 0.00002044
0.01561045 0.99467601 0.00002234
0.01691132 0.99420523 0.00002394
0.01821219 0.99373207 0.00002527
0.01951306 0.99325678 0.00002636
0.02081393 0.99277956 0.00002724
0.02211480 0.99230060 0.00002791
0.02341567 0.99182003 0.00002842
0.02470176 0.99133792 0.00002877
0.02600263 0.99085435 0.00002899
0.02730350 0.99036932 0.00002909
0.02860437 0.98988283 0.00002910
0.02990524 0.98939483 0.00002902
0.03120611 0.98890524 0.00002887
0.03250698 0.98841396 0.00002866
0.03380786 0.98792085 0.00002841
0.03510873 0.98742576 0.00002813
0.03640960 0.98692849 0.00002783
0.03771047 0.98642884 0.00002752
0.03901134 0.98592659 0.00002721
0.04029743 0.98542146 0.00002693
0.04159830 0.98491321 0.00002667
0.04289917 0.98440153 0.00002645
0.04420004 0.98388613 0.00002628
0.04550091 0.98336667 0.00002618
0.04680178 0.98284283 0.00002615
0.04810265 0.98231425 0.00002622
0.04940352 0.98178057 0.00002639
0.05068961 0.98124143 0.00002666
0.05199048 0.98069643 0.00002706
0.05329135 0.98014519 0.00002759
0.05459222 0.97958731 0.00002824
0.05589309 0.97902238 0.00002904
0.05719396 0.97844999 0.00002997
0.05849483 0.97786973 0.00003103
0.05978092 0.97728118 0.00003223
0.06108179 0.97668391 0.00003356
0.06238266 0.97607750 0.00003501
0.06368353 0.97546152 0.00003659
0.06498440 0.97483556 0.00003827
0.06628528 0.97419919 0.00004007
0.06757136 0.97355199 0.00004196
0.06887223 0.97289353 0.00004395
0.07017310 0.97222340 0.00004602
0.07147398 0.97154119 0.00004817
0.07277485 0.97084649 0.00005039
0.07407572 0.97013891 0.00005269
0.07536180 0.96941803 0.00005504
0.07666268 0.96868348 0.00005744
0.07796355 0.96793488 0.00005990
0.07926442 0.96717184 0.00006240
0.08056529 0.96639401 0.00006493
0.08185138 0.96560103 0.00006750
0.08315225 0.96479255 0.00007010
0.08445312 0.96396824 0.00007271
0.08575399 0.96312777 0.00007535
0.08704008 0.96227083 0.00007800
0.08834095 0.96139713 0.00008066
0.08964182 0.96050635 0.00008333
0.09094269 0.95959824 0.00008599
0.09224356 0.95867252 0.00008866
0.09352965 0.95772895 0.00009132
0.09483052 0.95676728 0.00009397
0.09613139 0.95578729 0.00009661
0.09743226 0.95478878 0.00009924
0.09871835 0.95377153 0.00010185
0.10001922 0.95273538 0.00010444
0.10132009 0.95168016 0.00010702
