# s/c   P_w_mean    P_w_std
0.00000000 0.99997831 0.00002987
0.00130087 0.99958135 0.00002367
0.00260174 0.99917534 0.00001853
0.00390261 0.99876118 0.00001459
0.00520348 0.99833968 0.00001210
0.00650435 0.99791160 0.00001122
0.00780522 0.99747762 0.00001175
0.00910609 0.99703839 0.00001314
0.01040697 0.99659448 0.00001493
0.01170784 0.99614643 0.00001683
0.01300871 0.99569470 0.00001873
0.01430958 0.99523973 0.00002058
0.01561045 0.99478189 0.00002238
0.01691132 0.99432151 0.00002413
0.01821219 0.99385887 0.00002585
0.01951306 0.99339421 0.00002755
0.02081393 0.99292774 0.00002925
0.02211480 0.99245961 0.00003097
0.02341567 0.99198994 0.00003272
0.02470176 0.99151882 0.00003449
0.02600263 0.99104629 0.00003630
0.02730350 0.99057236 0.00003814
0.02860437 0.99009702 0.00004002
0.02990524 0.98962021 0.00004191
0.03120611 0.98914185 0.00004383
0.03250698 0.98866185 0.00004575
0.03380786 0.98818006 0.00004769
0.03510873 0.98769632 0.00004961
0.03640960 0.98721044 0.00005153
0.03771047 0.98672223 0.00005343
0.03901134 0.98623146 0.00005530
0.04029743 0.98573787 0.00005714
0.04159830 0.98524120 0.00005895
0.04289917 0.98474117 0.00006071
0.04420004 0.98423747 0.00006242
0.04550091 0.98372979 0.00006408
0.04680178 0.98321780 0.00006570
0.04810265 0.98270116 0.00006725
0.04940352 0.98217952 0.00006876
0.05068961 0.98165250 0.00007020
0.05199048 0.98111975 0.00007160
0.05329135 0.98058087 0.00007293
0.05459222 0.98003547 0.00007422
0.05589309 0.97948317 0.00007546
0.05719396 0.97892355 0.00007665
0.05849483 0.97835622 0.00007780
0.05978092 0.97778077 0.00007891
0.06108179 0.97719678 0.00007998
0.06238266 0.97660384 0.00008103
0.06368353 0.97600154 0.00008206
0.06498440 0.97538946 0.00008307
0.06628528 0.97476720 0.00008407
0.06757136 0.97413434 0.00008506
0.06887223 0.97349047 0.00008606
0.07017310 0.97283519 0.00008707
0.07147398 0.97216810 0.00008810
0.07277485 0.97148879 0.00008916
0.07407572 0.97079689 0.00009025
0.07536180 0.97009201 0.00009139
0.07666268 0.96937376 0.00009257
0.07796355 0.96864178 0.00009382
0.07926442 0.96789570 0.00009513
0.08056529 0.96713517 0.00009652
0.08185138 0.96635984 0.00009799
0.08315225 0.96556938 0.00009955
0.08445312 0.96476346 0.00010121
0.08575399 0.96394176 0.00010298
0.08704008 0.96310398 0.00010486
0.08834095 0.96224983 0.00010686
0.08964182 0.96137903 0.00010898
0.09094269 0.96049130 0.00011124
0.09224356 0.95958638 0.00011364
0.09352965 0.95866404 0.00011617
0.09483052 0.95772405 0.00011886
0.09613139 0.95676617 0.00012170
0.09743226 0.95579022 0.00012470
0.09871835 0.95479599 0.00012786
0.10001922 0.95378332 0.00013118
0.10132009 0.95275204 0.00013466
0.10260618 0.95170200 0.00013832
0.10390705 0.95063307 0.00014214
0.10520792 0.94954513 0.00014614
0.10650879 0.94843807 0.00015031
0.10779488 0.94731182 0.00015466
0.10909575 0.94616629 0.00015917
0.11039662 0.94500143 0.00016387
0.11169749 0.94381718 0.00016873
0.11298358 0.94261353 0.00017377
0.11428445 0.94139045 0.00017898
0.11558532 0.94014796 0.00018436
0.11687141 0.93888605 0.00018991
0.11817228 0.93760477 0.00019563
0.11947315 0.93630415 0.00020151
0.12075924 0.93498426 0.00020755
0.12206011 0.93364516 0.00021374
0.12336098 0.93228695 0.00022010
0.12466185 0.93090972 0.00022660
0.12594794 0.92951358 0.00023325
0.12724881 0.92809867 0.00024005
0.12854968 0.92666512 0.00024698
0.12983577 0.92518194 0.00025403
0.13113664 0.92363446 0.00026560
0.13243751 0.92208058 0.00027618
0.13372359 0.92051698 0.00028542
0.13502447 0.91893888 0.00029337
0.13632534 0.91734938 0.00030105
0.13761142 0.91575076 0.00030829
0.13891229 0.91414165 0.00031589
0.14019838 0.91250555 0.00032418
0.14149925 0.91081378 0.00033126
0.14280012 0.90905608 0.00033576
0.14408621 0.90726014 0.00034060
0.14538708 0.90547831 0.00035267
0.14668795 0.90374002 0.00036861
0.14797404 0.90204260 0.00038227
0.14927491 0.90036996 0.00039359
0.15056100 0.89869346 0.00040149
0.15186187 0.89699592 0.00040591
0.15316274 0.89529085 0.00041008
0.15444883 0.89359873 0.00041674
0.15574970 0.89191512 0.00042325
0.15703579 0.89021942 0.00042713
0.15833666 0.88851845 0.00042981
0.15963753 0.88683544 0.00043374
0.16092362 0.88517601 0.00044083
0.16222449 0.88348770 0.00044580
0.16351058 0.88169735 0.00044084
0.16481145 0.87981283 0.00043079
0.16611232 0.87789007 0.00042737
0.16739841 0.87597480 0.00043650
0.16869928 0.87408773 0.00045294
0.16998537 0.87222791 0.00047042
0.17128624 0.87039101 0.00048702
0.17257232 0.86857169 0.00050147
0.17387319 0.86676491 0.00051377
0.17517407 0.86496565 0.00052403
0.17646015 0.86316894 0.00053259
0.17776102 0.86137048 0.00053972
0.17904711 0.85956784 0.00054613
0.18034798 0.85775792 0.00055197
0.18163407 0.85593753 0.00055761
0.18293494 0.85409761 0.00056260
0.18422103 0.85222091 0.00056490
0.18552190 0.85029801 0.00056258
0.18680799 0.84833978 0.00055751
0.18810886 0.84638382 0.00055863
0.18939495 0.84446511 0.00056982
0.19069582 0.84257931 0.00058627
0.19199669 0.84066774 0.00059886
0.19328278 0.83864870 0.00059539
0.19458365 0.83652546 0.00058083
0.19586974 0.83435385 0.00057154
0.19717061 0.83216337 0.00057450
0.19845669 0.82996357 0.00058606
0.19975757 0.82774023 0.00059760
0.20104365 0.82549270 0.00060780
0.20234452 0.82324966 0.00062237
0.20363061 0.82103180 0.00064290
0.20493148 0.81885100 0.00066820
0.20621757 0.81666515 0.00069182
0.20750366 0.81438508 0.00070175
0.20880453 0.81199469 0.00069942
0.21009062 0.80953412 0.00069597
0.21139149 0.80704713 0.00070240
0.21267758 0.80455831 0.00071922
0.21397845 0.80205500 0.00073892
0.21526454 0.79951602 0.00075789
0.21656541 0.79692900 0.00077425
0.21785149 0.79429096 0.00078830
0.21915236 0.79160715 0.00080154
0.22043845 0.78888782 0.00081546
0.22173932 0.78614730 0.00083193
0.22302541 0.78339508 0.00085141
0.22432628 0.78063349 0.00087355
0.22561237 0.77784943 0.00089630
0.22689846 0.77501633 0.00091453
0.22819933 0.77212787 0.00092741
0.22948542 0.76919788 0.00093816
0.23078629 0.76624459 0.00095020
0.23207238 0.76328349 0.00096661
0.23337325 0.76032407 0.00098841
0.23465933 0.75737419 0.00101426
0.23594542 0.75444376 0.00104255
0.23724629 0.75154189 0.00107244
0.23853238 0.74866743 0.00110216
0.23983325 0.74580990 0.00113030
0.24111934 0.74295392 0.00115622
0.24240543 0.74008704 0.00117957
0.24370630 0.73720838 0.00120071
0.24499239 0.73432866 0.00122018
0.24629326 0.73146194 0.00123880
0.24757935 0.72862047 0.00125810
0.24886543 0.72581420 0.00127969
0.25016630 0.72304362 0.00130382
0.25145239 0.72030350 0.00132902
0.25275326 0.71758888 0.00135313
0.25403935 0.71489463 0.00137361
0.25532544 0.71222144 0.00138992
0.25662631 0.70957212 0.00140273
0.25791240 0.70695266 0.00141360
0.25919849 0.70437599 0.00142630
0.26049936 0.70185318 0.00144371
0.26178545 0.69938772 0.00146524
0.26307153 0.69697332 0.00148872
0.26437240 0.69460033 0.00151199
0.26565849 0.69224987 0.00153063
0.26695936 0.68989230 0.00154097
0.26824545 0.68751757 0.00154231
