# s/c    P_w
0.98595651 0.44472679
0.98468520 0.44482358
0.98339912 0.44491997
0.98212781 0.44501473
0.98085651 0.44510755
0.97958520 0.44519908
0.97829911 0.44529119
0.97702781 0.44538667
0.97575650 0.44548839
0.97448520 0.44559873
0.97321389 0.44571897
0.97192780 0.44584937
0.97065650 0.44598984
0.96938519 0.44613914
0.96811389 0.44629561
0.96682780 0.44645730
0.96555649 0.44662159
0.96428519 0.44678616
0.96301388 0.44694873
0.96174258 0.44710699
0.96045649 0.44725874
0.95918518 0.44740236
0.95791388 0.44753876
0.95664257 0.44767223
0.95535648 0.44780827
0.95408518 0.44795104
0.95281387 0.44810233
0.95154257 0.44826207
0.95025648 0.44842946
0.94898517 0.44860274
0.94771387 0.44878000
0.94644256 0.44895904
0.94515647 0.44913700
0.94388517 0.44931136
0.94261386 0.44947947
0.94134256 0.44963837
0.94005647 0.44978566
0.93878516 0.44992156
0.93751386 0.45004985
0.93624255 0.45017524
0.93495647 0.45030121
0.93368516 0.45042962
0.93241385 0.45056105
0.93114255 0.45069523
0.92985646 0.45083161
0.92858516 0.45096957
0.92731385 0.45110841
0.92604254 0.45124729
0.92475646 0.45138492
0.92348515 0.45151909
0.92221385 0.45164635
0.92094254 0.45176325
0.91965645 0.45186815
0.91838515 0.45196165
0.91711384 0.45204626
0.91582775 0.45212574
0.91455645 0.45220410
0.91328514 0.45228533
0.91201384 0.45237271
0.91072775 0.45246875
0.90945644 0.45257556
0.90818514 0.45269371
0.90691383 0.45282283
0.90562774 0.45296216
0.90435644 0.45311023
0.90308513 0.45326565
0.90179905 0.45342685
0.90052774 0.45359191
0.89925643 0.45375952
0.89797035 0.45392842
0.89669904 0.45409744
0.89542774 0.45426607
0.89415643 0.45443464
0.89287034 0.45460468
0.89159904 0.45477868
0.89032773 0.45495948
0.88904164 0.45515004
0.88777034 0.45535349
0.88649903 0.45557269
0.88521294 0.45581026
0.88394164 0.45606792
0.88267033 0.45634626
0.88138424 0.45664541
0.88011294 0.45696500
0.87884163 0.45730374
0.87757033 0.45765937
0.87628424 0.45802888
0.87501293 0.45840840
0.87374163 0.45879322
0.87245554 0.45917807
0.87118424 0.45955752
0.86991293 0.45992713
0.86862684 0.46028371
0.86735554 0.46062628
0.86608423 0.46095603
0.86479814 0.46127642
0.86352684 0.46159308
0.86225553 0.46191080
0.86096944 0.46223318
0.85969814 0.46256218
0.85842683 0.46289809
0.85714075 0.46324050
0.85586944 0.46358812
0.85459813 0.46393928
0.85331205 0.46429170
0.85204074 0.46464279
0.85076944 0.46499055
0.84948335 0.46533482
0.84821204 0.46567816
0.84692595 0.46602449
0.84565465 0.46637721
0.84438334 0.46673811
0.84309725 0.46710725
0.84182595 0.46748397
0.84055464 0.46786675
0.83926856 0.46825368
0.83799725 0.46864287
0.83672594 0.46903232
0.83543986 0.46942018
0.83416855 0.46980486
0.83288246 0.47018512
0.83161116 0.47056033
0.83033985 0.47093061
0.82905376 0.47129674
0.82778246 0.47166051
0.82651115 0.47202485
0.82522507 0.47239312
0.82395376 0.47276691
0.82266767 0.47314524
0.82139637 0.47352575
0.82012506 0.47390560
0.81883897 0.47428259
0.81756767 0.47465503
0.81628158 0.47502121
0.81501027 0.47537951
0.81373897 0.47572856
0.81245288 0.47606812
0.81118157 0.47639910
0.80989549 0.47672318
0.80862418 0.47704172
0.80735288 0.47735600
0.80606679 0.47766852
0.80479548 0.47798172
0.80350939 0.47829789
0.80223809 0.47861852
0.80096678 0.47894348
0.79968070 0.47927164
0.79840939 0.47960114
0.79712330 0.47992970
0.79585200 0.48025488
0.79458069 0.48057459
0.79329460 0.48088737
0.79202330 0.48119280
0.79073721 0.48149130
0.78946590 0.48178375
0.78817982 0.48207141
0.78690851 0.48235556
0.78563720 0.48263763
0.78435112 0.48291925
0.78307981 0.48320242
0.78179372 0.48348904
0.78052242 0.48378057
0.77923633 0.48407765
0.77796502 0.48437917
0.77669372 0.48468295
0.77540763 0.48498630
0.77413633 0.48528604
0.77285024 0.48557865
0.77157893 0.48586022
0.77029284 0.48612676
0.76902154 0.48637535
0.76773545 0.48660532
0.76646414 0.48681803
0.76517806 0.48701574
0.76390675 0.48720032
0.76263545 0.48737309
0.76134936 0.48753500
0.76007805 0.48768669
0.75879196 0.48782867
0.75752066 0.48796143
0.75623457 0.48808555
0.75496327 0.48820181
0.75367718 0.48831119
0.75240587 0.48841491
0.75111978 0.48851442
0.74984848 0.48861136
0.74856239 0.48870733
0.74729108 0.48880359
0.74600500 0.48890071
0.74473369 0.48899850
0.74344760 0.48909633
0.74217630 0.48919338
0.74089021 0.48928874
0.73961890 0.48938189
0.73833282 0.48947244
0.73706151 0.48956023
0.73577542 0.48964524
0.73450412 0.48972823
0.73321803 0.48981057
0.73194672 0.48989486
0.73066064 0.48998540
0.72938933 0.49008482
0.72810324 0.49019437
0.72683194 0.49031393
0.72554585 0.49044184
0.72427454 0.49057615
0.72298845 0.49071507
0.72171715 0.49085743
0.72043106 0.49100168
0.71915976 0.49114528
0.71787367 0.49128551
0.71660236 0.49141974
0.71531627 0.49154755
0.71404497 0.49167370
0.71275888 0.49180465
0.71148758 0.49194514
0.71020149 0.49209719
0.70893018 0.49226040
0.70764409 0.49243432
0.70635801 0.49261898
0.70508670 0.49281545
0.70380061 0.49302548
0.70252931 0.49324939
0.70124322 0.49348338
0.69997191 0.49372043
0.69868582 0.49395529
0.69741452 0.49418715
0.69612843 0.49441883
0.69484234 0.49465393
0.69357104 0.49489505
0.69228495 0.49514307
0.69101364 0.49539763
0.68972756 0.49565805
0.68845625 0.49592310
0.68717016 0.49619114
0.68589886 0.49646252
0.68461277 0.49674328
0.68332668 0.49704220
0.68205538 0.49736532
0.68076929 0.49771427
0.67949798 0.49808804
0.67821189 0.49848563
0.67692581 0.49890455
0.67565450 0.49934267
0.67436841 0.49979472
0.67309711 0.50024923
0.67181102 0.50069699
0.67053971 0.50113293
0.66925363 0.50155712
0.66796754 0.50197446
0.66669623 0.50239227
0.66541014 0.50281913
0.66413884 0.50326243
0.66285275 0.50372613
0.66156666 0.50421002
