# s/c    P_w
1.28119503 0.62883399
1.27992372 0.62663630
1.27865242 0.62467109
1.27738111 0.62292390
1.27610981 0.62138079
1.27483850 0.62002836
1.27356719 0.61885374
1.27229589 0.61784456
1.27102458 0.61698894
1.26975328 0.61627548
1.26848197 0.61569329
1.26721067 0.61523190
1.26593936 0.61488131
1.26466806 0.61463196
1.26339675 0.61447473
1.26212545 0.61440091
1.26085414 0.61440218
1.25958283 0.61447066
1.25831153 0.61459881
1.25704022 0.61477952
1.25576892 0.61500600
1.25449761 0.61527184
1.25322631 0.61557099
1.25195500 0.61589771
1.25068370 0.61624661
1.24941239 0.61661262
1.24814109 0.61699095
1.24686978 0.61737715
1.24559847 0.61776703
1.24432717 0.61815671
1.24305586 0.61854256
1.24178456 0.61892123
1.24051325 0.61928961
1.23924195 0.61964485
1.23797064 0.61998434
1.23669934 0.62030570
1.23542803 0.62060675
1.23415673 0.62088556
1.23288542 0.62114038
1.23161411 0.62136968
1.23034281 0.62157209
1.22907150 0.62174645
1.22780020 0.62189177
1.22652889 0.62200722
1.22525759 0.62209214
1.22398628 0.62214601
1.22271498 0.62216848
1.22144367 0.62215932
1.22017237 0.62211844
1.21890106 0.62204587
1.21762975 0.62194177
1.21635845 0.62180642
1.21508714 0.62164017
1.21381584 0.62144352
1.21254453 0.62121704
1.21127323 0.62096138
1.21000192 0.62067728
1.20873062 0.62036558
1.20744453 0.62002716
1.20617322 0.61966297
1.20490192 0.61927405
1.20363061 0.61886145
1.20235931 0.61842632
1.20108800 0.61796982
1.19981670 0.61749315
1.19854539 0.61699757
1.19727408 0.61648435
1.19600278 0.61595480
1.19473147 0.61541024
1.19346017 0.61485202
1.19218886 0.61428149
1.19091756 0.61370002
1.18964625 0.61310897
1.18837495 0.61250973
1.18710364 0.61190366
1.18583234 0.61129213
1.18456103 0.61067649
1.18328972 0.61005809
1.18201842 0.60943825
1.18074711 0.60881828
1.17946103 0.60819947
1.17818972 0.60758307
1.17691841 0.60697033
1.17564711 0.60636243
1.17437580 0.60576056
1.17310450 0.60516585
1.17183319 0.60457938
1.17056189 0.60400222
1.16929058 0.60343539
1.16801928 0.60287984
1.16674797 0.60233652
1.16547667 0.60180628
1.16420536 0.60128996
1.16293405 0.60078834
1.16166275 0.60030214
1.16039144 0.59983203
1.15912014 0.59937862
1.15783405 0.59894249
1.15656274 0.59852413
1.15529144 0.59812399
1.15402013 0.59759067
1.15274883 0.59729108
1.15147752 0.59704534
1.15020622 0.59684703
1.14893491 0.59667786
1.14766361 0.59652602
1.14639230 0.59639614
1.14512100 0.59630012
1.14384969 0.59624689
1.14257838 0.59623661
1.14130708 0.59626502
1.14002099 0.59633066
1.13874969 0.59641972
1.13747838 0.59650892
1.13620707 0.59657554
1.13493577 0.59659945
1.13366446 0.59657736
1.13239316 0.59651168
1.13112185 0.59641195
1.12985055 0.59629106
1.12857924 0.59615985
1.12730794 0.59602832
1.12603663 0.59590534
1.12475054 0.59579672
1.12347924 0.59570443
1.12220793 0.59562669
1.12093663 0.59556068
1.11966532 0.59550377
1.11839402 0.59545392
1.11712271 0.59540940
1.11585141 0.59536864
1.11458010 0.59533021
1.11330879 0.59529277
1.11203749 0.59525490
1.11075140 0.59521522
1.10948010 0.59517243
1.10820879 0.59512516
1.10693748 0.59507210
1.10566618 0.59501195
1.10439487 0.59494347
1.10312357 0.59486553
1.10185226 0.59477712
1.10058096 0.59467741
1.09930965 0.59456581
1.09802356 0.59444201
1.09675226 0.59430608
1.09548095 0.59415845
1.09420965 0.59399997
1.09293834 0.59383186
1.09166704 0.59365531
1.09039573 0.59347161
1.08912443 0.59328208
1.08783834 0.59308802
1.08656703 0.59289074
1.08529573 0.59269151
1.08402442 0.59249151
1.08275312 0.59229183
1.08148181 0.59209354
1.08021050 0.59189765
1.07893920 0.59170517
1.07766789 0.59151710
1.07638181 0.59133422
1.07511050 0.59115706
1.07383919 0.59098591
1.07256789 0.59082090
1.07129658 0.59066202
1.07002528 0.59050914
1.06875397 0.59036201
1.06746788 0.59022032
1.06619658 0.59008367
1.06492527 0.58995148
1.06365397 0.58982291
1.06238266 0.58969666
1.06111136 0.58957083
1.05984005 0.58944309
1.05856875 0.58931123
1.05728266 0.58917388
1.05601135 0.58903087
1.05474005 0.58888297
1.05346874 0.58873149
1.05219744 0.58857769
1.05092613 0.58842238
1.04965483 0.58826607
1.04836874 0.58810902
1.04709743 0.58795134
1.04582613 0.58779307
1.04455482 0.58763417
1.04328352 0.58747461
1.04201221 0.58731432
1.04072612 0.58715324
1.03945482 0.58699130
1.03818351 0.58682843
1.03691221 0.58666457
1.03564090 0.58649969
1.03436960 0.58633379
1.03309829 0.58616699
1.03181220 0.58599941
1.03054090 0.58583121
1.02926959 0.58566252
1.02799829 0.58549343
1.02672698 0.58532403
1.02545567 0.58515436
1.02416959 0.58498439
1.02289828 0.58481396
1.02162698 0.58464287
1.02035567 0.58447088
1.01908436 0.58429786
1.01779828 0.58412374
1.01652697 0.58394855
1.01525567 0.58377232
1.01398436 0.58359510
1.01271305 0.58341694
1.01144175 0.58323789
1.01015566 0.58305798
1.00888436 0.58287724
1.00761305 0.58269572
1.00634174 0.58251347
1.00507044 0.58233058
1.00378435 0.58214720
1.00251305 0.58196357
1.00124174 0.58178002
0.99997043 0.58159690
0.99869913 0.58141449
0.99742782 0.58123295
0.99614174 0.58105229
0.99487043 0.58087239
0.99359912 0.58069308
0.99232782 0.58051410
0.99105651 0.58033517
0.98977043 0.58015596
0.98849912 0.57997609
0.98722781 0.57979510
