# s/c    P_w
1.28119503 0.63652947
1.27992372 0.63387074
1.27865242 0.63141197
1.27738111 0.62914306
1.27610981 0.62705425
1.27483850 0.62513611
1.27356719 0.62337952
1.27229589 0.62177569
1.27102458 0.62031613
1.26975328 0.61899264
1.26848197 0.61779735
1.26721067 0.61672265
1.26593936 0.61576121
1.26466806 0.61490599
1.26339675 0.61415021
1.26212545 0.61348738
1.26085414 0.61291122
1.25958283 0.61241575
1.25831153 0.61199521
1.25704022 0.61164408
1.25576892 0.61135709
1.25449761 0.61112917
1.25322631 0.61095552
1.25195500 0.61083150
1.25068370 0.61075273
1.24941239 0.61071500
1.24814109 0.61071434
1.24686978 0.61074693
1.24559847 0.61080918
1.24432717 0.61089767
1.24305586 0.61100914
1.24178456 0.61114054
1.24051325 0.61128896
1.23924195 0.61145169
1.23797064 0.61162613
1.23669934 0.61180988
1.23542803 0.61200066
1.23415673 0.61219636
1.23288542 0.61239500
1.23161411 0.61259473
1.23034281 0.61279383
1.22907150 0.61299072
1.22780020 0.61318395
1.22652889 0.61337215
1.22525759 0.61355411
1.22398628 0.61372870
1.22271498 0.61389492
1.22144367 0.61405184
1.22017237 0.61419865
1.21890106 0.61433464
1.21762975 0.61445916
1.21635845 0.61457168
1.21508714 0.61467174
1.21381584 0.61475895
1.21254453 0.61483300
1.21127323 0.61489366
1.21000192 0.61494075
1.20873062 0.61497417
1.20744453 0.61499389
1.20617322 0.61499990
1.20490192 0.61499229
1.20363061 0.61497117
1.20235931 0.61493671
1.20108800 0.61488912
1.19981670 0.61482867
1.19854539 0.61475564
1.19727408 0.61467037
1.19600278 0.61457322
1.19473147 0.61446458
1.19346017 0.61434489
1.19218886 0.61421459
1.19091756 0.61407416
1.18964625 0.61392408
1.18837495 0.61376487
1.18710364 0.61359706
1.18583234 0.61342118
1.18456103 0.61323778
1.18328972 0.61304744
1.18201842 0.61285070
1.18074711 0.61264816
1.17946103 0.61244037
1.17818972 0.61222792
1.17691841 0.61201138
1.17564711 0.61179132
1.17437580 0.61156831
1.17310450 0.61134292
1.17183319 0.61111569
1.17056189 0.61088717
1.16929058 0.61065789
1.16801928 0.61042839
1.16674797 0.61019915
1.16547667 0.60997068
1.16420536 0.60974346
1.16293405 0.60951794
1.16166275 0.60929456
1.16039144 0.60907376
1.15912014 0.60885593
1.15783405 0.60864146
1.15656274 0.60843069
1.15529144 0.60822398
1.15402013 0.60789804
1.15274883 0.60768443
1.15147752 0.60750432
1.15020622 0.60734906
1.14893491 0.60721436
1.14766361 0.60709687
1.14639230 0.60700314
1.14512100 0.60694731
1.14384969 0.60693385
1.14257838 0.60695972
1.14130708 0.60701518
1.14002099 0.60708060
1.13874969 0.60712290
1.13747838 0.60711766
1.13620707 0.60706169
1.13493577 0.60696118
1.13366446 0.60682271
1.13239316 0.60665269
1.13112185 0.60646150
1.12985055 0.60625786
1.12857924 0.60604984
1.12730794 0.60584576
1.12603663 0.60565312
1.12475054 0.60547888
1.12347924 0.60532672
1.12220793 0.60519477
1.12093663 0.60507633
1.11966532 0.60496336
1.11839402 0.60485019
1.11712271 0.60473418
1.11585141 0.60461459
1.11458010 0.60449210
1.11330879 0.60436744
1.11203749 0.60424150
1.11075140 0.60411522
1.10948010 0.60398929
1.10820879 0.60386440
1.10693748 0.60374098
1.10566618 0.60361922
1.10439487 0.60349908
1.10312357 0.60338047
1.10185226 0.60326328
1.10058096 0.60314749
1.09930965 0.60303321
1.09802356 0.60292031
1.09675226 0.60280868
1.09548095 0.60269806
1.09420965 0.60258818
1.09293834 0.60247900
1.09166704 0.60237017
1.09039573 0.60226131
1.08912443 0.60215200
1.08783834 0.60204135
1.08656703 0.60192857
1.08529573 0.60181256
1.08402442 0.60169267
1.08275312 0.60156773
1.08148181 0.60143447
1.08021050 0.60129025
1.07893920 0.60113531
1.07766789 0.60097473
1.07638181 0.60081596
1.07511050 0.60066433
1.07383919 0.60052116
1.07256789 0.60038544
1.07129658 0.60025543
1.07002528 0.60012846
1.06875397 0.60000142
1.06746788 0.59987084
1.06619658 0.59973390
1.06492527 0.59958886
1.06365397 0.59943519
1.06238266 0.59927248
1.06111136 0.59909986
1.05984005 0.59891576
1.05856875 0.59871843
1.05728266 0.59850905
1.05601135 0.59829076
1.05474005 0.59806673
1.05346874 0.59783999
1.05219744 0.59761224
1.05092613 0.59738397
1.04965483 0.59715573
1.04836874 0.59692724
1.04709743 0.59669756
1.04582613 0.59646540
1.04455482 0.59622923
1.04328352 0.59598837
1.04201221 0.59574257
1.04072612 0.59549179
1.03945482 0.59523575
1.03818351 0.59497409
1.03691221 0.59470654
1.03564090 0.59443278
1.03436960 0.59415285
1.03309829 0.59386796
1.03181220 0.59358022
1.03054090 0.59329178
1.02926959 0.59300445
1.02799829 0.59271980
1.02672698 0.59243922
1.02545567 0.59216426
1.02416959 0.59189555
1.02289828 0.59163153
1.02162698 0.59136865
1.02035567 0.59110288
1.01908436 0.59083188
1.01779828 0.59055532
1.01652697 0.59027400
1.01525567 0.58998895
1.01398436 0.58970114
1.01271305 0.58941144
1.01144175 0.58912057
1.01015566 0.58882905
1.00888436 0.58853743
1.00761305 0.58824615
1.00634174 0.58795521
1.00507044 0.58766484
1.00378435 0.58737516
1.00251305 0.58708654
1.00124174 0.58680033
0.99997043 0.58651840
0.99869913 0.58624278
0.99742782 0.58597461
0.99614174 0.58571329
0.99487043 0.58545770
0.99359912 0.58520751
0.99232782 0.58496278
0.99105651 0.58472343
0.98977043 0.58448895
0.98849912 0.58425831
0.98722781 0.58402974
0.98595651 0.58380135
0.98468520 0.58357111
0.98339912 0.58333747
0.98212781 0.58309904
0.98085651 0.58285396
0.97958520 0.58260226
0.97829911 0.58234512
0.97702781 0.58208538
0.97575650 0.58182692
0.97448520 0.58157339
0.97321389 0.58132838
0.97192780 0.58109352
0.97065650 0.58086968
0.96938519 0.58065702
0.96811389 0.58045438
0.96682780 0.58025896
0.96555649 0.58006633
0.96428519 0.57987227
0.96301388 0.57967337
0.96174258 0.57946666
0.96045649 0.57924798
0.95918518 0.57901213
0.95791388 0.57875693
0.95664257 0.57848864
0.95535648 0.57821945
0.95408518 0.57795986
0.95281387 0.57771536
0.95154257 0.57748573
0.95025648 0.57726921
0.94898517 0.57706438
0.94771387 0.57686957
0.94644256 0.57668279
0.94515647 0.57650138
0.94388517 0.57632275
0.94261386 0.57614379
0.94134256 0.57595923
0.94005647 0.57576168
0.93878516 0.57554555
0.93751386 0.57531189
0.93624255 0.57506601
0.93495647 0.57481422
0.93368516 0.57456268
0.93241385 0.57431460
0.93114255 0.57407111
0.92985646 0.57383225
0.92858516 0.57359788
0.92731385 0.57336840
0.92604254 0.57314378
0.92475646 0.57292354
0.92348515 0.57270425
0.92221385 0.57248019
0.92094254 0.57224478
0.91965645 0.57199213
0.91838515 0.57172175
0.91711384 0.57143516
0.91582775 0.57113486
0.91455645 0.57082450
0.91328514 0.57050819
0.91201384 0.57018977
0.91072775 0.56987313
0.90945644 0.56956299
0.90818514 0.56926117
0.90691383 0.56896800
0.90562774 0.56868276
0.90435644 0.56840362
0.90308513 0.56812863
0.90179905 0.56785560
0.90052774 0.56758251
0.89925643 0.56730758
0.89797035 0.56702918
0.89669904 0.56674501
0.89542774 0.56645307
0.89415643 0.56615184
0.89287034 0.56584075
0.89159904 0.56552040
