# s/c    P_stat
0.98595651 0.60574676
0.98468520 0.60557859
0.98339912 0.60540843
0.98212781 0.60523599
0.98085651 0.60506113
0.97958520 0.60488398
0.97829911 0.60470496
0.97702781 0.60452480
0.97575650 0.60434424
0.97448520 0.60416394
0.97321389 0.60398437
0.97192780 0.60380573
0.97065650 0.60362805
0.96938519 0.60345117
0.96811389 0.60327483
0.96682780 0.60309851
0.96555649 0.60292172
0.96428519 0.60274379
0.96301388 0.60256418
0.96174258 0.60238235
0.96045649 0.60219735
0.95918518 0.60200878
0.95791388 0.60181706
0.95664257 0.60162335
0.95535648 0.60142939
0.95408518 0.60123680
0.95281387 0.60104619
0.95154257 0.60085766
0.95025648 0.60067111
0.94898517 0.60048616
0.94771387 0.60030231
0.94644256 0.60011889
0.94515647 0.59993513
0.94388517 0.59975021
0.94261386 0.59956324
0.94134256 0.59937323
0.94005647 0.59917937
0.93878516 0.59898205
0.93751386 0.59878269
0.93624255 0.59858308
0.93495647 0.59838499
0.93368516 0.59818883
0.93241385 0.59799456
0.93114255 0.59780208
0.92985646 0.59761098
0.92858516 0.59742093
0.92731385 0.59723150
0.92604254 0.59704222
0.92475646 0.59685245
0.92348515 0.59666112
0.92221385 0.59646682
0.92094254 0.59626808
0.91965645 0.59606380
0.91838515 0.59585400
0.91711384 0.59563946
0.91582775 0.59542130
0.91455645 0.59520098
0.91328514 0.59497987
0.91201384 0.59475928
0.91072775 0.59454027
0.90945644 0.59432348
0.90818514 0.59410915
0.90691383 0.59389717
0.90562774 0.59368712
0.90435644 0.59347837
0.90308513 0.59327023
0.90179905 0.59306193
0.90052774 0.59285275
0.89925643 0.59264204
0.89797035 0.59242895
0.89669904 0.59221303
0.89542774 0.59199403
0.89415643 0.59177211
0.89287034 0.59154810
0.89159904 0.59132342
0.89032773 0.59109972
0.88904164 0.59087867
0.88777034 0.59066156
0.88649903 0.59044929
0.88521294 0.59024273
0.88394164 0.59004212
0.88267033 0.58984764
0.88138424 0.58965941
0.88011294 0.58947718
0.87884163 0.58930054
0.87757033 0.58912871
0.87628424 0.58896065
0.87501293 0.58879500
0.87374163 0.58863022
0.87245554 0.58846476
0.87118424 0.58829713
0.86991293 0.58812650
0.86862684 0.58795288
0.86735554 0.58777690
0.86608423 0.58759977
0.86479814 0.58742289
0.86352684 0.58724790
0.86225553 0.58707659
0.86096944 0.58690995
0.85969814 0.58674831
0.85842683 0.58659157
0.85714075 0.58643908
0.85586944 0.58629000
0.85459813 0.58614324
0.85331205 0.58599762
0.85204074 0.58585174
0.85076944 0.58570440
0.84948335 0.58555542
0.84821204 0.58540604
0.84692595 0.58525814
0.84565465 0.58511347
0.84438334 0.58497341
0.84309725 0.58483846
0.84182595 0.58470870
0.84055464 0.58458400
0.83926856 0.58446399
0.83799725 0.58434831
0.83672594 0.58423650
0.83543986 0.58412817
0.83416855 0.58402291
0.83288246 0.58392037
0.83161116 0.58382029
0.83033985 0.58372244
0.82905376 0.58362671
0.82778246 0.58353308
0.82651115 0.58344163
