# s/c    P_w
1.28119503 0.64534066
1.27992372 0.64347522
1.27865242 0.64177020
1.27738111 0.64021700
1.27610981 0.63880733
1.27483850 0.63753317
1.27356719 0.63638679
1.27229589 0.63536073
1.27102458 0.63444783
1.26975328 0.63364115
1.26848197 0.63293404
1.26721067 0.63232009
1.26593936 0.63179314
1.26466806 0.63134727
1.26339675 0.63097681
1.26212545 0.63067630
1.26085414 0.63044052
1.25958283 0.63026446
1.25831153 0.63014334
1.25704022 0.63007257
1.25576892 0.63004777
1.25449761 0.63006477
1.25322631 0.63011959
1.25195500 0.63020843
1.25068370 0.63032769
1.24941239 0.63047392
1.24814109 0.63064388
1.24686978 0.63083448
1.24559847 0.63104279
1.24432717 0.63126606
1.24305586 0.63150167
1.24178456 0.63174718
1.24051325 0.63200027
1.23924195 0.63225879
1.23797064 0.63252069
1.23669934 0.63278408
1.23542803 0.63304721
1.23415673 0.63330842
1.23288542 0.63356619
1.23161411 0.63381913
1.23034281 0.63406594
1.22907150 0.63430544
1.22780020 0.63453655
1.22652889 0.63475830
1.22525759 0.63496980
1.22398628 0.63517027
1.22271498 0.63535901
1.22144367 0.63553542
1.22017237 0.63569895
1.21890106 0.63584918
1.21762975 0.63598571
1.21635845 0.63610826
1.21508714 0.63621658
1.21381584 0.63631052
1.21254453 0.63638996
1.21127323 0.63645486
1.21000192 0.63650523
1.20873062 0.63654114
1.20744453 0.63656269
1.20617322 0.63657005
1.20490192 0.63656343
1.20363061 0.63654307
1.20235931 0.63650925
1.20108800 0.63646230
1.19981670 0.63640256
1.19854539 0.63633043
1.19727408 0.63624632
1.19600278 0.63615066
1.19473147 0.63604392
1.19346017 0.63592657
1.19218886 0.63579913
1.19091756 0.63566211
1.18964625 0.63551603
1.18837495 0.63536145
1.18710364 0.63519892
1.18583234 0.63502900
1.18456103 0.63485226
1.18328972 0.63466927
1.18201842 0.63448060
1.18074711 0.63428684
1.17946103 0.63408855
1.17818972 0.63388630
1.17691841 0.63368067
1.17564711 0.63347221
1.17437580 0.63326149
1.17310450 0.63304903
1.17183319 0.63283538
1.17056189 0.63262106
1.16929058 0.63240658
1.16801928 0.63219244
1.16674797 0.63197911
1.16547667 0.63176706
1.16420536 0.63155675
1.16293405 0.63134859
1.16166275 0.63114300
1.16039144 0.63094038
1.15912014 0.63074108
1.15783405 0.63054546
1.15656274 0.63035384
