# s/c   h_mean    h_std
0.00000000 585.41290513 140.22540735
0.00130087 585.55483453 139.71202995
0.00260174 585.54833584 139.33600076
0.00390261 585.40339008 139.09050079
0.00520348 585.12965292 138.96900788
0.00650435 584.73646056 138.96527496
0.00780522 584.23283562 139.07330970
0.00910609 583.62749300 139.28735586
0.01040697 582.92884559 139.60187634
0.01170784 582.14501005 140.01153792
0.01300871 581.28381248 140.51119778
0.01430958 580.35279400 141.09589160
0.01561045 579.35921637 141.76082325
0.01691132 578.31006751 142.50135591
0.01821219 577.21206693 143.31300444
0.01951306 576.07167121 144.19142898
0.02081393 574.89507934 145.13242947
0.02211480 573.68823804 146.13194113
0.02341567 572.45684704 147.18603057
0.02470176 571.20636431 148.29089255
0.02600263 569.94201122 149.44284722
0.02730350 568.66877764 150.63833769
0.02860437 567.39142706 151.87392788
0.02990524 566.11450156 153.14630066
0.03120611 564.84232681 154.45225592
0.03250698 563.57901696 155.78870896
0.03380786 562.32847954 157.15268867
0.03510873 561.09442027 158.54133590
0.03640960 559.88034781 159.95190161
0.03771047 558.68957849 161.38174516
0.03901134 557.52524097 162.82833235
0.04029743 556.39028086 164.28923354
0.04159830 555.28746530 165.76212158
0.04289917 554.21938745 167.24476975
0.04420004 553.18847095 168.73504960
0.04550091 552.19697440 170.23092869
0.04680178 551.24699561 171.73046838
0.04810265 550.34047603 173.23182146
0.04940352 549.47920494 174.73322985
0.05068961 548.66482368 176.23302219
0.05199048 547.89882983 177.72961146
0.05329135 547.18258129 179.22149264
0.05459222 546.51730039 180.70724026
0.05589309 545.90407785 182.18550613
0.05719396 545.34387676 183.65501690
0.05849483 544.83753649 185.11457185
0.05978092 544.38577659 186.56304056
0.06108179 543.98920051 187.99936075
0.06238266 543.64829944 189.42253604
0.06368353 543.36345599 190.83163393
0.06498440 543.13494784 192.22578369
0.06628528 542.96295136 193.60417436
0.06757136 542.84754517 194.96605291
0.06887223 542.78871363 196.31072228
0.07017310 542.78635031 197.63753970
0.07147398 542.84026141 198.94591490
0.07277485 542.95016907 200.23530850
0.07407572 543.11571473 201.50523041
0.07536180 543.33646234 202.75523836
0.07666268 543.61190162 203.98493640
0.07796355 543.94145113 205.19397357
0.07926442 544.32446147 206.38204256
0.08056529 544.76021825 207.54887846
0.08185138 545.24794516 208.69425754
0.08315225 545.78680686 209.81799612
0.08445312 546.37591194 210.91994946
0.08575399 547.01431574 212.00001067
0.08704008 547.70102314 213.05810977
0.08834095 548.43499136 214.09421263
0.08964182 549.21513260 215.10832007
0.09094269 550.04031673 216.10046691
0.09224356 550.90937389 217.07072108
0.09352965 551.82109700 218.01918275
0.09483052 552.77424432 218.94598345
0.09613139 553.76754184 219.85128519
0.09743226 554.79968571 220.73527962
0.09871835 555.86934459 221.59818719
0.10001922 556.97516193 222.44025621
0.10132009 558.11575823 223.26176205
0.10260618 559.28973322 224.06300618
0.10390705 560.49566804 224.84431529
0.10520792 561.73212730 225.60604032
0.10650879 562.99766113 226.34855547
0.10779488 564.29080720 227.07225724
0.10909575 565.61009263 227.77756334
0.11039662 566.95403593 228.46491160
0.11169749 568.32114879 229.13475886
0.11298358 569.70993790 229.78757974
0.11428445 571.11890671 230.42386547
0.11558532 572.54655709 231.04412255
0.11687141 573.99139098 231.64887144
0.11817228 575.45191200 232.23864514
0.11947315 576.92662698 232.81398774
0.12075924 578.41404743 233.37545294
0.12206011 579.91269102 233.92360245
0.12336098 581.42108294 234.45900435
0.12466185 582.93775726 234.98223148
0.12594794 584.46125818 235.49385961
0.12724881 585.99014133 235.99446577
0.12854968 587.52297491 236.48462630
0.12983577 589.03852141 236.95694216
0.13113664 591.67742808 237.49976382
0.13243751 593.89827114 238.01970791
0.13372359 595.77836504 238.56418932
0.13502447 597.64710246 239.12400694
0.13632534 599.47174101 239.69408115
0.13761142 601.28464949 240.26473850
0.13891229 603.01475102 240.81224498
0.14019838 604.69517269 241.31631601
0.14149925 606.48160371 241.75864539
0.14280012 608.31684612 242.14379656
0.14408621 609.85619375 242.49520109
0.14538708 610.99313771 242.89598332
0.14668795 612.03508394 243.39566064
0.14797404 613.04797680 243.92170156
0.14927491 614.06374276 244.44034910
0.15056100 615.20889012 244.93195815
0.15186187 616.48387182 245.38951697
0.15316274 617.57088426 245.80890191
0.15444883 618.42830350 246.23267448
0.15574970 619.40353498 246.67945235
0.15703579 620.52053902 247.09842886
0.15833666 621.71473593 247.50591732
0.15963753 622.78547794 247.90613923
0.16092362 623.76872230 248.30191831
0.16222449 625.08989646 248.63602394
0.16351058 626.73599409 248.83508459
0.16481145 628.17140810 248.92749207
0.16611232 629.11341063 249.01463005
0.16739841 629.75753230 249.20304770
0.16869928 630.28000576 249.48384377
0.16998537 630.70060873 249.80891088
0.17128624 631.05274202 250.15933490
0.17257232 631.36831277 250.51722708
0.17387319 631.68952914 250.87137163
0.17517407 632.09258632 251.21806002
0.17646015 632.63893691 251.55159508
0.17776102 633.36350797 251.86973715
0.17904711 634.22906066 252.16734427
0.18034798 635.20043068 252.45004935
0.18163407 636.20549117 252.71013517
0.18293494 637.16677571 252.93700131
0.18422103 638.06052689 253.11814073
0.18552190 638.95590709 253.27799083
0.18680799 639.74561633 253.42284993
0.18810886 640.33350356 253.58735064
0.18939495 640.85305847 253.81262718
0.19069582 641.37459496 254.05261317
0.19199669 642.18781328 254.25743800
0.19328278 643.30957964 254.34713457
0.19458365 644.21899348 254.31095396
0.19586974 644.70243038 254.23946569
0.19717061 644.87637058 254.19212898
0.19845669 645.05441053 254.21824082
0.19975757 645.33017874 254.27472783
0.20104365 645.56529323 254.32067200
0.20234452 645.71247152 254.40549395
