# s/c   h_mean    h_std
0.00000000 612.43715035 148.96544292
0.00130087 612.89567706 148.46306752
0.00260174 613.17664069 148.11416254
0.00390261 613.29166339 147.91120932
0.00520348 613.25199226 147.84694577
0.00650435 613.06850608 147.91435332
0.00780522 612.75172199 148.10664494
0.00910609 612.31180213 148.41725438
0.01040697 611.75856019 148.83982659
0.01170784 611.10146793 149.36820913
0.01300871 610.34966163 149.99644465
0.01430958 609.51194849 150.71876431
0.01561045 608.59681297 151.52958196
0.01691132 607.61242311 152.42348906
0.01821219 606.56663670 153.39525025
0.01951306 605.46700751 154.43979936
0.02081393 604.32079139 155.55223587
0.02211480 603.13495231 156.72782171
0.02341567 601.91616841 157.96197825
0.02470176 600.67083791 159.25028357
0.02600263 599.40508504 160.58846969
0.02730350 598.12476584 161.97242006
0.02860437 596.83547398 163.39816695
0.02990524 595.54254646 164.86188889
0.03120611 594.25106928 166.35990809
0.03250698 592.96588308 167.88868786
0.03380786 591.69158867 169.44482989
0.03510873 590.43255253 171.02507163
0.03640960 589.19291229 172.62628346
0.03771047 587.97658208 174.24546594
0.03901134 586.78725788 175.87974699
0.04029743 585.62842279 177.52637894
0.04159830 584.50335227 179.18273573
0.04289917 583.41511929 180.84630993
0.04420004 582.36659942 182.51470983
0.04550091 581.36047592 184.18565651
0.04680178 580.39924472 185.85698097
0.04810265 579.48521935 187.52662115
0.04940352 578.62053584 189.19261912
0.05068961 577.80715753 190.85311825
0.05199048 577.04687986 192.50636036
0.05329135 576.34133508 194.15068299
0.05459222 575.69199691 195.78451674
0.05589309 575.10018513 197.40638256
0.05719396 574.56707015 199.01488922
0.05849483 574.09367749 200.60873077
0.05978092 573.68089221 202.18668409
0.06108179 573.32946329 203.74760651
0.06238266 573.04000797 205.29043349
0.06368353 572.81301600 206.81417639
0.06498440 572.64885383 208.31792029
0.06628528 572.54776884 209.80082186
0.06757136 572.50989333 211.26210740
0.06887223 572.53524867 212.70107080
0.07017310 572.62374919 214.11707167
0.07147398 572.77520620 215.50953353
0.07277485 572.98933178 216.87794201
0.07407572 573.26574266 218.22184315
0.07536180 573.60396396 219.54084175
0.07666268 574.00343288 220.83459977
0.07796355 574.46350237 222.10283474
0.07926442 574.98344472 223.34531833
0.08056529 575.56245510 224.56187480
0.08185138 576.19965501 225.75237966
0.08315225 576.89409577 226.91675820
0.08445312 577.64476181 228.05498416
0.08575399 578.45057404 229.16707840
0.08704008 579.31039308 230.25310758
0.08834095 580.22302249 231.31318280
0.08964182 581.18721186 232.34745840
0.09094269 582.20165995 233.35613057
0.09224356 583.26501770 234.33943613
