# y/t    WL_mean   WL_std
0.00000000 0.99999096 0.00018856
0.00502513 0.99995429 0.00013670
0.01005025 0.99993463 0.00010854
0.01507538 0.99993652 0.00010721
0.02010050 0.99993840 0.00010588
0.02512563 0.99993898 0.00010060
0.03015075 0.99993898 0.00009840
0.03517588 0.99993898 0.00009622
0.04020101 0.99993683 0.00009267
0.04522613 0.99993922 0.00008885
0.05025126 0.99994188 0.00008537
0.05527638 0.99994642 0.00008204
0.06030151 0.99995444 0.00007479
0.06532663 0.99996220 0.00006760
0.07035176 0.99997051 0.00005972
0.07537688 0.99998388 0.00005041
0.08040201 0.99999616 0.00004319
0.08542714 1.00000729 0.00003704
0.09045226 1.00001706 0.00002922
0.09547739 1.00002649 0.00002177
0.10050251 1.00003401 0.00001600
0.10552764 1.00003940 0.00001192
0.11055276 1.00004543 0.00000692
0.11557789 1.00004868 0.00000413
0.12060302 1.00004972 0.00000198
0.12562814 1.00004972 0.00000296
0.13065327 1.00004972 0.00000320
0.13567839 1.00004972 0.00000417
0.14070352 1.00004929 0.00000611
0.14572864 1.00004739 0.00000549
0.15075377 1.00004427 0.00000376
0.15577889 1.00004190 0.00000413
0.16080402 1.00004013 0.00000559
0.16582915 1.00003848 0.00000635
0.17085427 1.00003842 0.00000639
0.17587940 1.00003725 0.00000474
0.18090452 1.00003616 0.00000320
0.18592965 1.00003616 0.00000320
0.19095477 1.00003616 0.00000320
0.19597990 1.00003490 0.00000142
0.20100503 1.00003390 0.00000000
0.20603015 1.00003390 0.00000000
0.21105528 1.00003390 0.00000000
0.21608040 1.00003390 0.00000000
0.22110553 1.00003281 0.00000153
0.22613065 1.00003164 0.00000320
0.23115578 1.00003217 0.00000363
0.23618090 1.00003322 0.00000473
0.24120603 1.00003164 0.00000846
0.24623116 1.00003164 0.00000846
0.25125628 1.00003164 0.00000846
0.25628141 1.00003236 0.00000870
0.26130653 1.00003335 0.00000923
0.26633166 1.00003390 0.00000959
0.27135678 1.00003390 0.00000959
0.27638191 1.00003337 0.00001033
0.28140704 1.00003164 0.00001278
0.28643216 1.00003164 0.00001278
0.29145729 1.00003164 0.00001278
0.29648241 1.00003327 0.00001408
0.30150754 1.00003390 0.00001465
0.30653266 1.00003390 0.00001465
0.31155779 1.00003274 0.00001493
0.31658291 1.00003023 0.00001569
0.32160804 1.00002938 0.00001598
0.32663317 1.00002938 0.00001598
0.33165829 1.00002930 0.00001610
0.33668342 1.00002821 0.00001764
0.34170854 1.00002712 0.00001918
0.34673367 1.00002712 0.00002069
0.35175879 1.00002712 0.00002379
0.35678392 1.00003138 0.00003323
0.36180905 1.00003539 0.00004085
0.36683417 1.00005041 0.00005650
0.37185930 1.00006653 0.00007409
0.37688442 1.00006826 0.00008048
0.38190955 1.00006586 0.00008936
0.38693467 0.99994877 0.00011293
0.39195980 0.99977999 0.00025409
0.39698492 0.99920267 0.00067346
0.40201005 0.99851211 0.00120083
0.40703518 0.99697151 0.00212629
0.41206030 0.99520394 0.00321513
0.41708543 0.99242943 0.00458105
0.42211055 0.98927368 0.00612085
0.42713568 0.98538835 0.00742362
0.43216080 0.98119461 0.00867660
0.43718593 0.97655361 0.00912782
0.44221106 0.97177867 0.00937320
0.44723618 0.96672896 0.00869657
0.45226131 0.96163075 0.00795198
0.45728643 0.95653676 0.00671429
0.46231156 0.95141497 0.00553546
0.46733668 0.94661567 0.00440655
0.47236181 0.94185146 0.00353630
0.47738693 0.93744484 0.00317456
0.48241206 0.93318621 0.00343195
0.48743719 0.92920635 0.00419513
0.49246231 0.92547455 0.00522855
0.49748744 0.92195644 0.00639765
0.50251256 0.91879697 0.00760718
0.50753769 0.91581068 0.00883801
0.51256281 0.91330521 0.01002604
0.51758794 0.91092411 0.01120555
0.52261307 0.90917390 0.01230020
0.52763819 0.90758537 0.01337720
0.53266332 0.90646212 0.01439729
0.53768844 0.90561510 0.01539973
0.54271357 0.90508967 0.01638376
0.54773869 0.90493864 0.01737864
0.55276382 0.90496262 0.01837431
0.55778894 0.90546582 0.01942212
0.56281407 0.90611309 0.02048902
0.56783920 0.90711487 0.02160274
0.57286432 0.90836444 0.02274883
0.57788945 0.90982339 0.02392354
0.58291457 0.91167289 0.02512729
0.58793970 0.91364694 0.02634006
0.59296482 0.91608504 0.02756136
0.59798995 0.91873367 0.02878180
0.60301508 0.92167267 0.03000135
0.60804020 0.92500939 0.03121161
0.61306533 0.92846228 0.03241943
0.61809045 0.93236606 0.03353979
0.62311558 0.93633856 0.03456014
0.62814070 0.94048279 0.03540664
0.63316583 0.94458714 0.03574801
0.63819095 0.94862545 0.03577056
0.64321608 0.95245436 0.03509602
0.64824121 0.95613660 0.03394046
0.65326633 0.95972781 0.03253856
0.65829146 0.96329475 0.03068656
0.66331658 0.96691419 0.02889732
0.66834171 0.97062496 0.02715039
0.67336683 0.97436063 0.02551934
0.67839196 0.97797438 0.02397229
0.68341709 0.98134251 0.02236759
0.68844221 0.98414751 0.02044798
0.69346734 0.98672859 0.01839636
0.69849246 0.98874586 0.01595900
