# y/t    TKE_mean   TKE_std
0.00000000 0.00134490 0.00138550
0.00502513 0.00121384 0.00120129
0.01005025 0.00113874 0.00109561
0.01507538 0.00113028 0.00108314
0.02010050 0.00112183 0.00107067
0.02512563 0.00111334 0.00105816
0.03015075 0.00110593 0.00104673
0.03517588 0.00109853 0.00103530
0.04020101 0.00109104 0.00102376
0.04522613 0.00108440 0.00101333
0.05025126 0.00107774 0.00100287
0.05527638 0.00107106 0.00099239
0.06030151 0.00106481 0.00098306
0.06532663 0.00105854 0.00097368
0.07035176 0.00105229 0.00096443
0.07537688 0.00104613 0.00095633
0.08040201 0.00103995 0.00094812
0.08542714 0.00103377 0.00094023
0.09045226 0.00102764 0.00093327
0.09547739 0.00102148 0.00092620
0.10050251 0.00101543 0.00091958
0.10552764 0.00100951 0.00091348
0.11055276 0.00100354 0.00090731
0.11557789 0.00099794 0.00090160
0.12060302 0.00099248 0.00089609
0.12562814 0.00098697 0.00089054
0.13065327 0.00098207 0.00088545
0.13567839 0.00097715 0.00088035
0.14070352 0.00097234 0.00087534
0.14572864 0.00096801 0.00087067
0.15075377 0.00096359 0.00086595
0.15577889 0.00095947 0.00086148
0.16080402 0.00095555 0.00085718
0.16582915 0.00095158 0.00085285
0.17085427 0.00094805 0.00084899
0.17587940 0.00094451 0.00084511
0.18090452 0.00094111 0.00084141
0.18592965 0.00093796 0.00083804
0.19095477 0.00093476 0.00083460
0.19597990 0.00093191 0.00083165
0.20100503 0.00092910 0.00082875
0.20603015 0.00092641 0.00082603
0.21105528 0.00092397 0.00082367
0.21608040 0.00092149 0.00082126
0.22110553 0.00091940 0.00081939
0.22613065 0.00091733 0.00081757
0.23115578 0.00091542 0.00081597
0.23618090 0.00091373 0.00081469
0.24120603 0.00091207 0.00081345
0.24623116 0.00091077 0.00081274
0.25125628 0.00090948 0.00081202
0.25628141 0.00090849 0.00081177
0.26130653 0.00090761 0.00081166
0.26633166 0.00090693 0.00081188
0.27135678 0.00090647 0.00081240
0.27638191 0.00090609 0.00081304
0.28140704 0.00090612 0.00081430
0.28643216 0.00090611 0.00081550
0.29145729 0.00090664 0.00081749
0.29648241 0.00090716 0.00081947
0.30150754 0.00090812 0.00082209
0.30653266 0.00090928 0.00082501
0.31155779 0.00091071 0.00082834
0.31658291 0.00091253 0.00083224
0.32160804 0.00091452 0.00083639
0.32663317 0.00091703 0.00084132
0.33165829 0.00091965 0.00084639
0.33668342 0.00092294 0.00085236
0.34170854 0.00092622 0.00085833
0.34673367 0.00093046 0.00086518
0.35175879 0.00093462 0.00087201
0.35678392 0.00094056 0.00087884
0.36180905 0.00094624 0.00088593
0.36683417 0.00095837 0.00088964
0.37185930 0.00097108 0.00089319
0.37688442 0.00100883 0.00088141
0.38190955 0.00105571 0.00086479
0.38693467 0.00120063 0.00079294
0.39195980 0.00138878 0.00071191
0.39698492 0.00194630 0.00056758
0.40201005 0.00260792 0.00074904
0.40703518 0.00422852 0.00156282
0.41206030 0.00607989 0.00273172
0.41708543 0.00930572 0.00442549
0.42211055 0.01306167 0.00646528
0.42713568 0.01781254 0.00844513
0.43216080 0.02297903 0.01052328
0.43718593 0.02852501 0.01145023
0.44221106 0.03420048 0.01215185
0.44723618 0.03991347 0.01120162
0.45226131 0.04569112 0.01025647
0.45728643 0.05093840 0.00871995
0.46231156 0.05627639 0.00767675
0.46733668 0.06038738 0.00730650
0.47236181 0.06437888 0.00757326
0.47738693 0.06724363 0.00817106
0.48241206 0.06972562 0.00890136
0.48743719 0.07147185 0.00953001
0.49246231 0.07274792 0.01002120
0.49748744 0.07360472 0.01035787
0.50251256 0.07402115 0.01047997
0.50753769 0.07420356 0.01048735
0.51256281 0.07405546 0.01028395
0.51758794 0.07382332 0.01003344
0.52261307 0.07349508 0.00967068
0.52763819 0.07320079 0.00932167
0.53266332 0.07300059 0.00898413
0.53768844 0.07291393 0.00870669
0.54271357 0.07295625 0.00848729
0.54773869 0.07316596 0.00840363
0.55276382 0.07345340 0.00837877
0.55778894 0.07391143 0.00860712
0.56281407 0.07439650 0.00893043
0.56783920 0.07494674 0.00949939
0.57286432 0.07547598 0.01027877
0.57788945 0.07599668 0.01124478
0.58291457 0.07637950 0.01259324
0.58793970 0.07671187 0.01408832
0.59296482 0.07675307 0.01610144
0.59798995 0.07658393 0.01838908
0.60301508 0.07613628 0.02104273
0.60804020 0.07514687 0.02415205
0.61306533 0.07400079 0.02742614
0.61809045 0.07210814 0.03098697
0.62311558 0.07006852 0.03442296
0.62814070 0.06769647 0.03765231
0.63316583 0.06520867 0.03996698
0.63819095 0.06266882 0.04176250
0.64321608 0.06007388 0.04241833
0.64824121 0.05721979 0.04239837
0.65326633 0.05424907 0.04208369
0.65829146 0.05047418 0.04108427
0.66331658 0.04644245 0.04019502
0.66834171 0.04193742 0.03928830
0.67336683 0.03731718 0.03817370
0.67839196 0.03283224 0.03693969
0.68341709 0.02869463 0.03518208
0.68844221 0.02513661 0.03257460
0.69346734 0.02177996 0.02962850
0.69849246 0.01884045 0.02595926
0.70351759 0.01602001 0.02218209
0.70854271 0.01330509 0.01835403
0.71356784 0.01083484 0.01482643
0.71859296 0.00869664 0.01178734
0.72361809 0.00682173 0.00913172
0.72864322 0.00548881 0.00724847
0.73366834 0.00449086 0.00583773
0.73869347 0.00369173 0.00470738
0.74371859 0.00328272 0.00412849
0.74874372 0.00295048 0.00365825
0.75376884 0.00272243 0.00333550
