# y/t    d_mean   d_std
0.88944724 0.56849149 0.00396431
0.89447236 0.56962945 0.00315564
0.89949749 0.57056489 0.00264525
0.90452261 0.57147221 0.00225493
0.90954774 0.57213011 0.00216499
0.91457286 0.57273879 0.00212884
0.91959799 0.57322293 0.00216952
0.92462312 0.57366781 0.00222752
0.92964824 0.57409959 0.00228951
0.93467337 0.57448973 0.00235323
0.93969849 0.57494517 0.00243108
0.94472362 0.57531686 0.00248319
0.94974874 0.57568069 0.00252977
0.95477387 0.57607272 0.00256150
0.95979899 0.57650457 0.00258049
0.96482412 0.57695120 0.00259833
0.96984925 0.57750113 0.00261074
0.97487437 0.57808043 0.00262214
0.97989950 0.57866553 0.00263301
0.98492462 0.57933032 0.00264381
0.98994975 0.57999571 0.00265463
0.99497487 0.57963101 0.00260974
1.00000000 0.57411985 0.00229230
