# y/t    d_mean   d_std
0.00000000 0.65076718 0.00060547
0.00502513 0.64851485 0.00059408
0.01005025 0.64719509 0.00058841
0.01507538 0.64697656 0.00058583
0.02010050 0.64675802 0.00058333
0.02512563 0.64654784 0.00058051
0.03015075 0.64634468 0.00057734
0.03517588 0.64614152 0.00057425
0.04020101 0.64594813 0.00057067
0.04522613 0.64575959 0.00056710
0.05025126 0.64557248 0.00056364
0.05527638 0.64539372 0.00056024
0.06030151 0.64521811 0.00055640
0.06532663 0.64504656 0.00055266
0.07035176 0.64488199 0.00054897
0.07537688 0.64472097 0.00054512
0.08040201 0.64456748 0.00054120
0.08542714 0.64441934 0.00053743
0.09045226 0.64427390 0.00053410
0.09547739 0.64413994 0.00053054
0.10050251 0.64400880 0.00052728
0.10552764 0.64388189 0.00052433
0.11055276 0.64376740 0.00052115
0.11557789 0.64365491 0.00051834
0.12060302 0.64355059 0.00051563
0.12562814 0.64345539 0.00051288
0.13065327 0.64336333 0.00051053
0.13567839 0.64328459 0.00050783
0.14070352 0.64321145 0.00050520
0.14572864 0.64314104 0.00050308
0.15075377 0.64308890 0.00050057
0.15577889 0.64303898 0.00049802
0.16080402 0.64299722 0.00049539
0.16582915 0.64296874 0.00049279
0.17085427 0.64294386 0.00049001
0.17587940 0.64293354 0.00048693
0.18090452 0.64293255 0.00048371
0.18592965 0.64293381 0.00048053
0.19095477 0.64295842 0.00047660
0.19597990 0.64298671 0.00047266
0.20100503 0.64302340 0.00046850
0.20603015 0.64307905 0.00046378
0.21105528 0.64313661 0.00045930
0.21608040 0.64321190 0.00045398
0.22110553 0.64329911 0.00044849
0.22613065 0.64338653 0.00044319
0.23115578 0.64350314 0.00043653
0.23618090 0.64362098 0.00043001
0.24120603 0.64374963 0.00042312
0.24623116 0.64389892 0.00041566
0.25125628 0.64404822 0.00040843
0.25628141 0.64422029 0.00040012
0.26130653 0.64440082 0.00039190
0.26633166 0.64458480 0.00038346
0.27135678 0.64479756 0.00037419
0.27638191 0.64501049 0.00036526
0.28140704 0.64523869 0.00035586
0.28643216 0.64548301 0.00034606
0.29145729 0.64572838 0.00033674
0.29648241 0.64600017 0.00032690
0.30150754 0.64627651 0.00031727
0.30653266 0.64656063 0.00030801
0.31155779 0.64686729 0.00029877
0.31658291 0.64717382 0.00029027
0.32160804 0.64750006 0.00028226
0.32663317 0.64783570 0.00027501
0.33165829 0.64817370 0.00026917
0.33668342 0.64853709 0.00026398
0.34170854 0.64890047 0.00026063
0.34673367 0.64927627 0.00025845
0.35175879 0.64966590 0.00025829
0.35678392 0.65005339 0.00025934
0.36180905 0.65046583 0.00026319
0.36683417 0.65087357 0.00026621
0.37185930 0.65129021 0.00027152
0.37688442 0.65169536 0.00027191
0.38190955 0.65209127 0.00026997
0.38693467 0.65242961 0.00026294
0.39195980 0.65273644 0.00026132
0.39698492 0.65289392 0.00031846
0.40201005 0.65301231 0.00042528
0.40703518 0.65295228 0.00061023
0.41206030 0.65284224 0.00082533
0.41708543 0.65268040 0.00097689
0.42211055 0.65249120 0.00111482
0.42713568 0.65244358 0.00107306
0.43216080 0.65244851 0.00097017
0.43718593 0.65270883 0.00078038
0.44221106 0.65304110 0.00060200
0.44723618 0.65364547 0.00050770
0.45226131 0.65427225 0.00044271
0.45728643 0.65515208 0.00038637
0.46231156 0.65602479 0.00033323
0.46733668 0.65704439 0.00033375
0.47236181 0.65806645 0.00040873
0.47738693 0.65914681 0.00057736
0.48241206 0.66023125 0.00078406
0.48743719 0.66131929 0.00102758
0.49246231 0.66239068 0.00128419
0.49748744 0.66343833 0.00155378
0.50251256 0.66443012 0.00181994
0.50753769 0.66538914 0.00208647
0.51256281 0.66624002 0.00233098
0.51758794 0.66706453 0.00257068
0.52261307 0.66772554 0.00276749
0.52763819 0.66834811 0.00295413
0.53266332 0.66883535 0.00311047
0.53768844 0.66924616 0.00325578
0.54271357 0.66956208 0.00338795
0.54773869 0.66976814 0.00351594
0.55276382 0.66992582 0.00364140
0.55778894 0.66993767 0.00376454
0.56281407 0.66991702 0.00388413
0.56783920 0.66977894 0.00399818
0.57286432 0.66958783 0.00409677
0.57788945 0.66932242 0.00418725
0.58291457 0.66897750 0.00423589
0.58793970 0.66859036 0.00427301
0.59296482 0.66812345 0.00424207
0.59798995 0.66763224 0.00417082
0.60301508 0.66709289 0.00404833
0.60804020 0.66656976 0.00382593
0.61306533 0.66601225 0.00358749
0.61809045 0.66554826 0.00321104
0.62311558 0.66507479 0.00284991
0.62814070 0.66467577 0.00251193
0.63316583 0.66431314 0.00230488
0.63819095 0.66397374 0.00232279
0.64321608 0.66363321 0.00252178
0.64824121 0.66327540 0.00276430
