# y/t    d_mean   d_std
0.00000000 0.65026107 0.00026674
0.00502513 0.64856485 0.00028806
0.01005025 0.64757247 0.00030118
0.01507538 0.64741280 0.00030276
0.02010050 0.64725314 0.00030439
0.02512563 0.64710058 0.00030602
0.03015075 0.64695468 0.00030731
0.03517588 0.64680878 0.00030864
0.04020101 0.64667155 0.00030965
0.04522613 0.64653887 0.00031054
0.05025126 0.64640749 0.00031135
0.05527638 0.64628370 0.00031157
0.06030151 0.64616272 0.00031226
0.06532663 0.64604529 0.00031273
0.07035176 0.64593392 0.00031286
0.07537688 0.64582523 0.00031296
0.08040201 0.64572351 0.00031300
0.08542714 0.64562646 0.00031312
0.09045226 0.64553127 0.00031357
0.09547739 0.64544578 0.00031383
0.10050251 0.64536268 0.00031423
0.10552764 0.64528305 0.00031479
0.11055276 0.64521323 0.00031508
0.11557789 0.64514525 0.00031581
0.12060302 0.64508398 0.00031652
0.12562814 0.64503008 0.00031691
0.13065327 0.64497808 0.00031770
0.13567839 0.64493652 0.00031828
0.14070352 0.64489939 0.00031882
0.14572864 0.64486441 0.00031949
0.15075377 0.64484351 0.00031966
0.15577889 0.64482393 0.00032004
0.16080402 0.64481047 0.00032034
0.16582915 0.64480749 0.00032020
0.17085427 0.64480701 0.00032008
0.17587940 0.64481711 0.00031969
0.18090452 0.64483412 0.00031919
0.18592965 0.64485292 0.00031877
0.19095477 0.64488873 0.00031737
0.19597990 0.64492713 0.00031608
0.20100503 0.64497165 0.00031470
0.20603015 0.64502990 0.00031294
0.21105528 0.64508937 0.00031100
0.21608040 0.64516147 0.00030869
0.22110553 0.64524236 0.00030610
0.22613065 0.64532343 0.00030355
0.23115578 0.64542507 0.00029985
0.23618090 0.64552785 0.00029639
0.24120603 0.64563828 0.00029259
0.24623116 0.64576322 0.00028825
0.25125628 0.64588816 0.00028398
0.25628141 0.64602936 0.00027899
0.26130653 0.64617661 0.00027385
0.26633166 0.64632638 0.00026863
0.27135678 0.64649619 0.00026272
0.27638191 0.64666609 0.00025687
0.28140704 0.64684685 0.00025044
0.28643216 0.64703933 0.00024350
0.29145729 0.64723207 0.00023665
0.29648241 0.64744371 0.00022883
0.30150754 0.64765834 0.00022125
0.30653266 0.64787848 0.00021359
0.31155779 0.64811480 0.00020512
0.31658291 0.64835080 0.00019704
0.32160804 0.64860079 0.00018852
0.32663317 0.64885760 0.00018002
0.33165829 0.64911568 0.00017169
0.33668342 0.64939205 0.00016291
0.34170854 0.64966842 0.00015489
0.34673367 0.64995384 0.00014683
0.35175879 0.65024910 0.00013977
0.35678392 0.65054226 0.00013252
0.36180905 0.65085357 0.00012679
0.36683417 0.65115527 0.00011966
0.37185930 0.65146309 0.00011275
0.37688442 0.65174364 0.00010299
