# y/t    WL_mean   WL_std
0.88442211 1.00006157 0.00022908
0.88944724 1.00005369 0.00022181
0.89447236 1.00004643 0.00021185
0.89949749 1.00003813 0.00020783
0.90452261 1.00002694 0.00019897
0.90954774 1.00002054 0.00019276
0.91457286 1.00001270 0.00018576
0.91959799 1.00001209 0.00017982
0.92462312 1.00002304 0.00017639
0.92964824 1.00003424 0.00017639
0.93467337 1.00002126 0.00017182
0.93969849 1.00001038 0.00016573
0.94472362 0.99998159 0.00015739
0.94974874 0.99996132 0.00015231
0.95477387 0.99995511 0.00014865
0.95979899 0.99995852 0.00014398
0.96482412 0.99996337 0.00013931
0.96984925 0.99996655 0.00013430
0.97487437 0.99996843 0.00012918
0.97989950 0.99997205 0.00012481
0.98492462 0.99996963 0.00011944
0.98994975 0.99996710 0.00011405
0.99497487 0.99997411 0.00011921
1.00000000 1.00002787 0.00017639
