# s/c    M_iso_mean    M_iso_std
0.22819933 0.62744665 0.00052944
0.22948542 0.63223519 0.00055204
0.23078629 0.63704572 0.00057932
0.23207238 0.64186418 0.00060846
0.23337325 0.64668389 0.00063693
0.23465933 0.65149313 0.00066202
0.23594542 0.65627075 0.00068329
0.23724629 0.66099491 0.00070205
0.23853238 0.66566173 0.00071873
0.23983325 0.67028892 0.00073315
0.24111934 0.67490599 0.00074584
0.24240543 0.67953636 0.00075818
0.24370630 0.68418280 0.00077122
0.24499239 0.68882533 0.00078541
0.24629326 0.69343721 0.00080117
0.24757935 0.69800073 0.00081750
0.24886543 0.70250748 0.00083225
0.25016630 0.70696015 0.00084479
0.25145239 0.71136686 0.00085517
0.25275326 0.71573035 0.00086405
0.25403935 0.72004770 0.00087297
0.25532544 0.72431410 0.00088225
0.25662631 0.72852702 0.00089124
0.25791240 0.73268172 0.00089944
0.25919849 0.73676709 0.00090727
0.26049936 0.74077523 0.00091368
0.26178545 0.74470547 0.00091715
0.26307153 0.74856712 0.00091769
0.26437240 0.75236892 0.00091727
0.26565849 0.75612785 0.00091675
0.26695936 0.75988168 0.00091623
0.26824545 0.76364965 0.00091483
0.26953154 0.76742601 0.00091510
0.27083241 0.77117334 0.00092068
0.27211850 0.77482201 0.00092719
0.27340459 0.77833582 0.00093165
0.27470546 0.78172413 0.00093364
0.27599154 0.78503056 0.00093152
0.27727763 0.78830407 0.00092794
0.27857850 0.79154992 0.00092384
0.27986459 0.79475683 0.00091987
0.28115068 0.79791017 0.00091978
0.28243677 0.80099847 0.00091852
0.28373764 0.80400374 0.00091123
0.28502373 0.80688254 0.00090755
0.28630981 0.80963898 0.00091012
0.28761068 0.81231226 0.00090839
0.28889677 0.81495800 0.00090040
0.29018286 0.81757503 0.00089239
0.29148373 0.82007825 0.00088471
0.29276982 0.82242100 0.00087542
0.29405591 0.82460518 0.00086206
0.29534200 0.82666581 0.00084346
0.29664287 0.82865218 0.00082144
0.29792895 0.83059338 0.00079793
0.29921504 0.83247929 0.00077552
0.30051591 0.83427355 0.00075540
0.30180200 0.83593383 0.00073520
0.30308809 0.83744016 0.00071236
0.30437418 0.83880466 0.00068635
0.30567505 0.84006481 0.00065721
0.30696114 0.84127451 0.00062726
0.30824722 0.84247005 0.00060034
0.30953331 0.84365713 0.00057946
0.31083418 0.84481265 0.00056433
0.31212027 0.84589144 0.00055292
0.31340636 0.84685666 0.00054141
0.31469245 0.84770365 0.00052224
0.31599332 0.84844684 0.00049104
0.31727941 0.84908963 0.00044909
0.31856549 0.84962439 0.00039876
0.31985158 0.85006680 0.00034423
0.32115245 0.85045536 0.00029057
0.32243854 0.85083443 0.00024543
0.32372463 0.85124718 0.00022135
0.32501072 0.85171198 0.00022650
0.32629681 0.85222086 0.00025765
0.32759768 0.85275488 0.00030384
0.32888376 0.85328726 0.00035032
0.33016985 0.85379079 0.00038705
0.33145594 0.85425266 0.00041201
0.33275681 0.85467226 0.00042839
0.33404290 0.85506143 0.00044355
0.33532899 0.85543957 0.00046524
0.33661508 0.85581515 0.00049652
0.33790116 0.85618068 0.00053327
0.33918725 0.85652685 0.00056970
0.34048812 0.85685765 0.00060376
0.34177421 0.85718623 0.00063537
0.34306030 0.85753083 0.00066580
0.34434639 0.85791259 0.00069711
0.34563247 0.85834741 0.00073191
0.34693335 0.85884159 0.00077383
0.34821943 0.85938053 0.00082156
0.34950552 0.85993017 0.00087203
0.35079161 0.86046114 0.00092264
0.35207770 0.86095270 0.00096710
0.35336379 0.86139537 0.00100339
0.35466466 0.86179990 0.00103436
0.35595074 0.86219843 0.00106423
0.35723683 0.86263099 0.00109814
0.35852292 0.86312202 0.00113815
0.35980901 0.86366683 0.00118235
0.36109510 0.86424681 0.00122867
0.36238118 0.86485568 0.00127695
0.36368206 0.86548715 0.00132559
0.36496814 0.86612245 0.00137188
0.36625423 0.86673596 0.00141237
0.36754032 0.86731202 0.00144733
0.36882641 0.86785903 0.00148041
0.37011250 0.86840975 0.00151724
0.37139858 0.86900482 0.00156592
0.37269945 0.86964891 0.00162495
0.37398554 0.87031376 0.00168758
0.37527163 0.87097699 0.00175013
0.37655772 0.87162713 0.00180869
0.37784381 0.87226134 0.00185986
0.37912989 0.87289626 0.00190264
0.38041598 0.87355301 0.00193833
0.38170207 0.87423084 0.00196868
0.38298816 0.87490627 0.00199476
0.38428903 0.87555921 0.00202001
0.38557512 0.87619419 0.00204979
0.38686121 0.87682541 0.00208701
0.38814729 0.87746497 0.00213193
0.38943338 0.87812544 0.00218321
0.39071947 0.87881824 0.00223960
0.39200556 0.87954731 0.00229937
0.39329165 0.88030765 0.00236012
0.39457773 0.88109417 0.00242061
0.39586382 0.88191025 0.00248089
0.39714991 0.88276226 0.00254041
0.39843600 0.88365210 0.00259947
0.39973687 0.88455708 0.00265651
0.40102296 0.88542622 0.00270717
0.40230905 0.88620742 0.00274728
0.40359513 0.88689566 0.00278032
0.40488122 0.88754404 0.00282100
0.40616731 0.88820233 0.00287487
0.40745340 0.88889028 0.00293608
0.40873949 0.88960033 0.00299755
0.41002557 0.89029824 0.00305266
0.41131166 0.89095464 0.00309900
0.41259775 0.89157825 0.00314058
0.41388384 0.89220722 0.00318528
0.41516993 0.89286806 0.00323391
0.41645601 0.89356931 0.00328655
0.41774210 0.89435328 0.00335011
0.41902819 0.89527809 0.00342801
0.42031428 0.89637740 0.00351920
0.42160037 0.89760089 0.00361282
0.42288645 0.89882602 0.00369238
0.42417254 0.89999781 0.00375414
0.42545863 0.90112501 0.00380656
0.42674472 0.90222705 0.00386026
0.42803081 0.90332162 0.00391573
0.42931690 0.90441717 0.00397153
0.43060298 0.90553019 0.00403150
0.43188907 0.90668022 0.00409883
0.43317516 0.90787758 0.00417478
0.43446125 0.90912035 0.00425720
0.43574734 0.91040338 0.00434388
0.43703342 0.91172169 0.00443331
0.43831951 0.91306946 0.00452352
0.43960560 0.91444163 0.00461295
0.44089169 0.91583372 0.00470114
0.44217778 0.91723883 0.00478829
0.44346386 0.91864186 0.00487328
0.44474995 0.92003130 0.00495557
0.44603604 0.92141457 0.00503752
0.44732213 0.92283333 0.00513017
0.44860822 0.92434868 0.00524466
0.44989430 0.92599714 0.00538164
0.45118039 0.92773535 0.00552901
0.45246648 0.92944223 0.00566066
0.45375257 0.93106380 0.00576824
0.45503866 0.93261099 0.00586159
0.45632474 0.93408185 0.00594522
0.45761083 0.93547077 0.00601804
0.45889692 0.93675202 0.00607264
0.46018301 0.93792639 0.00611259
0.46146910 0.93905117 0.00615640
0.46275519 0.94019602 0.00621820
0.46404127 0.94143396 0.00630618
0.46532736 0.94276583 0.00641276
0.46661345 0.94409892 0.00651561
0.46789954 0.94538120 0.00660683
0.46917084 0.94662106 0.00669250
0.47045693 0.94785771 0.00678791
0.47174302 0.94913152 0.00690204
0.47302911 0.95044288 0.00702879
0.47431520 0.95176614 0.00715878
0.47560128 0.95307079 0.00728238
0.47688737 0.95433193 0.00739504
0.47817346 0.95554294 0.00749811
0.47945955 0.95671407 0.00759647
0.48074564 0.95786708 0.00769636
0.48203172 0.95902793 0.00780284
0.48331781 0.96021925 0.00791979
0.48460390 0.96144173 0.00804628
0.48587521 0.96266737 0.00817410
0.48716129 0.96387058 0.00829729
0.48844738 0.96503966 0.00841422
