# s/c   cf_mean    cf_std
0.22819933 0.09905633 0.02439442
0.22948542 0.10003963 0.02458359
0.23078629 0.10093586 0.02476845
0.23207238 0.10175301 0.02495347
0.23337325 0.10250848 0.02514271
0.23465933 0.10318929 0.02533636
0.23594542 0.10377003 0.02553514
0.23724629 0.10425787 0.02573899
0.23853238 0.10470422 0.02594810
0.23983325 0.10517798 0.02616046
0.24111934 0.10571419 0.02637059
0.24240543 0.10630694 0.02657704
0.24370630 0.10690665 0.02678123
0.24499239 0.10744837 0.02698408
0.24629326 0.10790050 0.02718809
0.24757935 0.10826861 0.02739028
0.24886543 0.10856837 0.02758850
0.25016630 0.10882944 0.02778493
0.25145239 0.10908968 0.02798382
0.25275326 0.10934229 0.02818495
0.25403935 0.10957453 0.02838815
0.25532544 0.10978773 0.02859358
0.25662631 0.10997146 0.02879630
0.25791240 0.11010615 0.02899512
0.25919849 0.11016465 0.02918158
0.26049936 0.11014232 0.02935666
0.26178545 0.11009057 0.02953340
0.26307153 0.11003223 0.02970927
0.26437240 0.10999051 0.02988287
0.26565849 0.11003315 0.03006506
0.26695936 0.11019787 0.03025389
0.26824545 0.11045554 0.03043775
0.26953154 0.11068213 0.03060684
0.27083241 0.11073548 0.03075183
0.27211850 0.11055192 0.03088642
0.27340459 0.11019071 0.03102621
0.27470546 0.10983950 0.03118296
0.27599154 0.10962610 0.03136308
0.27727763 0.10952778 0.03154727
0.27857850 0.10945767 0.03172139
0.27986459 0.10934183 0.03187615
0.28115068 0.10916025 0.03199933
0.28243677 0.10889500 0.03211540
0.28373764 0.10853242 0.03224962
0.28502373 0.10805040 0.03239186
0.28630981 0.10753619 0.03254397
0.28761068 0.10716329 0.03271752
0.28889677 0.10692903 0.03288296
0.29018286 0.10661292 0.03300655
0.29148373 0.10605141 0.03311200
0.29276982 0.10530310 0.03321896
0.29405591 0.10451217 0.03333401
0.29534200 0.10381511 0.03346236
0.29664287 0.10326148 0.03359581
0.29792895 0.10278964 0.03372412
0.29921504 0.10228800 0.03384023
0.30051591 0.10165625 0.03393939
0.30180200 0.10086672 0.03402670
0.30308809 0.09997536 0.03411393
0.30437418 0.09909213 0.03420435
0.30567505 0.09832202 0.03429920
0.30696114 0.09771536 0.03438943
0.30824722 0.09724128 0.03446650
0.30953331 0.09681961 0.03453432
0.31083418 0.09633900 0.03459590
0.31212027 0.09570525 0.03465062
0.31340636 0.09493481 0.03469508
0.31469245 0.09412761 0.03473629
0.31599332 0.09333688 0.03477851
0.31727941 0.09251753 0.03481699
0.31856549 0.09167088 0.03486000
0.31985158 0.09087564 0.03490726
0.32115245 0.09021528 0.03495701
0.32243854 0.08972344 0.03500453
0.32372463 0.08939876 0.03505031
0.32501072 0.08919452 0.03509515
0.32629681 0.08902539 0.03512932
0.32759768 0.08881518 0.03514639
0.32888376 0.08853013 0.03514786
0.33016985 0.08817831 0.03514526
0.33145594 0.08776802 0.03513982
0.33275681 0.08734414 0.03513934
0.33404290 0.08697111 0.03515593
0.33532899 0.08666318 0.03518577
0.33661508 0.08637377 0.03521638
0.33790116 0.08606874 0.03524025
0.33918725 0.08575286 0.03525474
0.34048812 0.08545823 0.03526032
0.34177421 0.08522164 0.03526096
0.34306030 0.08506686 0.03525802
0.34434639 0.08500763 0.03525618
0.34563247 0.08503625 0.03525893
0.34693335 0.08510690 0.03527192
0.34821943 0.08513661 0.03528972
0.34950552 0.08506667 0.03530711
0.35079161 0.08489124 0.03532266
0.35207770 0.08462561 0.03532549
0.35336379 0.08431601 0.03532169
0.35466466 0.08403406 0.03531821
0.35595074 0.08385476 0.03531877
0.35723683 0.08382897 0.03533030
0.35852292 0.08389613 0.03534278
0.35980901 0.08395344 0.03535018
0.36109510 0.08398870 0.03535875
0.36238118 0.08402191 0.03536749
0.36368206 0.08404115 0.03537463
0.36496814 0.08399462 0.03537497
0.36625423 0.08385167 0.03536900
0.36754032 0.08364368 0.03536503
0.36882641 0.08345115 0.03536683
0.37011250 0.08337229 0.03538511
0.37139858 0.08342050 0.03541594
0.37269945 0.08348616 0.03543958
0.37398554 0.08348648 0.03545396
0.37527163 0.08342036 0.03546082
0.37655772 0.08331045 0.03545783
0.37784381 0.08319598 0.03544441
0.37912989 0.08313369 0.03542593
0.38041598 0.08315487 0.03541090
0.38170207 0.08317439 0.03539699
0.38298816 0.08309875 0.03538864
0.38428903 0.08296232 0.03539892
0.38557512 0.08282831 0.03542474
0.38686121 0.08271841 0.03545579
0.38814729 0.08264499 0.03548555
0.38943338 0.08262386 0.03551093
0.39071947 0.08265984 0.03553116
0.39200556 0.08272217 0.03554364
0.39329165 0.08278214 0.03554944
0.39457773 0.08284657 0.03555229
0.39586382 0.08293723 0.03555231
0.39714991 0.08306672 0.03555018
0.39843600 0.08321022 0.03554936
0.39973687 0.08327676 0.03555223
0.40102296 0.08312365 0.03555007
0.40230905 0.08276096 0.03554902
0.40359513 0.08236330 0.03556893
0.40488122 0.08210682 0.03561307
0.40616731 0.08201907 0.03565914
0.40745340 0.08201867 0.03568935
0.40873949 0.08200715 0.03570182
0.41002557 0.08188262 0.03569815
0.41131166 0.08165611 0.03568688
0.41259775 0.08147897 0.03568846
0.41388384 0.08144254 0.03569869
0.41516993 0.08146958 0.03569964
0.41645601 0.08156201 0.03569842
0.41774210 0.08182823 0.03570425
0.41902819 0.08238337 0.03571745
0.42031428 0.08308505 0.03572351
0.42160037 0.08358187 0.03569901
0.42288645 0.08369969 0.03565246
0.42417254 0.08358933 0.03562453
0.42545863 0.08348248 0.03562411
0.42674472 0.08342312 0.03563824
0.42803081 0.08338633 0.03564890
0.42931690 0.08338189 0.03565706
0.43060298 0.08344675 0.03567463
0.43188907 0.08358018 0.03569686
0.43317516 0.08375135 0.03571696
0.43446125 0.08393765 0.03573286
0.43574734 0.08412445 0.03574326
0.43703342 0.08430886 0.03574930
0.43831951 0.08448867 0.03575073
0.43960560 0.08466514 0.03574839
0.44089169 0.08482675 0.03574276
0.44217778 0.08495934 0.03573780
0.44346386 0.08503883 0.03573635
0.44474995 0.08504520 0.03572909
0.44603604 0.08505520 0.03572431
0.44732213 0.08523604 0.03574464
0.44860822 0.08570706 0.03578550
0.44989430 0.08631141 0.03582407
0.45118039 0.08672887 0.03582543
0.45246648 0.08677767 0.03578892
0.45375257 0.08659707 0.03575773
0.45503866 0.08639047 0.03575522
0.45632474 0.08616498 0.03577133
0.45761083 0.08583765 0.03577408
0.45889692 0.08539241 0.03576414
0.46018301 0.08494276 0.03576879
0.46146910 0.08464437 0.03579971
0.46275519 0.08466201 0.03586563
0.46404127 0.08493421 0.03593344
0.46532736 0.08516324 0.03597274
0.46661345 0.08514189 0.03598089
0.46789954 0.08492869 0.03597039
0.46917084 0.08472790 0.03597927
0.47045693 0.08468156 0.03602562
0.47174302 0.08476909 0.03608428
0.47302911 0.08487337 0.03612401
0.47431520 0.08490663 0.03614204
0.47560128 0.08483669 0.03614155
0.47688737 0.08468151 0.03613384
0.47817346 0.08449209 0.03613011
0.47945955 0.08432166 0.03613376
0.48074564 0.08422133 0.03614630
0.48203172 0.08423784 0.03617186
0.48331781 0.08434196 0.03620108
0.48460390 0.08445488 0.03622504
0.48587521 0.08449048 0.03623530
0.48716129 0.08441716 0.03623089
0.48844738 0.08427847 0.03622368
0.48973347 0.08412435 0.03622329
0.49101956 0.08398867 0.03623204
0.49230565 0.08388137 0.03624573
0.49359173 0.08380880 0.03626285
