# s/c   P_w_mean    P_w_std
0.00000000 0.99993452 0.00002455
0.00130087 0.99955038 0.00001953
0.00260174 0.99915621 0.00001534
0.00390261 0.99875295 0.00001207
0.00520348 0.99834148 0.00000990
0.00650435 0.99792259 0.00000898
0.00780522 0.99749704 0.00000923
0.00910609 0.99706551 0.00001027
0.01040697 0.99662863 0.00001169
0.01170784 0.99618698 0.00001326
0.01300871 0.99574108 0.00001487
0.01430958 0.99529139 0.00001647
0.01561045 0.99483833 0.00001804
0.01691132 0.99438228 0.00001958
0.01821219 0.99392354 0.00002110
0.01951306 0.99346241 0.00002260
0.02081393 0.99299911 0.00002410
0.02211480 0.99253384 0.00002559
0.02341567 0.99206675 0.00002708
0.02470176 0.99159795 0.00002856
0.02600263 0.99112752 0.00003004
0.02730350 0.99065550 0.00003151
0.02860437 0.99018191 0.00003297
0.02990524 0.98970670 0.00003441
0.03120611 0.98922984 0.00003582
0.03250698 0.98875123 0.00003720
0.03380786 0.98827076 0.00003855
0.03510873 0.98778830 0.00003985
0.03640960 0.98730368 0.00004110
0.03771047 0.98681670 0.00004231
0.03901134 0.98632717 0.00004345
0.04029743 0.98583485 0.00004454
0.04159830 0.98533949 0.00004556
0.04289917 0.98484082 0.00004652
0.04420004 0.98433855 0.00004742
0.04550091 0.98383238 0.00004825
0.04680178 0.98332200 0.00004901
0.04810265 0.98280706 0.00004972
0.04940352 0.98228724 0.00005036
0.05068961 0.98176218 0.00005094
0.05199048 0.98123150 0.00005147
0.05329135 0.98069484 0.00005195
0.05459222 0.98015182 0.00005239
0.05589309 0.97960204 0.00005278
0.05719396 0.97904511 0.00005314
0.05849483 0.97848064 0.00005347
0.05978092 0.97790821 0.00005379
0.06108179 0.97732742 0.00005408
0.06238266 0.97673786 0.00005438
0.06368353 0.97613912 0.00005467
0.06498440 0.97553078 0.00005498
0.06628528 0.97491245 0.00005530
0.06757136 0.97428371 0.00005565
0.06887223 0.97364415 0.00005603
