# s/c   P_w_mean    P_w_std
0.00000000 0.99992676 0.00003921
0.00130087 0.99953358 0.00003285
0.00260174 0.99912989 0.00002730
0.00390261 0.99871667 0.00002257
0.00520348 0.99829482 0.00001864
0.00650435 0.99786520 0.00001556
0.00780522 0.99742858 0.00001340
0.00910609 0.99698568 0.00001218
0.01040697 0.99653717 0.00001184
0.01170784 0.99608363 0.00001221
0.01300871 0.99562563 0.00001305
0.01430958 0.99516365 0.00001416
0.01561045 0.99469813 0.00001540
0.01691132 0.99422946 0.00001671
0.01821219 0.99375797 0.00001804
0.01951306 0.99328397 0.00001937
0.02081393 0.99280770 0.00002069
0.02211480 0.99232936 0.00002200
0.02341567 0.99184912 0.00002329
0.02470176 0.99136710 0.00002457
0.02600263 0.99088338 0.00002584
0.02730350 0.99039802 0.00002708
0.02860437 0.98991102 0.00002831
0.02990524 0.98942236 0.00002951
0.03120611 0.98893200 0.00003068
0.03250698 0.98843984 0.00003181
0.03380786 0.98794578 0.00003291
0.03510873 0.98744967 0.00003395
0.03640960 0.98695135 0.00003495
0.03771047 0.98645062 0.00003588
0.03901134 0.98594727 0.00003676
0.04029743 0.98544108 0.00003757
0.04159830 0.98493177 0.00003831
0.04289917 0.98441907 0.00003897
0.04420004 0.98390269 0.00003956
0.04550091 0.98338232 0.00004008
0.04680178 0.98285763 0.00004052
0.04810265 0.98232828 0.00004088
0.04940352 0.98179393 0.00004116
0.05068961 0.98125419 0.00004137
0.05199048 0.98070871 0.00004151
0.05329135 0.98015708 0.00004157
0.05459222 0.97959893 0.00004157
0.05589309 0.97903384 0.00004151
0.05719396 0.97846142 0.00004139
0.05849483 0.97788124 0.00004122
0.05978092 0.97729290 0.00004100
0.06108179 0.97669597 0.00004075
0.06238266 0.97609003 0.00004046
0.06368353 0.97547465 0.00004016
0.06498440 0.97484941 0.00003984
0.06628528 0.97421390 0.00003952
0.06757136 0.97356768 0.00003921
0.06887223 0.97291033 0.00003891
0.07017310 0.97224144 0.00003865
0.07147398 0.97156059 0.00003842
0.07277485 0.97086738 0.00003825
0.07407572 0.97016139 0.00003814
0.07536180 0.96944223 0.00003810
0.07666268 0.96870952 0.00003815
0.07796355 0.96796285 0.00003828
0.07926442 0.96720186 0.00003852
0.08056529 0.96642618 0.00003886
0.08185138 0.96563544 0.00003931
0.08315225 0.96482930 0.00003988
0.08445312 0.96400742 0.00004056
0.08575399 0.96316947 0.00004136
