# s/c    cf
0.94771387 0.00416630
0.94644256 0.00422236
0.94515647 0.00426672
0.94388517 0.00430146
0.94261386 0.00432959
0.94134256 0.00435549
0.94005647 0.00439092
0.93878516 0.00445111
0.93751386 0.00454249
0.93624255 0.00465498
0.93495647 0.00477579
0.93368516 0.00489573
0.93241385 0.00500848
0.93114255 0.00511239
0.92985646 0.00520589
0.92858516 0.00528884
0.92731385 0.00536004
0.92604254 0.00541767
0.92475646 0.00545886
0.92348515 0.00548211
0.92221385 0.00549116
0.92094254 0.00549793
0.91965645 0.00551649
0.91838515 0.00555746
0.91711384 0.00562643
0.91582775 0.00572466
0.91455645 0.00584996
0.91328514 0.00599831
0.91201384 0.00616359
0.91072775 0.00633905
0.90945644 0.00651727
0.90818514 0.00669050
0.90691383 0.00685422
0.90562774 0.00700574
0.90435644 0.00714509
0.90308513 0.00727272
0.90179905 0.00739120
0.90052774 0.00750240
0.89925643 0.00761103
0.89797035 0.00772096
0.89669904 0.00783666
0.89542774 0.00796599
0.89415643 0.00811576
0.89287034 0.00829264
0.89159904 0.00849821
0.89032773 0.00873015
0.88904164 0.00898264
0.88777034 0.00924909
0.88649903 0.00952236
0.88521294 0.00979646
0.88394164 0.01006727
0.88267033 0.01033083
0.88138424 0.01058232
0.88011294 0.01081606
0.87884163 0.01102691
0.87757033 0.01121109
0.87628424 0.01136631
0.87501293 0.01149372
0.87374163 0.01159671
0.87245554 0.01168404
0.87118424 0.01176636
0.86991293 0.01185568
0.86862684 0.01196389
0.86735554 0.01209777
0.86608423 0.01225923
0.86479814 0.01244916
0.86352684 0.01266260
0.86225553 0.01289037
0.86096944 0.01312047
0.85969814 0.01334067
0.85842683 0.01354574
0.85714075 0.01373177
0.85586944 0.01389891
0.85459813 0.01404773
0.85331205 0.01418184
0.85204074 0.01430722
0.85076944 0.01443592
0.84948335 0.01458516
0.84821204 0.01476398
0.84692595 0.01496845
0.84565465 0.01518739
0.84438334 0.01540998
0.84309725 0.01562861
0.84182595 0.01583863
0.84055464 0.01603771
0.83926856 0.01622543
0.83799725 0.01640210
0.83672594 0.01656868
0.83543986 0.01672642
0.83416855 0.01687689
0.83288246 0.01702177
0.83161116 0.01716271
0.83033985 0.01730125
0.82905376 0.01743875
0.82778246 0.01757602
0.82651115 0.01771264
0.82522507 0.01784599
0.82395376 0.01797226
0.82266767 0.01808933
0.82139637 0.01819756
0.82012506 0.01829854
0.81883897 0.01839361
0.81756767 0.01848440
0.81628158 0.01857240
0.81501027 0.01866003
0.81373897 0.01875340
0.81245288 0.01885972
0.81118157 0.01898223
0.80989549 0.01911780
0.80862418 0.01926273
0.80735288 0.01941293
0.80606679 0.01956542
0.80479548 0.01971645
0.80350939 0.01986031
0.80223809 0.01999196
0.80096678 0.02010744
0.79968070 0.02020368
0.79840939 0.02028106
0.79712330 0.02034171
0.79585200 0.02039008
0.79458069 0.02043372
0.79329460 0.02047872
0.79202330 0.02053061
0.79073721 0.02059218
0.78946590 0.02066471
0.78817982 0.02074805
0.78690851 0.02084112
0.78563720 0.02094282
0.78435112 0.02105211
0.78307981 0.02116765
0.78179372 0.02128206
0.78052242 0.02138509
0.77923633 0.02146794
0.77796502 0.02152443
0.77669372 0.02155234
0.77540763 0.02155154
0.77413633 0.02152279
0.77285024 0.02146918
0.77157893 0.02139506
0.77029284 0.02130871
0.76902154 0.02122508
0.76773545 0.02115630
0.76646414 0.02110531
