# s/c    cf
1.28119503 -0.01351502
1.27992372 -0.00519057
1.27865242 0.00263393
1.27738111 0.00997999
1.27610981 0.01686846
1.27483850 0.02331959
1.27356719 0.02935300
1.27229589 0.03498771
1.27102458 0.04024214
1.26975328 0.04513415
1.26848197 0.04968102
1.26721067 0.05389947
1.26593936 0.05780567
1.26466806 0.06141527
1.26339675 0.06474337
1.26212545 0.06780459
1.26085414 0.07061302
1.25958283 0.07318227
1.25831153 0.07552546
1.25704022 0.07765524
1.25576892 0.07958382
1.25449761 0.08132292
1.25322631 0.08288385
1.25195500 0.08427748
1.25068370 0.08551426
1.24941239 0.08660422
1.24814109 0.08755701
1.24686978 0.08838185
1.24559847 0.08908762
1.24432717 0.08968280
1.24305586 0.09017551
1.24178456 0.09057353
1.24051325 0.09088427
1.23924195 0.09111483
1.23797064 0.09127195
1.23669934 0.09136208
1.23542803 0.09139135
1.23415673 0.09136558
1.23288542 0.09129029
1.23161411 0.09117075
1.23034281 0.09101191
1.22907150 0.09081848
1.22780020 0.09059489
1.22652889 0.09034532
1.22525759 0.09007372
1.22398628 0.08978379
1.22271498 0.08947900
1.22144367 0.08916259
1.22017237 0.08883759
1.21890106 0.08850684
1.21762975 0.08817294
1.21635845 0.08783834
1.21508714 0.08750527
1.21381584 0.08717578
1.21254453 0.08685178
1.21127323 0.08653496
1.21000192 0.08622691
1.20873062 0.08592901
1.20744453 0.08564253
1.20617322 0.08536859
1.20490192 0.08510815
1.20363061 0.08486207
1.20235931 0.08463108
1.20108800 0.08441579
1.19981670 0.08421669
1.19854539 0.08403417
1.19727408 0.08386851
1.19600278 0.08371992
1.19473147 0.08358849
1.19346017 0.08347424
1.19218886 0.08337710
1.19091756 0.08329694
1.18964625 0.08323353
1.18837495 0.08318662
1.18710364 0.08315585
1.18583234 0.08314084
1.18456103 0.08314113
1.18328972 0.08315623
1.18201842 0.08318561
1.18074711 0.08322867
1.17946103 0.08328482
1.17818972 0.08335340
1.17691841 0.08343373
1.17564711 0.08352512
1.17437580 0.08362685
1.17310450 0.08373817
1.17183319 0.08385834
1.17056189 0.08398660
1.16929058 0.08412217
1.16801928 0.08426428
1.16674797 0.08441215
1.16547667 0.08456501
1.16420536 0.08472208
1.16293405 0.08488261
1.16166275 0.08504583
1.16039144 0.08521100
1.15912014 0.08537739
1.15783405 0.08554428
1.15656274 0.08571098
1.15529144 0.08587681
1.15402013 0.08658666
1.15274883 0.08712489
1.15147752 0.08752942
1.15020622 0.08791728
1.14893491 0.08838024
1.14766361 0.08883390
1.14639230 0.08916423
1.14512100 0.08933106
1.14384969 0.08934485
1.14257838 0.08921227
1.14130708 0.08892987
1.14002099 0.08840043
1.13874969 0.08774042
1.13747838 0.08720159
1.13620707 0.08681165
1.13493577 0.08653611
1.13366446 0.08636586
1.13239316 0.08629163
1.13112185 0.08630358
1.12985055 0.08639255
1.12857924 0.08654072
1.12730794 0.08673671
1.12603663 0.08696444
1.12475054 0.08720019
1.12347924 0.08740527
1.12220793 0.08754592
1.12093663 0.08761656
1.11966532 0.08764050
1.11839402 0.08764541
1.11712271 0.08764935
1.11585141 0.08765911
1.11458010 0.08767700
1.11330879 0.08770322
1.11203749 0.08773551
1.11075140 0.08777309
1.10948010 0.08781395
1.10820879 0.08785620
1.10693748 0.08789751
1.10566618 0.08793632
1.10439487 0.08797186
1.10312357 0.08800416
1.10185226 0.08803375
1.10058096 0.08806064
1.09930965 0.08808437
1.09802356 0.08810435
1.09675226 0.08811948
1.09548095 0.08813019
1.09420965 0.08813604
1.09293834 0.08813646
1.09166704 0.08813129
1.09039573 0.08811983
1.08912443 0.08810073
1.08783834 0.08807363
1.08656703 0.08803961
1.08529573 0.08800096
1.08402442 0.08795579
1.08275312 0.08790512
1.08148181 0.08784826
1.08021050 0.08779766
1.07893920 0.08778709
1.07766789 0.08783203
1.07638181 0.08790803
1.07511050 0.08798284
1.07383919 0.08804015
1.07256789 0.08807113
1.07129658 0.08807382
1.07002528 0.08804678
1.06875397 0.08799217
1.06746788 0.08791665
1.06619658 0.08783100
1.06492527 0.08774536
1.06365397 0.08766391
1.06238266 0.08758539
1.06111136 0.08750506
1.05984005 0.08742957
1.05856875 0.08737325
1.05728266 0.08734701
1.05601135 0.08735313
1.05474005 0.08738376
1.05346874 0.08742800
1.05219744 0.08747740
1.05092613 0.08752661
1.04965483 0.08757200
1.04836874 0.08761094
1.04709743 0.08764043
1.04582613 0.08766165
1.04455482 0.08767972
1.04328352 0.08770091
1.04201221 0.08772649
1.04072612 0.08775556
1.03945482 0.08778884
1.03818351 0.08782699
1.03691221 0.08787149
1.03564090 0.08792560
1.03436960 0.08799516
1.03309829 0.08808609
1.03181220 0.08819650
1.03054090 0.08832113
1.02926959 0.08845563
1.02799829 0.08859670
1.02672698 0.08874094
1.02545567 0.08888183
1.02416959 0.08900707
1.02289828 0.08910405
1.02162698 0.08917312
1.02035567 0.08922794
1.01908436 0.08928600
1.01779828 0.08935669
1.01652697 0.08944047
1.01525567 0.08953631
1.01398436 0.08964265
1.01271305 0.08975788
1.01144175 0.08988030
1.01015566 0.09000899
1.00888436 0.09014253
1.00761305 0.09028056
1.00634174 0.09042207
1.00507044 0.09056682
1.00378435 0.09071688
1.00251305 0.09087534
1.00124174 0.09104528
0.99997043 0.09122521
0.99869913 0.09140695
0.99742782 0.09158033
0.99614174 0.09174019
0.99487043 0.09188985
0.99359912 0.09203517
0.99232782 0.09217389
0.99105651 0.09230196
0.98977043 0.09241714
0.98849912 0.09251645
0.98722781 0.09259979
0.98595651 0.09267009
0.98468520 0.09273227
0.98339912 0.09278924
0.98212781 0.09284709
0.98085651 0.09291258
0.97958520 0.09299395
0.97829911 0.09310213
0.97702781 0.09323964
0.97575650 0.09340361
0.97448520 0.09358292
0.97321389 0.09376598
0.97192780 0.09394343
0.97065650 0.09410624
0.96938519 0.09424692
0.96811389 0.09435590
0.96682780 0.09442604
0.96555649 0.09445982
0.96428519 0.09446968
0.96301388 0.09446504
0.96174258 0.09444807
0.96045649 0.09442278
0.95918518 0.09440545
0.95791388 0.09443960
0.95664257 0.09456479
0.95535648 0.09477002
0.95408518 0.09499972
0.95281387 0.09521358
0.95154257 0.09540206
0.95025648 0.09556339
0.94898517 0.09569903
0.94771387 0.09580635
0.94644256 0.09588327
0.94515647 0.09593062
0.94388517 0.09594948
0.94261386 0.09593733
0.94134256 0.09588966
0.94005647 0.09581525
0.93878516 0.09575612
0.93751386 0.09575029
0.93624255 0.09579987
0.93495647 0.09589182
0.93368516 0.09601019
0.93241385 0.09613479
0.93114255 0.09625385
0.92985646 0.09636619
0.92858516 0.09647193
0.92731385 0.09656880
0.92604254 0.09665064
0.92475646 0.09670571
0.92348515 0.09672234
0.92221385 0.09669739
0.92094254 0.09665428
0.91965645 0.09662216
0.91838515 0.09661744
0.91711384 0.09665012
0.91582775 0.09672179
0.91455645 0.09683363
0.91328514 0.09698010
0.91201384 0.09715849
0.91072775 0.09736055
0.90945644 0.09757417
0.90818514 0.09778537
0.90691383 0.09798131
0.90562774 0.09815855
0.90435644 0.09831601
0.90308513 0.09845517
0.90179905 0.09857847
0.90052774 0.09869011
0.89925643 0.09879257
0.89797035 0.09888851
0.89669904 0.09898007
0.89542774 0.09907191
0.89415643 0.09917340
0.89287034 0.09929331
0.89159904 0.09943600
0.89032773 0.09960483
0.88904164 0.09981293
0.88777034 0.10007352
0.88649903 0.10037621
0.88521294 0.10070090
0.88394164 0.10103947
0.88267033 0.10138888
0.88138424 0.10174275
0.88011294 0.10208717
0.87884163 0.10240513
0.87757033 0.10268319
0.87628424 0.10291043
0.87501293 0.10307941
0.87374163 0.10318955
0.87245554 0.10324346
0.87118424 0.10324826
0.86991293 0.10321602
0.86862684 0.10317359
0.86735554 0.10315963
0.86608423 0.10320347
0.86479814 0.10331163
0.86352684 0.10348367
0.86225553 0.10370302
0.86096944 0.10394171
0.85969814 0.10417726
0.85842683 0.10439466
0.85714075 0.10459089
0.85586944 0.10476139
0.85459813 0.10490906
0.85331205 0.10503160
0.85204074 0.10513451
0.85076944 0.10523070
0.84948335 0.10534875
0.84821204 0.10551763
0.84692595 0.10572853
0.84565465 0.10596012
0.84438334 0.10619158
0.84309725 0.10641021
0.84182595 0.10660895
0.84055464 0.10678419
0.83926856 0.10693691
0.83799725 0.10706827
0.83672594 0.10718012
0.83543986 0.10727529
0.83416855 0.10735949
0.83288246 0.10743883
0.83161116 0.10751951
0.83033985 0.10760689
0.82905376 0.10771190
0.82778246 0.10784429
0.82651115 0.10801707
0.82522507 0.10822806
0.82395376 0.10844021
0.82266767 0.10861571
0.82139637 0.10875113
0.82012506 0.10885896
0.81883897 0.10894543
0.81756767 0.10901565
0.81628158 0.10906993
0.81501027 0.10910939
0.81373897 0.10914085
0.81245288 0.10918064
0.81118157 0.10923871
0.80989549 0.10931044
0.80862418 0.10939391
0.80735288 0.10949290
0.80606679 0.10961754
0.80479548 0.10976857
0.80350939 0.10993291
0.80223809 0.11009536
0.80096678 0.11024402
0.79968070 0.11037452
0.79840939 0.11048459
0.79712330 0.11057179
0.79585200 0.11063724
0.79458069 0.11068600
0.79329460 0.11072562
0.79202330 0.11076459
0.79073721 0.11080695
0.78946590 0.11085584
0.78817982 0.11091286
0.78690851 0.11097923
0.78563720 0.11105637
0.78435112 0.11114837
0.78307981 0.11126359
0.78179372 0.11140012
0.78052242 0.11154363
0.77923633 0.11167722
0.77796502 0.11178583
0.77669372 0.11186339
0.77540763 0.11190816
0.77413633 0.11191859
0.77285024 0.11189263
0.77157893 0.11182797
0.77029284 0.11172846
0.76902154 0.11161785
0.76773545 0.11152984
0.76646414 0.11147269
0.76517806 0.11143505
0.76390675 0.11140876
0.76263545 0.11138854
0.76134936 0.11137129
0.76007805 0.11135563
