# s/c    cf
1.28119503 0.02341767
1.27992372 0.02200402
1.27865242 0.02072541
1.27738111 0.01957395
1.27610981 0.01854201
1.27483850 0.01762223
1.27356719 0.01680753
1.27229589 0.01609109
1.27102458 0.01546636
1.26975328 0.01492702
1.26848197 0.01446700
1.26721067 0.01408048
1.26593936 0.01376187
1.26466806 0.01350583
1.26339675 0.01330720
1.26212545 0.01316109
1.26085414 0.01306278
1.25958283 0.01300780
1.25831153 0.01299185
1.25704022 0.01301086
1.25576892 0.01306092
1.25449761 0.01313835
1.25322631 0.01323961
1.25195500 0.01336138
1.25068370 0.01350050
1.24941239 0.01365397
1.24814109 0.01381896
1.24686978 0.01399282
1.24559847 0.01417304
1.24432717 0.01435727
1.24305586 0.01454329
1.24178456 0.01472905
1.24051325 0.01491262
1.23924195 0.01509221
1.23797064 0.01526617
1.23669934 0.01543297
1.23542803 0.01559120
1.23415673 0.01573957
1.23288542 0.01587691
1.23161411 0.01600216
1.23034281 0.01611435
1.22907150 0.01621264
1.22780020 0.01629627
1.22652889 0.01636459
1.22525759 0.01641703
1.22398628 0.01645311
1.22271498 0.01647244
1.22144367 0.01647471
1.22017237 0.01645969
1.21890106 0.01642721
1.21762975 0.01637720
1.21635845 0.01630963
1.21508714 0.01622455
1.21381584 0.01612207
1.21254453 0.01600235
1.21127323 0.01586561
1.21000192 0.01571214
1.20873062 0.01554224
1.20744453 0.01535630
1.20617322 0.01515473
1.20490192 0.01493798
1.20363061 0.01470655
1.20235931 0.01446096
1.20108800 0.01420178
1.19981670 0.01392960
1.19854539 0.01364504
1.19727408 0.01334875
1.19600278 0.01304139
1.19473147 0.01272365
1.19346017 0.01239625
1.19218886 0.01205990
1.19091756 0.01171534
1.18964625 0.01136333
1.18837495 0.01100462
1.18710364 0.01063998
1.18583234 0.01027017
1.18456103 0.00989599
1.18328972 0.00951820
1.18201842 0.00913758
1.18074711 0.00875491
1.17946103 0.00837097
1.17818972 0.00798651
1.17691841 0.00760230
1.17564711 0.00721910
1.17437580 0.00683764
1.17310450 0.00645866
1.17183319 0.00608287
1.17056189 0.00571099
1.16929058 0.00534370
1.16801928 0.00498168
1.16674797 0.00462557
1.16547667 0.00427603
1.16420536 0.00393366
1.16293405 0.00359906
1.16166275 0.00327281
1.16039144 0.00295546
1.15912014 0.00264753
1.15783405 0.00234954
1.15656274 0.00206196
1.15529144 0.00178524
1.15402013 0.00154754
1.15274883 0.00138082
1.15147752 0.00106312
1.15020622 0.00071600
1.14893491 0.00049912
1.14766361 0.00040879
1.14639230 0.00030496
1.14512100 0.00011521
1.14384969 -0.00013135
1.14257838 -0.00038047
1.14130708 -0.00060192
1.14002099 -0.00080534
1.13874969 -0.00103225
1.13747838 -0.00127740
1.13620707 -0.00146205
1.13493577 -0.00154622
1.13366446 -0.00153944
1.13239316 -0.00144974
1.13112185 -0.00128779
1.12985055 -0.00106790
1.12857924 -0.00080435
1.12730794 -0.00051251
1.12603663 -0.00020850
1.12475054 0.00008846
1.12347924 0.00035536
1.12220793 0.00057439
1.12093663 0.00073762
1.11966532 0.00085640
1.11839402 0.00094715
1.11712271 0.00101997
1.11585141 0.00110035
1.11458010 0.00120877
1.11330879 0.00134652
1.11203749 0.00150994
1.11075140 0.00169486
1.10948010 0.00189596
1.10820879 0.00210728
1.10693748 0.00232266
1.10566618 0.00253644
1.10439487 0.00274363
1.10312357 0.00294016
1.10185226 0.00312205
1.10058096 0.00328606
1.09930965 0.00342832
1.09802356 0.00354558
1.09675226 0.00363569
1.09548095 0.00369736
1.09420965 0.00373148
1.09293834 0.00373985
1.09166704 0.00372559
1.09039573 0.00369204
1.08912443 0.00364350
1.08783834 0.00358571
1.08656703 0.00352741
1.08529573 0.00347766
1.08402442 0.00344557
1.08275312 0.00344192
1.08148181 0.00348048
1.08021050 0.00358357
1.07893920 0.00377113
1.07766789 0.00404258
1.07638181 0.00437312
1.07511050 0.00473359
1.07383919 0.00510065
1.07256789 0.00545477
1.07129658 0.00578152
1.07002528 0.00607307
1.06875397 0.00633231
1.06746788 0.00656819
1.06619658 0.00678686
1.06492527 0.00699322
1.06365397 0.00719065
1.06238266 0.00738545
1.06111136 0.00758183
1.05984005 0.00778952
1.05856875 0.00802631
1.05728266 0.00830195
1.05601135 0.00861854
1.05474005 0.00897059
1.05346874 0.00935182
1.05219744 0.00975635
1.05092613 0.01017868
1.04965483 0.01061114
1.04836874 0.01104584
1.04709743 0.01147678
1.04582613 0.01189988
1.04455482 0.01231320
1.04328352 0.01271634
1.04201221 0.01310944
1.04072612 0.01349437
1.03945482 0.01387360
1.03818351 0.01425005
1.03691221 0.01462810
1.03564090 0.01501289
1.03436960 0.01541095
1.03309829 0.01582588
1.03181220 0.01625622
1.03054090 0.01669771
1.02926959 0.01714590
1.02799829 0.01759673
1.02672698 0.01804548
1.02545567 0.01848584
1.02416959 0.01890956
1.02289828 0.01931113
1.02162698 0.01969351
1.02035567 0.02006423
1.01908436 0.02043059
1.01779828 0.02079714
1.01652697 0.02116578
1.01525567 0.02153694
1.01398436 0.02190994
