# s/c    cf
0.94388517 0.13503819
0.94261386 0.13491133
0.94134256 0.13473700
0.94005647 0.13452946
0.93878516 0.13434452
0.93751386 0.13423350
0.93624255 0.13419856
0.93495647 0.13422879
0.93368516 0.13430399
0.93241385 0.13439363
0.93114255 0.13448302
0.92985646 0.13456829
0.92858516 0.13464853
0.92731385 0.13471960
0.92604254 0.13477255
0.92475646 0.13479269
0.92348515 0.13476264
0.92221385 0.13468230
0.92094254 0.13458186
0.91965645 0.13449938
0.91838515 0.13445984
0.91711384 0.13447366
0.91582775 0.13454416
0.91455645 0.13466977
0.91328514 0.13484309
0.91201384 0.13505741
0.91072775 0.13530088
0.90945644 0.13555637
0.90818514 0.13580379
0.90691383 0.13602613
0.90562774 0.13621790
0.90435644 0.13637790
0.90308513 0.13650757
0.90179905 0.13661105
0.90052774 0.13669353
0.89925643 0.13675945
0.89797035 0.13681250
0.89669904 0.13685550
0.89542774 0.13689493
0.89415643 0.13694172
0.89287034 0.13700676
0.89159904 0.13709472
0.89032773 0.13721172
0.88904164 0.13737987
0.88777034 0.13762189
0.88649903 0.13792360
0.88521294 0.13825350
0.88394164 0.13859674
0.88267033 0.13894651
0.88138424 0.13929205
0.88011294 0.13961286
0.87884163 0.13988500
0.87757033 0.14008976
0.87628424 0.14021076
0.87501293 0.14023928
0.87374163 0.14017149
0.87245554 0.14001279
0.87118424 0.13977190
0.86991293 0.13946512
0.86862684 0.13913690
0.86735554 0.13884775
0.86608423 0.13864851
0.86479814 0.13855077
0.86352684 0.13855067
0.86225553 0.13862228
0.86096944 0.13872597
0.85969814 0.13882956
0.85842683 0.13891163
0.85714075 0.13896588
0.85586944 0.13898671
0.85459813 0.13897499
0.85331205 0.13893083
0.85204074 0.13885945
0.85076944 0.13877899
0.84948335 0.13872917
0.84821204 0.13874290
0.84692595 0.13880959
0.84565465 0.13889830
0.84438334 0.13898154
0.84309725 0.13904144
0.84182595 0.13906830
0.84055464 0.13905835
0.83926856 0.13901269
0.83799725 0.13893436
0.83672594 0.13882717
0.83543986 0.13869700
0.83416855 0.13855382
0.83288246 0.13840882
0.83161116 0.13827202
0.83033985 0.13815463
0.82905376 0.13807017
0.82778246 0.13803702
0.82651115 0.13807294
0.82522507 0.13816877
0.82395376 0.13826762
0.82266767 0.13831356
0.82139637 0.13829674
0.82012506 0.13823646
0.81883897 0.13814555
0.81756767 0.13802896
0.81628158 0.13789086
0.81501027 0.13773272
0.81373897 0.13756597
0.81245288 0.13741224
0.81118157 0.13728444
0.80989549 0.13717936
0.80862418 0.13709359
0.80735288 0.13703822
0.80606679 0.13702635
0.80479548 0.13706020
0.80350939 0.13712225
0.80223809 0.13718452
0.80096678 0.13723242
0.79968070 0.13725790
0.79840939 0.13725770
0.79712330 0.13722911
0.79585200 0.13717096
0.79458069 0.13708891
0.79329460 0.13699522
0.79202330 0.13690040
0.79073721 0.13681109
0.78946590 0.13673193
0.78817982 0.13666585
0.78690851 0.13661582
0.78563720 0.13658366
0.78435112 0.13657669
0.78307981 0.13660402
0.78179372 0.13666399
0.78052242 0.13674004
0.77923633 0.13680864
0.77796502 0.13684988
0.77669372 0.13685447
0.77540763 0.13682001
0.77413633 0.13674513
0.77285024 0.13662600
0.77157893 0.13646136
0.77029284 0.13625729
0.76902154 0.13604522
0.76773545 0.13587191
0.76646414 0.13574943
0.76517806 0.13566420
0.76390675 0.13560493
0.76263545 0.13556462
0.76134936 0.13553856
0.76007805 0.13552458
0.75879196 0.13552247
0.75752066 0.13553381
0.75623457 0.13556114
0.75496327 0.13560743
0.75367718 0.13567590
0.75240587 0.13577016
0.75111978 0.13589325
0.74984848 0.13604640
0.74856239 0.13622623
0.74729108 0.13642303
0.74600500 0.13662120
0.74473369 0.13680847
0.74344760 0.13697717
0.74217630 0.13712920
0.74089021 0.13726761
0.73961890 0.13739380
0.73833282 0.13751183
0.73706151 0.13762338
0.73577542 0.13773190
0.73450412 0.13784799
0.73321803 0.13799512
0.73194672 0.13819787
0.73066064 0.13845291
0.72938933 0.13873154
0.72810324 0.13898871
0.72683194 0.13918618
0.72554585 0.13933390
0.72427454 0.13946240
0.72298845 0.13958517
0.72171715 0.13969573
0.72043106 0.13978102
0.71915976 0.13983192
0.71787367 0.13984447
0.71660236 0.13982713
0.71531627 0.13983422
0.71404497 0.13993585
0.71275888 0.14013657
0.71148758 0.14037347
0.71020149 0.14059764
0.70893018 0.14079819
0.70764409 0.14097289
0.70635801 0.14113183
0.70508670 0.14128890
0.70380061 0.14145135
0.70252931 0.14158223
0.70124322 0.14162760
0.69997191 0.14158751
0.69868582 0.14152120
0.69741452 0.14149794
0.69612843 0.14153123
0.69484234 0.14160116
0.69357104 0.14168434
0.69228495 0.14176529
0.69101364 0.14184038
0.68972756 0.14190662
0.68845625 0.14196904
0.68717016 0.14203139
0.68589886 0.14214938
0.68461277 0.14241151
0.68332668 0.14278768
0.68205538 0.14316503
0.68076929 0.14349957
0.67949798 0.14379476
0.67821189 0.14405301
0.67692581 0.14427153
