# s/c    cf
0.94388517 0.06775658
0.94261386 0.06772491
0.94134256 0.06763653
0.94005647 0.06750693
0.93878516 0.06739942
0.93751386 0.06736151
0.93624255 0.06740009
0.93495647 0.06749857
0.93368516 0.06763351
0.93241385 0.06777906
0.93114255 0.06791998
0.92985646 0.06805332
0.92858516 0.06817784
0.92731385 0.06828836
0.92604254 0.06837358
0.92475646 0.06841401
0.92348515 0.06839231
0.92221385 0.06830568
0.92094254 0.06818698
0.91965645 0.06807603
0.91838515 0.06799644
0.91711384 0.06796465
0.91582775 0.06798512
0.91455645 0.06806047
0.91328514 0.06818518
0.91201384 0.06835685
0.91072775 0.06856307
0.90945644 0.06878635
0.90818514 0.06900771
0.90691383 0.06920839
0.90562774 0.06938211
0.90435644 0.06952544
0.90308513 0.06963966
0.90179905 0.06972675
0.90052774 0.06979243
0.89925643 0.06983766
0.89797035 0.06986731
0.89669904 0.06988504
0.89542774 0.06989694
0.89415643 0.06991824
0.89287034 0.06996084
0.89159904 0.07003329
0.89032773 0.07014431
0.88904164 0.07031333
0.88777034 0.07055577
0.88649903 0.07085837
0.88521294 0.07119883
0.88394164 0.07156800
0.88267033 0.07196028
0.88138424 0.07236634
0.88011294 0.07276588
0.87884163 0.07313502
0.87757033 0.07345164
0.87628424 0.07369781
0.87501293 0.07386119
0.87374163 0.07393637
0.87245554 0.07392550
0.87118424 0.07383764
0.86991293 0.07369260
0.86862684 0.07353139
0.86735554 0.07340564
0.86608423 0.07335518
0.86479814 0.07339331
0.86352684 0.07352447
0.86225553 0.07372353
0.86096944 0.07395275
0.85969814 0.07418282
0.85842683 0.07438943
0.85714075 0.07456598
0.85586944 0.07470487
0.85459813 0.07480760
0.85331205 0.07487091
0.85204074 0.07490318
0.85076944 0.07492774
0.84948335 0.07498729
0.84821204 0.07511965
0.84692595 0.07531499
0.84565465 0.07554607
0.84438334 0.07578553
0.84309725 0.07601310
0.84182595 0.07621721
0.84055464 0.07639196
0.83926856 0.07653682
0.83799725 0.07665208
0.83672594 0.07673930
0.83543986 0.07680205
0.83416855 0.07684732
0.83288246 0.07688313
0.83161116 0.07691760
0.83033985 0.07696027
0.82905376 0.07702699
0.82778246 0.07713600
0.82651115 0.07730621
0.82522507 0.07753016
0.82395376 0.07775852
0.82266767 0.07794416
0.82139637 0.07808006
0.82012506 0.07817788
0.81883897 0.07824632
0.81756767 0.07828873
0.81628158 0.07830704
0.81501027 0.07830259
0.81373897 0.07828540
0.81245288 0.07827900
0.81118157 0.07829508
0.80989549 0.07832977
0.80862418 0.07838316
0.80735288 0.07846080
0.80606679 0.07857700
0.80479548 0.07873251
0.80350939 0.07890893
0.80223809 0.07908673
0.80096678 0.07924890
0.79968070 0.07938782
0.79840939 0.07949877
0.79712330 0.07957735
0.79585200 0.07962557
0.79458069 0.07965115
0.79329460 0.07966412
0.79202330 0.07967659
0.79073721 0.07969461
0.78946590 0.07972325
0.78817982 0.07976537
0.78690851 0.07982356
0.78563720 0.07990135
0.78435112 0.08000663
0.78307981 0.08015129
0.78179372 0.08033216
0.78052242 0.08052866
0.77923633 0.08071751
0.77796502 0.08087727
0.77669372 0.08099769
0.77540763 0.08107392
0.77413633 0.08110186
0.77285024 0.08107559
0.77157893 0.08099099
0.77029284 0.08085593
0.76902154 0.08070510
0.76773545 0.08058210
0.76646414 0.08049712
0.76517806 0.08043868
0.76390675 0.08039537
0.76263545 0.08035938
0.76134936 0.08032573
0.76007805 0.08029218
0.75879196 0.08025867
0.75752066 0.08022672
0.75623457 0.08019903
0.75496327 0.08017949
0.75367718 0.08017188
0.75240587 0.08018094
0.75111978 0.08021206
0.74984848 0.08026745
0.74856239 0.08034662
0.74729108 0.08044050
0.74600500 0.08053625
0.74473369 0.08062077
0.74344760 0.08068963
0.74217630 0.08074326
0.74089021 0.08078268
0.73961890 0.08081165
0.73833282 0.08083196
0.73706151 0.08084674
0.73577542 0.08086030
0.73450412 0.08088784
0.73321803 0.08095905
0.73194672 0.08110017
0.73066064 0.08130510
0.72938933 0.08153869
0.72810324 0.08174719
0.72683194 0.08188936
0.72554585 0.08197795
0.72427454 0.08204556
0.72298845 0.08210892
0.72171715 0.08216468
0.72043106 0.08219480
0.71915976 0.08218905
0.71787367 0.08213854
0.71660236 0.08205434
0.71531627 0.08200763
0.71404497 0.08207399
0.71275888 0.08225770
0.71148758 0.08249012
0.71020149 0.08271929
0.70893018 0.08292826
0.70764409 0.08311454
0.70635801 0.08328835
0.70508670 0.08346130
0.70380061 0.08364146
0.70252931 0.08378176
0.70124322 0.08383573
0.69997191 0.08380466
0.69868582 0.08375373
0.69741452 0.08375347
0.69612843 0.08381361
0.69484234 0.08391891
0.69357104 0.08403977
0.69228495 0.08415525
0.69101364 0.08425890
0.68972756 0.08434336
0.68845625 0.08441359
0.68717016 0.08447971
0.68589886 0.08461442
0.68461277 0.08491212
0.68332668 0.08533729
0.68205538 0.08578807
0.68076929 0.08621643
0.67949798 0.08662105
0.67821189 0.08700195
0.67692581 0.08734869
0.67565450 0.08762445
0.67436841 0.08775338
0.67309711 0.08771938
0.67181102 0.08760090
0.67053971 0.08748285
0.66925363 0.08742380
0.66796754 0.08746600
0.66669623 0.08764648
0.66541014 0.08795630
0.66413884 0.08834240
0.66285275 0.08873013
0.66156666 0.08905440
0.66029536 0.08932022
0.65900927 0.08955768
0.65772318 0.08978630
0.65645188 0.08999591
0.65516579 0.09015890
0.65389448 0.09025987
0.65260839 0.09029587
0.65132231 0.09027676
0.65005100 0.09020807
0.64876491 0.09009806
0.64749361 0.08995421
0.64620752 0.08978514
0.64492143 0.08959781
0.64365012 0.08939956
0.64236404 0.08919763
0.64107795 0.08901035
0.63980664 0.08888909
0.63852056 0.08888294
0.63723447 0.08899985
0.63596316 0.08921684
0.63467707 0.08952513
0.63339099 0.08989624
0.63211968 0.09028502
0.63083359 0.09064374
0.62954750 0.09092209
0.62827620 0.09104747
0.62699011 0.09098322
0.62571880 0.09079429
0.62443272 0.09058087
0.62314663 0.09041498
0.62187532 0.09032244
0.62058924 0.09027659
0.61930315 0.09024379
0.61801706 0.09022296
0.61674575 0.09020386
0.61545967 0.09018352
0.61417358 0.09014680
0.61290227 0.09011126
0.61161618 0.09015047
0.61033010 0.09031456
0.60905879 0.09060949
0.60777270 0.09095153
0.60648661 0.09121132
0.60521531 0.09131853
0.60392922 0.09124609
0.60264313 0.09103509
0.60137183 0.09076432
0.60008574 0.09051419
0.59879965 0.09035085
0.59751356 0.09031739
0.59624226 0.09043453
0.59495617 0.09066773
0.59367008 0.09092000
0.59239878 0.09108924
0.59111269 0.09113938
0.58982660 0.09114128
0.58854051 0.09119975
0.58726921 0.09135756
0.58598312 0.09158793
0.58469703 0.09186255
0.58341094 0.09210669
0.58213964 0.09222409
0.58085355 0.09215446
0.57956746 0.09192622
0.57829616 0.09162520
0.57701007 0.09133542
0.57572398 0.09113305
0.57443789 0.09103971
0.57316659 0.09106688
0.57188050 0.09121332
0.57059441 0.09145513
0.56930832 0.09173043
0.56803702 0.09196579
0.56675093 0.09211436
0.56546484 0.09216703
0.56417875 0.09210412
0.56289266 0.09193252
0.56162136 0.09171196
0.56033527 0.09152300
0.55904918 0.09146425
0.55776309 0.09155843
0.55649179 0.09171518
0.55520570 0.09181286
0.55391961 0.09177475
0.55263352 0.09159768
0.55134744 0.09138551
0.55007613 0.09126513
0.54879004 0.09129990
0.54750395 0.09145828
0.54621787 0.09165675
0.54494656 0.09175405
0.54366047 0.09164870
0.54237438 0.09144016
0.54108830 0.09118594
0.53980221 0.09099276
0.53853090 0.09107164
0.53724481 0.09137266
0.53595873 0.09169091
0.53467264 0.09186557
0.53338655 0.09182035
0.53210046 0.09162369
0.53082916 0.09149961
0.52954307 0.09164595
0.52825698 0.09202832
0.52697089 0.09250344
0.52568480 0.09289667
