# s/c    cf
0.94388517 0.09035591
0.94261386 0.09034369
0.94134256 0.09029847
0.94005647 0.09022807
0.93878516 0.09017089
0.93751386 0.09016216
0.93624255 0.09020412
0.93495647 0.09028540
0.93368516 0.09039135
0.93241385 0.09050337
0.93114255 0.09061055
0.92985646 0.09071181
0.92858516 0.09080734
0.92731385 0.09089503
0.92604254 0.09096920
0.92475646 0.09101904
0.92348515 0.09103365
0.92221385 0.09101017
0.92094254 0.09097018
0.91965645 0.09093984
0.91838515 0.09093406
0.91711384 0.09096206
0.91582775 0.09102506
0.91455645 0.09112408
0.91328514 0.09125421
0.91201384 0.09141288
0.91072775 0.09159280
0.90945644 0.09178298
0.90818514 0.09197057
0.90691383 0.09214405
0.90562774 0.09230025
0.90435644 0.09243835
0.90308513 0.09255962
0.90179905 0.09266644
0.90052774 0.09276237
0.89925643 0.09284983
0.89797035 0.09293081
0.89669904 0.09300726
0.89542774 0.09308333
0.89415643 0.09316699
0.89287034 0.09326646
0.89159904 0.09338545
0.89032773 0.09352741
0.88904164 0.09370482
0.88777034 0.09393069
0.88649903 0.09419537
0.88521294 0.09448023
0.88394164 0.09477800
0.88267033 0.09508604
0.88138424 0.09539882
0.88011294 0.09570323
0.87884163 0.09598409
0.87757033 0.09622865
0.87628424 0.09642702
0.87501293 0.09657240
0.87374163 0.09666400
0.87245554 0.09670391
0.87118424 0.09669822
0.86991293 0.09665775
0.86862684 0.09660698
0.86735554 0.09658203
0.86608423 0.09661015
0.86479814 0.09669744
0.86352684 0.09684327
0.86225553 0.09703242
0.86096944 0.09723931
0.85969814 0.09744340
0.85842683 0.09763097
0.85714075 0.09779938
0.85586944 0.09794455
0.85459813 0.09806906
0.85331205 0.09817110
0.85204074 0.09825528
0.85076944 0.09833283
0.84948335 0.09843009
0.84821204 0.09857398
0.84692595 0.09875573
0.84565465 0.09895619
0.84438334 0.09915610
0.84309725 0.09934377
0.84182595 0.09951335
0.84055464 0.09966123
0.83926856 0.09978866
0.83799725 0.09989667
0.83672594 0.09998708
0.83543986 0.10006248
0.83416855 0.10012821
0.83288246 0.10018994
0.83161116 0.10025335
0.83033985 0.10032352
0.82905376 0.10041046
0.82778246 0.10052344
0.82651115 0.10067467
0.82522507 0.10086201
0.82395376 0.10105080
0.82266767 0.10120568
0.82139637 0.10132324
0.82012506 0.10141531
0.81883897 0.10148780
0.81756767 0.10154542
0.81628158 0.10158815
0.81501027 0.10161727
0.81373897 0.10163902
0.81245288 0.10166797
0.81118157 0.10171339
0.80989549 0.10177129
0.80862418 0.10183974
0.80735288 0.10192246
0.80606679 0.10202955
0.80479548 0.10216132
0.80350939 0.10230608
0.80223809 0.10244972
0.80096678 0.10258134
0.79968070 0.10269674
0.79840939 0.10279428
0.79712330 0.10287122
0.79585200 0.10292880
0.79458069 0.10297105
0.79329460 0.10300450
0.79202330 0.10303769
0.79073721 0.10307373
0.78946590 0.10311571
0.78817982 0.10316505
0.78690851 0.10322297
0.78563720 0.10329097
0.78435112 0.10337274
0.78307981 0.10347656
0.78179372 0.10360065
0.78052242 0.10373175
0.77923633 0.10385504
0.77796502 0.10395620
0.77669372 0.10402994
0.77540763 0.10407465
0.77413633 0.10408863
0.77285024 0.10407020
0.77157893 0.10401646
0.77029284 0.10393117
0.76902154 0.10383619
0.76773545 0.10376194
0.76646414 0.10371625
0.76517806 0.10368838
0.76390675 0.10367084
0.76263545 0.10365861
0.76134936 0.10364889
0.76007805 0.10364046
0.75879196 0.10363340
0.75752066 0.10362892
0.75623457 0.10362907
0.75496327 0.10363587
0.75367718 0.10365220
0.75240587 0.10368051
0.75111978 0.10372345
0.74984848 0.10378296
0.74856239 0.10385772
0.74729108 0.10394238
0.74600500 0.10402811
0.74473369 0.10410652
0.74344760 0.10417479
0.74217630 0.10423384
0.74089021 0.10428539
0.73961890 0.10433198
0.73833282 0.10437520
0.73706151 0.10441716
0.73577542 0.10445978
0.73450412 0.10451124
0.73321803 0.10458872
0.73194672 0.10471147
0.73066064 0.10487586
0.72938933 0.10505990
0.72810324 0.10522913
0.72683194 0.10535122
0.72554585 0.10543664
0.72427454 0.10551106
0.72298845 0.10558661
0.72171715 0.10566067
0.72043106 0.10572173
0.71915976 0.10576393
0.71787367 0.10578233
0.71660236 0.10578086
0.71531627 0.10580230
0.71404497 0.10590224
0.71275888 0.10608453
0.71148758 0.10629744
0.71020149 0.10650432
0.70893018 0.10669491
0.70764409 0.10686737
0.70635801 0.10702995
0.70508670 0.10719027
0.70380061 0.10735635
0.70252931 0.10750378
0.70124322 0.10759652
0.69997191 0.10763188
0.69868582 0.10765656
0.69741452 0.10772042
0.69612843 0.10782993
0.69484234 0.10797223
0.69357104 0.10812607
0.69228495 0.10827987
0.69101364 0.10842888
0.68972756 0.10857085
0.68845625 0.10870630
0.68717016 0.10883812
0.68589886 0.10900752
0.68461277 0.10928260
0.68332668 0.10964775
0.68205538 0.11002081
0.68076929 0.11036926
0.67949798 0.11069765
0.67821189 0.11100842
0.67692581 0.11129774
0.67565450 0.11154874
0.67436841 0.11171068
0.67309711 0.11176538
0.67181102 0.11176847
0.67053971 0.11178182
0.66925363 0.11183814
0.66796754 0.11195926
0.66669623 0.11216820
0.66541014 0.11245832
0.66413884 0.11279573
0.66285275 0.11312885
0.66156666 0.11341001
0.66029536 0.11364375
0.65900927 0.11385505
0.65772318 0.11405951
0.65645188 0.11425297
0.65516579 0.11441542
0.65389448 0.11453613
0.65260839 0.11461609
0.65132231 0.11466306
0.65005100 0.11468198
0.64876491 0.11467846
0.64749361 0.11465849
0.64620752 0.11462756
0.64492143 0.11459169
0.64365012 0.11455424
0.64236404 0.11452039
0.64107795 0.11449765
0.63980664 0.11451663
0.63852056 0.11461421
0.63723447 0.11479185
0.63596316 0.11503132
0.63467707 0.11532247
0.63339099 0.11564971
0.63211968 0.11598554
0.63083359 0.11629552
0.62954750 0.11655280
0.62827620 0.11671458
0.62699011 0.11674920
0.62571880 0.11670012
0.62443272 0.11664299
0.62314663 0.11662562
0.62187532 0.11666307
0.62058924 0.11673536
0.61930315 0.11681623
0.61801706 0.11690197
0.61674575 0.11698978
0.61545967 0.11707667
0.61417358 0.11715124
0.61290227 0.11722065
0.61161618 0.11733524
0.61033010 0.11752902
0.60905879 0.11780861
0.60777270 0.11812687
0.60648661 0.11838854
0.60521531 0.11854556
0.60392922 0.11858696
0.60264313 0.11853869
0.60137183 0.11845482
0.60008574 0.11839133
0.59879965 0.11838697
0.59751356 0.11846542
0.59624226 0.11863911
0.59495617 0.11888698
0.59367008 0.11914603
0.59239878 0.11934295
0.59111269 0.11945101
0.58982660 0.11951611
0.58854051 0.11962233
0.58726921 0.11979350
0.58598312 0.12000576
0.58469703 0.12024911
0.58341094 0.12047296
0.58213964 0.12061160
0.58085355 0.12062265
0.57956746 0.12052875
0.57829616 0.12038803
0.57701007 0.12026287
0.57572398 0.12020344
0.57443789 0.12021980
0.57316659 0.12031679
0.57188050 0.12048824
0.57059441 0.12072140
0.56930832 0.12097521
0.56803702 0.12119273
0.56675093 0.12134349
0.56546484 0.12142668
0.56417875 0.12143273
0.56289266 0.12136399
0.56162136 0.12125621
0.56033527 0.12116971
0.55904918 0.12116509
0.55776309 0.12126895
0.55649179 0.12142323
0.55520570 0.12153449
0.55391961 0.12155506
0.55263352 0.12148031
0.55134744 0.12138039
0.55007613 0.12135274
0.54879004 0.12143379
0.54750395 0.12160102
0.54621787 0.12181345
0.54494656 0.12195940
0.54366047 0.12195526
0.54237438 0.12188193
0.54108830 0.12178636
0.53980221 0.12171419
0.53853090 0.12183104
0.53724481 0.12212193
0.53595873 0.12242076
0.53467264 0.12262020
0.53338655 0.12266768
0.53210046 0.12259598
0.53082916 0.12257289
0.52954307 0.12273934
0.52825698 0.12307369
0.52697089 0.12347849
0.52568480 0.12382556
0.52439872 0.12400964
0.52312741 0.12401182
0.52184132 0.12391285
0.52055524 0.12384186
0.51926915 0.12385435
0.51798306 0.12395688
0.51669697 0.12416715
0.51542567 0.12443190
0.51413958 0.12468831
0.51285349 0.12490329
0.51156740 0.12504648
0.51028131 0.12512428
0.50899523 0.12517340
0.50770914 0.12524012
0.50643783 0.12536031
0.50515174 0.12552141
0.50386566 0.12568865
0.50257957 0.12582514
0.50129348 0.12591404
0.50000739 0.12595943
0.49872130 0.12597202
0.49743522 0.12596528
0.49616391 0.12595610
0.49487782 0.12596567
0.49359173 0.12600683
0.49230565 0.12608359
0.49101956 0.12619379
0.48973347 0.12633203
0.48844738 0.12649424
0.48716129 0.12665205
0.48587521 0.12675330
0.48460390 0.12674898
0.48331781 0.12666595
0.48203172 0.12658676
0.48074564 0.12658868
0.47945955 0.12670318
0.47817346 0.12687670
0.47688737 0.12704978
