# s/c    cf
0.94388517 0.06382023
0.94261386 0.06378968
0.94134256 0.06370671
0.94005647 0.06358555
0.93878516 0.06348266
0.93751386 0.06344178
0.93624255 0.06346978
0.93495647 0.06355277
0.93368516 0.06366963
0.93241385 0.06379677
0.93114255 0.06392038
0.92985646 0.06403777
0.92858516 0.06414799
0.92731385 0.06424642
0.92604254 0.06432289
0.92475646 0.06435957
0.92348515 0.06434090
0.92221385 0.06426408
0.92094254 0.06415870
0.91965645 0.06406000
0.91838515 0.06398881
0.91711384 0.06395996
0.91582775 0.06397697
0.91455645 0.06404226
0.91328514 0.06415099
0.91201384 0.06430114
0.91072775 0.06448192
0.90945644 0.06467784
0.90818514 0.06487178
0.90691383 0.06504718
0.90562774 0.06519859
0.90435644 0.06532315
0.90308513 0.06542188
0.90179905 0.06549677
0.90052774 0.06555222
0.89925643 0.06558983
0.89797035 0.06561269
0.89669904 0.06562357
0.89542774 0.06562832
0.89415643 0.06563925
0.89287034 0.06566727
0.89159904 0.06571965
0.89032773 0.06580493
0.88904164 0.06594157
0.88777034 0.06614486
0.88649903 0.06640269
0.88521294 0.06669486
0.88394164 0.06701345
0.88267033 0.06735343
0.88138424 0.06770697
0.88011294 0.06805545
0.87884163 0.06837772
0.87757033 0.06865342
0.87628424 0.06886671
0.87501293 0.06900608
0.87374163 0.06906628
0.87245554 0.06904862
0.87118424 0.06896028
0.86991293 0.06881876
0.86862684 0.06866082
0.86735554 0.06853443
0.86608423 0.06847599
0.86479814 0.06849798
0.86352684 0.06860367
0.86225553 0.06877117
0.86096944 0.06896616
0.85969814 0.06916161
0.85842683 0.06933666
0.85714075 0.06948523
0.85586944 0.06960055
0.85459813 0.06968429
0.85331205 0.06973280
0.85204074 0.06975369
0.85076944 0.06976739
0.84948335 0.06981170
0.84821204 0.06992127
0.84692595 0.07008676
0.84565465 0.07028394
0.84438334 0.07048742
0.84309725 0.07067937
0.84182595 0.07084990
0.84055464 0.07099363
0.83926856 0.07111042
0.83799725 0.07120062
0.83672594 0.07126572
0.83543986 0.07130901
0.83416855 0.07133697
0.83288246 0.07135698
0.83161116 0.07137650
0.83033985 0.07140435
0.82905376 0.07145509
0.82778246 0.07154584
0.82651115 0.07169413
0.82522507 0.07189278
0.82395376 0.07209588
0.82266767 0.07225980
0.82139637 0.07237769
0.82012506 0.07246076
0.81883897 0.07251689
0.81756767 0.07254973
0.81628158 0.07255986
0.81501027 0.07254843
0.81373897 0.07252534
0.81245288 0.07251087
0.81118157 0.07251588
0.80989549 0.07253721
0.80862418 0.07257470
0.80735288 0.07263438
0.80606679 0.07272994
0.80479548 0.07286214
0.80350939 0.07301461
0.80223809 0.07316894
0.80096678 0.07331029
0.79968070 0.07343121
0.79840939 0.07352821
0.79712330 0.07359654
0.79585200 0.07363793
0.79458069 0.07365888
0.79329460 0.07366777
0.79202330 0.07367596
0.79073721 0.07368845
0.78946590 0.07370999
0.78817982 0.07374313
0.78690851 0.07379030
0.78563720 0.07385506
0.78435112 0.07394456
0.78307981 0.07407064
0.78179372 0.07423060
0.78052242 0.07440575
0.77923633 0.07457563
0.77796502 0.07472096
0.77669372 0.07483221
0.77540763 0.07490528
0.77413633 0.07493620
0.77285024 0.07491962
0.77157893 0.07485108
0.77029284 0.07473736
0.76902154 0.07461026
0.76773545 0.07450860
0.76646414 0.07444200
0.76517806 0.07439939
0.76390675 0.07437056
0.76263545 0.07434808
0.76134936 0.07432753
0.76007805 0.07430686
0.75879196 0.07428590
0.75752066 0.07426629
0.75623457 0.07425030
0.75496327 0.07424157
0.75367718 0.07424333
0.75240587 0.07425997
0.75111978 0.07429637
0.74984848 0.07435475
0.74856239 0.07443414
0.74729108 0.07452645
0.74600500 0.07462047
0.74473369 0.07470339
0.74344760 0.07477163
0.74217630 0.07482540
0.74089021 0.07486549
0.73961890 0.07489541
0.73833282 0.07491658
0.73706151 0.07493183
0.73577542 0.07494505
0.73450412 0.07497016
0.73321803 0.07503475
0.73194672 0.07516303
0.73066064 0.07534992
0.72938933 0.07556348
0.72810324 0.07575381
0.72683194 0.07588397
0.72554585 0.07596532
0.72427454 0.07602858
0.72298845 0.07608854
0.72171715 0.07614223
0.72043106 0.07617333
0.71915976 0.07617130
0.71787367 0.07612752
0.71660236 0.07605127
0.71531627 0.07600841
0.71404497 0.07606893
0.71275888 0.07623656
0.71148758 0.07644845
0.71020149 0.07665707
0.70893018 0.07684667
0.70764409 0.07701474
0.70635801 0.07717089
0.70508670 0.07732637
0.70380061 0.07748813
0.70252931 0.07761443
0.70124322 0.07766232
0.69997191 0.07763246
0.69868582 0.07758482
0.69741452 0.07758329
0.69612843 0.07763713
0.69484234 0.07773168
0.69357104 0.07783993
0.69228495 0.07794312
0.69101364 0.07803419
0.68972756 0.07810726
0.68845625 0.07816483
0.68717016 0.07821680
0.68589886 0.07832990
0.68461277 0.07858984
0.68332668 0.07896599
0.68205538 0.07936542
0.68076929 0.07974477
0.67949798 0.08010339
0.67821189 0.08044228
0.67692581 0.08075195
0.67565450 0.08099935
0.67436841 0.08111399
0.67309711 0.08108131
0.67181102 0.08097277
0.67053971 0.08086522
0.66925363 0.08081231
0.66796754 0.08085147
0.66669623 0.08101664
0.66541014 0.08129922
0.66413884 0.08165100
0.66285275 0.08200413
0.66156666 0.08229858
0.66029536 0.08254026
0.65900927 0.08275764
0.65772318 0.08296930
0.65645188 0.08316664
0.65516579 0.08332417
0.65389448 0.08342779
0.65260839 0.08347488
0.65132231 0.08347414
0.65005100 0.08343049
0.64876491 0.08335096
0.64749361 0.08324218
0.64620752 0.08311081
0.64492143 0.08296350
0.64365012 0.08280468
0.64236404 0.08264165
0.64107795 0.08249043
0.63980664 0.08239616
0.63852056 0.08240560
0.63723447 0.08252565
