# s/c    cf
0.94388517 0.00504287
0.94261386 0.00505911
0.94134256 0.00507269
0.94005647 0.00509400
0.93878516 0.00513686
0.93751386 0.00520769
0.93624255 0.00529780
0.93495647 0.00539601
0.93368516 0.00549466
0.93241385 0.00558807
0.93114255 0.00567485
0.92985646 0.00575350
0.92858516 0.00582401
0.92731385 0.00588525
0.92604254 0.00593578
0.92475646 0.00597275
0.92348515 0.00599462
0.92221385 0.00600415
0.92094254 0.00601165
0.91965645 0.00602906
0.91838515 0.00606503
0.91711384 0.00612453
0.91582775 0.00620825
0.91455645 0.00631473
0.91328514 0.00644017
0.91201384 0.00657970
0.91072775 0.00672763
0.90945644 0.00687747
0.90818514 0.00702300
0.90691383 0.00716016
0.90562774 0.00728702
0.90435644 0.00740355
0.90308513 0.00751047
0.90179905 0.00760987
0.90052774 0.00770368
0.89925643 0.00779508
0.89797035 0.00788729
0.89669904 0.00798431
0.89542774 0.00809221
0.89415643 0.00821696
0.89287034 0.00836403
0.89159904 0.00853486
0.89032773 0.00872795
0.88904164 0.00893857
0.88777034 0.00916195
0.88649903 0.00939162
0.88521294 0.00962237
0.88394164 0.00985072
0.88267033 0.01007271
0.88138424 0.01028441
0.88011294 0.01048045
0.87884163 0.01065646
0.87757033 0.01080884
0.87628424 0.01093573
0.87501293 0.01103763
0.87374163 0.01111780
0.87245554 0.01118304
0.87118424 0.01124240
0.86991293 0.01130635
0.86862684 0.01138502
0.86735554 0.01148507
0.86608423 0.01160901
0.86479814 0.01175751
0.86352684 0.01192679
0.86225553 0.01210893
0.86096944 0.01229326
0.85969814 0.01246994
0.85842683 0.01263397
0.85714075 0.01278246
0.85586944 0.01291503
0.85459813 0.01303262
0.85331205 0.01313768
0.85204074 0.01323541
0.85076944 0.01333592
0.84948335 0.01345317
0.84821204 0.01359463
0.84692595 0.01375711
0.84565465 0.01393075
0.84438334 0.01410658
0.84309725 0.01427855
0.84182595 0.01444231
0.84055464 0.01459646
0.83926856 0.01474043
0.83799725 0.01487486
0.83672594 0.01500057
0.83543986 0.01511889
0.83416855 0.01523140
0.83288246 0.01533978
0.83161116 0.01544570
0.83033985 0.01555072
0.82905376 0.01565622
0.82778246 0.01576305
0.82651115 0.01587078
0.82522507 0.01597651
0.82395376 0.01607588
0.82266767 0.01616632
0.82139637 0.01624804
0.82012506 0.01632258
0.81883897 0.01639144
0.81756767 0.01645589
0.81628158 0.01651744
0.81501027 0.01657832
0.81373897 0.01664350
0.81245288 0.01671952
0.81118157 0.01680869
0.80989549 0.01690941
0.80862418 0.01701803
0.80735288 0.01713209
0.80606679 0.01724960
0.80479548 0.01736687
0.80350939 0.01747946
0.80223809 0.01758240
0.80096678 0.01767205
0.79968070 0.01774621
0.79840939 0.01780428
0.79712330 0.01784832
0.79585200 0.01788223
0.79458069 0.01791137
0.79329460 0.01794164
0.79202330 0.01797719
0.79073721 0.01802081
0.78946590 0.01807351
0.78817982 0.01813547
0.78690851 0.01820587
0.78563720 0.01828410
0.78435112 0.01836929
0.78307981 0.01846070
0.78179372 0.01855188
0.78052242 0.01863408
0.77923633 0.01869990
0.77796502 0.01874344
0.77669372 0.01876312
0.77540763 0.01875809
0.77413633 0.01872967
0.77285024 0.01867951
0.77157893 0.01861181
0.77029284 0.01853380
0.76902154 0.01845767
0.76773545 0.01839477
0.76646414 0.01834716
0.76517806 0.01831177
0.76390675 0.01828474
0.76263545 0.01826336
0.76134936 0.01824597
0.76007805 0.01823163
0.75879196 0.01822018
0.75752066 0.01821192
0.75623457 0.01820755
0.75496327 0.01820788
0.75367718 0.01821376
0.75240587 0.01822592
0.75111978 0.01824471
0.74984848 0.01826985
0.74856239 0.01830021
0.74729108 0.01833385
0.74600500 0.01836877
0.74473369 0.01840379
0.74344760 0.01843907
0.74217630 0.01847575
0.74089021 0.01851553
0.73961890 0.01856027
0.73833282 0.01861223
0.73706151 0.01867372
0.73577542 0.01874829
0.73450412 0.01884032
0.73321803 0.01895684
0.73194672 0.01909707
0.73066064 0.01925173
0.72938933 0.01940462
0.72810324 0.01953442
0.72683194 0.01963133
0.72554585 0.01969748
0.72427454 0.01974720
0.72298845 0.01979076
0.72171715 0.01983056
0.72043106 0.01986720
0.71915976 0.01990034
0.71787367 0.01993448
0.71660236 0.01998336
0.71531627 0.02007472
0.71404497 0.02022669
0.71275888 0.02042505
0.71148758 0.02063946
0.71020149 0.02084889
0.70893018 0.02104326
0.70764409 0.02122158
0.70635801 0.02138368
0.70508670 0.02153051
0.70380061 0.02166022
0.70252931 0.02176281
0.70124322 0.02183430
0.69997191 0.02188750
0.69868582 0.02195187
0.69741452 0.02205305
0.69612843 0.02219541
0.69484234 0.02236719
0.69357104 0.02255503
0.69228495 0.02274791
0.69101364 0.02294026
0.68972756 0.02313064
0.68845625 0.02331971
0.68717016 0.02351408
0.68589886 0.02373973
0.68461277 0.02402143
0.68332668 0.02434800
0.68205538 0.02468644
0.68076929 0.02501735
0.67949798 0.02533178
0.67821189 0.02562319
0.67692581 0.02588676
0.67565450 0.02610328
0.67436841 0.02625776
0.67309711 0.02635132
0.67181102 0.02642218
0.67053971 0.02651644
0.66925363 0.02665519
0.66796754 0.02684933
0.66669623 0.02709700
0.66541014 0.02738466
0.66413884 0.02768470
0.66285275 0.02796664
0.66156666 0.02821028
0.66029536 0.02841663
0.65900927 0.02859701
0.65772318 0.02875962
0.65645188 0.02890248
0.65516579 0.02901819
0.65389448 0.02910316
0.65260839 0.02915750
0.65132231 0.02918491
0.65005100 0.02918933
0.64876491 0.02917538
0.64749361 0.02914849
0.64620752 0.02911343
0.64492143 0.02907620
0.64365012 0.02904182
0.64236404 0.02901559
0.64107795 0.02901048
0.63980664 0.02904967
0.63852056 0.02915238
0.63723447 0.02931820
0.63596316 0.02953328
0.63467707 0.02978082
0.63339099 0.03003979
0.63211968 0.03028472
0.63083359 0.03049194
0.62954750 0.03064231
0.62827620 0.03071104
0.62699011 0.03070014
0.62571880 0.03064567
0.62443272 0.03059681
0.62314663 0.03059031
0.62187532 0.03062697
0.62058924 0.03069047
0.61930315 0.03076147
0.61801706 0.03083076
0.61674575 0.03089521
0.61545967 0.03095185
0.61417358 0.03100003
0.61290227 0.03105822
0.61161618 0.03115921
0.61033010 0.03131983
0.60905879 0.03152987
0.60777270 0.03174605
0.60648661 0.03191838
0.60521531 0.03201594
0.60392922 0.03203418
0.60264313 0.03199379
0.60137183 0.03193562
0.60008574 0.03190521
0.59879965 0.03193057
0.59751356 0.03202386
0.59624226 0.03217755
0.59495617 0.03236377
0.59367008 0.03253976
0.59239878 0.03267181
0.59111269 0.03275363
0.58982660 0.03282353
0.58854051 0.03292408
0.58726921 0.03306313
0.58598312 0.03322296
0.58469703 0.03337736
0.58341094 0.03349201
0.58213964 0.03352886
0.58085355 0.03346953
0.57956746 0.03332843
0.57829616 0.03315567
0.57701007 0.03301097
0.57572398 0.03293475
0.57443789 0.03294207
0.57316659 0.03302582
0.57188050 0.03317103
0.57059441 0.03334579
0.56930832 0.03351269
0.56803702 0.03364222
0.56675093 0.03371348
0.56546484 0.03372579
0.56417875 0.03367406
0.56289266 0.03357298
0.56162136 0.03345484
0.56033527 0.03336103
0.55904918 0.03333204
0.55776309 0.03336387
0.55649179 0.03341293
0.55520570 0.03342602
0.55391961 0.03337686
0.55263352 0.03327436
0.55134744 0.03317855
0.55007613 0.03314974
0.54879004 0.03320573
0.54750395 0.03331515
0.54621787 0.03342723
0.54494656 0.03348495
0.54366047 0.03345932
0.54237438 0.03339015
0.54108830 0.03331824
0.53980221 0.03331437
0.53853090 0.03344115
0.53724481 0.03365183
0.53595873 0.03386038
0.53467264 0.03399320
0.53338655 0.03402743
0.53210046 0.03401272
0.53082916 0.03405611
0.52954307 0.03424238
0.52825698 0.03452823
0.52697089 0.03482983
0.52568480 0.03507499
0.52439872 0.03519619
0.52312741 0.03519903
0.52184132 0.03514574
0.52055524 0.03512036
0.51926915 0.03517583
0.51798306 0.03531736
0.51669697 0.03553041
0.51542567 0.03576949
0.51413958 0.03599716
0.51285349 0.03618420
0.51156740 0.03631928
0.51028131 0.03641140
0.50899523 0.03649003
0.50770914 0.03658849
0.50643783 0.03672232
0.50515174 0.03687694
0.50386566 0.03702599
0.50257957 0.03714828
0.50129348 0.03723171
0.50000739 0.03728182
0.49872130 0.03730751
0.49743522 0.03732386
0.49616391 0.03734894
0.49487782 0.03739804
0.49359173 0.03748093
0.49230565 0.03759711
0.49101956 0.03774029
0.48973347 0.03790141
0.48844738 0.03806560
0.48716129 0.03820798
0.48587521 0.03829734
0.48460390 0.03831115
0.48331781 0.03827494
0.48203172 0.03825272
0.48074564 0.03830207
0.47945955 0.03843090
0.47817346 0.03859815
0.47688737 0.03875217
0.47560128 0.03885618
0.47431520 0.03889112
0.47302911 0.03886967
0.47174302 0.03884159
0.47045693 0.03887556
0.46917084 0.03902500
0.46789954 0.03926093
0.46661345 0.03947934
0.46532736 0.03955569
0.46404127 0.03945768
0.46275519 0.03936990
0.46146910 0.03951653
0.46018301 0.03988989
0.45889692 0.04031827
0.45761083 0.04067324
0.45632474 0.04091435
0.45503866 0.04108090
0.45375257 0.04120850
0.45246648 0.04127872
0.45118039 0.04114767
0.44989430 0.04074405
0.44860822 0.04023266
0.44732213 0.03986134
0.44603604 0.03974414
0.44474995 0.03975862
0.44346386 0.03976886
0.44217778 0.03969746
0.44089169 0.03954174
0.43960560 0.03934294
0.43831951 0.03913442
0.43703342 0.03893493
0.43574734 0.03874976
0.43446125 0.03858219
0.43317516 0.03843736
0.43188907 0.03832920
0.43060298 0.03827097
0.42931690 0.03825394
0.42803081 0.03825049
0.42674472 0.03825358
0.42545863 0.03827612
0.42417254 0.03832255
0.42288645 0.03834186
0.42160037 0.03813846
0.42031428 0.03762365
0.41902819 0.03698809
0.41774210 0.03654177
0.41645601 0.03638859
0.41516993 0.03637598
0.41388384 0.03638992
