# y/t    TKE_mean   TKE_std
0.00000000 0.00221619 0.00263123
0.00502513 0.00203641 0.00237385
0.01005025 0.00193006 0.00222103
0.01507538 0.00190930 0.00218965
0.02010050 0.00188853 0.00215826
0.02512563 0.00186758 0.00212664
0.03015075 0.00184634 0.00209372
0.03517588 0.00182511 0.00206081
0.04020101 0.00180362 0.00202762
0.04522613 0.00178256 0.00199400
0.05025126 0.00176147 0.00196031
0.05527638 0.00174018 0.00192639
0.06030151 0.00171884 0.00189381
0.06532663 0.00169745 0.00186102
0.07035176 0.00167589 0.00182846
0.07537688 0.00165386 0.00179882
0.08040201 0.00163173 0.00176880
0.08542714 0.00160981 0.00173980
0.09045226 0.00158853 0.00171389
0.09547739 0.00156703 0.00168752
0.10050251 0.00154671 0.00166313
0.10552764 0.00152782 0.00164112
0.11055276 0.00150868 0.00161877
0.11557789 0.00149172 0.00159932
0.12060302 0.00147572 0.00158118
0.12562814 0.00145957 0.00156286
0.13065327 0.00144636 0.00154792
0.13567839 0.00143321 0.00153309
0.14070352 0.00142064 0.00151882
0.14572864 0.00141024 0.00150666
0.15075377 0.00139964 0.00149431
0.15577889 0.00139026 0.00148319
0.16080402 0.00138172 0.00147291
0.16582915 0.00137308 0.00146253
0.17085427 0.00136587 0.00145374
0.17587940 0.00135863 0.00144492
0.18090452 0.00135181 0.00143656
0.18592965 0.00134571 0.00142897
0.19095477 0.00133949 0.00142126
0.19597990 0.00133415 0.00141448
0.20100503 0.00132891 0.00140780
0.20603015 0.00132388 0.00140145
0.21105528 0.00131933 0.00139579
0.21608040 0.00131473 0.00139005
0.22110553 0.00131064 0.00138530
0.22613065 0.00130659 0.00138063
0.23115578 0.00130278 0.00137634
0.23618090 0.00129927 0.00137252
0.24120603 0.00129580 0.00136878
0.24623116 0.00129278 0.00136573
0.25125628 0.00128976 0.00136269
0.25628141 0.00128706 0.00136025
0.26130653 0.00128444 0.00135800
0.26633166 0.00128209 0.00135611
0.27135678 0.00127999 0.00135458
0.27638191 0.00127802 0.00135317
0.28140704 0.00127670 0.00135232
0.28643216 0.00127533 0.00135141
0.29145729 0.00127465 0.00135128
0.29648241 0.00127397 0.00135111
0.30150754 0.00127367 0.00135164
0.30653266 0.00127354 0.00135249
0.31155779 0.00127367 0.00135372
0.31658291 0.00127417 0.00135552
0.32160804 0.00127484 0.00135755
0.32663317 0.00127604 0.00136031
0.33165829 0.00127732 0.00136323
0.33668342 0.00127912 0.00136714
0.34170854 0.00128092 0.00137106
0.34673367 0.00128349 0.00137621
0.35175879 0.00128600 0.00138130
0.35678392 0.00128961 0.00138740
0.36180905 0.00129320 0.00139357
0.36683417 0.00129909 0.00140007
0.37185930 0.00130528 0.00140672
0.37688442 0.00132066 0.00141017
0.38190955 0.00133930 0.00141254
0.38693467 0.00140171 0.00139376
0.39195980 0.00148317 0.00136704
0.39698492 0.00178177 0.00123843
0.40201005 0.00214078 0.00111121
0.40703518 0.00331147 0.00086335
0.41206030 0.00467403 0.00121298
0.41708543 0.00785800 0.00236659
0.42211055 0.01171425 0.00410859
0.42713568 0.01777521 0.00595756
0.43216080 0.02471831 0.00806570
0.43718593 0.03311160 0.00874216
0.44221106 0.04192225 0.00926298
0.44723618 0.05089625 0.00777427
0.45226131 0.05997875 0.00689646
0.45728643 0.06795366 0.00679108
0.46231156 0.07603794 0.00842107
0.46733668 0.08215725 0.01047941
0.47236181 0.08807518 0.01277120
0.47738693 0.09237696 0.01453944
0.48241206 0.09614818 0.01611738
0.48743719 0.09888784 0.01724899
0.49246231 0.10099009 0.01808670
0.49748744 0.10250526 0.01864641
0.50251256 0.10341329 0.01889138
0.50753769 0.10400118 0.01896804
0.51256281 0.10412566 0.01877224
0.51758794 0.10413222 0.01850895
0.52261307 0.10394667 0.01811078
0.52763819 0.10378161 0.01771767
0.53266332 0.10367838 0.01733668
0.53768844 0.10369005 0.01701291
