# s/c    M_is
1.28119503 0.83079245
1.27992372 0.83102724
1.27865242 0.83125083
1.27738111 0.83146352
1.27610981 0.83166563
1.27483850 0.83185748
1.27356719 0.83203939
1.27229589 0.83221165
1.27102458 0.83237457
1.26975328 0.83252845
1.26848197 0.83267359
1.26721067 0.83281028
1.26593936 0.83293881
1.26466806 0.83305948
1.26339675 0.83317255
1.26212545 0.83327832
1.26085414 0.83337706
1.25958283 0.83346905
1.25831153 0.83355455
1.25704022 0.83363383
1.25576892 0.83370715
1.25449761 0.83377477
1.25322631 0.83383696
1.25195500 0.83389395
1.25068370 0.83394601
1.24941239 0.83399338
1.24814109 0.83403630
1.24686978 0.83407500
1.24559847 0.83410974
1.24432717 0.83414073
1.24305586 0.83416821
1.24178456 0.83419240
1.24051325 0.83421352
1.23924195 0.83423180
1.23797064 0.83424745
1.23669934 0.83426068
1.23542803 0.83427170
1.23415673 0.83428071
1.23288542 0.83428791
1.23161411 0.83429351
1.23034281 0.83429770
1.22907150 0.83430067
1.22780020 0.83430260
1.22652889 0.83430369
1.22525759 0.83430411
1.22398628 0.83430404
1.22271498 0.83430365
1.22144367 0.83430312
1.22017237 0.83430261
1.21890106 0.83430228
1.21762975 0.83430230
1.21635845 0.83430282
1.21508714 0.83430400
1.21381584 0.83430598
1.21254453 0.83430892
1.21127323 0.83431296
1.21000192 0.83431822
1.20873062 0.83432486
1.20744453 0.83433301
1.20617322 0.83434279
1.20490192 0.83435433
1.20363061 0.83436775
1.20235931 0.83438317
1.20108800 0.83440071
1.19981670 0.83442048
1.19854539 0.83444259
1.19727408 0.83446715
1.19600278 0.83449424
1.19473147 0.83452399
1.19346017 0.83455647
1.19218886 0.83459178
1.19091756 0.83463001
1.18964625 0.83467125
1.18837495 0.83471557
1.18710364 0.83476305
1.18583234 0.83481377
1.18456103 0.83486780
1.18328972 0.83492521
1.18201842 0.83498605
1.18074711 0.83505040
1.17946103 0.83511831
1.17818972 0.83518983
1.17691841 0.83526501
1.17564711 0.83534390
1.17437580 0.83542655
1.17310450 0.83551299
1.17183319 0.83560326
1.17056189 0.83569740
1.16929058 0.83579543
1.16801928 0.83589738
1.16674797 0.83600327
1.16547667 0.83611313
1.16420536 0.83622696
1.16293405 0.83634479
1.16166275 0.83646662
1.16039144 0.83659246
1.15912014 0.83672231
1.15783405 0.83685616
1.15656274 0.83699402
1.15529144 0.83713588
1.15402013 0.83746182
1.15274883 0.83777171
1.15147752 0.83811912
1.15020622 0.83849012
1.14893491 0.83886161
1.14766361 0.83922051
1.14639230 0.83957651
1.14512100 0.83994719
1.14384969 0.84033939
1.14257838 0.84074630
1.14130708 0.84115452
1.14002099 0.84155574
1.13874969 0.84193230
1.13747838 0.84226062
1.13620707 0.84252204
1.13493577 0.84270421
1.13366446 0.84281625
1.13239316 0.84287203
1.13112185 0.84289069
1.12985055 0.84289397
1.12857924 0.84289861
1.12730794 0.84291944
1.12603663 0.84297031
1.12475054 0.84306124
1.12347924 0.84319645
1.12220793 0.84337139
1.12093663 0.84357529
1.11966532 0.84379477
1.11839402 0.84401894
1.11712271 0.84424066
1.11585141 0.84445541
1.11458010 0.84466138
1.11330879 0.84485750
1.11203749 0.84504295
1.11075140 0.84521762
1.10948010 0.84538149
1.10820879 0.84553486
1.10693748 0.84567807
1.10566618 0.84581163
1.10439487 0.84593601
1.10312357 0.84605221
1.10185226 0.84616133
1.10058096 0.84626498
1.09930965 0.84636567
1.09802356 0.84646560
1.09675226 0.84656708
1.09548095 0.84667254
1.09420965 0.84678425
1.09293834 0.84690439
1.09166704 0.84703456
1.09039573 0.84717603
1.08912443 0.84732942
1.08783834 0.84749448
1.08656703 0.84767040
1.08529573 0.84785574
1.08402442 0.84804856
1.08275312 0.84824526
1.08148181 0.84843942
1.08021050 0.84862439
1.07893920 0.84879828
1.07766789 0.84896736
1.07638181 0.84914179
1.07511050 0.84932958
1.07383919 0.84953448
1.07256789 0.84975674
1.07129658 0.84999511
1.07002528 0.85024738
1.06875397 0.85051054
1.06746788 0.85078153
1.06619658 0.85105813
1.06492527 0.85133959
1.06365397 0.85162640
1.06238266 0.85191842
1.06111136 0.85221463
1.05984005 0.85251180
1.05856875 0.85280566
1.05728266 0.85309624
1.05601135 0.85338605
1.05474005 0.85367778
1.05346874 0.85397426
1.05219744 0.85427639
1.05092613 0.85458387
1.04965483 0.85489720
1.04836874 0.85521613
1.04709743 0.85553993
1.04582613 0.85586780
1.04455482 0.85619895
1.04328352 0.85653356
1.04201221 0.85687227
1.04072612 0.85721549
1.03945482 0.85756310
1.03818351 0.85791435
1.03691221 0.85826820
1.03564090 0.85862333
1.03436960 0.85897825
1.03309829 0.85933364
1.03181220 0.85969135
1.03054090 0.86005314
1.02926959 0.86042079
1.02799829 0.86079584
1.02672698 0.86117992
1.02545567 0.86157472
1.02416959 0.86198059
1.02289828 0.86239484
1.02162698 0.86281198
1.02035567 0.86322604
1.01908436 0.86363342
1.01779828 0.86403326
1.01652697 0.86442636
1.01525567 0.86481395
1.01398436 0.86519706
1.01271305 0.86557652
1.01144175 0.86595267
1.01015566 0.86632586
1.00888436 0.86669600
1.00761305 0.86706231
1.00634174 0.86742409
1.00507044 0.86778024
1.00378435 0.86812964
1.00251305 0.86847175
1.00124174 0.86880792
0.99997043 0.86914060
0.99869913 0.86947272
0.99742782 0.86980752
0.99614174 0.87014559
0.99487043 0.87048740
0.99359912 0.87083482
0.99232782 0.87118966
0.99105651 0.87155341
0.98977043 0.87192676
0.98849912 0.87230902
0.98722781 0.87269810
0.98595651 0.87309123
0.98468520 0.87348502
0.98339912 0.87387606
0.98212781 0.87426054
0.98085651 0.87463453
0.97958520 0.87499589
0.97829911 0.87534447
0.97702781 0.87568339
0.97575650 0.87601737
0.97448520 0.87635162
0.97321389 0.87669219
0.97192780 0.87704204
0.97065650 0.87740317
0.96938519 0.87777671
0.96811389 0.87816142
0.96682780 0.87855365
0.96555649 0.87894775
0.96428519 0.87933809
0.96301388 0.87972025
0.96174258 0.88008959
0.96045649 0.88043878
0.95918518 0.88075979
0.95791388 0.88104892
0.95664257 0.88131566
0.95535648 0.88157695
0.95408518 0.88184782
0.95281387 0.88213722
0.95154257 0.88244577
0.95025648 0.88277222
0.94898517 0.88311524
0.94771387 0.88347333
0.94644256 0.88384462
0.94515647 0.88422529
0.94388517 0.88461167
0.94261386 0.88499813
0.94134256 0.88537375
0.94005647 0.88572570
0.93878516 0.88604396
0.93751386 0.88632903
0.93624255 0.88659053
0.93495647 0.88684090
0.93368516 0.88709279
0.93241385 0.88735464
0.93114255 0.88763102
0.92985646 0.88792462
0.92858516 0.88823767
0.92731385 0.88857259
0.92604254 0.88893106
0.92475646 0.88931321
0.92348515 0.88971436
0.92221385 0.89012585
0.92094254 0.89053662
0.91965645 0.89093541
0.91838515 0.89131804
0.91711384 0.89168381
0.91582775 0.89203392
0.91455645 0.89237196
0.91328514 0.89270293
0.91201384 0.89303243
0.91072775 0.89336676
0.90945644 0.89371369
0.90818514 0.89407729
0.90691383 0.89445940
0.90562774 0.89486009
0.90435644 0.89527746
0.90308513 0.89570877
0.90179905 0.89615056
0.90052774 0.89659876
0.89925643 0.89704937
0.89797035 0.89749776
0.89669904 0.89793744
0.89542774 0.89836225
0.89415643 0.89876639
0.89287034 0.89914539
0.89159904 0.89949749
0.89032773 0.89982264
0.88904164 0.90012440
0.88777034 0.90041042
0.88649903 0.90069051
0.88521294 0.90097417
0.88394164 0.90126766
0.88267033 0.90157678
0.88138424 0.90190830
0.88011294 0.90226784
0.87884163 0.90265896
0.87757033 0.90308243
0.87628424 0.90353558
0.87501293 0.90401177
0.87374163 0.90450134
0.87245554 0.90499206
0.87118424 0.90546907
0.86991293 0.90591679
0.86862684 0.90632277
0.86735554 0.90668119
0.86608423 0.90699331
0.86479814 0.90726781
0.86352684 0.90751662
0.86225553 0.90775375
0.86096944 0.90799410
0.85969814 0.90824472
0.85842683 0.90850875
0.85714075 0.90878722
0.85586944 0.90907831
0.85459813 0.90937818
0.85331205 0.90968178
0.85204074 0.90998139
0.85076944 0.91026481
0.84948335 0.91052572
0.84821204 0.91076512
0.84692595 0.91098965
0.84565465 0.91120768
0.84438334 0.91142403
0.84309725 0.91164160
0.84182595 0.91186053
0.84055464 0.91207925
0.83926856 0.91229587
0.83799725 0.91250815
0.83672594 0.91271390
0.83543986 0.91291087
0.83416855 0.91309719
0.83288246 0.91327175
0.83161116 0.91343410
0.83033985 0.91358471
0.82905376 0.91372500
0.82778246 0.91385886
0.82651115 0.91399450
0.82522507 0.91414263
0.82395376 0.91431053
0.82266767 0.91449722
0.82139637 0.91469560
0.82012506 0.91489723
0.81883897 0.91509581
0.81756767 0.91528716
0.81628158 0.91546700
0.81501027 0.91562993
0.81373897 0.91577060
0.81245288 0.91588591
0.81118157 0.91597602
0.80989549 0.91604370
0.80862418 0.91609166
0.80735288 0.91612366
0.80606679 0.91614532
0.80479548 0.91616420
0.80350939 0.91618959
0.80223809 0.91622691
0.80096678 0.91627799
0.79968070 0.91634300
0.79840939 0.91641921
0.79712330 0.91650344
0.79585200 0.91659066
0.79458069 0.91667350
0.79329460 0.91674715
0.79202330 0.91680820
0.79073721 0.91685424
0.78946590 0.91688474
0.78817982 0.91689987
0.78690851 0.91690084
0.78563720 0.91688929
0.78435112 0.91686837
0.78307981 0.91684351
0.78179372 0.91682294
0.78052242 0.91681678
0.77923633 0.91683192
0.77796502 0.91687105
0.77669372 0.91693441
0.77540763 0.91702018
0.77413633 0.91712511
0.77285024 0.91724443
0.77157893 0.91737119
0.77029284 0.91749520
0.76902154 0.91760722
0.76773545 0.91770445
0.76646414 0.91779003
0.76517806 0.91786936
0.76390675 0.91794683
0.76263545 0.91802509
0.76134936 0.91810579
0.76007805 0.91818986
0.75879196 0.91827773
0.75752066 0.91836967
0.75623457 0.91846610
0.75496327 0.91856743
0.75367718 0.91867426
0.75240587 0.91878796
0.75111978 0.91891001
0.74984848 0.91904260
0.74856239 0.91918824
0.74729108 0.91934900
0.74600500 0.91952484
0.74473369 0.91971401
0.74344760 0.91991293
0.74217630 0.92011608
0.74089021 0.92031917
0.73961890 0.92051815
0.73833282 0.92070886
0.73706151 0.92088762
0.73577542 0.92105061
0.73450412 0.92119456
0.73321803 0.92132001
0.73194672 0.92143446
0.73066064 0.92155226
0.72938933 0.92169000
0.72810324 0.92185754
0.72683194 0.92205575
0.72554585 0.92227921
0.72427454 0.92252040
0.72298845 0.92277499
0.72171715 0.92303952
0.72043106 0.92330994
0.71915976 0.92357935
0.71787367 0.92383479
0.71660236 0.92405999
0.71531627 0.92424027
0.71404497 0.92437843
0.71275888 0.92449189
0.71148758 0.92460005
0.71020149 0.92471867
0.70893018 0.92485234
0.70764409 0.92500291
0.70635801 0.92517282
0.70508670 0.92536634
0.70380061 0.92558868
0.70252931 0.92584312
0.70124322 0.92612080
0.69997191 0.92639876
0.69868582 0.92665741
0.69741452 0.92688584
0.69612843 0.92708675
0.69484234 0.92726830
0.69357104 0.92743640
0.69228495 0.92759624
0.69101364 0.92774761
0.68972756 0.92789002
0.68845625 0.92801998
0.68717016 0.92812774
0.68589886 0.92820781
0.68461277 0.92826810
0.68332668 0.92832881
0.68205538 0.92840550
0.68076929 0.92850150
0.67949798 0.92861569
0.67821189 0.92874733
0.67692581 0.92889900
0.67565450 0.92907281
0.67436841 0.92926315
0.67309711 0.92944790
0.67181102 0.92959557
0.67053971 0.92968740
0.66925363 0.92971736
0.66796754 0.92969051
0.66669623 0.92962226
0.66541014 0.92953497
0.66413884 0.92945661
0.66285275 0.92940396
0.66156666 0.92938060
0.66029536 0.92938083
0.65900927 0.92939437
0.65772318 0.92941791
0.65645188 0.92945265
0.65516579 0.92949817
0.65389448 0.92954944
0.65260839 0.92960102
