# s/c    M_iso
1.28119503 0.84721765
1.27992372 0.84819891
1.27865242 0.84914674
1.27738111 0.85006189
1.27610981 0.85094507
1.27483850 0.85179698
1.27356719 0.85261833
1.27229589 0.85340982
1.27102458 0.85417214
1.26975328 0.85490597
1.26848197 0.85561200
1.26721067 0.85629088
1.26593936 0.85694330
1.26466806 0.85756990
1.26339675 0.85817134
1.26212545 0.85874826
1.26085414 0.85930130
1.25958283 0.85983110
1.25831153 0.86033828
1.25704022 0.86082346
1.25576892 0.86128726
1.25449761 0.86173027
1.25322631 0.86215311
1.25195500 0.86255635
1.25068370 0.86294059
1.24941239 0.86330642
1.24814109 0.86365439
1.24686978 0.86398508
1.24559847 0.86429905
1.24432717 0.86459684
1.24305586 0.86487902
1.24178456 0.86514611
1.24051325 0.86539865
1.23924195 0.86563716
1.23797064 0.86586217
1.23669934 0.86607418
1.23542803 0.86627371
1.23415673 0.86646124
1.23288542 0.86663728
1.23161411 0.86680231
1.23034281 0.86695680
1.22907150 0.86710122
1.22780020 0.86723605
1.22652889 0.86736174
1.22525759 0.86747874
1.22398628 0.86758749
1.22271498 0.86768843
1.22144367 0.86778199
1.22017237 0.86786859
1.21890106 0.86794865
1.21762975 0.86802258
1.21635845 0.86809077
1.21508714 0.86815364
1.21381584 0.86821155
1.21254453 0.86826491
1.21127323 0.86831406
1.21000192 0.86835940
1.20873062 0.86840127
1.20744453 0.86844003
1.20617322 0.86847603
1.20490192 0.86850960
1.20363061 0.86854108
1.20235931 0.86857080
1.20108800 0.86859906
1.19981670 0.86862619
1.19854539 0.86865248
1.19727408 0.86867824
1.19600278 0.86870376
1.19473147 0.86872931
1.19346017 0.86875518
1.19218886 0.86878163
1.19091756 0.86880893
1.18964625 0.86883733
1.18837495 0.86886709
1.18710364 0.86889843
1.18583234 0.86893161
1.18456103 0.86896683
1.18328972 0.86900433
1.18201842 0.86904432
1.18074711 0.86908701
1.17946103 0.86913259
1.17818972 0.86918125
1.17691841 0.86923319
1.17564711 0.86928858
1.17437580 0.86934760
1.17310450 0.86941040
1.17183319 0.86947714
1.17056189 0.86954798
1.16929058 0.86962306
1.16801928 0.86970251
1.16674797 0.86978648
1.16547667 0.86987506
1.16420536 0.86996840
1.16293405 0.87006658
1.16166275 0.87016972
1.16039144 0.87027791
1.15912014 0.87039124
1.15783405 0.87050979
